url,name,type,imo
/vessels/details/9798222,SIR D. ATTENBOROUGH,Research Vessel,9798222
/vessels/details/7813119,BEAGLE FI,Fishing Vessel,7813119
/vessels/details/9990296,ARGOS BERBES,Fishing Vessel,9990296
/vessels/details/9983748,PRION,Fishing Vessel,9983748
/vessels/details/8600430,ARGOS PEREIRA,Fishing Vessel,8600430
/vessels/details/8704779,NEW POLAR,Fishing Vessel,8704779
/vessels/details/8600428,IGUELDO,Fishing Vessel,8600428
/vessels/details/8521347,SIL,Fishing Vessel,8521347
/vessels/details/8604694,ARGOS VIGO,Fishing Vessel,8604694
/vessels/details/8717465,ROBIN M LEE,Fishing Vessel,8717465
/vessels/details/9818644,ARGOS CIES,Fishing Vessel,9818644
/vessels/details/9878931,FALCON,Fishing Vessel,9878931
/vessels/details/8619754,VENTURER,Fishing Vessel,8619754
/vessels/details/7388499,CAPRICORN,Fishing Vessel,7388499
/vessels/details/7819125,PETREL,Fishing Vessel,7819125
/vessels/details/9791250,CFL HUNTER,Fishing Vessel,9791250
/vessels/details/9802700,MONTEFERRO,Fishing Vessel,9802700
/vessels/details/9877949,MONTELOURIDO,Fishing Vessel,9877949
/vessels/details/8801979,GOLDEN CHICHA,Fishing Vessel,8801979
/vessels/details/8513297,HERMANOS TOUZA,Fishing Vessel,8513297
/vessels/details/8605947,CASTELO,Fishing Vessel,8605947
/vessels/details/8411839,KESTREL,Fishing Vessel,8411839
/vessels/details/740408000,EREBUS,Other type,740408000
/vessels/details/740409000,TERROR,Pleasure craft,740409000
/vessels/details/740370000,KAREN ROSE,Sailing vessel,740370000
/vessels/details/740398000,KELPER,Sailing vessel,740398000
/vessels/details/740716165,YU 868 -9 100,Unknown,740716165
/vessels/details/740200618,KUAI TINBG 796,Fishing vessel,740200618
/vessels/details/740419000,FRANK WILD,Pilot,740419000
/vessels/details/740000003,TAI HOA HIEP 03 A3,Cargo ship,740000003
/vessels/details/740421000,JOHN DAVIS,Port tender,740421000
/vessels/details/9394014,CONCORDIA BAY,Passenger/Landing Craft,9394014
/vessels/details/740999018,09990-18-78,Unknown,740999018
/vessels/details/740429000,RV JACK SOLLIS,Diving ops,740429000
/vessels/details/740400000,HADASSA,Sailing vessel,740400000
/vessels/details/740391000,FITZROY,Pilot,740391000
/vessels/details/740019928,SAN 00199-28-16,Unknown,740019928
/vessels/details/7015224,JACQUELINE F. I.,Fishing Vessel,7015224
/vessels/details/740000000,F4NG0C SON,Towing vessel (tow>200),740000000
/vessels/details/740453316,ZHE12389-13-58,Unknown,740453316
/vessels/details/740516076,YU 666 -7 98,Other type,740516076
/vessels/details/740889854,08898-54-96,Unknown,740889854
/vessels/details/740411000,CLIO FI,Pilot,740411000
/vessels/details/740374000,PRION,Pilot,740374000
/vessels/details/740455917,04559-17 10,Unknown,740455917
/vessels/details/740895558,YU 95558 -17 75,Other type,740895558
/vessels/details/740280023,74028-23-54,Unknown,740280023
/vessels/details/740280021,74028-21-56,Unknown,740280021
/vessels/details/740280002,74028-2-69,Unknown,740280002
/vessels/details/740280001,74028-1-55,Unknown,740280001
/vessels/details/740925166,YU 25166 -7 52,Other type,740925166
/vessels/details/740325604,ZHE DAI YU 03256P-04,Unknown,740325604
/vessels/details/740141817,ZHESHENGYUWANGQU-B1,Unknown,740141817
/vessels/details/740386000,MORGANE,Sailing vessel,740386000
/vessels/details/740401000,CASA,Sailing vessel,740401000
/vessels/details/740381000,SEAQUEST,Pleasure craft,740381000
/vessels/details/740373000,PIPIT,Pilot,740373000
/vessels/details/740018378,MISS ELLEN,Unknown,740018378
/vessels/details/740378000,PEPO,Sailing vessel,740378000
/vessels/details/740426090,JLY02199 02 V65,Unknown,740426090
/vessels/details/740402039,00000000000000000000,Fishing vessel,740402039
/vessels/details/740542785,1194 MTR,Unknown (HAZ-C),740542785
/vessels/details/740412000,WANDRIN STAR,Pleasure craft,740412000
/vessels/details/740420000,JOHN BYRON,Port tender,740420000
/vessels/details/740280022,74028-22-07,Unknown,740280022
/vessels/details/740132921,01329-21-56,Unknown,740132921
/vessels/details/740424000,ANNE BONNY,Sailing vessel,740424000
/vessels/details/740001481,NET-74-ZSY0148141,Unknown,740001481
/vessels/details/740950638,WANJIANGHUAI6988,Cargo ship,740950638
/vessels/details/740000849,LU LAO YU 818,Fishing vessel,740000849
