url,name,type,imo
/vessels/details/8630992,EVERWIN 11,General Cargo Ship,8630992
/vessels/details/9703253,QUEEN ALEXANDRA 959,Fishing Vessel,9703253
/vessels/details/1066790,PACIFIC ENTERPRISE 7,Fishing Vessel,1066790
/vessels/details/9966295,PERSEVERANCE NO.768,Fishing Vessel,9966295
/vessels/details/9966283,PERSEVERANCE NO 282,Fishing Vessel,9966283
/vessels/details/9853773,CROMWELL 101,Fishing Vessel,9853773
/vessels/details/9817054,MICRONESIA103,Fishing Vessel,9817054
/vessels/details/9803479,QUEEN ISABELLA 88,Fishing Vessel,9803479
/vessels/details/9587037,MICRONESIA 101,Fishing Vessel,9587037
/vessels/details/9587544,MICRONESIA 102,Fishing Vessel,9587544
/vessels/details/9817224,MICRONESIA 106,Fishing Vessel,9817224
/vessels/details/9720562,PACIFIC JOURNEY NO.8,Fishing Vessel,9720562
/vessels/details/9732656,CROMWELL 1,Fishing Vessel,9732656
/vessels/details/9720550,PACIFICJOURNEYNO.101,Fishing Vessel,9720550
/vessels/details/9185255,CAROLINE VOYAGER,Passenger/General Cargo Ship,9185255
/vessels/details/9268899,QUEEN ANNE 959,Fishing Vessel,9268899
/vessels/details/8748505,FULL FORTUNE 101,Fishing Vessel,8748505
/vessels/details/9328807,CHIEF MAILO,General Cargo Ship,9328807
/vessels/details/8748579,FULL FORTUNE 301,Fishing Vessel,8748579
/vessels/details/9737553,MICRO. NAVIGATORS,Passenger/General Cargo Ship,9737553
/vessels/details/7726835,ODYSSEY,Passenger (Cruise) Ship,7726835
/vessels/details/4734233,FSS TOSIWO NAKAYAMA,Patrol Vessel,4734233
/vessels/details/4734257,FSS BETHWEL HENRY,Patrol Vessel,4734257
/vessels/details/9896749,VITAL CARRIER,Landing Craft,9896749
/vessels/details/510069000,QUEEN ISABELLA 88,Fishing vessel,510069000
/vessels/details/510070616,DANETHISA,Pleasure craft,510070616
/vessels/details/510647000,JAN,WIG,510647000
/vessels/details/510568236,SUGANYU05682-36-99,Unknown,510568236
/vessels/details/510288212,YU 02882-1235,Unknown,510288212
/vessels/details/510970055,LURUYU51097-55-93,Unknown,510970055
/vessels/details/510970132,LURUYU51097-132-99,Unknown,510970132
/vessels/details/9234173,TAIYO WAAB,Fishing Vessel,9234173
/vessels/details/510980120,LURUYU51098-120-84,Unknown,510980120
/vessels/details/510600656,YU 06006-56-34,Unknown,510600656
/vessels/details/510117000,LINE UMOUMACH,Port tender,510117000
/vessels/details/510560127,05601-27 50,Unknown,510560127
/vessels/details/510060035,YU 00600-35-17,Unknown,510060035
/vessels/details/510882152,YU 88215-20-97,Unknown,510882152
/vessels/details/510336818,SUQIYU03368-18,Unknown,510336818
/vessels/details/510000016,5100000016-98,Unknown,510000016
/vessels/details/510980144,LURUYU5109-144-99,Unknown,510980144
/vessels/details/510510821,YU 05108-34-78,Unknown,510510821
/vessels/details/510965245,09652-45-94,Unknown,510965245
/vessels/details/510315518,SUQIYU03155-18,Unknown,510315518
/vessels/details/510361111,YU 3611-11-87,Unknown,510361111
/vessels/details/510560770,YU 05607-70-99,Unknown,510560770
/vessels/details/510909941,XIA09099-41-82,Unknown,510909941
/vessels/details/510561803,YU 05618-3-92,Unknown,510561803
/vessels/details/510600629,YU 06006-29-47,Unknown,510600629
/vessels/details/510196019,SUHAIMENYU01960-19,Unknown,510196019
/vessels/details/510828511,MINXIAYU08285-11-77,Unknown,510828511
/vessels/details/510980012,LURUYU51098-12-25,Unknown,510980012
/vessels/details/510008005,10008-5-99,Unknown,510008005
/vessels/details/510970122,LURUYU51097-122-23,Unknown,510970122
/vessels/details/510888565,YU 08885-65-86,Unknown,510888565
/vessels/details/510576802,05768-2 70,Unknown,510576802
/vessels/details/510666901,BIAO 06669-1-86,Unknown,510666901
/vessels/details/510569812,05698-12 23,Unknown,510569812
/vessels/details/510062809,LUJIAOYU60628-L9-85,Unknown,510062809
/vessels/details/510970017,LURUYU51097-17-99,Unknown,510970017
/vessels/details/510020004,51002-04-99,Unknown,510020004
/vessels/details/510250236,68510-A6-85,Unknown,510250236
/vessels/details/510515605,05156-5 60,Unknown,510515605
/vessels/details/510111069,28859-11,Unknown,510111069
/vessels/details/510980069,LURUYU51098-69-08,Unknown,510980069
/vessels/details/510830311,YU 08303-11-98,Unknown,510830311
/vessels/details/510559602,51055-2-79,Unknown,510559602
/vessels/details/510311815,YU 03118-15-99,Unknown,510311815
/vessels/details/510650736,YU 06507-36-78,Unknown,510650736
/vessels/details/510000013,510-13,Unknown,510000013
/vessels/details/510250822,68510-22-62,Unknown,510250822
/vessels/details/510583804,JIHUANGYU05838-4 20,Unknown,510583804
/vessels/details/510970139,LURUYU51097-139-98,Unknown,510970139
/vessels/details/510888564,YU 08885-64-75,Unknown,510888564
/vessels/details/510980003,LURUYU51098-3-59,Unknown,510980003
/vessels/details/510060032,YU 00600-32-99,Unknown,510060032
/vessels/details/510970124,LURUYU51097-124-99,Unknown,510970124
/vessels/details/510650747,YU 06507-47-98,Unknown,510650747
/vessels/details/510087919,SAN 00879-19-71,Unknown,510087919
/vessels/details/510008004,10008-4-99,Unknown,510008004
/vessels/details/510603804,YU 06038-4-77,Unknown,510603804
/vessels/details/510891267,TRUONG VO KY B 9,Tanker,510891267
/vessels/details/510581120,05811-20 20,Unknown,510581120
/vessels/details/510321809,YU 03218-9-77,Unknown,510321809
/vessels/details/510438820,04388-20-88,Unknown,510438820
/vessels/details/510573721,05736-21-41 90,Unknown,510573721
/vessels/details/510000015,5100000015-99,Unknown,510000015
/vessels/details/510920001,51092-1-67,Unknown,510920001
/vessels/details/510970240,LURUYU51097-40-46,Unknown,510970240
/vessels/details/8030453,MELISSA,Fishing Vessel,8030453
/vessels/details/510205810,BIAO 02058-10-99,Unknown,510205810
/vessels/details/510060071,YU 00600-71-56,Unknown,510060071
/vessels/details/510281808,BIAO 02818-8-79,Unknown,510281808
/vessels/details/510586810,02333-3-60,Unknown,510586810
/vessels/details/510950940,09509-40 40,Unknown,510950940
/vessels/details/510970142,LURUYU51097-142-93,Unknown,510970142
/vessels/details/510589807,YU 05898-7-67,Unknown,510589807
/vessels/details/510980808,51098-0899,Unknown,510980808
/vessels/details/510970117,LURUYU51097-117-99,Unknown,510970117
/vessels/details/510970108,LURUYU51097-108-59,Unknown,510970108
/vessels/details/510970019,LURUYU51097-19-99,Unknown,510970019
/vessels/details/510500823,05008-23 80,Unknown,510500823
/vessels/details/510980148,LURUYU51098-148-99,Unknown,510980148
/vessels/details/510311802,YU 03118-2-48,Unknown,510311802
/vessels/details/510578604,05786-47.7V,Unknown,510578604
/vessels/details/510650714,YU 06507-14-70,Unknown,510650714
/vessels/details/510589827,YU 05898-NAN-97,Unknown,510589827
/vessels/details/510620008,51061-08 80,Unknown,510620008
/vessels/details/510361101,YU 03611-1-99,Unknown,510361101
/vessels/details/510250812,68510-12-62,Unknown,510250812
/vessels/details/510980150,LURUYU51098-150-81,Unknown,510980150
/vessels/details/510081805,YU 00818-76,Unknown,510081805
/vessels/details/510828506,MINXIAYU08285-6-51,Unknown,510828506
/vessels/details/510250205,68510-5-60,Unknown,510250205
/vessels/details/510980098,LURUYU51098-98-34,Unknown,510980098
/vessels/details/510510803,YU 05108-3-24,Unknown,510510803
/vessels/details/510576816,05768-16 70,Unknown,510576816
/vessels/details/510980137,LURUYU5109-137-99,Unknown,510980137
/vessels/details/510578610,05786-10 10,Unknown,510578610
/vessels/details/510970026,LURUYU51097-26-99,Unknown,510970026
/vessels/details/510426759,04267-59 12,Unknown,510426759
/vessels/details/510980029,LURUYU51098-29-35,Unknown,510980029
/vessels/details/510970141,LURUYU51097-141-89,Unknown,510970141
/vessels/details/510060008,YU 00600-8-46,Unknown,510060008
/vessels/details/510970239,LURUYU51097-39-45,Unknown,510970239
/vessels/details/510557820,05578-20 60,Unknown,510557820
/vessels/details/510980057,LURUYU51098-57-99,Unknown,510980057
/vessels/details/510980130,LURUYU51098-130-67,Unknown,510980130
/vessels/details/510060072,YU 00600-72-72,Unknown,510060072
/vessels/details/510370005,51037-05 99,Other type,510370005
/vessels/details/510877820,YU 08778-20-98,Unknown,510877820
/vessels/details/510980025,LURONGYU51098-25-99,Unknown,510980025
/vessels/details/510980151,LURUYU51098-151-77,Unknown,510980151
/vessels/details/510970043,LURUYU51097-43-01,Unknown,510970043
/vessels/details/510672830,YU 06728-30-88,Unknown,510672830
/vessels/details/510100828,WHITE RABBIT TENDER1,Pleasure craft,510100828
/vessels/details/510288211,YU 02882-11-97,Unknown,510288211
/vessels/details/510488610,YU 04886-86,Unknown,510488610
/vessels/details/510980007,51098-7-99,Unknown,510980007
/vessels/details/510132914,01329-14-51,Unknown,510132914
/vessels/details/510250810,68510-10-59,Unknown,510250810
