url,name,type,imo
/vessels/details/9227390,NORROENA,Passenger/Ro-Ro Cargo Ship,9227390
/vessels/details/9822853,DETTIFOSS,Container Ship,9822853
/vessels/details/9822841,BRUARFOSS,Container Ship,9822841
/vessels/details/9121998,MYKINES,Vehicles Carrier,9121998
/vessels/details/9275218,SMYRIL,Passenger/Ro-Ro Cargo Ship,9275218
/vessels/details/9362152,FURE SKAGEN,Chemical/Oil Products Tanker,9362152
/vessels/details/9409273,FURE SPEAR,Chemical/Oil Products Tanker,9409273
/vessels/details/9198977,GLYVURSNES,Ro-Ro Cargo Ship,9198977
/vessels/details/9306005,ARNARFELL,Container Ship,9306005
/vessels/details/9306017,HELGAFELL,Container Ship,9306017
/vessels/details/9911915,BAKKAFOSSUR,Fish Carrier,9911915
/vessels/details/9433456,SELFOSS,Container Ship,9433456
/vessels/details/9907067,GADUS,Fish Factory Ship,9907067
/vessels/details/9913614,EMERALD,Fishing Vessel,9913614
/vessels/details/9404247,NORDBORG,Fishing Vessel,9404247
/vessels/details/9915430,CHRISTIAN I GROTINUM,Fishing Vessel,9915430
/vessels/details/9809265,GOTUNES,Fishing Vessel,9809265
/vessels/details/9251755,OKTAN,Chemical/Oil Products Tanker,9251755
/vessels/details/9975739,HOGABERG,Fishing Vessel,9975739
/vessels/details/9909845,AKRABERG,Fishing Vessel,9909845
/vessels/details/9960576,FINNUR FRIDI,Fishing Vessel,9960576
/vessels/details/9667760,KONGSBORG,Offshore Tug/Supply Ship,9667760
/vessels/details/9591923,SJOBORG,Offshore Tug/Supply Ship,9591923
/vessels/details/8400050,SILVER PEARL,Refrigerated Cargo Ship,8400050
/vessels/details/9818321,ICE CRYSTAL,General Cargo Ship,9818321
/vessels/details/9722821,HANS A BAKKA,Fish Carrier,9722821
/vessels/details/9931496,NORDIC CRYSTAL,General Cargo Ship,9931496
/vessels/details/9963487,BALTIC CRYSTAL,General Cargo Ship,9963487
/vessels/details/9644445,TORSBORG,Offshore Tug/Supply Ship,9644445
/vessels/details/9535292,SAEBORG,Offshore Tug/Supply Ship,9535292
/vessels/details/9757084,VERMLAND,General Cargo Ship,9757084
/vessels/details/9361768,HAV SUND,General Cargo Ship,9361768
/vessels/details/9361756,HAV BRIM,General Cargo Ship,9361756
/vessels/details/9818319,SNOW CRYSTAL,General Cargo Ship,9818319
/vessels/details/1049223,KOLLAND,General Cargo Ship,1049223
/vessels/details/9924730,LIDAN,General Cargo Ship,9924730
/vessels/details/9988516,NOSSAN,General Cargo Ship,9988516
