url,name,type,imo
/vessels/details/7931997,DIOSCURIA,Passenger/Ro-Ro Cargo Ship,7931997
/vessels/details/9120384,AIA,Ro-Ro Cargo Ship,9120384
/vessels/details/8933667,CHERNOMORETS-9,Crane Ship,8933667
/vessels/details/9917907,KOROGLU BALIKCILIK A,Fishing Vessel,9917907
/vessels/details/9093737,LAZIKA,Fishing Vessel,9093737
/vessels/details/9957232,ICEBERG 2,Fishing Vessel,9957232
/vessels/details/8582690,POTI,Fishing Vessel,8582690
/vessels/details/9054365,SIMSON,Tug,9054365
/vessels/details/9232993,SOCAR 2,Tug,9232993
/vessels/details/9915557,GUKA 1,Fishing Vessel,9915557
/vessels/details/9888728,ISA REIS BALIKCILIK,Fishing Vessel,9888728
/vessels/details/9067685,PORTGARTH,Tug,9067685
/vessels/details/8732829,KOBYALAR 7,Fishing Vessel,8732829
/vessels/details/1027342,Y. AYDIN OGULLARI,Fishing Vessel,1027342
/vessels/details/9233143,TAMARA 1,Tug,9233143
/vessels/details/9237826,TAMARA II,Tug,9237826
/vessels/details/8461078,ICEBERG 1,Fish Carrier,8461078
/vessels/details/8729157,ST ILIA,Fish Carrier,8729157
/vessels/details/8929850,KOMISSAR KVACHANTIRADZE,Tug,8929850
/vessels/details/9076519,ALBATROS,Fishing Vessel,9076519
/vessels/details/213579000,DROMONI1,Fishing vessel,213579000
/vessels/details/213777000,ELADA,Unknown,213777000
/vessels/details/213546000,ZORO,Fishing vessel,213546000
/vessels/details/213241000,K.KVACHANTIRADZE,Tug,213241000
/vessels/details/213788000,CHERNOMORETS-9,Port tender,213788000
/vessels/details/213550000,GOCHA,Fishing vessel,213550000
/vessels/details/213363000,BESHUMI,Fishing vessel,213363000
/vessels/details/213576000,EUROPA,Unknown (HAZ-D),213576000
/vessels/details/213049000,MEDEA,Diving ops,213049000
/vessels/details/213348000,BATUMI 1,Pilot,213348000
/vessels/details/213557000,SAKARTVELO,Fishing vessel,213557000
/vessels/details/213605000,TAMUSIA,Pleasure craft,213605000
/vessels/details/213002000,SABA,Fishing vessel,213002000
/vessels/details/213494000,IBERIA TOUR,Passenger ship,213494000
/vessels/details/213256468,LONG XIANG HAO,Cargo ship,213256468
/vessels/details/213456659,01565-9 90,Unknown,213456659
/vessels/details/213220019,ZHELINYU21322-19-40,Unknown,213220019
/vessels/details/213522000,LENA,Sailing vessel,213522000
/vessels/details/213456782,CANGCHAO2,Pleasure craft,213456782
/vessels/details/213354222,888999,Fishing vessel,213354222
/vessels/details/213680001,21368-1-36,Unknown,213680001
/vessels/details/213008792,21069,Fishing vessel,213008792
/vessels/details/213854306,2866 - 6-82,Unknown,213854306
/vessels/details/213501191,15008-1-90,Unknown,213501191
/vessels/details/213367682,SUQIYU03676-828.1V,Unknown,213367682
/vessels/details/213820011,ZHELINYU21382-11,Unknown,213820011
/vessels/details/213245473,YUEDIANYU01003,Fishing vessel,213245473
/vessels/details/213900008,2139-08,Unknown,213900008
/vessels/details/213316106,PHAO1 LGHE TOAN,Unknown,213316106
/vessels/details/213617363,213617363,Unknown,213617363
/vessels/details/8862466,ELITA,Training Ship,8862466
/vessels/details/213111806,31118-6-76,Unknown,213111806
/vessels/details/213010000,LAZIKA-1,Fishing vessel,213010000
/vessels/details/213894589,HONGFA88,Fishing vessel,213894589
/vessels/details/213820032,ZHELINYU21382-3291,Unknown,213820032
/vessels/details/213820157,ZHELINYU21382-15760,Unknown,213820157
/vessels/details/213820030,ZHELINYU21382-30,Unknown,213820030
/vessels/details/213582225,412200708,Fishing vessel,213582225
/vessels/details/213222008,ZHELINYU21322-8-99,Unknown,213222008
/vessels/details/213456652,01565-2 90,Unknown,213456652
/vessels/details/213101645,SUTONGYU01016-457.9,Unknown,213101645
/vessels/details/213001000,CHOROKHI,Cargo ship,213001000
/vessels/details/213506759,MAOCIWANG-35-02,Unknown,213506759
/vessels/details/213020000,PANDA,Pleasure craft,213020000
/vessels/details/213820041,ZHELINYU21382-41,Unknown,213820041
/vessels/details/213820150,ZHELINYU21382-15010,Unknown,213820150
/vessels/details/213206953,FG-07,Unknown,213206953
/vessels/details/8963911,ST-22,General Cargo Ship,8963911
/vessels/details/213066607,66607-30-56,Unknown,213066607
/vessels/details/213806759,MAOCIWANG-38-27,Unknown,213806759
/vessels/details/213161000,GAGRA SURVEY,Dredging or UW ops,213161000
/vessels/details/213820040,ZHELINYU21382-40,Unknown,213820040
/vessels/details/213501321,0506 8-47,Unknown,213501321
/vessels/details/213513000,GUKA 1,Fishing vessel,213513000
/vessels/details/213541356,1,Fishing vessel,213541356
/vessels/details/213206759,MAOCIWANG-32-51,Unknown,213206759
/vessels/details/213674241,03674-41-89,Unknown,213674241
/vessels/details/213366607,66607-33-93,Unknown,213366607
/vessels/details/213255000,NEPTUNE1,Pleasure craft,213255000
/vessels/details/213221006,ZHELINYU21322-06-99,Unknown,213221006
/vessels/details/7045956,MB-7028,Tug,7045956
/vessels/details/213820037,ZHELINYU21382-37,Unknown,213820037
/vessels/details/213999999,KM PANGERAN AKSHA,Fishing vessel,213999999
/vessels/details/213820059,ZHELINYU21382-5972,Unknown,213820059
/vessels/details/213820028,ZHELINYU21382-28,Unknown,213820028
/vessels/details/213288680,YUWANGBIAO11962-60,Unknown,213288680
/vessels/details/213456653,01565-3 40,Unknown,213456653
/vessels/details/8829220,MALTAKVA,Fishing Vessel,8829220
/vessels/details/213621982,ZHELINYU21982-217.8,Unknown,213621982
/vessels/details/213999000,SL TAMARI,Pilot,213999000
/vessels/details/213220005,ZHELINYU21322-5-97,Unknown,213220005
/vessels/details/213113812,31138-12 70,Unknown,213113812
/vessels/details/213594000,KARAHASANOGLU,Fishing vessel,213594000
/vessels/details/213220103,ZHELINYU21322-3-99,Unknown,213220103
/vessels/details/213589609,2868 - 9-69,Unknown,213589609
/vessels/details/213780014,ZHELINYU21378-14-53,Unknown,213780014
/vessels/details/213674217,03674-17-71,Unknown,213674217
/vessels/details/213220020,ZHELINYU21322-20-47,Unknown,213220020
/vessels/details/213854303,2866 - 3-97,Unknown,213854303
/vessels/details/213418274,ZHEPUYU34182-74-04,Unknown,213418274
/vessels/details/7320100,USHBA,Tug,7320100
/vessels/details/213504000,FREEDOM,Pilot,213504000
/vessels/details/213680071,ZHELINYU21368-7155,Unknown,213680071
/vessels/details/213820159,ZHELINYU21382-15966,Unknown,213820159
/vessels/details/213416746,ZHEPUYU34167-46-48,Unknown,213416746
/vessels/details/213031094,SUQIYU03109-0047.9V,Unknown,213031094
/vessels/details/9026459,AKGUN BALIKCILIK 3,Fishing Vessel,9026459
/vessels/details/213254687,1,Other type,213254687
/vessels/details/213005000,RITSA,Fishing vessel,213005000
/vessels/details/213008885,12277-5-5 70,Unknown,213008885
/vessels/details/213546879,SH,Fishing vessel,213546879
/vessels/details/213501193,0506 8-45,Unknown,213501193
/vessels/details/213820123,ZHELINYU21382-12372,Unknown,213820123
/vessels/details/9327956,SL CROSSBILL,Offshore Tug/Supply Ship,9327956
/vessels/details/213820153,ZHELINYU21382-15387,Unknown,213820153
/vessels/details/213155565,1,Unknown (HAZ-A),213155565
/vessels/details/213315000,TWO PRINCES,Pleasure craft,213315000
/vessels/details/213262808,32628-8-86,Unknown,213262808
/vessels/details/213264124,ZHESANYU88788-16-73,Unknown,213264124
/vessels/details/213418270,ZHEPUYU34182-70-87,Unknown,213418270
/vessels/details/213201662,15685-62-69,Unknown,213201662
/vessels/details/213440455,FUYUANYU087,Unknown,213440455
/vessels/details/213223022,XJK23022-217.1V,Unknown,213223022
/vessels/details/213520000,MTA SAR 01,SAR,213520000
/vessels/details/213605002,LIAOYINGYU36050-2,Unknown,213605002
/vessels/details/213820036,ZHELINYU21382-3630,Unknown,213820036
/vessels/details/213820006,ZHELINYU21382-684,Unknown,213820006
/vessels/details/213501196,15008-6-86,Unknown,213501196
/vessels/details/9191814,PITHEAS,Tug,9191814
/vessels/details/213158615,31586-15-77,Unknown,213158615
/vessels/details/213820043,ZHELINYU21382-43-63,Unknown,213820043
/vessels/details/213678004,213678-4-81,Unknown,213678004
/vessels/details/213680073,ZHELINYU21368-7317,Unknown,213680073
/vessels/details/213220109,ZHELINYU21322-9-92,Unknown,213220109
/vessels/details/213854314,2866 - 14-97,Unknown,213854314
/vessels/details/213820163,ZHELINYU21382-16385,Unknown,213820163
/vessels/details/9957206,GEOFISH COMPANY,Fishing Vessel,9957206
/vessels/details/213674202,03674-02-32,Unknown,213674202
/vessels/details/213820173,ZHELINYU21382-17374,Unknown,213820173
/vessels/details/213473000,OKYANUS-3,Passenger ship,213473000
/vessels/details/213060025,21306-25-90,Unknown,213060025
/vessels/details/213820140,ZHELINYU21382-14001,Unknown,213820140
/vessels/details/213820172,ZHELINYU21382-17276,Unknown,213820172
/vessels/details/213035498,00262-5-83,Unknown,213035498
/vessels/details/213080000,ZHELIN21308-1-99,Unknown,213080000
/vessels/details/213820085,ZHELINYU21382-85-62,Unknown,213820085
/vessels/details/213220013,ZHELINYU21322-13-91,Unknown,213220013
/vessels/details/213854317,2866 - 17-77,Unknown,213854317
/vessels/details/213509385,0506 8-46,Unknown,213509385
/vessels/details/213221005,ZHELINYU21322-05-99,Unknown,213221005
/vessels/details/213218392,LIN 21839-2-99,Unknown,213218392
/vessels/details/7634202,CADET,Training Ship,7634202
/vessels/details/213670001,ZHELIN21367-1-28,Unknown,213670001
/vessels/details/213255819,32558-19-95,Unknown,213255819
/vessels/details/213658909,02006 - 9-85,Unknown,213658909
/vessels/details/213820044,ZHELINYU21382-44,Unknown,213820044
/vessels/details/213220006,ZHELINYU21322-6-99,Unknown,213220006
/vessels/details/213674231,03674-31-62,Unknown,213674231
/vessels/details/213060015,21306-15-89,Unknown,213060015
/vessels/details/213820061,ZHESHENGYU21382-61,Unknown,213820061
/vessels/details/213758000,PATRIOT,Other type,213758000
/vessels/details/213674214,03674-14-94,Unknown,213674214
/vessels/details/213222009,ZHELINYU21322-9-99,Unknown,213222009
/vessels/details/213100222,KLX00222-217.1V,Unknown,213100222
/vessels/details/213209999,LXK09999-217.7V,Unknown,213209999
/vessels/details/213820148,ZHELINYU21382-14863,Unknown,213820148
/vessels/details/213820126,ZHELINYU21382-12678,Unknown,213820126
/vessels/details/213388964,33889-64-77,Unknown,213388964
/vessels/details/213100006,LIAOHUYU2131-6-58,Unknown,213100006
/vessels/details/213264911,ZHESANYU88788-32-76,Unknown,213264911
/vessels/details/213820012,ZHELINYU21382-12,Unknown,213820012
/vessels/details/213264210,ZHESANYU88788-9-58,Unknown,213264210
/vessels/details/8935897,GUMISTA,Pollution Control Vessel,8935897
/vessels/details/8526880,MIRA,Yacht,8526880
/vessels/details/213680004,21368-4-79,Unknown,213680004
/vessels/details/213930016,ZHELINYU21393-1671,Unknown,213930016
/vessels/details/6852297,BYZB,General Cargo Ship,6852297
/vessels/details/213564789,61888-9-61,Unknown,213564789
/vessels/details/213820039,ZHELINYU21382-39,Unknown,213820039
/vessels/details/213120016,ZHELINYU21312-1695,Unknown,213120016
/vessels/details/213266607,66607-32-91,Unknown,213266607
/vessels/details/213267910,AABBCC,Other type,213267910
/vessels/details/213119004,13119-4-99,Unknown,213119004
/vessels/details/213001004,SEARK1,Pilot,213001004
/vessels/details/213004109,30041-9-85,Unknown,213004109
/vessels/details/213210014,21321-14-49,Unknown,213210014
/vessels/details/213690011,ZHELINYU21369-11,Fishing vessel,213690011
/vessels/details/213678001,213678-1,Unknown,213678001
/vessels/details/213104439,10131-2-12,Unknown,213104439
/vessels/details/213004000,SAMEGRELO,Fishing vessel,213004000
/vessels/details/213900006,2139-06,Unknown,213900006
/vessels/details/213264137,ZHESANYU88788-29-44,Unknown,213264137
/vessels/details/213100003,LIAOHUYU2131-3-52,Unknown,213100003
/vessels/details/213008000,EDUARD,Unknown (HAZ-D),213008000
/vessels/details/213666607,66607-36-70,Unknown,213666607
/vessels/details/213060006,21306-6-70,Unknown,213060006
/vessels/details/213220120,ZHELINYU21322-20-85,Unknown,213220120
/vessels/details/213820034,ZHELINYU21382-34,Unknown,213820034
/vessels/details/213800003,LIAOYINGYU21380-399,Unknown,213800003
/vessels/details/213721576,LX21576-217.6V,Unknown,213721576
/vessels/details/213820068,ZHELINYU21382-6872,Unknown,213820068
/vessels/details/9916927,YILMAZLAR BALIKCILIK,Fishing Vessel,9916927
/vessels/details/213005896,66888-14-86,Unknown,213005896
/vessels/details/213820142,ZHELINYU21382-14299,Unknown,213820142
/vessels/details/213820154,ZHELINYU21382-15479,Unknown,213820154
/vessels/details/213545115,PINGGANGZIYONGY307,Other type,213545115
/vessels/details/213158611,31586-11-89,Unknown,213158611
/vessels/details/213854302,2866 - 2-57,Unknown,213854302
/vessels/details/213854304,2866 - 4-99,Unknown,213854304
/vessels/details/213060007,21306-7-88,Unknown,213060007
/vessels/details/213820131,ZHELINYU21382-13172,Unknown,213820131
/vessels/details/213264138,ZHESANYU88788-30-89,Unknown,213264138
/vessels/details/213820045,ZHELINYU21382-45,Unknown,213820045
/vessels/details/213658908,02006 - 8-31,Unknown,213658908
/vessels/details/213598065,711-02-97,Unknown,213598065
/vessels/details/213820025,ZHELINYU21382-25,Unknown,213820025
/vessels/details/213440000,KING TAMAR,Pilot,213440000
/vessels/details/213820161,ZHELINYU21382-16182,Unknown,213820161
/vessels/details/213200659,003852222-74,Unknown,213200659
/vessels/details/213995000,ILORI,Fishing vessel,213995000
/vessels/details/213577801,35778-1-95,Unknown,213577801
/vessels/details/213820169,ZHELINYU21382-16981,Unknown,213820169
/vessels/details/213158612,31586-12-94,Unknown,213158612
/vessels/details/213063214,LULANYU30632-14-02,Unknown,213063214
/vessels/details/1030648,ABKHAZETI,Research Vessel,1030648
/vessels/details/213921950,LG21950-218.1V,Unknown,213921950
/vessels/details/213854313,2866 - 13-99,Unknown,213854313
/vessels/details/213605001,LIAOYINGYU36050-1,Unknown,213605001
/vessels/details/8928387,VOSKHOD,Tug,8928387
/vessels/details/213456651,01565-1 90,Unknown,213456651
/vessels/details/213032206,30322-6-71,Unknown,213032206
/vessels/details/213222007,ZHELINYU21322-7-79,Unknown,213222007
/vessels/details/213820108,ZHELINYU21382-10892,Unknown,213820108
/vessels/details/213032205,30322-5-82,Unknown,213032205
/vessels/details/213930039,ZHELINYU21393-3957,Unknown,213930039
/vessels/details/213930032,ZHELINYU21393-3213,Unknown,213930032
/vessels/details/213930036,ZHELINYU21393-3601,Unknown,213930036
/vessels/details/213153000,VEGA,Fishing vessel,213153000
/vessels/details/213820013,ZHELINYU21382-13-46,Unknown,213820013
/vessels/details/213820049,ZHELINYU21382-49,Unknown,213820049
/vessels/details/213577805,35778-5-06,Unknown,213577805
/vessels/details/213350003,21335-3-19,Unknown,213350003
/vessels/details/213697517,60871-4-86,Unknown,213697517
/vessels/details/213820096,ZHELINYU21382-9659,Unknown,213820096
/vessels/details/7645378,ISAAK KIRTAVA,Fishing Vessel,7645378
/vessels/details/213221003,ZHELINYU21322-03-99,Unknown,213221003
/vessels/details/213900010,2139-10,Unknown,213900010
/vessels/details/213820166,ZHELINYU21382-16687,Unknown,213820166
/vessels/details/213220119,ZHELINYU21322-19-99,Unknown,213220119
/vessels/details/213418272,ZHEPUYU34182-72-79,Unknown,213418272
/vessels/details/213820023,ZHELINYU21382-23,Unknown,213820023
/vessels/details/213820147,ZHELINYU21382-14744,Unknown,213820147
/vessels/details/213456658,01565-11 50,Unknown,213456658
/vessels/details/213213213,213,Unknown,213213213
/vessels/details/213820018,ZHELINYU21382-18,Unknown,213820018
/vessels/details/213820083,ZHELINYU21382-83-66,Unknown,213820083
/vessels/details/213201665,15685-65-78,Unknown,213201665
/vessels/details/213820136,ZHELINYU21382-13682,Unknown,213820136
/vessels/details/213820160,ZHELINYU21382-16088,Unknown,213820160
/vessels/details/213555555,HORC,Pleasure craft,213555555
/vessels/details/213706759,MAOCIWANG-37-78,Unknown,213706759
/vessels/details/213751888,LEG51888-218.2V,Unknown,213751888
/vessels/details/213820051,ZHELINYU21382-51,Unknown,213820051
/vessels/details/213820052,ZHELINYU21382-52,Unknown,213820052
/vessels/details/213674211,03674-11-53,Unknown,213674211
/vessels/details/213780034,56222-20-63,Unknown,213780034
/vessels/details/213426504,2828-199,Fishing vessel,213426504
/vessels/details/213508935,35089-35-23,Unknown,213508935
/vessels/details/213820141,ZHELINYU21382-14177,Unknown,213820141
/vessels/details/213820016,ZHELINYU21382-16,Unknown,213820016
/vessels/details/213030468,69655-07,Unknown,213030468
/vessels/details/213100004,LIAOHUYU2131-4-51,Unknown,213100004
/vessels/details/213541000,CAPT CHAKHVADZE,Passenger ship,213541000
/vessels/details/213820145,ZHELINYU21382-14594,Unknown,213820145
/vessels/details/213820008,ZHELINYU21382-878,Unknown,213820008
/vessels/details/213820010,ZHELINYU21382-10,Unknown,213820010
/vessels/details/213222001,ZHELINYU21322-1-99,Unknown,213222001
/vessels/details/213220108,ZHELINYU21322-8-88,Unknown,213220108
/vessels/details/213129000,GOLDEN FISH,Fishing vessel,213129000
/vessels/details/213800015,LIAOYU21380-15-98,Unknown,213800015
/vessels/details/213721679,LEK21679A-217.9V,Unknown,213721679
/vessels/details/213454570,50102-3-79,Unknown,213454570
/vessels/details/213800019,LIAOYU21380-19-97,Unknown,213800019
/vessels/details/213862243,MINXIAYU108,Fishing vessel,213862243
/vessels/details/213654789,BUOY43281 489,Unknown,213654789
/vessels/details/213200084,HU 03,Fishing vessel,213200084
/vessels/details/8936190,MUSSON,Tug,8936190
/vessels/details/213060019,21306-19-99,Unknown,213060019
/vessels/details/213642000,KHIBULA,Tanker,213642000
/vessels/details/213452628,15666-8784,Fishing vessel,213452628
/vessels/details/213145625,15666-8474,Fishing vessel,213145625
/vessels/details/213820146,ZHELINYU21382-14692,Unknown,213820146
/vessels/details/8650710,MILLENIUM-MADAI,Fishing Vessel,8650710
/vessels/details/213264132,ZHESANYU88788-24-50,Unknown,213264132
/vessels/details/213680003,21368-3-83,Unknown,213680003
/vessels/details/213101641,SUTONGYU01016-418.1,Unknown,213101641
/vessels/details/213800006,LIAOYINGYU21380-676,Unknown,213800006
/vessels/details/213201668,15685-68-89,Unknown,213201668
/vessels/details/213060013,21306-13-90,Unknown,213060013
/vessels/details/213854318,2866 - 18-99,Unknown,213854318
/vessels/details/213596000,ANAKLIA 9,Pleasure craft,213596000
/vessels/details/213800008,LIAOYINGYU21380-873,Unknown,213800008
/vessels/details/213456789,QIONGCHENGYU13005,Fishing vessel,213456789
/vessels/details/213256620,15666-7945,Fishing vessel,213256620
/vessels/details/213060028,21306-28-76,Unknown,213060028
/vessels/details/9028263,A LI,General Cargo Ship,9028263
/vessels/details/213180082,ZHEJIAOYU18008-14-,Unknown,213180082
/vessels/details/8722915,ILORI,Fishing Vessel,8722915
/vessels/details/213220117,ZHELINYU21322-17-76,Unknown,213220117
