url,name,type,imo
/vessels/details/9828467,FREGATE,Tug,9828467
/vessels/details/9828455,PAPILLON,Tug,9828455
/vessels/details/745000010,ACAYOULI,Sailing vessel,745000010
/vessels/details/745002800,FV STEREDEN,Other type,745002800
/vessels/details/745609887,LD A5 P677,Unknown,745609887
/vessels/details/745000310,PILOTE JOSEPH,Pilot,745000310
/vessels/details/745102361,02877-19-36,Unknown,745102361
/vessels/details/8576677,FV LA FLORIDIENNE 2,Fishing Vessel,8576677
/vessels/details/745620002,YI JIE -02,Unknown,745620002
/vessels/details/745000400,YANNICKII,Other type,745000400
/vessels/details/745664455,3869-12-77,Unknown,745664455
/vessels/details/8571512,FV CARAIBEENNE 2,Fishing vessel,8571512
/vessels/details/745588023,SHAN HAO DA88023,Fishing vessel,745588023
/vessels/details/745060008,VALERIA 1,Passenger ship,745060008
/vessels/details/745265400,DL10 YEN NHI-A3660,Unknown,745265400
/vessels/details/745001590,POINTE BEHAGUE,Pilot,745001590
/vessels/details/745003380,FORT TRIO,Pilot,745003380
/vessels/details/745548338,LIAOYINGYU26826,Fishing vessel,745548338
/vessels/details/745191541,SUYANCHENGHUO239889,Cargo ship,745191541
/vessels/details/745398544,DAZHUANGBU4229,Fishing vessel,745398544
/vessels/details/745001580,DOUCIN,Sailing vessel,745001580
/vessels/details/745102366,03333-02-99,Unknown,745102366
/vessels/details/745042224,LONG SHENG 6668,Cargo ship,745042224
/vessels/details/745003460,ALEGO,Pleasure craft,745003460
/vessels/details/745091909,C15,Fishing vessel,745091909
/vessels/details/745609899,LD A5 P6-93,Unknown,745609899
/vessels/details/745002820,MR XAV,Sailing vessel,745002820
/vessels/details/745858819,SAN58588-19-86,Unknown,745858819
/vessels/details/745000000,MICKY L CHUON A19,Unknown,745000000
/vessels/details/745026640,HUAXIANG66,Cargo ship,745026640
/vessels/details/745122505,LIN12250-5-59,Unknown,745122505
/vessels/details/745000250,MANMAN DILO,Sailing vessel,745000250
/vessels/details/745555485,1,Fishing vessel,745555485
/vessels/details/745478798,PHI A38 P2-99,Unknown,745478798
/vessels/details/745004500,FV NORMANDE 2,Fishing vessel,745004500
/vessels/details/745233668,668,Fishing vessel,745233668
/vessels/details/745367599,QUOCN TRI P8-81,Unknown,745367599
/vessels/details/745174565,21789-28.5V,Unknown,745174565
/vessels/details/745179364,XINGLONGBOHAI,Cargo ship,745179364
/vessels/details/745004200,FV ANTILLAISE 2,Unknown,745004200
/vessels/details/745001930,TI DOURI,Pilot,745001930
/vessels/details/745586895,87991,Fishing vessel,745586895
/vessels/details/745219184,LIN 21918-4-76,Unknown,745219184
/vessels/details/745669755,89CAO DON D38,Fishing vessel,745669755
/vessels/details/745086129,SC-53,Tanker,745086129
/vessels/details/745003390,AIDA,Sailing vessel,745003390
/vessels/details/745001780,DAHU,Unknown,745001780
/vessels/details/745667312,PHAO DUOI 76-40,Unknown,745667312
/vessels/details/745766853,YUENANAOYU33172,Fishing vessel,745766853
