url,name,type,imo
/vessels/details/9720902,FLAT CONFIDENCE,Offshore Support Vessel,9720902
/vessels/details/9223227,ATLANTIC QUEEN,Fishing Vessel,9223227
/vessels/details/9097329,PANOFI QUEEN,Fishing Vessel,9097329
/vessels/details/9015929,AM DELTA,General Cargo Ship,9015929
/vessels/details/8124412,ATLANTICPRINCESS,Fishing Vessel,8124412
/vessels/details/8114106,DE GLORY,Fishing Vessel,8114106
/vessels/details/9872822,JOSEPHINE ASANTE,Tug,9872822
/vessels/details/9793105,JOHN ERNEST AIDOO,Tug,9793105
/vessels/details/9902043,GNS VOLTA,Offshore Tug/Supply Ship,9902043
/vessels/details/9230804,OSAGYEFO,Pilot Vessel,9230804
/vessels/details/627840000,GNS ACHIMOTA,Military ops,627840000
/vessels/details/627505000,GNS AFLAO,Military ops,627505000
/vessels/details/627506000,GNS HALF ASSINI,Military ops,627506000
/vessels/details/8683987,HAI LU FENG 2,Fishing Vessel,8683987
/vessels/details/627219231,LIN21923-1-55,Unknown,627219231
/vessels/details/7221196,AFKO 102,Fishing Vessel,7221196
/vessels/details/8017786,AFKO FOOD 805,Fishing Vessel,8017786
/vessels/details/627300009,6273-9-91,Unknown,627300009
/vessels/details/8683731,MENG XIN 7,Fishing Vessel,8683731
/vessels/details/8674089,MENG XIN 6,Fishing Vessel,8674089
/vessels/details/627600163,063-99,Unknown,627600163
/vessels/details/627234000,A.MATEY KORLEY,Pleasure craft,627234000
/vessels/details/9078555,SANKOFA,Fishing Vessel,9078555
/vessels/details/627151000,MENG XIN 14,Fishing vessel,627151000
/vessels/details/7232200,NICK T.,Fishing Vessel,7232200
/vessels/details/627181000,MENG XIN 10,Unknown,627181000
/vessels/details/627189041,PRINCESS LAWANYA,Fishing vessel,627189041
/vessels/details/7410307,SEAPLUS87,Fishing Vessel,7410307
/vessels/details/9568859,PANOFI FORE RUNNER,Fishing Vessel,9568859
/vessels/details/7042497,YOUNG BOK,Fishing Vessel,7042497
/vessels/details/6502634,OUR WAY,Fishing Vessel,6502634
/vessels/details/627216387,LIN21638-7-51,Unknown,627216387
/vessels/details/8789767,LU RONG YUAN YU 220,Fishing Vessel,8789767
/vessels/details/627300005,6273-5-76,Unknown,627300005
/vessels/details/627000031,KPONE EXPRESS,Port tender,627000031
/vessels/details/627133000,FLORENCE 2,Fishing vessel,627133000
