url,name,type,imo
/vessels/details/9017757,TULU,Research Vessel,9017757
/vessels/details/9829708,AVATAQ,Fishing Vessel,9829708
/vessels/details/9886586,NATAARNAQ,Fishing Vessel,9886586
/vessels/details/9988853,KAASSASSUK,Fishing Vessel,9988853
/vessels/details/9922897,TUUGAALIK,Fishing Vessel,9922897
/vessels/details/9829693,SISIMIUT,Fishing Vessel,9829693
/vessels/details/9752589,SVEND C,Fishing Vessel,9752589
/vessels/details/9826706,MARKUS,Fish Factory Ship,9826706
/vessels/details/9826031,POLAR NATTORALIK,Fish Factory Ship,9826031
/vessels/details/9827827,REGINA C,Fishing Vessel,9827827
/vessels/details/9204609,POLAR PRINCESS,Fish Factory Ship,9204609
/vessels/details/9228928,AKAMALIK,Fish Factory Ship,9228928
/vessels/details/9266255,POLAR AMAROQ,Fishing Vessel,9266255
/vessels/details/9258090,TASIILAQ,Fishing Vessel,9258090
/vessels/details/9881225,TARAJOQ,Fishing Support Vessel,9881225
/vessels/details/9231042,POLAR NANOQ,Fishing Vessel,9231042
/vessels/details/8704808,POLAR NATAARNAQ,Fishing Vessel,8704808
/vessels/details/9161950,POLAR AMMASSAK,Fishing Vessel,9161950
/vessels/details/8913899,SARFAQ ITTUK,Passenger Ship,8913899
/vessels/details/8709860,TUNEQ,Fishing Vessel,8709860
/vessels/details/9244726,MASILIK,Fishing Vessel,9244726
/vessels/details/8811247,TUULLIK,Fishing Vessel,8811247
/vessels/details/9606065,SANNA,Fishing Support Vessel,9606065
/vessels/details/6617790,MASIK SIORAQ,Hopper Dredger,6617790
/vessels/details/9351347,LUNA E,Fishing Vessel,9351347
/vessels/details/8802416,ARSUGAQ,Fishing Vessel,8802416
/vessels/details/7116858,MASIK MASTER,Tug,7116858
/vessels/details/7533367,KJ ENDEAVOUR,Tug,7533367
/vessels/details/8915562,SISAK,Patrol Vessel,8915562
/vessels/details/9199488,MASIK 2,Patrol Vessel,9199488
/vessels/details/331203000,IVIK,Passenger ship,331203000
/vessels/details/331763000,FALIK L,Fishing vessel,331763000
/vessels/details/331218000,CLAUDIA,Other type,331218000
/vessels/details/331812000,QUTDLEQ,Passenger ship,331812000
/vessels/details/331856000,MILLE KUKA,Fishing vessel,331856000
