url,name,type,imo
/vessels/details/9294240,GALE,Crude Oil Tanker,9294240
/vessels/details/9331244,DORYS,Crude Oil Tanker,9331244
/vessels/details/9196644,ELVA,Crude Oil Tanker,9196644
/vessels/details/9181194,FELIX,Crude Oil Tanker,9181194
/vessels/details/9203253,ANITA,Crude Oil Tanker,9203253
/vessels/details/9246279,ANABEL,Crude Oil Tanker,9246279
/vessels/details/9224805,OXIS,Crude Oil Tanker,9224805
/vessels/details/9236250,MT VIRGO,Crude Oil Tanker,9236250
/vessels/details/9251951,HAIHUN,Crude Oil Tanker,9251951
/vessels/details/9299666,DASHAN,Crude Oil Tanker,9299666
/vessels/details/9513139,FEARLESS,Crude Oil Tanker,9513139
/vessels/details/9530917,SAKINA,Crude Oil Tanker,9530917
/vessels/details/9175078,ZAMBRA,Crude Oil Tanker,9175078
/vessels/details/9411331,CANARA,Crude Oil Tanker,9411331
/vessels/details/9224283,NEER 1,Crude Oil Tanker,9224283
/vessels/details/9524463,SATARA,Crude Oil Tanker,9524463
/vessels/details/9524451,SABINA,Crude Oil Tanker,9524451
/vessels/details/9233741,MITZEL,Crude Oil Tanker,9233741
/vessels/details/9187227,MERU,Crude Oil Tanker,9187227
/vessels/details/9018464,WOODCHIP,Crude Oil Tanker,9018464
/vessels/details/9194983,DELIVER,Crude Oil Tanker,9194983
/vessels/details/9236004,KAIROS,Crude Oil Tanker,9236004
/vessels/details/9305568,BREEZE,Crude Oil Tanker,9305568
/vessels/details/9258882,CARCHARODON,Crude Oil Tanker,9258882
/vessels/details/9282493,ASTERI,Crude Oil Tanker,9282493
/vessels/details/9247443,MAGNUS,Crude Oil Tanker,9247443
/vessels/details/9274800,ASTRAL,Crude Oil Tanker,9274800
/vessels/details/9288863,VALENTE,Crude Oil Tanker,9288863
/vessels/details/9419137,SIKAR,Crude Oil Tanker,9419137
/vessels/details/9436006,SAMIRA,Crude Oil Tanker,9436006
/vessels/details/9419151,WU TAI,Crude Oil Tanker,9419151
/vessels/details/9386536,SPRING FORTUNE,Crude Oil Tanker,9386536
/vessels/details/9522324,SIERRA,Crude Oil Tanker,9522324
/vessels/details/9257993,AMELL,Crude Oil Tanker,9257993
/vessels/details/9832559,VIRAT,Crude Oil Tanker,9832559
/vessels/details/9832547,VELMAR,Crude Oil Tanker,9832547
/vessels/details/9288722,RORA,Crude Oil Tanker,9288722
/vessels/details/9319870,MAINI,Crude Oil Tanker,9319870
/vessels/details/9265756,SUNNY,Crude Oil Tanker,9265756
/vessels/details/9319674,NIGHT GLORY,Crude Oil Tanker,9319674
/vessels/details/9308950,SEASONS I,Crude Oil Tanker,9308950
/vessels/details/9283289,DUSK,Crude Oil Tanker,9283289
/vessels/details/9348479,LUCKY FAIRY,Crude Oil Tanker,9348479
/vessels/details/9544281,CORUS,Oil Products Tanker,9544281
/vessels/details/9354301,JAGGER,Crude Oil Tanker,9354301
/vessels/details/9383950,EMINENT,Crude Oil Tanker,9383950
/vessels/details/9378620,DALVA,Crude Oil Tanker,9378620
/vessels/details/9332834,MYSTERY,Crude Oil Tanker,9332834
/vessels/details/9332781,AQUA TITAN,Crude Oil Tanker,9332781
/vessels/details/9389100,SMYRTOS,Crude Oil Tanker,9389100
/vessels/details/9384069,LION I,Crude Oil Tanker,9384069
/vessels/details/9404948,THRON,Crude Oil Tanker,9404948
/vessels/details/9383869,SARASWATI,Crude Oil Tanker,9383869
/vessels/details/9314105,MAKALU,Crude Oil Tanker,9314105
/vessels/details/9276561,PETRA,Crude Oil Tanker,9276561
/vessels/details/9297553,MONTE 1,Crude Oil Tanker,9297553
/vessels/details/9268112,ALBA,Crude Oil Tanker,9268112
/vessels/details/9255660,SERENA,Crude Oil Tanker,9255660
/vessels/details/9255684,FIORA,Crude Oil Tanker,9255684
/vessels/details/9288746,MARATHON,Crude Oil Tanker,9288746
/vessels/details/9299769,AQUATICA,Crude Oil Tanker,9299769
/vessels/details/9235725,DESERT KITE,Crude Oil Tanker,9235725
/vessels/details/9311531,LINDOR,Crude Oil Tanker,9311531
/vessels/details/9005053,SONA,LPG Tanker,9005053
/vessels/details/9275763,BLAGE,Oil Products Tanker,9275763
/vessels/details/8912546,TUSITALA,LPG Tanker,8912546
/vessels/details/9577082,PREMIER,Crude Oil Tanker,9577082
/vessels/details/9673202,ORIENT VISION,Bulk Carrier,9673202
/vessels/details/9620633,ORIENT HARMONY,Bulk Carrier,9620633
/vessels/details/9273442,BLUE EMBER,Oil Products Tanker,9273442
/vessels/details/9292577,NEXUS,Crude Oil Tanker,9292577
/vessels/details/9308170,ESTELLA,Crude Oil Tanker,9308170
/vessels/details/9318034,SARD,Chemical/Oil Products Tanker,9318034
/vessels/details/9333412,ENIGMA,Oil Products Tanker,9333412
/vessels/details/9333424,PHOTON,Oil Products Tanker,9333424
/vessels/details/9285756,BILI,Chemical/Oil Products Tanker,9285756
/vessels/details/9285744,NIL308,Chemical/Oil Products Tanker,9285744
/vessels/details/9276028,PEGASUS,Chemical/Oil Products Tanker,9276028
/vessels/details/9276030,ECHO,Chemical/Oil Products Tanker,9276030
/vessels/details/9332028,GRIF,Chemical/Oil Products Tanker,9332028
/vessels/details/9252400,SEAL,Oil Products Tanker,9252400
/vessels/details/9178068,KATSUYA,Oil Products Tanker,9178068
/vessels/details/9168740,ELITE,Oil Products Tanker,9168740
/vessels/details/9271951,MOCHA,Oil Products Tanker,9271951
/vessels/details/9379052,NOVA,Chemical/Oil Products Tanker,9379052
/vessels/details/9292060,TALISMAN,Oil Products Tanker,9292060
/vessels/details/9258167,AKAR WEST,Crude Oil Tanker,9258167
/vessels/details/9292058,TANGO,Oil Products Tanker,9292058
/vessels/details/9382798,TRUST,Oil Products Tanker,9382798
/vessels/details/9309588,SYMPHONY,Chemical/Oil Products Tanker,9309588
/vessels/details/9329667,PACIFIC,Chemical/Oil Products Tanker,9329667
/vessels/details/9260067,OSTRIA,Chemical/Oil Products Tanker,9260067
/vessels/details/9260055,DORIN,Chemical/Oil Products Tanker,9260055
/vessels/details/9220938,MODESTE,Chemical/Oil Products Tanker,9220938
/vessels/details/9220940,SANDS,Chemical/Oil Products Tanker,9220940
/vessels/details/9353113,JUN MA,Oil Products Tanker,9353113
/vessels/details/9353125,ADHARA,Chemical/Oil Products Tanker,9353125
/vessels/details/9353096,GURU,Chemical/Oil Products Tanker,9353096
/vessels/details/9352195,SANDHYA,Chemical/Oil Products Tanker,9352195
/vessels/details/9236755,MACKEREL GA,Oil Products Tanker,9236755
