url,name,type,imo
/vessels/details/9592903,PERLE EXPRESS,Passenger/Ro-Ro Cargo Ship,9592903
/vessels/details/9336531,GOLD EXPRESS,Passenger Ship,9336531
/vessels/details/9331995,ATLANTICJET,Passenger Ship,9331995
/vessels/details/9983786,MISS OUTRE MER,Passenger Ship,9983786
/vessels/details/9830850,POINTETALI,Tug,9830850
/vessels/details/9943425,POINTE VIGIE 2,Tug,9943425
/vessels/details/8002999,POINTE JARRY,Tug,8002999
/vessels/details/9175121,MISS KARAIBES,Passenger Ship,9175121
/vessels/details/329012090,ATANAE,Pleasure craft,329012090
/vessels/details/329019040,LORNA,Sailing vessel,329019040
/vessels/details/329025330,PEARL ISLAND,Sailing vessel,329025330
/vessels/details/329002100,FLEUR AUSTRALE,Sailing vessel,329002100
/vessels/details/329004500,SUALOUIGA,Unknown,329004500
/vessels/details/329026610,KARANBOL,Sailing vessel,329026610
/vessels/details/329028510,ULYSSE,Sailing vessel,329028510
/vessels/details/329027280,POPPY,Pleasure craft,329027280
/vessels/details/329013620,BIGWHY,Sailing vessel,329013620
/vessels/details/329019130,CATMAN,Sailing vessel,329019130
/vessels/details/329002650,SV MANGA,Sailing vessel,329002650
/vessels/details/329030250,SUEDAMA,Sailing vessel,329030250
/vessels/details/329012260,CARIBDESIR 2,Cargo ship,329012260
/vessels/details/329019630,POCKY,Pleasure craft,329019630
/vessels/details/329027110,TANZANITE,Sailing vessel,329027110
/vessels/details/329013660,IRANJA,Sailing vessel,329013660
/vessels/details/329015630,ET HOP,Sailing vessel,329015630
/vessels/details/329015190,NIRVANA,Pleasure craft,329015190
/vessels/details/329013470,CAJOU,Pleasure craft,329013470
/vessels/details/329023350,TIKA,Sailing vessel,329023350
/vessels/details/329020740,MATAFO 4,Sailing vessel,329020740
/vessels/details/329019290,SAMYCHA,Sailing vessel,329019290
/vessels/details/329012890,ARTEMIS,Sailing vessel,329012890
/vessels/details/329004530,BETTER TOGETHER,Sailing vessel,329004530
/vessels/details/329014050,PILOTINE P101,Pilot,329014050
/vessels/details/329027040,OURSON,Cargo ship,329027040
/vessels/details/329012380,SNS240,SAR,329012380
/vessels/details/329021210,NIL,Sailing vessel,329021210
/vessels/details/329018360,LET IT BE,Sailing vessel,329018360
/vessels/details/329020430,DIWALL,Sailing vessel,329020430
/vessels/details/329015420,LAZULITE,Pleasure craft,329015420
/vessels/details/329028940,MAGLICA,Pleasure craft,329028940
/vessels/details/329004980,SV TOO MUCH,Sailing vessel,329004980
/vessels/details/329024410,ARMOR OF ANNABELLE,Sailing vessel,329024410
/vessels/details/329018960,PILOTINE 105,Pleasure craft,329018960
/vessels/details/329028530,NOWO,Sailing vessel,329028530
/vessels/details/329029030,LETS GO,Sailing vessel,329029030
/vessels/details/329025880,ADELAIDE,Fishing vessel,329025880
/vessels/details/329002960,OUF,Sailing vessel,329002960
/vessels/details/329027460,UNAVAILABLE,Pleasure craft,329027460
/vessels/details/329025420,KERSELI,Sailing vessel,329025420
/vessels/details/329015640,BELUGA,Sailing vessel,329015640
/vessels/details/329022380,MAHALI,Pleasure craft,329022380
/vessels/details/329023150,ZAO,Unknown,329023150
/vessels/details/329015430,SEATOY,Pleasure craft,329015430
/vessels/details/329017730,OCTOGONE,Pleasure craft,329017730
/vessels/details/329013630,TI BLE,Sailing vessel,329013630
/vessels/details/329060915,ZHE DI YU 06091-05,Unknown,329060915
/vessels/details/329019760,TOLEAME,Sailing vessel,329019760
/vessels/details/329024150,THE PEARL,Pleasure craft,329024150
/vessels/details/329021710,I PAKA RI,Pleasure craft,329021710
/vessels/details/329796369,ZHECANGYU05889-0965,Unknown,329796369
/vessels/details/329027960,ANAMAYI,Pleasure craft,329027960
/vessels/details/329588809,ZHESANYU95888-9-91,Unknown,329588809
/vessels/details/329020970,CALAO,Pleasure craft,329020970
/vessels/details/329030170,KANAWA,Sailing vessel,329030170
/vessels/details/329025030,ALAIA,Pleasure craft,329025030
/vessels/details/329020820,KALALOU,Unknown,329020820
/vessels/details/329019830,OLIVINE,Sailing vessel,329019830
/vessels/details/329898955,3298-55-92,Unknown,329898955
/vessels/details/329015330,MINITEL,Sailing vessel,329015330
/vessels/details/329025140,FLYING NEMO,Pleasure craft,329025140
/vessels/details/329995616,SAN 99956-16-52,Unknown,329995616
/vessels/details/329017180,MARC AUREL,Unknown (HAZ-B),329017180
/vessels/details/329026970,TI-BO II,Sailing vessel,329026970
/vessels/details/329026530,MAHANA,Sailing vessel,329026530
/vessels/details/329023950,EXLEX,Sailing vessel,329023950
/vessels/details/329796372,ZHECANGYU05889-1246,Unknown,329796372
/vessels/details/329028260,MELODY,Sailing vessel,329028260
/vessels/details/329699320,SURUYU09699-320 90,Unknown,329699320
/vessels/details/329018370,GUIRIDEN,Pleasure craft,329018370
/vessels/details/329018020,MANGO,Sailing vessel,329018020
/vessels/details/329018840,REVDO,Sailing vessel,329018840
/vessels/details/329027760,KANAUAO 977,SAR,329027760
/vessels/details/329021950,ORCA,WIG,329021950
/vessels/details/329015680,ZAMPANO,Pleasure craft,329015680
/vessels/details/329016010,EASY RIDER,Pleasure craft,329016010
/vessels/details/329029540,LISULA,Sailing vessel,329029540
/vessels/details/329019730,GOOD LIFE,Sailing vessel,329019730
/vessels/details/329016670,TI PRENS 2,Sailing vessel,329016670
/vessels/details/329018230,GOOD VIBES,Sailing vessel,329018230
/vessels/details/329012580,LA ROSE DES VENTS II,Sailing vessel,329012580
/vessels/details/329027190,BLACK PEARL,Sailing vessel,329027190
/vessels/details/329020560,MIRO,Sailing vessel,329020560
/vessels/details/329026550,MARSOUIN,Pleasure craft,329026550
/vessels/details/329028550,PETITE-TERRE,Sailing vessel,329028550
/vessels/details/329019220,NEPTUNE,Sailing vessel,329019220
/vessels/details/329023010,CAPO ROSSO I,Passenger ship,329023010
/vessels/details/329018420,IDEFIX,Sailing vessel,329018420
/vessels/details/329898916,3298-16-87,Unknown,329898916
/vessels/details/329123779,LIN12377-9-57,Unknown,329123779
/vessels/details/329016150,LIBERTE,Sailing vessel,329016150
/vessels/details/329021260,BEQUIA,Sailing vessel,329021260
/vessels/details/329020030,NEVIS,Sailing vessel,329020030
/vessels/details/329024110,SOUALI,Sailing vessel,329024110
/vessels/details/329029450,LES ELIES,Sailing vessel,329029450
/vessels/details/329018460,NEPTUNITE,Sailing vessel,329018460
/vessels/details/329027140,TOPAZE,Sailing vessel,329027140
/vessels/details/329025920,CHAMPAGNE II,Sailing vessel,329025920
/vessels/details/329002800,VOYAGER 3 DREAMLINER,Passenger ship,329002800
/vessels/details/329018530,HONU NUI,Sailing vessel,329018530
/vessels/details/329898946,3298-46-48,Unknown,329898946
/vessels/details/329018910,OKEANOS,Sailing vessel,329018910
/vessels/details/329029410,SKY,Pleasure craft,329029410
