url,name,type,imo
/vessels/details/9319882,ARYABHATA,Crude Oil Tanker,9319882
/vessels/details/9356426,MIRIAM B,Crude Oil Tanker,9356426
/vessels/details/9304825,JALDHARA,Crude Oil Tanker,9304825
/vessels/details/1047433,WAN MING PING DENG,Bulk Carrier,1047433
/vessels/details/9306562,RHEIN,Crude Oil Tanker,9306562
/vessels/details/9308132,TEMPEST DREAM,Crude Oil Tanker,9308132
/vessels/details/9313462,TULU,Chemical/Oil Products Tanker,9313462
/vessels/details/9272931,GARUDA,Chemical/Oil Products Tanker,9272931
/vessels/details/9279733,SPIRIT,Oil Products Tanker,9279733
/vessels/details/8902436,LORIS,Bulk Carrier,8902436
/vessels/details/8902474,BABYLON,Bulk Carrier,8902474
/vessels/details/9104421,SEA MERAY,Bulk Carrier,9104421
/vessels/details/9263186,SOUTH STAR,Chemical/Oil Products Tanker,9263186
/vessels/details/9754941,XING GUANG 68,Bulk Carrier,9754941
/vessels/details/9230220,PHOTON,Container Ship,9230220
/vessels/details/9128142,BLUE SHARK,Bulk Carrier,9128142
/vessels/details/9128154,AGORA,Bulk Carrier,9128154
/vessels/details/9065572,WHITE SHARK,Bulk Carrier,9065572
/vessels/details/9173056,CAMILA,LPG Tanker,9173056
/vessels/details/9118252,BELLA NADIA,Bulk Carrier,9118252
/vessels/details/9200574,LADY SPERANZA,Bulk Carrier,9200574
/vessels/details/8312643,GOODNESS 1,Livestock Carrier,8312643
/vessels/details/9004413,W M F EXPRESS,Livestock Carrier,9004413
/vessels/details/9228629,SEA RUBY,General Cargo Ship,9228629
/vessels/details/9141912,MALA KADO,General Cargo Ship,9141912
/vessels/details/9171383,LADY SHAM,General Cargo Ship,9171383
/vessels/details/9156802,FOTEX,General Cargo Ship,9156802
/vessels/details/9545912,HS DIGNITY,General Cargo Ship,9545912
/vessels/details/9383089,KUBA,Oil Products Tanker,9383089
/vessels/details/1030430,NIMBA-1,Bulk Carrier,1030430
/vessels/details/9053842,RIMAR,General Cargo Ship,9053842
/vessels/details/7910888,DALAL F,Livestock Carrier,7910888
/vessels/details/9110195,AMALI,General Cargo Ship,9110195
/vessels/details/9192026,ATHENAI,General Cargo Ship,9192026
/vessels/details/9217802,MARLA ORCA,General Cargo Ship,9217802
