url,name,type,imo
/vessels/details/9237797,TIMA,Crude Oil Tanker,9237797
/vessels/details/9230880,BELLA 1,Crude Oil Tanker,9230880
/vessels/details/9233753,ATILA,Crude Oil Tanker,9233753
/vessels/details/9254082,LIMAS,Crude Oil Tanker,9254082
/vessels/details/9174220,PUYANG,Crude Oil Tanker,9174220
/vessels/details/9264881,OMRA,Crude Oil Tanker,9264881
/vessels/details/9220952,QUINN,Crude Oil Tanker,9220952
/vessels/details/9237539,NORA,Crude Oil Tanker,9237539
/vessels/details/9179701,INFINITY,Crude Oil Tanker,9179701
/vessels/details/9248473,REBI,Crude Oil Tanker,9248473
/vessels/details/9194127,STELLAR ORACLE,Crude Oil Tanker,9194127
/vessels/details/9233222,DAHAB,Crude Oil Tanker,9233222
/vessels/details/9203784,ADITYA,Crude Oil Tanker,9203784
/vessels/details/9173745,CHLOE,Crude Oil Tanker,9173745
/vessels/details/9224271,NICHOLA,Crude Oil Tanker,9224271
/vessels/details/9185530,SANAR,Crude Oil Tanker,9185530
/vessels/details/9249324,GLISTAR,Crude Oil Tanker,9249324
/vessels/details/9258870,UMA,Crude Oil Tanker,9258870
/vessels/details/9282041,KAVIZ,Crude Oil Tanker,9282041
/vessels/details/9242118,MARIGOLD,Crude Oil Tanker,9242118
/vessels/details/9256860,VERONICA,Crude Oil Tanker,9256860
/vessels/details/9419448,RUTON,Crude Oil Tanker,9419448
/vessels/details/9255880,PHENIX VI,Crude Oil Tanker,9255880
/vessels/details/9157765,ZENITH,Crude Oil Tanker,9157765
/vessels/details/9198094,ALA,Crude Oil Tanker,9198094
/vessels/details/9232450,FAUSTA,Crude Oil Tanker,9232450
/vessels/details/9232448,HALO 6,Crude Oil Tanker,9232448
/vessels/details/9350422,ASTRA,LPG Tanker,9350422
/vessels/details/9397080,SIA,LPG Tanker,9397080
/vessels/details/9209300,MT GAMA II,Crude Oil Tanker,9209300
/vessels/details/9176773,MANISA,Crude Oil Tanker,9176773
/vessels/details/9216559,VENTURA,Oil Products Tanker,9216559
/vessels/details/9303754,RAMA 3,Container Ship,9303754
/vessels/details/9203930,FOUR PLUS,Chemical/Oil Products Tanker,9203930
