url,name,type,imo
/vessels/details/9922598,OOCL VALENCIA,Container Ship,9922598
/vessels/details/9922512,OOCL FELIXSTOWE,Container Ship,9922512
/vessels/details/9908126,OOCL SPAIN,Container Ship,9908126
/vessels/details/9922524,OOCL ABU DHABI,Container Ship,9922524
/vessels/details/9908097,OOCL PIRAEUS,Container Ship,9908097
/vessels/details/9908140,OOCL ZEEBRUGGE,Container Ship,9908140
/vessels/details/9908138,OOCL TURKIYE,Container Ship,9908138
/vessels/details/9922603,OOCL SWEDEN,Container Ship,9922603
/vessels/details/9922615,OOCL PORTUGAL,Container Ship,9922615
/vessels/details/9922548,OOCL DENMARK,Container Ship,9922548
/vessels/details/9922536,OOCL FINLAND,Container Ship,9922536
/vessels/details/9908102,OOCL GDYNIA,Container Ship,9908102
/vessels/details/9795646,COSCO SHIPPING SOLAR,Container Ship,9795646
/vessels/details/9795634,COSCO GALAXY,Container Ship,9795634
/vessels/details/9795622,COSCO NEBULA,Container Ship,9795622
/vessels/details/9795658,COSCO SHIPPING STAR,Container Ship,9795658
/vessels/details/9795660,COSCO PLANET,Container Ship,9795660
/vessels/details/9795610,COSCO UNIVERSE,Container Ship,9795610
/vessels/details/9776212,OOCL SCANDINAVIA,Container Ship,9776212
/vessels/details/9776171,OOCL HONG KONG,Container Ship,9776171
/vessels/details/9776224,OOCL INDONESIA,Container Ship,9776224
/vessels/details/9776200,OOCL UNITED KINGDOM,Container Ship,9776200
/vessels/details/9776195,OOCL JAPAN,Container Ship,9776195
/vessels/details/9776183,OOCL GERMANY,Container Ship,9776183
/vessels/details/9806988,PACIFIC HARVEST,Bulk Carrier,9806988
/vessels/details/9806976,PACIFIC UNITY,Bulk Carrier,9806976
/vessels/details/9806990,PACIFIC VISION,Bulk Carrier,9806990
/vessels/details/9807061,PACIFIC AUSPICE,Bulk Carrier,9807061
/vessels/details/9807059,PACIFIC PROSPERITY,Bulk Carrier,9807059
/vessels/details/9815214,ORE SHANGHAI,Bulk Carrier,9815214
