url,name,type,imo
/vessels/details/9256767,LNG CROATIA,Offshore Support Vessel,9256767
/vessels/details/9796731,FRANKOPAN,Crude Oil Tanker,9796731
/vessels/details/9796743,RAVA,Crude Oil Tanker,9796743
/vessels/details/9334739,OLIB,Crude Oil Tanker,9334739
/vessels/details/9334727,DUGI OTOK,Crude Oil Tanker,9334727
/vessels/details/9384514,MIHO PRACAT,Bulk Carrier,9384514
/vessels/details/9384502,ZAGREB,Bulk Carrier,9384502
/vessels/details/9401128,VERIGE,Chemical/Oil Products Tanker,9401128
/vessels/details/9489194,VINJERAC,Chemical/Oil Products Tanker,9489194
/vessels/details/9455741,VELEBIT,Chemical/Oil Products Tanker,9455741
/vessels/details/9585546,VERUDA,Bulk Carrier,9585546
/vessels/details/9519638,SVETI DUJAM,Bulk Carrier,9519638
/vessels/details/9440514,PAG,Chemical/Oil Products Tanker,9440514
/vessels/details/9222572,TROGIR,Bulk Carrier,9222572
/vessels/details/9694696,AP REVELIN,Bulk Carrier,9694696
/vessels/details/9412294,AP ZATON,Bulk Carrier,9412294
/vessels/details/9489170,AP LAPAD,Bulk Carrier,9489170
/vessels/details/9489168,AP KUPARI,Bulk Carrier,9489168
/vessels/details/9058995,DALMACIJA,Passenger/Ro-Ro Cargo Ship,9058995
/vessels/details/7230599,MARKO POLO,Passenger/Ro-Ro Cargo Ship,7230599
/vessels/details/9021485,ZADAR,Passenger/Ro-Ro Cargo Ship,9021485
/vessels/details/9793545,GOLDEN HORIZON,Passenger (Cruise) Ship,9793545
/vessels/details/8702446,PETAR HEKTOROVIC,Passenger/Ro-Ro Cargo Ship,8702446
/vessels/details/9931850,MARKO MARULIC,LPG Tanker,9931850
/vessels/details/9168518,OLIVER,Passenger/Ro-Ro Cargo Ship,9168518
/vessels/details/9476305,KORCULA,Passenger/Ro-Ro Cargo Ship,9476305
/vessels/details/8974207,TIN UJEVIC,Passenger/Ro-Ro Cargo Ship,8974207
/vessels/details/9703722,KRK,Passenger/Ro-Ro Cargo Ship,9703722
/vessels/details/9703708,KORNATI,Passenger/Ro-Ro Cargo Ship,9703708
/vessels/details/9703710,BRAC,Passenger/Ro-Ro Cargo Ship,9703710
/vessels/details/9703734,MLJET,Passenger/Ro-Ro Cargo Ship,9703734
/vessels/details/8745840,FAROS,Passenger/Ro-Ro Cargo Ship,8745840
/vessels/details/9415181,HRVAT,Passenger/Ro-Ro Cargo Ship,9415181
/vessels/details/9559107,BIOKOVO,Passenger/Ro-Ro Cargo Ship,9559107
/vessels/details/9559119,JADRAN,Passenger/Ro-Ro Cargo Ship,9559119
/vessels/details/9415193,JURAJ DALMATINAC,Passenger/Ro-Ro Cargo Ship,9415193
/vessels/details/9362786,MARJAN,Passenger/Ro-Ro Cargo Ship,9362786
/vessels/details/8223282,VALUN,Passenger/Ro-Ro Cargo Ship,8223282
/vessels/details/8647854,UGLJAN,Passenger/Ro-Ro Cargo Ship,8647854
/vessels/details/9339416,KIJAC,Chemical/Oil Products Tanker,9339416
/vessels/details/9311385,SEPEN,Chemical/Oil Products Tanker,9311385
/vessels/details/9688611,LOSINJ,Passenger/Ro-Ro Cargo Ship,9688611
/vessels/details/9328182,SUPETAR,Passenger/Ro-Ro Cargo Ship,9328182
/vessels/details/9326562,SVETI KRSEVAN,Passenger/Ro-Ro Cargo Ship,9326562
/vessels/details/9334741,CRES,Passenger/Ro-Ro Cargo Ship,9334741
/vessels/details/7010717,LASTOVO,Passenger/Ro-Ro Cargo Ship,7010717
/vessels/details/8736344,BOL,Passenger/Ro-Ro Cargo Ship,8736344
/vessels/details/8713641,BARTOL KASIC,Passenger/Ro-Ro Cargo Ship,8713641
/vessels/details/8108406,VLADIMIR NAZOR,Passenger/Ro-Ro Cargo Ship,8108406
/vessels/details/9822621,CETIRI ZVONIKA,Passenger/Ro-Ro Cargo Ship,9822621
/vessels/details/7341219,SIS,Passenger/Ro-Ro Cargo Ship,7341219
/vessels/details/8971712,DIZ-23 DIVIC,Crane Ship,8971712
/vessels/details/8619912,MATE BALOTA,Passenger/Ro-Ro Cargo Ship,8619912
