url,name,type,imo
/vessels/details/9231808,ZIM VIRGINIA,Container Ship,9231808
/vessels/details/9133111,PEGASUS I,Offshore Tug/Supply Ship,9133111
/vessels/details/9513880,LEOPARD,Offshore Tug/Supply Ship,9513880
/vessels/details/9394715,LIBERTY I,Offshore Tug/Supply Ship,9394715
/vessels/details/1037244,ALMOG I,Tug,1037244
/vessels/details/9605217,ILAN I,Tug,9605217
/vessels/details/9530383,DANCHOR VI,Tug,9530383
/vessels/details/9771286,ASHDOD,Tug,9771286
/vessels/details/9279240,SHIMSHON,Tug,9279240
/vessels/details/9771183,DANCHOR X,Tug,9771183
/vessels/details/9185308,ARIEL,Tug,9185308
/vessels/details/8503541,EITANA II,Tug,8503541
/vessels/details/8684216,PRINCESS OF CARMEL,Passenger Ship,8684216
/vessels/details/1005239,ARI HAYAM,Sailing Vessel,1005239
/vessels/details/428073834,PRINCESAVIGAIL,Pleasure craft,428073834
/vessels/details/428060000,DANCHOR 4,Diving ops,428060000
/vessels/details/428073100,RUTHI 1,Sailing vessel,428073100
/vessels/details/428006000,SHIMSHON,Tug,428006000
/vessels/details/428694000,ADAM3,Pleasure craft,428694000
/vessels/details/428340000,GALIT2,Sailing vessel,428340000
/vessels/details/428000354,MALKAT AKKO,Passenger ship,428000354
/vessels/details/428073694,MISHI,Pleasure craft,428073694
/vessels/details/428150006,NACHSHOL,Fishing vessel,428150006
/vessels/details/428475000,ADIR 1,Sailing vessel,428475000
/vessels/details/428073965,KOALA,Sailing vessel,428073965
/vessels/details/428712000,SAYONARA,Sailing vessel,428712000
/vessels/details/428150081,ADAM5,Fishing vessel,428150081
/vessels/details/428523000,OMARIAN,Sailing vessel,428523000
/vessels/details/428080521,ANIKA,Sailing vessel,428080521
/vessels/details/428074453,HADAR II,Pilot,428074453
/vessels/details/428074046,VOYAGER,Pleasure craft,428074046
/vessels/details/428616000,CHICHE,Sailing vessel,428616000
/vessels/details/428000117,SHIQMONA,Passenger ship,428000117
/vessels/details/428080943,YOUPI,Sailing vessel,428080943
/vessels/details/428071602,CELESTE,Sailing vessel,428071602
/vessels/details/428072999,ADYGEA,Unknown,428072999
/vessels/details/428073950,HORIZON,Pleasure craft,428073950
/vessels/details/428073873,VENUS,Sailing vessel,428073873
/vessels/details/428670000,DANCHOR 3,Tug,428670000
/vessels/details/428129000,PILOT BOAT 3,Pilot,428129000
/vessels/details/428680000,YANICAM,Diving ops,428680000
/vessels/details/428000352,ADAM 7,Fishing vessel,428000352
/vessels/details/428071943,MILA 1,Sailing vessel,428071943
/vessels/details/428200002,CTR-TT4282-2 90,Unknown,428200002
/vessels/details/428123467,MVSOLASAFE,Cargo ship,428123467
/vessels/details/428711001,21236,Unknown,428711001
/vessels/details/428081100,MAJA,Pleasure craft,428081100
/vessels/details/428801794,4288-28-72,Unknown,428801794
/vessels/details/428070442,NOA 10,Sailing vessel,428070442
/vessels/details/428214000,JACKY 1,Passenger ship,428214000
/vessels/details/428900006,CT3-428906-99,Unknown,428900006
/vessels/details/428224000,GALYA,Sailing vessel,428224000
/vessels/details/9477957,DANCHOR VIII,Offshore Tug/Supply Ship,9477957
/vessels/details/9132583,MAORA 1,Tug,9132583
/vessels/details/428188023,188-23 91,Unknown,428188023
/vessels/details/428072256,ANGELESEA,Sailing vessel,428072256
/vessels/details/428074211,LOU OF IXOPO,Pleasure craft,428074211
/vessels/details/428898985,4288-30-78,Unknown,428898985
/vessels/details/9771274,ARIE A,Tug,9771274
/vessels/details/428073936,ELLA 2,Sailing vessel,428073936
/vessels/details/428410007,BUOY42841007 9V,Unknown,428410007
/vessels/details/428073983,MANO CIAO,Sailing vessel,428073983
/vessels/details/428073649,TASHOOT ARIEL,Sailing vessel,428073649
/vessels/details/428896320,4288-20-99,Unknown,428896320
/vessels/details/428074128,OCEAN DREAM,Sailing vessel,428074128
/vessels/details/428073751,EVA FOREVER,Sailing vessel,428073751
/vessels/details/428500000,MERFI III,Sailing vessel,428500000
/vessels/details/428644000,TULA,Pleasure craft,428644000
/vessels/details/428073755,PNINAT HAYAM,Pleasure craft,428073755
/vessels/details/428074163,GALLA,Pleasure craft,428074163
/vessels/details/428800018,4288-18-99,Unknown,428800018
/vessels/details/428800011,4288-11-99,Unknown,428800011
/vessels/details/428074141,LEVI-YAM,Pleasure craft,428074141
/vessels/details/428070443,SHVA,Sailing vessel,428070443
/vessels/details/428713000,DAPHNA 1,Fishing vessel,428713000
/vessels/details/428071307,PIEROL,Sailing vessel,428071307
/vessels/details/428586000,MAAGAN 1,Pilot,428586000
/vessels/details/428072337,FORTUNE,Sailing vessel,428072337
/vessels/details/428074166,MALI,Pleasure craft,428074166
/vessels/details/428009069,CARMEL PRINCES,Passenger ship,428009069
/vessels/details/428074236,BLUE GARDENIA,Unknown,428074236
/vessels/details/428856816,4288-16-91,Unknown,428856816
/vessels/details/428410005,BUOY42841005 8V,Unknown,428410005
/vessels/details/428801799,4288-36-89,Unknown,428801799
/vessels/details/428071552,BAR DIVE 2,Towing vessel,428071552
/vessels/details/428188019,188-19 32,Unknown,428188019
/vessels/details/428896317,4288-17-82,Unknown,428896317
/vessels/details/428896304,4288-4-97,Unknown,428896304
/vessels/details/428645000,KADIM,Sailing vessel,428645000
/vessels/details/428073740,LEVIATHAN-2,SAR,428073740
/vessels/details/428073709,TOMER 1,Unknown,428073709
/vessels/details/428072489,GAMA,Sailing vessel,428072489
/vessels/details/428856819,4288-19-89,Unknown,428856819
/vessels/details/428410008,BUOY42841008 9V,Unknown,428410008
/vessels/details/428073735,ELROY,Sailing vessel,428073735
/vessels/details/428237000,GALIT1,Sailing vessel,428237000
/vessels/details/428890864,4288-4-46,Unknown,428890864
/vessels/details/428896342,4288-42-99,Unknown,428896342
/vessels/details/428211000,MERCURY,Pleasure craft,428211000
/vessels/details/428921023,ZHEDAIYU04289-23-73,Unknown,428921023
/vessels/details/428260000,LET GO,Sailing vessel,428260000
/vessels/details/9742041,ELAD,Tug,9742041
/vessels/details/428073065,SPACE,Sailing vessel,428073065
