url,name,type,imo
/vessels/details/1010935,BATON ROUGE,Yacht,1010935
/vessels/details/9466491,ODESSA,Yacht,9466491
/vessels/details/9496707,PLATINUM,Yacht,9496707
/vessels/details/1007873,ITALIANAVI 312,Yacht,1007873
/vessels/details/9849538,AQUA,Yacht,9849538
/vessels/details/9075503,MOECCA,Yacht,9075503
/vessels/details/8985634,ANACONDA S,Yacht,8985634
/vessels/details/9577020,PJ WORLD,Yacht,9577020
/vessels/details/9967562,SANLORENZO 20072,Yacht,9967562
/vessels/details/9636412,AZIMUT-BENETTI LIVORNO FB261,Yacht,9636412
