url,name,type,imo
/vessels/details/9948968,MT SUMER,Oil Products Tanker,9948968
/vessels/details/9948970,MT AKKAD,Oil Products Tanker,9948970
/vessels/details/9435428,ALFORAT,Oil Products Tanker,9435428
/vessels/details/9424285,DIJLAH,Oil Products Tanker,9424285
/vessels/details/9322140,SHATT AL ARAB,Oil Products Tanker,9322140
/vessels/details/9345221,BAGHDAD,Oil Products Tanker,9345221
/vessels/details/9652064,ABATHAR,Crane Ship,9652064
/vessels/details/9623946,KARBALA,Hopper Dredger,9623946
/vessels/details/1000356,BASRAH BREEZE,Yacht,1000356
/vessels/details/9869928,SAFWAN,Offshore Support Vessel,9869928
/vessels/details/9779161,ALQURNA,Oil Products Tanker,9779161
/vessels/details/9884100,ABALFADHEL,Offshore Tug/Supply Ship,9884100
/vessels/details/9886304,AL-FAW,Buoy/Lighthouse Vessel,9886304
/vessels/details/7904619,NISR,Crane Ship,7904619
/vessels/details/9745471,SAMARA,Tug,9745471
/vessels/details/9745495,WASIT,Tug,9745495
/vessels/details/9664407,DAWOODIAH,Tug,9664407
/vessels/details/425001062,AL MERBID,Other type,425001062
/vessels/details/425888888,0717,Fishing vessel,425888888
/vessels/details/425636209,4256-9-99,Unknown,425636209
/vessels/details/425569209,4255-9-93,Unknown,425569209
/vessels/details/425567016,4255-16-99,Unknown,425567016
/vessels/details/425906000,MT SEAFIGHTER 4,Tug,425906000
/vessels/details/425312810,53128-107.7V,Unknown,425312810
/vessels/details/9551234,ZUBAIR,Offshore Tug/Supply Ship,9551234
/vessels/details/425567012,4255-12-97,Unknown,425567012
/vessels/details/425591001,4255-1-99,Unknown,425591001
/vessels/details/425569303,4255-3-54,Unknown,425569303
/vessels/details/425567013,4255-13-99,Unknown,425567013
/vessels/details/425078820,50788-2088,Unknown,425078820
/vessels/details/9096284,TIE BA,Hopper Dredger,9096284
/vessels/details/425567007,4255-7-99,Unknown,425567007
/vessels/details/425636225,4256-25-99,Unknown,425636225
/vessels/details/425664588,DALIAN,HSC (HAZ-B),425664588
