url,name,type,imo
/vessels/details/9372688,UR,Ro-Ro Cargo Ship,9372688
/vessels/details/9350678,AL HUSSEIN,Ro-Ro Cargo Ship,9350678
/vessels/details/9649988,AL-HADBAA,General Cargo Ship,9649988
/vessels/details/9649964,BASRAH,General Cargo Ship,9649964
/vessels/details/9649976,AL-MOTHANNA,General Cargo Ship,9649976
/vessels/details/9081590,SINAA,Passenger/Ro-Ro Cargo Ship,9081590
/vessels/details/9636242,BAGHDAD,General Cargo Ship,9636242
/vessels/details/9097331,AYLAH,Passenger/Ro-Ro Cargo Ship,9097331
/vessels/details/9130925,QUEEN NEFERTITI,Passenger/Ro-Ro Cargo Ship,9130925
/vessels/details/9679751,CAPITANO GEE,Offshore Tug/Supply Ship,9679751
/vessels/details/9752864,OCEAN DAHAB,Offshore Tug/Supply Ship,9752864
/vessels/details/9951587,VERDE GEE,Tug,9951587
/vessels/details/9756195,JARASH 3,Tug,9756195
/vessels/details/9762974,TAREQ 3,Tug,9762974
/vessels/details/1014620,NEW AQABA,Passenger Ship,1014620
/vessels/details/9785495,RAPIDO GEE,Offshore Tug/Supply Ship,9785495
/vessels/details/9758519,RAZZO GEE,Offshore Tug/Supply Ship,9758519
/vessels/details/9264489,DAHAB,Passenger Ship,9264489
/vessels/details/8947852,PETRA WONDER,Passenger Ship,8947852
/vessels/details/438036700,WHITE PRINCE,Pleasure craft,438036700
/vessels/details/438031035,ZERKA,Unknown,438031035
/vessels/details/438703101,JIAOSANYU031-1-79,Unknown,438703101
/vessels/details/438800024,4388-24-99,Unknown,438800024
/vessels/details/9445344,AMMAN,Tug,9445344
/vessels/details/438800037,4388-37-55,Unknown,438800037
/vessels/details/438800043,4388-4399,Unknown,438800043
/vessels/details/8814782,AL HUSSAN,Patrol Vessel,8814782
/vessels/details/438750012,HUILAIYU43875-12-34,Unknown,438750012
/vessels/details/438800046,4388-4693,Unknown,438800046
/vessels/details/438800020,T388-5 X-981 0,Unknown,438800020
/vessels/details/438800147,A48,Fishing vessel,438800147
/vessels/details/438800022,4388-22-99,Unknown,438800022
/vessels/details/438800026,4388-26-84,Unknown,438800026
/vessels/details/438750008,HUILAIYU43875-8-99,Unknown,438750008
/vessels/details/438231036,YFQ29VI075HZYJD,WIG (HAZ-B),438231036
