url,name,type,imo
/vessels/details/9383156,TXORI GORRI,Fishing Vessel,9383156
/vessels/details/7827330,ALDABRA,Vegetable Oil Tanker,7827330
/vessels/details/9317652,JASIRI,Research Vessel,9317652
/vessels/details/9810886,MF JAMBO,Passenger/Ro-Ro Cargo Ship,9810886
/vessels/details/9133123,KNS SHUJAA,Research Vessel,9133123
/vessels/details/9288124,NYANGUMI II,Tug,9288124
/vessels/details/9288112,SIMBA III,Tug,9288112
/vessels/details/8818659,MAMBA,Patrol Vessel,8818659
/vessels/details/8657914,ALFA K,Bunkering Tanker,8657914
/vessels/details/634000002,MINDONGYU0634-2-79,Unknown,634000002
/vessels/details/634176000,MARINE ACE 1,Fishing vessel,634176000
/vessels/details/634175000,OSPREY,Fishing vessel,634175000
/vessels/details/634211674,LIN 21167-4-73,Unknown,634211674
/vessels/details/5306485,ST. MICHAEL LIKONI,Passenger Ship,5306485
/vessels/details/6907080,SHAKWE,Fishing Vessel,6907080
/vessels/details/8805298,SEA MFALME,Fishing Vessel,8805298
/vessels/details/634820100,MAAB AQUA 2,Fishing vessel,634820100
/vessels/details/634181111,63418-11 7V9,Unknown,634181111
/vessels/details/9827152,EUGENE,Tug,9827152
/vessels/details/634548902,ZHELINYU21966-2-78,Unknown,634548902
/vessels/details/634113892,HG,Fishing vessel,634113892
/vessels/details/634018001,634018-1-87,Unknown,634018001
/vessels/details/634180003,63886-18 6V9,Unknown,634180003
/vessels/details/634113894,FV MARLIN,Fishing vessel,634113894
/vessels/details/634153000,ALPHA SERENGETI,Fishing vessel,634153000
/vessels/details/634219913,LIN 21991-3-85,Unknown,634219913
/vessels/details/634173006,KIJIT 02,Fishing vessel,634173006
/vessels/details/6907078,NDOVU,Tug,6907078
/vessels/details/8916994,KILINDINI,Passenger/Ro-Ro Cargo Ship,8916994
/vessels/details/634151000,MISS JANE,Fishing vessel,634151000
/vessels/details/634318596,AIS BUOY-8596 96,Other type,634318596
/vessels/details/634178000,KIJITO805,Fishing vessel,634178000
/vessels/details/9834258,UPINDI - II,Patrol Vessel,9834258
/vessels/details/634180013,63895-1 8V2,Unknown,634180013
/vessels/details/634179000,KIJITO806,Fishing vessel,634179000
/vessels/details/8714138,OCEAN SNIPER,Fishing Vessel,8714138
/vessels/details/634329373,AIS BUOY-9373 81,Other type,634329373
/vessels/details/9901817,TEWA II,Patrol Vessel,9901817
/vessels/details/7052399,BAHARIHINDI,Fishing Vessel,7052399
/vessels/details/634218913,LIN 21891-3-96,Unknown,634218913
/vessels/details/634106999,60909,Fishing vessel,634106999
/vessels/details/9144172,ENERGY,Bunkering Tanker,9144172
/vessels/details/9787584,PV DORIA,Fishing Support Vessel,9787584
/vessels/details/8126903,KIONGOZI,Pilot Vessel,8126903
/vessels/details/634155000,ALPHA CHALLENGER,Fishing vessel,634155000
/vessels/details/634167000,DIAMOND ACE 1,Fishing vessel,634167000
/vessels/details/8977003,MISS JANE,Fishing Vessel,8977003
/vessels/details/634215973,LIN 21597-3-83,Unknown,634215973
/vessels/details/8917003,HARAMBEE,Passenger/Ro-Ro Cargo Ship,8917003
/vessels/details/634329368,AIS BUOY-9368 78,Other type,634329368
/vessels/details/634213811,LIN21381-58,Unknown,634213811
/vessels/details/634172000,FV KIJITO 807,Fishing vessel,634172000
/vessels/details/634117000,KWALE,Passenger ship,634117000
/vessels/details/634010184,TAM MAO 771 D 8,Other type,634010184
/vessels/details/8714059,OCEAN EAGLE,Fishing Vessel,8714059
/vessels/details/634567876,5153-12-88,Unknown,634567876
/vessels/details/634218593,LIN 21859-3-24,Unknown,634218593
/vessels/details/8917285,NYAYO,Passenger/Ro-Ro Cargo Ship,8917285
/vessels/details/9133135,KNS SHUPAVU,Research Vessel,9133135
/vessels/details/8137718,ST. CHRISTOPHER LIKONI,Passenger Ship,8137718
/vessels/details/634318601,AIS BUOY-8601 91,Other type,634318601
/vessels/details/634173000,KIJITO 809,Fishing vessel,634173000
/vessels/details/8952845,JONAS,Fishing Vessel,8952845
/vessels/details/6915829,NGAMIA,Tug,6915829
/vessels/details/634157000,PB NDUWARO,Pleasure craft,634157000
/vessels/details/6915374,DANNY K,Oil Products Tanker,6915374
/vessels/details/634318600,AIS BUOY-8600 100,Other type,634318600
/vessels/details/634177000,MARINE ACE2,Fishing vessel,634177000
/vessels/details/7614393,KILIFI,Passenger/Ro-Ro Cargo Ship,7614393
/vessels/details/634200001,6342-A1-50,Unknown,634200001
/vessels/details/634103000,TANGULIZI II,Cargo ship,634103000
/vessels/details/634329369,AIS BUOY-9369 82,Other type,634329369
/vessels/details/634567879,5153-16-72,Unknown,634567879
/vessels/details/8807521,ALPHA SERENGETI,Fishing Vessel,8807521
/vessels/details/634012345,CONG.TRONGC38,Fishing vessel,634012345
/vessels/details/634000001,MINDONGYU0634-1-89,Unknown,634000001
/vessels/details/634071540,COWBOY 1,Fishing vessel,634071540
/vessels/details/634215923,LIN 21592-3-88,Unknown,634215923
/vessels/details/8126927,EL-LAMY,Tug,8126927
/vessels/details/634329377,AIS BUOY-9377 80,Other type,634329377
/vessels/details/9308376,KIBOKO II,Tug,9308376
/vessels/details/9810898,MV SAFARI,Passenger/Ro-Ro Cargo Ship,9810898
/vessels/details/634329375,AIS BUOY-9375 82,Other type,634329375
/vessels/details/8915005,TIJARA,Fishing Vessel,8915005
/vessels/details/634158000,PB JODARI,Pleasure craft,634158000
/vessels/details/634128202,LIN12820-2-73,Unknown,634128202
/vessels/details/9933298,UHURU II,Cargo ship,9933298
/vessels/details/8807533,ALPHA MANYARA,Fishing Vessel,8807533
/vessels/details/634567880,5153-17-29,Unknown,634567880
/vessels/details/634777000,TMS,Unknown,634777000
/vessels/details/8518455,JACPOT,Fishing Vessel,8518455
/vessels/details/8657926,MUSSA K,Bunkering Tanker,8657926
/vessels/details/634567055,5009-17-95,Unknown,634567055
/vessels/details/8802545,ALPHA CHALLENGER,Fishing Vessel,8802545
/vessels/details/634945586,SU SU 10 05,Fishing vessel,634945586
/vessels/details/634215974,LIN21597-4-99,Unknown,634215974
/vessels/details/634173005,KIJITO1,Fishing vessel,634173005
