url,name,type,imo
/vessels/details/451100005,31,Unknown,451100005
/vessels/details/451777788,ZHESANYU77788-457.9,Unknown,451777788
/vessels/details/451801749,XIAOLIN1866-5-05,Unknown,451801749
/vessels/details/451278658,5169-8-81,Unknown,451278658
/vessels/details/451666355,38-11 7V4,Unknown,451666355
/vessels/details/451212222,JY,Fishing vessel,451212222
/vessels/details/451801745,XIAOLIN1866-1-09,Unknown,451801745
/vessels/details/451638820,YUESHANYU16388-2095,Unknown,451638820
/vessels/details/451100003,52,Unknown,451100003
/vessels/details/451239088,QIN FENG 12,Cargo ship,451239088
/vessels/details/451821905,ZHELINYU21905-58.1V,Unknown,451821905
/vessels/details/451012284,LXKJ12284-58.3V,Unknown,451012284
/vessels/details/451100011,CT2-4511-11-11 90,Unknown,451100011
/vessels/details/451588753,YUEDIANYU84005,Fishing vessel,451588753
/vessels/details/451421673,TEST,Other type,451421673
/vessels/details/451230012,YUXQ361,Fishing vessel,451230012
/vessels/details/451800093,BAOLE-10-50,Unknown,451800093
/vessels/details/451821895,ZHELINYU21895-57.9V,Unknown,451821895
/vessels/details/451361283,LX D35 12253,Unknown,451361283
/vessels/details/451638812,YUESHANYU16388-1293,Unknown,451638812
/vessels/details/451112077,SUGANYU04065-35-82,Unknown,451112077
/vessels/details/451000201,YANGZHIQU-1-61,Unknown,451000201
/vessels/details/451801850,XIAOLIN1866-6-20,Unknown,451801850
/vessels/details/451801747,XIAOLIN1866-3-02,Unknown,451801747
/vessels/details/451361288,LX 12258-84,Unknown,451361288
/vessels/details/451801748,XIAOLIN1866-4-02,Unknown,451801748
/vessels/details/451248809,YUESHANYU12488-0988,Unknown,451248809
/vessels/details/451288888,ZHELINGYU56007,Pleasure craft,451288888
/vessels/details/451801746,XIAOLIN1866-2-28,Unknown,451801746
/vessels/details/451800557,BAOLE-12-42,Unknown,451800557
/vessels/details/451700009,XYY00009-57.2V,Unknown,451700009
/vessels/details/451248827,YUESHANYU12488-2788,Unknown,451248827
/vessels/details/451248813,YUESHANYU12488-1395,Unknown,451248813
/vessels/details/451010101,45RGE E26 P10-72,Unknown,451010101
/vessels/details/451112311,2388,Fishing vessel,451112311
/vessels/details/451361286,LX 12256.99,Unknown,451361286
/vessels/details/451921577,ZHELINYU21577-457.8,Unknown,451921577
/vessels/details/451020253,02025-3 7V6,Unknown,451020253
/vessels/details/451234567,TESTSHIP,Cargo ship (HAZ-A),451234567
/vessels/details/451230041,ZHEDAIYU06203-25,Unknown,451230041
/vessels/details/451100016,CT2-4511-16-16 90,Unknown,451100016
/vessels/details/451900002,78478-02-76,Unknown,451900002
/vessels/details/451111112,45 RGE E26 P12-86,Unknown,451111112
/vessels/details/451212122,JAJJD1T18,Cargo ship,451212122
/vessels/details/451361222,LX 122512-38,Unknown,451361222
/vessels/details/451361287,LX 12257 28,Unknown,451361287
/vessels/details/451638819,YUESHANYU16388-1996,Unknown,451638819
/vessels/details/451908189,ZHELUYU08189-58.1V,Unknown,451908189
/vessels/details/451100014,CT2-4511-14-14 90,Unknown,451100014
/vessels/details/451361298,LX 1225 D35,Unknown,451361298
/vessels/details/451100009,NET MARK-04,Unknown,451100009
/vessels/details/451542122,69269,Fishing vessel,451542122
/vessels/details/451248804,YUESHANYU12488-0496,Unknown,451248804
/vessels/details/451279999,ZHELUYU80777-1-47,Unknown,451279999
/vessels/details/451100015,CT2-4511-15-15 60,Unknown,451100015
/vessels/details/451921982,ZHELINYU21982-57.2V,Unknown,451921982
/vessels/details/451000203,YANGZHIQU-3-11,Unknown,451000203
/vessels/details/451670676,XIAOLIN1866-4-44,Unknown,451670676
/vessels/details/451800091,BAOLE-22-54,Unknown,451800091
/vessels/details/451800095,BAOLE-21-31,Unknown,451800095
/vessels/details/451800094,BAOLE-20-59,Unknown,451800094
/vessels/details/451100002,71,Unknown,451100002
/vessels/details/451100013,CT2-4511-13 70,Unknown,451100013
/vessels/details/451900003,78478-03-82,Unknown,451900003
/vessels/details/451000202,YANGZHIQU-2-92,Unknown,451000202
/vessels/details/451857477,HAIYUN,Cargo ship,451857477
/vessels/details/451278037,XYY78037-58.3V,Unknown,451278037
/vessels/details/451300002,CT2-4513-02,Unknown,451300002
/vessels/details/451111111,BH23888,Towing vessel,451111111
/vessels/details/451100006,74,Unknown,451100006
/vessels/details/451521921,XYY21921-58.1V,Unknown,451521921
/vessels/details/451269876,LUDONGYU0058,Fishing vessel,451269876
/vessels/details/451361284,LX D35 12254,Unknown,451361284
/vessels/details/451100004,75,Unknown,451100004
/vessels/details/451361282,LX 12252,Unknown,451361282
/vessels/details/451361210,LX 122510-99,Unknown,451361210
/vessels/details/451145544,41178-5,Unknown,451145544
/vessels/details/451688888,HAI DONG168,Fishing vessel,451688888
/vessels/details/451721394,ZHELINYU21394-57.9V,Unknown,451721394
/vessels/details/451366201,LIAOYINGYU11111-108,Unknown,451366201
/vessels/details/451361285,LX 12255.91,Unknown,451361285
/vessels/details/451638821,YUESHANYU16388-2196,Unknown,451638821
/vessels/details/451361213,LX 122513.84,Unknown,451361213
/vessels/details/451012345,XIAPU016,Unknown,451012345
/vessels/details/451700095,ZHELINYU21595-458.1,Unknown,451700095
/vessels/details/451021478,XYY21478-57.9V,Unknown,451021478
/vessels/details/451100001,82,Unknown,451100001
/vessels/details/451333208,ZHE LIN YU 21009,Fishing vessel,451333208
/vessels/details/451361111,LX 122511-35,Unknown,451361111
/vessels/details/451248829,YUESHANYU12488-2984,Unknown,451248829
/vessels/details/451008000,A.R.A. KING,Military ops,451008000
/vessels/details/451227930,HAI HANG 29,Cargo ship,451227930
/vessels/details/451638818,YUESHANYU16388-1897,Unknown,451638818
