url,name,type,imo
/vessels/details/8884232,MULTIBRAVA,Non Propelled Barge,8884232
/vessels/details/514236001,TB KOH WAI,Tug,514236001
/vessels/details/515281080,AO NANG PRINCESS 7,Passenger ship,515281080
/vessels/details/515000000,KIMLY 863,Unknown,515000000
/vessels/details/515600007,515600007-7 60,Unknown,515600007
/vessels/details/514181056,81D23,Fishing vessel,514181056
/vessels/details/515558221,PKFA 8221,Fishing vessel,515558221
/vessels/details/515810002,515810-2-39,Unknown,515810002
/vessels/details/515808388,ZHECANGYU08388-51,Unknown,515808388
/vessels/details/514560034,LU0I GHE3414A,Fishing vessel,514560034
/vessels/details/514012593,MEKONG PANDAW,Other type,514012593
/vessels/details/515504001,LIAOYINGYU55040-1-,Unknown,515504001
/vessels/details/515121563,LG21563-51-21,Unknown,515121563
/vessels/details/515569602,5155-2-63,Unknown,515569602
/vessels/details/515220905,ZHELINYU21515-5-49,Unknown,515220905
/vessels/details/514996811,CO 19 C3-81,Unknown,514996811
/vessels/details/514288806,MEAN CHEY -36D-,Fishing vessel,514288806
/vessels/details/514568939,HG CA 84 7 F,Fishing vessel,514568939
/vessels/details/514778566,PNOMPICH436D,Fishing vessel,514778566
/vessels/details/515400000,3,Unknown,515400000
/vessels/details/514567935,LU0I GHE35 7E,Fishing vessel,514567935
/vessels/details/514111111,LUOI GHEA14 111,Fishing vessel,514111111
/vessels/details/514568112,0 92236D35D,Fishing vessel,514568112
/vessels/details/515332945,42 LUOI CAN B299,Unknown,515332945
/vessels/details/515990008,ZHELUYU80666-1-62,Unknown,515990008
/vessels/details/514241024,TTT-98,Unknown,514241024
/vessels/details/515596307,5155-7-68,Unknown,515596307
/vessels/details/514191919,KA1930B38D,Fishing vessel,514191919
/vessels/details/515348546,SLFA 5119,Fishing vessel,515348546
/vessels/details/514850018,LIAODAYU51485-18-99,Unknown,514850018
/vessels/details/514700002,LIAOYINGYU51470-201,Unknown,514700002
/vessels/details/514562082,HG 30-B5B7 K,Fishing vessel,514562082
/vessels/details/514113562,SREY ROTH -168-36 D,Fishing vessel,514113562
/vessels/details/514356195,LUOI NOI 64 D 11,Fishing vessel,514356195
/vessels/details/515451111,PKTB 1636SOPHEA,Unknown,515451111
/vessels/details/514661500,68-CAU-TOM-D11,Fishing vessel,514661500
/vessels/details/515810001,515810-1-99,Unknown,515810001
/vessels/details/514850017,LIAODAYU51485-17-59,Unknown,514850017
/vessels/details/515598610,5155-10-93,Unknown,515598610
/vessels/details/515290103,15290-103-50,Unknown,515290103
/vessels/details/514065935,12 F 18 6 F,Fishing vessel,514065935
/vessels/details/514568678,16 CAU-LOI A37,Fishing vessel,514568678
/vessels/details/514825031,05148-3190,Unknown,514825031
/vessels/details/514511057,LU0ICABATHU01E17,Fishing vessel,514511057
/vessels/details/514066212,CAU THU 90B10,Fishing vessel,514066212
/vessels/details/514566627,51MODAMKH7 E61,Fishing vessel,514566627
/vessels/details/514567006,PHN OM 1 9E18 F,Fishing vessel,514567006
/vessels/details/515181272,KYLE,Sailing vessel,515181272
/vessels/details/514061680,LU0 CA 9230B7 F,Unknown,514061680
/vessels/details/514825033,05148-3394,Unknown,514825033
/vessels/details/514193056,SCENIC SPIRIT,Passenger ship,514193056
/vessels/details/515128891,LIN12889-1-73,Unknown,515128891
/vessels/details/515219094,LIN21909-4-99,Unknown,515219094
/vessels/details/515290104,15290-104-41,Unknown,515290104
/vessels/details/515682102,05682-102-99,Unknown,515682102
/vessels/details/515504002,LIAOYINGYU55040-2-,Unknown,515504002
/vessels/details/8840339,MV VIDI N O1,General Cargo Ship,8840339
/vessels/details/515550002,LIAOYINGYU51555-2,Unknown,515550002
/vessels/details/515886004,LIAOJINYU15886-4-81,Unknown,515886004
/vessels/details/515218155,LIN21815-5-97,Unknown,515218155
/vessels/details/515598611,5155-11-82,Unknown,515598611
/vessels/details/515150002,51515-2-99,Unknown,515150002
/vessels/details/515150001,51515-1-99,Unknown,515150001
/vessels/details/515682101,05682-101-99,Unknown,515682101
/vessels/details/515596318,5155-18-62,Unknown,515596318
/vessels/details/515199931,SAN51999-31-76,Unknown,515199931
/vessels/details/515911293,KAR YYA 1293,Fishing vessel,515911293
/vessels/details/8113815,HAKUYO MARU,Oil Products Tanker,8113815
/vessels/details/514186017,YUEYANGDONGYU14186-1,Unknown,514186017
/vessels/details/514234000,VNG III,Cargo ship,514234000
/vessels/details/514850006,LIAODAYU51485-6-99,Unknown,514850006
/vessels/details/515301791,PKFB 1791,Towing vessel,515301791
/vessels/details/514561966,HG,Fishing vessel,514561966
/vessels/details/514825038,05148-3892,Unknown,514825038
/vessels/details/514561716,CAU-BAN 3618A33A,Fishing vessel,514561716
/vessels/details/514254417,LIAOYINGYU26356,Unknown,514254417
/vessels/details/515103000,KG2,Cargo ship,515103000
/vessels/details/514311655,LUI 57DA 30B 38 D,Unknown,514311655
/vessels/details/515553336,06336,Fishing vessel,515553336
/vessels/details/514112282,NNG HENG233A64,Fishing vessel,514112282
/vessels/details/515888816,SAN58888-16-99,Unknown,515888816
/vessels/details/514864141,LUOICA.617B..,Unknown,514864141
/vessels/details/514973481,LUOIGHE 8107 E,Fishing vessel,514973481
/vessels/details/515500062,TB.BLUE WHALE VIII,Tug,515500062
/vessels/details/514180045,63 E8,Fishing vessel,514180045
/vessels/details/515079011,15079-11-92,Unknown,515079011
/vessels/details/514180481,LU OGI H E 2 9 E7-,Fishing vessel,514180481
/vessels/details/514112904,GE SOMNANG6324E,Fishing vessel,514112904
/vessels/details/515200000,3,Pleasure craft,515200000
/vessels/details/514301511,P1 CTOM D11-99,Unknown,514301511
/vessels/details/515891793,PKFB 1793 SOTHY,Fishing vessel,515891793
/vessels/details/514092468,LUOI CA A5,Fishing vessel,514092468
/vessels/details/515079012,15079-12-51,Unknown,515079012
/vessels/details/514165917,RV TONLE PANDAW,Passenger ship,514165917
/vessels/details/514562078,024 16 D 0883453808,Fishing vessel,514562078
/vessels/details/515912787,PKFB 1699,Fishing vessel,515912787
/vessels/details/514211239,21123-9 90,Unknown,514211239
/vessels/details/515596314,5155-14-99,Unknown,515596314
/vessels/details/514062000,MV STEPHANIE MARIE 2,Passenger ship,514062000
/vessels/details/515244961,PA DOM 61,Fishing vessel,515244961
/vessels/details/514561665,- 39 CL D 22,Fishing vessel,514561665
/vessels/details/514565238,CAU TOM 72 D11,Fishing vessel,514565238
/vessels/details/514568153,BONG MUC -98-A17,Dredging or UW ops,514568153
/vessels/details/514040955,BONGNEAKTMEY6F,Cargo ship,514040955
/vessels/details/514324488,LUOIGE-11F18,Fishing vessel,514324488
/vessels/details/514666666,61378-B3-S3,Fishing vessel,514666666
/vessels/details/514021812,LG21812-17.8V,Unknown,514021812
/vessels/details/515290100,15290-100-99,Unknown,515290100
/vessels/details/514182029,HG6A066901070,Fishing vessel,514182029
/vessels/details/514081090,92 6F L0 UI G,Fishing vessel,514081090
/vessels/details/514850007,LIAODAYU51485-7-65,Unknown,514850007
/vessels/details/514850001,LIAODAYU51485-1-99,Unknown,514850001
/vessels/details/515500000,8,Pleasure craft,515500000
/vessels/details/514561875,LUOI GHEB0RA6F,Fishing vessel,514561875
/vessels/details/514567989,HG GHE 133A,Fishing vessel,514567989
/vessels/details/514345678,PHEAP -38D40D,Fishing vessel,514345678
/vessels/details/514561989,LIE KA 327BE17,Fishing vessel,514561989
/vessels/details/8015647,ENERGY SKY,Tug,8015647
/vessels/details/514850019,LIAODAYU51485-19-77,Unknown,514850019
/vessels/details/515290106,15290-106-45,Unknown,515290106
/vessels/details/514555603,79GHE CAU C37 P246,Unknown,514555603
/vessels/details/514702242,CO2 42 LCANG B2,Other type,514702242
/vessels/details/514850003,LIAODAYU51485-3-68,Unknown,514850003
/vessels/details/514825032,05148-3290,Unknown,514825032
/vessels/details/514641778,SA MUT PEX 20-F,Fishing vessel,514641778
/vessels/details/514999884,94-F27,Fishing vessel,514999884
/vessels/details/514155555,LUOI GHEA14555,Fishing vessel,514155555
/vessels/details/514400261,CTOM41PH D11-83,Unknown,514400261
/vessels/details/515563284,5155-406,Unknown,515563284
/vessels/details/515321478,LG21478-1-99,Unknown,515321478
/vessels/details/515721881,ZHELIN 21881-1-99,Unknown,515721881
/vessels/details/514569045,HG 4 8 E 7,Fishing vessel,514569045
/vessels/details/514135155,ACF,Cargo ship,514135155
/vessels/details/515596315,5155-15-88,Unknown,515596315
/vessels/details/514544572,THU MUA LE MU0N A40,Fishing vessel,514544572
/vessels/details/514560866,CAU LOI 31 D-6-0K-,Fishing vessel,514560866
/vessels/details/515111119,VA VA 119,Fishing vessel,515111119
/vessels/details/515596305,5155-5-99,Unknown,515596305
/vessels/details/514655586,77 -4038-D,Towing vessel,514655586
/vessels/details/514209914,GHE LUOI CA 94 B 30,Towing vessel,514209914
/vessels/details/514850010,LIAODAYU51485-10-69,Unknown,514850010
/vessels/details/514565966,LU0IGHE58 7E,Fishing vessel,514565966
/vessels/details/514200963,MANHA19G 29,Cargo ship,514200963
/vessels/details/514202020,CL 71 D 15,Fishing vessel,514202020
/vessels/details/514825030,05148-3087,Unknown,514825030
/vessels/details/514657798,GHECAOO933A6B4,Fishing vessel,514657798
/vessels/details/515214716,EMERALD HARMONY,Passenger ship,515214716
/vessels/details/515569603,5155-3-73,Unknown,515569603
/vessels/details/515596320,5155-20-94,Unknown,515596320
/vessels/details/515921561,LIN 21561-99,Unknown,515921561
/vessels/details/515132016,PKFB 2016,Fishing vessel,515132016
/vessels/details/515911263,SH 1263,Fishing vessel,515911263
/vessels/details/515348246,RARTH 181,Unknown (HAZ-D),515348246
/vessels/details/514123433,PHAO LOI 33-62,Unknown,514123433
/vessels/details/514182814,HG0717E14E,Fishing vessel,514182814
/vessels/details/515091994,ABMIRACLE,Fishing vessel,515091994
/vessels/details/514825035,05148-3589,Unknown,514825035
/vessels/details/514221420,44LUOIGHE23D,Fishing vessel,514221420
/vessels/details/514181168,HG1 6 8 23F4 F -,Fishing vessel,514181168
/vessels/details/515810006,515810-6-20,Unknown,515810006
/vessels/details/514123456,GHECA01533A- 4 6,Fishing vessel,514123456
/vessels/details/514242485,GHE LUOI CA85B30F7,Fishing vessel,514242485
/vessels/details/514266123,R,Fishing vessel,514266123
/vessels/details/514050555,GLUOI GHE17F32,HSC (HAZ-D),514050555
/vessels/details/514850020,LIAODAYU51485-20-99,Unknown,514850020
/vessels/details/515910230,1699,Fishing vessel,515910230
/vessels/details/515079013,15079-13-51,Unknown,515079013
/vessels/details/514400970,TSET,Anti-polution,514400970
/vessels/details/514561812,19 LUOIGHE 19 E,Fishing vessel,514561812
/vessels/details/9629744,MORSKOY PROTSESSOR,Research Vessel,9629744
/vessels/details/514850016,LIAODAYU51485-16-79,Unknown,514850016
/vessels/details/515290105,15290-105-99,Unknown,515290105
/vessels/details/514825039,05148-3994,Unknown,514825039
/vessels/details/515211679,LIN21167-9-82,Unknown,515211679
/vessels/details/514568554,LUOIGHE 8E 44,Fishing vessel,514568554
/vessels/details/514910484,577 34 D 32 D,Fishing vessel,514910484
/vessels/details/514567680,43 -,Fishing vessel,514567680
/vessels/details/514123411,11GHE CAO A33,Fishing vessel,514123411
/vessels/details/515380374,GENTLE GIANT,Pleasure craft,515380374
/vessels/details/515034219,P3 LXNOI 42 B19-90,Unknown,515034219
/vessels/details/515559494,LOUIGHE 77 6 F,Towing vessel (tow>200),515559494
/vessels/details/514565841,NEAKTOCHF1 F6,Fishing vessel,514565841
/vessels/details/515290101,15290-101-51,Unknown,515290101
/vessels/details/514440000,5,Unknown,514440000
/vessels/details/515910746,RON ROEUN 746,Fishing vessel,515910746
/vessels/details/514850005,LIAODAYU51485-5-01,Unknown,514850005
/vessels/details/514182744,TOUR BOAT,Fishing vessel,514182744
/vessels/details/515860003,61586-3 60,Unknown,515860003
/vessels/details/514234008,KOH DEKKOL PATROL,Law enforcment,514234008
/vessels/details/515678221,PKFA8221,Fishing vessel,515678221
/vessels/details/514700001,LIAOYINGYU51470-107,Unknown,514700001
/vessels/details/515912722,SH 1263,Fishing vessel,515912722
/vessels/details/514569327,7330D36D,Fishing vessel,514569327
/vessels/details/514113226,SAYMAO64-CLOI-24E33E,Fishing vessel,514113226
/vessels/details/514182849,HG0885267291A6,Fishing vessel,514182849
/vessels/details/514000414,TAU 18 E38,Fishing vessel,514000414
/vessels/details/514200041,LUOI NOI 41-74,Unknown,514200041
/vessels/details/514564800,14HIEN CLD20,Fishing vessel,514564800
/vessels/details/514569230,0BAMA,Other type,514569230
/vessels/details/514002093,NERK KHMAV 436D,Fishing vessel,514002093
/vessels/details/514292164,CAU LOI61D24A23,Fishing vessel,514292164
/vessels/details/514568049,LUOI GIE03-08E,Fishing vessel,514568049
/vessels/details/515252519,SENG-THAI- KH 2519,Fishing vessel,515252519
/vessels/details/515280419,PSF 2532,Fishing vessel,515280419
/vessels/details/515911212,KAR YYA,Fishing vessel,515911212
/vessels/details/514561942,GHE0 WZ12 7E,Fishing vessel,514561942
/vessels/details/515596321,5155-21-89,Unknown,515596321
/vessels/details/514000033,DANG GHE14 E33,Cargo ship,514000033
/vessels/details/514850015,LIAODAYU51485-15-99,Unknown,514850015
/vessels/details/515181379,SEAANGLE LUXURY CRUI,Passenger ship,515181379
/vessels/details/514537895,49,Fishing vessel,514537895
/vessels/details/515220904,ZHELINYU21515-4-78,Unknown,515220904
/vessels/details/514721931,LG21931-418.2V,Unknown,514721931
/vessels/details/514825034,05148-3488,Unknown,514825034
/vessels/details/514562083,PNHOMTOM32A05,Fishing vessel,514562083
/vessels/details/514519832,YJRDBDIEYOGCUD,Unknown,514519832
/vessels/details/514219093,LIN21909-3-90,Unknown,514219093
/vessels/details/514555602,79GHE CAU C37 P287,Unknown,514555602
/vessels/details/514561726,MI BACIL85C35,Fishing vessel,514561726
/vessels/details/515598608,5155-8-88,Unknown,515598608
/vessels/details/515120835,LIN 12083-5-89,Unknown,515120835
/vessels/details/515591133,14 NHO F37F20,Fishing vessel,515591133
/vessels/details/8429666,NORDDAL,Passenger/Ro-Ro Cargo Ship,8429666
/vessels/details/514122554,L CA B17E17,Towing vessel,514122554
/vessels/details/514966700,LUOI MUCNOID29,Cargo ship,514966700
/vessels/details/514561738,LUOICA157BXNX,Fishing vessel,514561738
/vessels/details/6818227,ARONT 103,Fishing Vessel,6818227
/vessels/details/514221668,FENG SHUN 866,Cargo ship,514221668
/vessels/details/515569601,5155-1-79,Unknown,515569601
/vessels/details/515886002,LIAOJINYU15886-2-92,Unknown,515886002
/vessels/details/514569047,OK F18,Fishing vessel,514569047
/vessels/details/514850013,LIAODAYU51485-13-99,Unknown,514850013
/vessels/details/515598609,5155-9-80,Unknown,515598609
/vessels/details/514561645,45LUOIGHE7E7BANG-3,Fishing vessel,514561645
/vessels/details/514999999,CAU MUC,Fishing vessel,514999999
/vessels/details/514133404,LUOI GHE 97-E5E7,Fishing vessel,514133404
/vessels/details/514201939,CO 94 NHUAN-66,Unknown,514201939
/vessels/details/515901124,PKFB 1615 DE,Fishing vessel,515901124
/vessels/details/514567317,CAULOI 71 D23,Fishing vessel,514567317
/vessels/details/7805318,ORIX,Fishing Vessel,7805318
/vessels/details/514850014,LIAODAYU51485-14-99,Unknown,514850014
/vessels/details/515555000,3,Pleasure craft,515555000
/vessels/details/514231456,TL,Pleasure craft,514231456
/vessels/details/514563962,18 ANH PHONG D 08-05,Fishing vessel,514563962
/vessels/details/514925815,XIANG49258-15-88,Unknown,514925815
/vessels/details/514850002,LIAODAYU51485-2-99,Unknown,514850002
/vessels/details/514567868,59 TUK OUS 36D 32E,Fishing vessel,514567868
/vessels/details/514850012,LIAODAYU51485-12-80,Unknown,514850012
/vessels/details/514560170,HG,Fishing vessel,514560170
/vessels/details/514701841,C42 LUOICANG B2,Other type,514701841
/vessels/details/515787879,1859PO VEASNA,Fishing vessel,515787879
/vessels/details/514569329,3936D36D,Fishing vessel,514569329
/vessels/details/515555822,PKFA8221,Fishing vessel,515555822
/vessels/details/514569378,NORPLORCK130D36D,Fishing vessel,514569378
/vessels/details/514400046,DCAU1 46-99,Unknown,514400046
/vessels/details/515999999,TRITON,Other type,515999999
/vessels/details/514561890,LUOI CA 62 7 B,Fishing vessel,514561890
/vessels/details/515550000,8,Pleasure craft,515550000
/vessels/details/515273789,KIMLY 863,Unknown,515273789
/vessels/details/515180250,DAVINCI S50,Passenger ship,515180250
/vessels/details/514825036,05148-3689,Unknown,514825036
/vessels/details/515596306,5155-6-14,Unknown,515596306
/vessels/details/514850004,LIAODAYU51485-4-66,Unknown,514850004
/vessels/details/514221783,9Z1,Fishing vessel,514221783
/vessels/details/515079000,WISDOM,Cargo ship,515079000
/vessels/details/515682103,05682-103-99,Unknown,515682103
/vessels/details/515342449,KUN SAMANUNITED,Fishing vessel,515342449
/vessels/details/514700242,CO1 LCANG 42 B2,Other type,514700242
/vessels/details/514561594,GHE LU57 C 33C35,Fishing vessel,514561594
/vessels/details/514991110,78-B3-S3,Other type,514991110
/vessels/details/514662058,93 38D,Fishing vessel,514662058
/vessels/details/514567767,17 18AZ,Towing vessel,514567767
/vessels/details/8936827,MIRACLE,Inland Tanker,8936827
/vessels/details/515596312,5155-12-99,Unknown,515596312
/vessels/details/514900903,ZHEXIANGYU49009-381,Unknown,514900903
/vessels/details/514896325,3318-5 44,Unknown,514896325
/vessels/details/514234001,TB KOH SES,Tug,514234001
/vessels/details/515132228,PKFB228,Fishing vessel,515132228
/vessels/details/514567809,LUOI GHE93A33,Fishing vessel,514567809
/vessels/details/514231856,LU0IGHE 099D11,Fishing vessel,514231856
/vessels/details/514561359,CL11D 9 6,Fishing vessel,514561359
/vessels/details/514567775,0KWW133-A,Fishing vessel,514567775
/vessels/details/514561847,CA0 NG0C HA D19,Fishing vessel,514561847
/vessels/details/514588860,51LUOIGHE 41 F18,Fishing vessel,514588860
/vessels/details/514561382,18 33E,Fishing vessel,514561382
/vessels/details/515220902,ZHELINYU21515-2-48,Unknown,515220902
/vessels/details/515321211,LG21211-C1-81,Unknown,515321211
/vessels/details/515810007,515810-7-69,Unknown,515810007
/vessels/details/515600002,CT3-5156-02-2 70,Unknown,515600002
/vessels/details/514900765,ALFAMARINE,Tanker,514900765
/vessels/details/514242495,GHE LUOI CA85B30,Fishing vessel,514242495
/vessels/details/515902042,SHENZHEN-2042,Fishing vessel,515902042
/vessels/details/514093110,TLTT42-20B4,Towing vessel,514093110
/vessels/details/515596316,5155-16-80,Unknown,515596316
/vessels/details/515321981,LG21981-18.1V,Unknown,515321981
/vessels/details/8916281,RUN XIANG,Chemical Tanker,8916281
/vessels/details/514850011,LIAODAYU51485-11-01,Unknown,514850011
/vessels/details/514560526,GHE CAO 27 F39,Fishing vessel,514560526
/vessels/details/514445566,30,Cargo ship,514445566
/vessels/details/514850008,LIAODAYU51485-8-88,Unknown,514850008
/vessels/details/514567691,HGP-5-11F,Fishing vessel,514567691
/vessels/details/514904842,4842-51,Unknown,514904842
/vessels/details/514000000,KOH TAKIEV,Tug,514000000
/vessels/details/514884711,DAU CAU 47 D11-44,Unknown,514884711
/vessels/details/515355000,MV VIDI NO1,Cargo ship,515355000
/vessels/details/515596317,5155-17-99,Unknown,515596317
/vessels/details/514888889,CAUMUC 56 4-14,Fishing vessel,514888889
/vessels/details/515327777,KM GIRI SANJAYA,WIG,515327777
/vessels/details/514999979,LUOIGIE797EEE7,Military ops,514999979
/vessels/details/514219874,LIN21987-4-77,Unknown,514219874
/vessels/details/515100027,5151-27-52,Unknown,515100027
/vessels/details/514567621,HGSA6E01,Fishing vessel,514567621
/vessels/details/514850009,LIAODAYU51485-9-91,Unknown,514850009
/vessels/details/515596319,5155-19-99,Unknown,515596319
/vessels/details/514561892,DEHDEY2 A8F,Fishing vessel,514561892
/vessels/details/514711392,5314E,Fishing vessel,514711392
/vessels/details/8805690,MV SF ENTERPRISE,General Cargo Ship,8805690
/vessels/details/514561993,HGLUOI CA-317FB,Fishing vessel,514561993
/vessels/details/514759188,LG59188-17.6V,Unknown,514759188
/vessels/details/514238001,KOH RONG TUG BOAT,Towing vessel,514238001
/vessels/details/514994711,D NG CTOM 47D11-30,Unknown,514994711
/vessels/details/514065945,45 NEAK KAREACH18F,Fishing vessel,514065945
/vessels/details/514565749,LOU IGHE 16 C71,Fishing vessel,514565749
/vessels/details/515886003,LIAOJINYU15886-3-21,Unknown,515886003
/vessels/details/514182647,HG11F BARKSIY TAP,Fishing vessel,514182647
/vessels/details/514299979,CHET PICH979728D36D,Fishing vessel,514299979
/vessels/details/515222449,M.R DOM 2449,Fishing vessel,515222449
/vessels/details/514235001,KOH PREAB,Pilot,514235001
/vessels/details/514895602,CHANATHIP,Other type,514895602
/vessels/details/514400272,CAU 41PHUONGD11-34,Unknown,514400272
/vessels/details/514907914,KING FISH,Fishing vessel,514907914
/vessels/details/514825037,05148-3799,Unknown,514825037
/vessels/details/514093268,SA0 B6S26,Fishing vessel,514093268
/vessels/details/515596313,5155-13-88,Unknown,515596313
/vessels/details/514299906,MEAN CHEY-36D-,Fishing vessel,514299906
/vessels/details/514760622,LG 60622-418.0V,Unknown,514760622
