url,name,type,imo
/vessels/details/9296444,HAI DUONG 68,General Cargo Ship,9296444
/vessels/details/9240536,NEW HOPE,General Cargo Ship,9240536
/vessels/details/9226607,GAS LAMANDAU,LPG Tanker,9226607
/vessels/details/8664395,KM SEGARA.ANAK.1,General Cargo Ship,8664395
/vessels/details/9741231,DOLPHIN GEO SURVEY,Offshore Support Vessel,9741231
/vessels/details/9724403,CREST MERCURY TWO,Offshore Tug/Supply Ship,9724403
/vessels/details/9376139,GEO SOVEREIGN,Offshore Tug/Supply Ship,9376139
/vessels/details/9973999,KIBENA 3,Fishing Vessel,9973999
/vessels/details/9959682,KIBENA 2,Fishing Vessel,9959682
/vessels/details/9934424,KIBENA 1,Fishing Vessel,9934424
/vessels/details/9680229,ZD GEMINI,Offshore Tug/Supply Ship,9680229
/vessels/details/9572305,GENESIS,Research Vessel,9572305
/vessels/details/9475909,TRINITY SURVEYOR,Research Vessel,9475909
/vessels/details/9268021,GAS MAROS,LPG Tanker,9268021
/vessels/details/8785462,LC ARATOBWA,Landing Craft,8785462
/vessels/details/4736528,TOBWAAN MAINIKU,Patrol Vessel,4736528
/vessels/details/4734178,RKS TEANOAI II,Patrol Vessel,4734178
/vessels/details/9512795,TB.JKW MAHAKAM 2,Tug,9512795
/vessels/details/9554432,SURYA WIRA 21,Tug,9554432
/vessels/details/529680000,STK 7,Tug,529680000
/vessels/details/529159000,EAGLET T-32,Tug,529159000
/vessels/details/529343000,HAI JIE 3,Pleasure craft,529343000
/vessels/details/529407000,STK 5,Pleasure craft,529407000
/vessels/details/529738000,CHONG HAN 05,Tug,529738000
/vessels/details/529120842,LIN 12084-2-99,Unknown,529120842
/vessels/details/529963003,5299-3-60,Unknown,529963003
/vessels/details/529042000,MARIN MAINIKU,Passenger ship,529042000
/vessels/details/8848410,REDA,Tug,8848410
/vessels/details/529500005,5295-5 94,Unknown,529500005
/vessels/details/529803682,80368-2-35,Unknown,529803682
/vessels/details/529068313,52907-13-34,Unknown,529068313
/vessels/details/529054000,BLUE FORTUNE 31,Fishing vessel,529054000
/vessels/details/529963001,5299-1-66,Unknown,529963001
/vessels/details/529693968,GHE-CHA-CHIM-68-B14,Fishing vessel,529693968
/vessels/details/529034000,TEMANIM 02,Fishing vessel,529034000
/vessels/details/529960544,5299-44-89,Unknown,529960544
/vessels/details/529995612,SAN99956-12-37,Unknown,529995612
/vessels/details/529791000,LCT ORIENTAL 9,Unknown,529791000
/vessels/details/9261944,AMARR QUATRO,Tug,9261944
/vessels/details/9086435,TEANOAI,Patrol Vessel,9086435
/vessels/details/529995619,SAN99956-19-57,Unknown,529995619
/vessels/details/529932064,5299-6443,Unknown,529932064
/vessels/details/529075288,52907-26-99,Unknown,529075288
/vessels/details/529066002,ZHEXIANGYU29066-2,Unknown,529066002
/vessels/details/529266074,WANGBIAO-074 57,Unknown,529266074
/vessels/details/529963011,5299-11-80,Unknown,529963011
/vessels/details/9639098,BLUE FORTUNE 32,Fishing Vessel,9639098
/vessels/details/8003230,MARIRAOI,Fishing Vessel,8003230
/vessels/details/1024170,KIBENA 7,Fishing Vessel,1024170
/vessels/details/529255501,BIAO 00555-1-99,Unknown,529255501
/vessels/details/529999999,GHE-CHA-CHIM-68-B14,Fishing vessel,529999999
/vessels/details/529066025,ZHEXIANGYU29066-25,Unknown,529066025
/vessels/details/529886037,5298-37-63,Unknown,529886037
/vessels/details/529886034,5298-34-52,Unknown,529886034
/vessels/details/8103080,MARORAOI,Fishing Vessel,8103080
/vessels/details/529066010,ZHEXIANGYU29066-10,Unknown,529066010
/vessels/details/529937000,TRINITY NISSI,Other type,529937000
