url,name,type,imo
/vessels/details/9102277,ITAUGUA,Crude Oil Tanker,9102277
/vessels/details/9365764,AMEN,Crude Oil Tanker,9365764
/vessels/details/9310147,NATALINA 7,Crude Oil Tanker,9310147
/vessels/details/9288875,YUG,Crude Oil Tanker,9288875
/vessels/details/9180164,HAUNCAYO,Crude Oil Tanker,9180164
/vessels/details/9176993,KIN A,Crude Oil Tanker,9176993
/vessels/details/9248497,URI,Crude Oil Tanker,9248497
/vessels/details/9630028,PERLE,LNG Tanker,9630028
/vessels/details/9321718,ORVI,Crude Oil Tanker,9321718
/vessels/details/9321706,LATUR,Crude Oil Tanker,9321706
/vessels/details/9274434,SHANGRI LA,Crude Oil Tanker,9274434
/vessels/details/9189146,NOXEN,Crude Oil Tanker,9189146
/vessels/details/9224465,OLAF 1,Crude Oil Tanker,9224465
/vessels/details/9286657,LEGACY CREST,Crude Oil Tanker,9286657
/vessels/details/9296391,BOSTON BEACON,Crude Oil Tanker,9296391
/vessels/details/9288851,GRINCH,Crude Oil Tanker,9288851
/vessels/details/9291250,CORTEX,Crude Oil Tanker,9291250
/vessels/details/9388742,FONDEYA,Crude Oil Tanker,9388742
/vessels/details/9368235,NEVAH,Crude Oil Tanker,9368235
/vessels/details/9281011,DIANCHI,Crude Oil Tanker,9281011
/vessels/details/9285847,SIRIUS 1,Crude Oil Tanker,9285847
/vessels/details/9285835,SEA FIDELITY,Crude Oil Tanker,9285835
/vessels/details/9299898,RANGE VALE,Crude Oil Tanker,9299898
/vessels/details/9350654,RUBY CROSS,Crude Oil Tanker,9350654
/vessels/details/9236248,FENGHUANG,Crude Oil Tanker,9236248
/vessels/details/9378632,MALAK,Crude Oil Tanker,9378632
/vessels/details/9293002,BLINT,Crude Oil Tanker,9293002
/vessels/details/9256468,GAGAN,Crude Oil Tanker,9256468
/vessels/details/9266853,NEW POWER,Crude Oil Tanker,9266853
/vessels/details/9259185,DAKSHA,Crude Oil Tanker,9259185
/vessels/details/9299719,OTLA,Crude Oil Tanker,9299719
/vessels/details/9250531,ROZMARINE,Crude Oil Tanker,9250531
/vessels/details/9247986,AVA 10,Crude Oil Tanker,9247986
/vessels/details/9337389,AGNI,Crude Oil Tanker,9337389
/vessels/details/9194139,DIVIT,Crude Oil Tanker,9194139
/vessels/details/9436941,MT BAISHA,Crude Oil Tanker,9436941
/vessels/details/9400980,EVALI,Crude Oil Tanker,9400980
/vessels/details/9292151,TAVA 4,Container Ship,9292151
/vessels/details/9282106,SIONA,LPG Tanker,9282106
