url,name,type,imo
/vessels/details/9038452,SHAAN,LNG Tanker,9038452
/vessels/details/9038440,KHAZA,LNG Tanker,9038440
/vessels/details/9559145,OCEANIC 5000,Crane Ship,9559145
/vessels/details/9164213,CHIWETALU,Oil Products Tanker,9164213
/vessels/details/9208526,GIYAS,Bulk Carrier,9208526
/vessels/details/9077109,LIWA,Bulk Carrier,9077109
/vessels/details/9184938,PORTLAND IV,Bulk Carrier,9184938
/vessels/details/7822457,BLUE SAPPHIRE,Passenger (Cruise) Ship,7822457
/vessels/details/9137961,HUN,Wood Chips Carrier,9137961
/vessels/details/9087740,TWIN,Bulk Carrier,9087740
/vessels/details/9474656,NEPTUNE MARINE,Bulk Carrier,9474656
/vessels/details/9602992,PILATUS MARINE,Bulk Carrier,9602992
/vessels/details/9343986,SEVEN PEARLS,Oil Products Tanker,9343986
/vessels/details/9246449,GREEN LAND,Chemical/Oil Products Tanker,9246449
/vessels/details/9259886,PURE POINT,Oil Products Tanker,9259886
/vessels/details/9310680,AYAT,Oil Products Tanker,9310680
/vessels/details/9116668,MIRA,Bulk Carrier,9116668
/vessels/details/9109378,SEA STAR 74,Bulk Carrier,9109378
/vessels/details/9109354,MORJAN,Bulk Carrier,9109354
/vessels/details/9239977,LOANNA,Chemical/Oil Products Tanker,9239977
/vessels/details/9238179,MUON,Container Ship,9238179
/vessels/details/9263253,NJ PLUTO,Bulk Carrier,9263253
/vessels/details/9104562,ALI M,Bulk Carrier,9104562
/vessels/details/9200342,SIRRAH,Bulk Carrier,9200342
/vessels/details/9072214,TK MAJESTIC,Bulk Carrier,9072214
/vessels/details/9111943,GREAT VICTORY,Bulk Carrier,9111943
/vessels/details/9146613,FOREVER HAPPY,Bulk Carrier,9146613
/vessels/details/8323903,PORTLAND II,Bulk Carrier,8323903
/vessels/details/9070711,LUNI,Bulk Carrier,9070711
/vessels/details/9154505,LAMAR S,Bulk Carrier,9154505
/vessels/details/9125372,JABAL ALI 11,Ro-Ro Cargo Ship,9125372
/vessels/details/9203605,SSF ANIA,Ro-Ro Cargo Ship,9203605
/vessels/details/9188764,OBIEZE,Oil Products Tanker,9188764
/vessels/details/7361324,ELPIS,Passenger/Ro-Ro Cargo Ship,7361324
/vessels/details/9546174,SATURN J,General Cargo Ship,9546174
/vessels/details/8903155,PEACELAND,Ro-Ro Cargo Ship,8903155
/vessels/details/9000297,SAMANTA,Bulk Carrier,9000297
/vessels/details/8801917,MV SSRORO 10,Ro-Ro Cargo Ship,8801917
/vessels/details/9174505,OS KANO 35,Bulk Carrier,9174505
/vessels/details/9172387,CAPTAIN RABIE,Bulk Carrier,9172387
/vessels/details/9118147,YARA J,Bulk Carrier,9118147
/vessels/details/8020604,JABAL ALI 9,Ro-Ro Cargo Ship,8020604
/vessels/details/8222111,GREENLAND,Ro-Ro Cargo Ship,8222111
/vessels/details/9295579,ABDULLAH M,Bulk Carrier,9295579
/vessels/details/9497452,NJ CALLISTO,Bulk Carrier,9497452
/vessels/details/9228394,CRYSTAL O,General Cargo Ship,9228394
/vessels/details/9246308,DSM ANAS,General Cargo Ship,9246308
/vessels/details/9255062,AL ZAHRA,General Cargo Ship,9255062
/vessels/details/9168154,ANGELINA,General Cargo Ship,9168154
/vessels/details/9230218,LEPTON,Container Ship,9230218
/vessels/details/9299472,MERCURY J,Bulk Carrier,9299472
