url,name,type,imo
/vessels/details/9135523,SINPYONG6,General Cargo Ship,9135523
/vessels/details/9133290,PUK DAE CHON,Bulk Carrier,9133290
/vessels/details/9138680,NAMDAECHON,Bulk Carrier,9138680
/vessels/details/8822260,JN,Bulk Carrier,8822260
/vessels/details/8306929,TAE YANG,General Cargo Ship,8306929
/vessels/details/7937317,TONG HUNG SAN,General Cargo Ship,7937317
/vessels/details/8829555,SP,General Cargo Ship,8829555
/vessels/details/9162318,TOMYONG,General Cargo Ship,9162318
/vessels/details/9132612,NAM DAE BONG,Chemical/Oil Products Tanker,9132612
/vessels/details/9003653,YON MU,General Cargo Ship,9003653
/vessels/details/7636638,WOL BONG SAN,Oil Products Tanker,7636638
/vessels/details/9135494,SOKWANG,General Cargo Ship,9135494
/vessels/details/9114555,JI NAM SAN,General Cargo Ship,9114555
/vessels/details/9125308,CHOL BONG SAN 1,Chemical/Oil Products Tanker,9125308
/vessels/details/8784298,RAK WON 2,General Cargo Ship,8784298
/vessels/details/9536272,PU YANG6,General Cargo Ship,9536272
/vessels/details/8405270,HUI CHON,General Cargo Ship,8405270
/vessels/details/8312497,SONG WON 2,Oil Products Tanker,8312497
/vessels/details/9129653,PAEK YANGSAN1,Oil Products Tanker,9129653
/vessels/details/9088031,UN SONG 1,General Cargo Ship,9088031
/vessels/details/8798055,KUM PHYONG,General Cargo Ship,8798055
/vessels/details/9142409,KYONG RU,General Cargo Ship,9142409
/vessels/details/9095412,TAL MA SAN,General Cargo Ship,9095412
/vessels/details/8669589,A BONG 1,Oil Products Tanker,8669589
/vessels/details/9154189,RYON PUNG,Chemical/Oil Products Tanker,9154189
/vessels/details/9045962,UN HUNG,Oil Products Tanker,9045962
/vessels/details/8662933,HWANG RYONG SAN,General Cargo Ship,8662933
/vessels/details/8711021,CHIL BO SAN,Chemical Tanker,8711021
/vessels/details/8898738,YU SONG 2,General Cargo Ship,8898738
/vessels/details/1077751,UN NAM,General Cargo Ship,1077751
/vessels/details/445710000,HAE RYONG 5,Cargo ship,445710000
/vessels/details/8963600,TAE SIN,Fishing Vessel,8963600
/vessels/details/445482304,509-1274,Unknown,445482304
/vessels/details/8691702,YU SON,Oil Products Tanker,8691702
/vessels/details/445965000,KUMRYONG -5,Cargo ship,445965000
/vessels/details/445201411,11478-3-69,Unknown,445201411
/vessels/details/8863733,JASONG1,General Cargo Ship,8863733
/vessels/details/445808388,ZHECANGYU08388-44,Unknown,445808388
/vessels/details/445484406,070-499,Unknown,445484406
/vessels/details/8593546,CHONG RYONG SAN 1,Bulk Carrier,8593546
/vessels/details/8661719,CHONG DAN,Container Ship,8661719
/vessels/details/9364899,KUM JIN GANG,General Cargo Ship,9364899
/vessels/details/445581507,KUM HO 1,Cargo ship,445581507
/vessels/details/445890000,BUHUNG RYUGYONG 3,Cargo ship,445890000
/vessels/details/445664000,JUAMSAN 5,Cargo ship,445664000
/vessels/details/9016430,SU RYONG SAN,General Cargo Ship,9016430
/vessels/details/8660313,CHON MA SAN,Oil Products Tanker,8660313
/vessels/details/445410908,429-973,Unknown,445410908
/vessels/details/445680000,KR.2,Cargo ship,445680000
/vessels/details/7518642,MYONG SONG,Refrigerated Cargo Ship,7518642
/vessels/details/8915275,JA SONG,General Cargo Ship,8915275
/vessels/details/8620454,MI YANG 5,General Cargo Ship,8620454
/vessels/details/445893000,JON SUNG9,Cargo ship,445893000
/vessels/details/445978878,ZHETAIYUYUN05777,Fishing vessel,445978878
/vessels/details/445745479,P DUOI 70-78,Unknown,445745479
/vessels/details/445819913,581991388,Unknown,445819913
/vessels/details/8606173,CHOL RYONG,General Cargo Ship,8606173
/vessels/details/8405402,CHONG AM,General Cargo Ship,8405402
/vessels/details/445070001,TG,Cargo ship,445070001
/vessels/details/8201870,O R,General Cargo Ship,8201870
/vessels/details/8202472,KAL MA 2,Fishing Vessel,8202472
/vessels/details/445566770,620000,Unknown,445566770
/vessels/details/9066978,PAEK MA,Oil Products Tanker,9066978
/vessels/details/1091927,HAE YANG 1,General Cargo Ship,1091927
/vessels/details/445820000,A SA BONG,Tanker,445820000
/vessels/details/9054779,SA HYANG SAN 1,General Cargo Ship,9054779
/vessels/details/445200597,QIONG DAN YU 11967-2,Unknown,445200597
/vessels/details/445116381,11638-1-94,Unknown,445116381
/vessels/details/8731497,KUM BIT 2,Dredger,8731497
/vessels/details/8712348,TIAN TONG,General Cargo Ship,8712348
/vessels/details/7209112,SUNG JIN 5,Refrigerated Cargo Ship,7209112
/vessels/details/445484709,070-179,Unknown,445484709
/vessels/details/8649840,MI RAE 1,General Cargo Ship,8649840
/vessels/details/445842000,M S,Cargo ship,445842000
/vessels/details/8657536,MU PHO 2,General Cargo Ship,8657536
/vessels/details/445566889,GANYUYU88291-27.6V,Unknown,445566889
/vessels/details/7722607,HAK BONG,Fishing Vessel,7722607
/vessels/details/8749195,PU YUN 6,General Cargo Ship,8749195
/vessels/details/9020223,KUM DAE,Bulk Carrier,9020223
/vessels/details/1016355,SN5,General Cargo Ship,1016355
/vessels/details/445398000,MORANBONG 6,Other type,445398000
/vessels/details/445201536,14074-4-54,Unknown,445201536
/vessels/details/445200640,11478-4-72,Unknown,445200640
/vessels/details/445454355,MINS,Fishing vessel,445454355
/vessels/details/8891297,PU YANG 2,Container Ship,8891297
/vessels/details/445950000,JONGPYONG3,Cargo ship,445950000
/vessels/details/8408193,DAE BONG 1,General Cargo Ship,8408193
/vessels/details/445724256,65677,Fishing vessel,445724256
/vessels/details/445040100,YANG SAN,Cargo ship,445040100
/vessels/details/445973000,UN SON 8,Cargo ship,445973000
/vessels/details/8625545,RA NAM 2,General Cargo Ship,8625545
/vessels/details/1062718,THAE SONG 3,General Cargo Ship,1062718
/vessels/details/445727000,CHONG RYONG SAN,Tanker,445727000
/vessels/details/445668000,THAESONG3,Cargo ship,445668000
/vessels/details/1102776,PHYONG AN 5,General Cargo Ship,1102776
/vessels/details/8891883,SO GYONG 2,Fish Carrier,8891883
/vessels/details/7827861,TAE DONG GANG 8,Fishing Vessel,7827861
/vessels/details/8883707,PAEK UN SAN,General Cargo Ship,8883707
/vessels/details/9010058,THAE PHYONG 8,General Cargo Ship,9010058
/vessels/details/1052646,PU YANG 1,General Cargo Ship,1052646
/vessels/details/8359031,SA HYANG SAN 2,General Cargo Ship,8359031
/vessels/details/445485604,317-699,Unknown,445485604
/vessels/details/8595611,MIRAE99,General Cargo Ship,8595611
/vessels/details/8720436,KUM UN SAN,Oil Products Tanker,8720436
/vessels/details/8349000,UN CHON 3,General Cargo Ship,8349000
/vessels/details/8606410,PHYONG AN,General Cargo Ship,8606410
/vessels/details/8712362,CHON MYONG 1,Oil Products Tanker,8712362
/vessels/details/445394000,PU HUNG 2,Cargo ship,445394000
/vessels/details/7522435,JIN MO BO NG 5,Fishing Vessel,7522435
/vessels/details/1130412,CHONG RYONG SAN 3,General Cargo Ship,1130412
/vessels/details/8983404,KU BONG RYONG,Oil Products Tanker,8983404
/vessels/details/8713457,CHOL BONG SAN,General Cargo Ship,8713457
/vessels/details/445080715,CKH,Cargo ship,445080715
/vessels/details/445201520,14074-5-83,Unknown,445201520
/vessels/details/8319005,HWANG GUM PHYONG 1,General Cargo Ship,8319005
/vessels/details/445509000,PU HUNG 1,Cargo ship,445509000
/vessels/details/445411401,429-1479,Unknown,445411401
/vessels/details/9446893,THO SONG,Container Ship,9446893
/vessels/details/7225324,SUNG JIN 2,Refrigerated Cargo Ship,7225324
/vessels/details/7238785,SAM HUNG 3,Fishing Vessel,7238785
/vessels/details/445411504,429-1575,Unknown,445411504
/vessels/details/9966491,JANG SU SAN,General Cargo Ship,9966491
/vessels/details/8810578,SAM JIN 8,General Cargo Ship,8810578
/vessels/details/445189665,66628,Cargo ship,445189665
/vessels/details/445827000,POTHONGGANG2,Cargo ship,445827000
/vessels/details/445331205,97059-DF-199,Unknown,445331205
/vessels/details/1018614,UN HA SU,General Cargo Ship,1018614
/vessels/details/445111261,DOM FAGUNDES I,Fishing vessel,445111261
/vessels/details/8150605,ROK YANG 5,Refrigerated Cargo Ship,8150605
/vessels/details/8832136,IL MYONG,Fish Carrier,8832136
/vessels/details/445201514,QIONG DAN YU 11967-7,Unknown,445201514
/vessels/details/8603286,HUNG BONG 3,General Cargo Ship,8603286
/vessels/details/445345531,13489626531KUAITING,Fishing vessel,445345531
/vessels/details/9340271,KUM CHON,General Cargo Ship,9340271
/vessels/details/8405309,RYO SONG,General Cargo Ship,8405309
/vessels/details/445373000,TURUBONG2,Cargo ship,445373000
/vessels/details/8653229,TAE DONG 1,General Cargo Ship,8653229
/vessels/details/8713471,MI RIM,General Cargo Ship,8713471
/vessels/details/445202041,04696-2-99,Unknown,445202041
/vessels/details/445431000,KUMCHON,Unknown,445431000
/vessels/details/8358776,PUYUN 1,General Cargo Ship,8358776
/vessels/details/1022213,KUM UN SAN 8,General Cargo Ship,1022213
/vessels/details/9045182,MYONG SIN,Bulk Carrier,9045182
/vessels/details/8732037,THAE SONG 1,General Cargo Ship,8732037
/vessels/details/445485403,317-499,Unknown,445485403
/vessels/details/8672691,KUM GANG SAN,General Cargo Ship,8672691
/vessels/details/9020003,PUK DAE BONG,General Cargo Ship,9020003
/vessels/details/445200310,11478-2-59,Unknown,445200310
/vessels/details/445800008,4458-8,Unknown,445800008
/vessels/details/445482206,509-1124,Unknown,445482206
/vessels/details/8341723,RYONG SAN 1,General Cargo Ship,8341723
/vessels/details/445811040,12193,Fishing vessel,445811040
/vessels/details/1104140,SONG GAN,General Cargo Ship,1104140
/vessels/details/1067586,HAE SONG 99,General Cargo Ship,1067586
/vessels/details/8217685,HWA SONG,General Cargo Ship,8217685
/vessels/details/1092177,SUNG RI BONG,General Cargo Ship,1092177
/vessels/details/8717972,GALAXY 1,General Cargo Ship,8717972
/vessels/details/1020710,SONG NIM 2,General Cargo Ship,1020710
/vessels/details/9000766,JASONG2,Container Ship,9000766
/vessels/details/8597827,PHO HANG 1,General Cargo Ship,8597827
/vessels/details/9110236,KOSAN,Bulk Carrier,9110236
/vessels/details/445755487,HAIXIA668,Fishing vessel,445755487
/vessels/details/1074943,KYONG SONG,General Cargo Ship,1074943
/vessels/details/1121186,YONG GWANG,General Cargo Ship,1121186
/vessels/details/8730986,HUNG GI 1,General Cargo Ship,8730986
/vessels/details/445200347,11228-2-95,Unknown,445200347
/vessels/details/9004073,KUMYA,General Cargo Ship,9004073
/vessels/details/445533004,AIS BUOY81,Unknown,445533004
/vessels/details/9041552,HOE RYONG,General Cargo Ship,9041552
/vessels/details/445881000,PU JIN,Cargo ship,445881000
/vessels/details/8791667,KUMJINGANG3,Oil Products Tanker,8791667
/vessels/details/445201173,HAI SHENG 17682-10,Unknown,445201173
/vessels/details/445200629,14074-8-79,Unknown,445200629
/vessels/details/445343121,66628,Fishing vessel,445343121
/vessels/details/8416023,JINHUNG8,General Cargo Ship,8416023
/vessels/details/8348991,UN CHON 2,General Cargo Ship,8348991
/vessels/details/1100089,JU AM SAN 1,General Cargo Ship,1100089
/vessels/details/445941000,CHON HAE,Cargo ship,445941000
/vessels/details/8856962,K.M,General Cargo Ship,8856962
/vessels/details/445712233,LG12233-448.2V,Unknown,445712233
/vessels/details/9338979,SONG DO 1,General Cargo Ship,9338979
/vessels/details/8419489,KUMRYONG1,General Cargo Ship,8419489
/vessels/details/445276000,JN,Cargo ship,445276000
/vessels/details/445485705,317-701,Unknown,445485705
/vessels/details/9534652,PU SONG,General Cargo Ship,9534652
/vessels/details/445140743,14074-3-81,Unknown,445140743
/vessels/details/7389704,RYE SONG GANG 1,Oil Products Tanker,7389704
/vessels/details/8680014,SUNGJIN7,Refrigerated Cargo Ship,8680014
/vessels/details/8415287,YON PUNG 1,General Cargo Ship,8415287
/vessels/details/8595609,MYO HYANG 5,General Cargo Ship,8595609
/vessels/details/445482107,509-1099,Unknown,445482107
/vessels/details/1018808,YON BONG,General Cargo Ship,1018808
/vessels/details/7206641,SONG DO WON 1,Refrigerated Cargo Ship,7206641
/vessels/details/445386000,RANGNANG3,Unknown,445386000
/vessels/details/445896777,CAU GU TAN-BI 5,Fishing vessel,445896777
/vessels/details/8708684,KUM JIN GANG 2,Oil Products Tanker,8708684
/vessels/details/445556845,60 LUOI CHA-A1-85,Unknown,445556845
/vessels/details/7903794,KUM JIN 1,Fishing Vessel,7903794
/vessels/details/8864464,PUK CHON 2,Aggregates Carrier,8864464
/vessels/details/8597944,HONG DAE 2,General Cargo Ship,8597944
/vessels/details/9314650,RA NAM 3,General Cargo Ship,9314650
/vessels/details/445879279,NHUTPHAP NGA BI94,Fishing vessel,445879279
/vessels/details/445119000,JUAMSAN4,Cargo ship,445119000
/vessels/details/8992261,JE IL BONG 1,General Cargo Ship,8992261
/vessels/details/9021576,TAE CHONG SAN,General Cargo Ship,9021576
/vessels/details/6817948,UN CHON,General Cargo Ship,6817948
/vessels/details/445217682,HAI SHENG 17682-11,Unknown,445217682
/vessels/details/445774412,02877-21-95,Unknown,445774412
/vessels/details/8717910,MAN DOK SAN,General Cargo Ship,8717910
/vessels/details/8838128,DONG HUNG,Fishing Vessel,8838128
/vessels/details/445489109,509-1539,Unknown,445489109
/vessels/details/8925012,JUNG GANG 5,Container Ship,8925012
/vessels/details/445489310,509-1868,Unknown,445489310
/vessels/details/8314811,YOMPUNG3,General Cargo Ship,8314811
/vessels/details/8610461,KUM RYONG3,Oil Products Tanker,8610461
/vessels/details/445201445,QIONG DAN YU 11967-4,Unknown,445201445
/vessels/details/8356584,RYU JONG 1,General Cargo Ship,8356584
/vessels/details/8817007,SIN PHYONG 2,Oil Products Tanker,8817007
/vessels/details/1029613,RAK WON 3,General Cargo Ship,1029613
/vessels/details/445231000,UL JI BONG,Cargo ship,445231000
/vessels/details/8604917,YU JONG 2,Oil Products Tanker,8604917
/vessels/details/9129677,RYO SONG 2,General Cargo Ship,9129677
/vessels/details/8602763,TAEPYONG 2,Bulk Carrier,8602763
/vessels/details/445484509,070-399,Unknown,445484509
/vessels/details/8974099,NAM SAN HO,General Cargo Ship,8974099
/vessels/details/8995990,HAE SONG 1,General Cargo Ship,8995990
/vessels/details/445410506,429-575,Unknown,445410506
/vessels/details/7914212,NAM HUNG,Fishing Vessel,7914212
/vessels/details/445822000,PO TONG GANG 1,Cargo ship,445822000
/vessels/details/445485209,317-299,Unknown,445485209
/vessels/details/8503735,DONG NAM NO. 1,General Cargo Ship,8503735
/vessels/details/8593209,MO RAN BONG 1,General Cargo Ship,8593209
/vessels/details/445411803,429-1894,Unknown,445411803
/vessels/details/8221222,SON BONG 1,General Cargo Ship,8221222
/vessels/details/8605727,SU RI BONG,Bulk Carrier,8605727
/vessels/details/445800009,4458-9,Unknown,445800009
/vessels/details/8672897,MIN HAE,General Cargo Ship,8672897
/vessels/details/445661000,CHON JI 1,Unknown,445661000
/vessels/details/8705539,RYONGJON,Oil Products Tanker,8705539
/vessels/details/445000000,JUAMSAN 6,Cargo ship,445000000
/vessels/details/1042990,SONG SAN 3,General Cargo Ship,1042990
/vessels/details/445556710,60 LUOI CHA-A171,Unknown,445556710
/vessels/details/445819912,581991240,Unknown,445819912
/vessels/details/445723000,CHIL BO SAN,Pleasure craft,445723000
/vessels/details/8592774,HWAPHYONG,General Cargo Ship,8592774
/vessels/details/8021579,SIN PHYONG 14,Oil Products Tanker,8021579
/vessels/details/445484002,070-899,Unknown,445484002
/vessels/details/7379618,TU RU BONG 2,Fishing Vessel,7379618
/vessels/details/445268845,88718,Fishing vessel,445268845
/vessels/details/445224000,RYONG SAN 1,Cargo ship,445224000
/vessels/details/8966535,UN PHA 2,Oil Products Tanker,8966535
/vessels/details/445955000,HAE MYONG,Cargo ship,445955000
/vessels/details/8850499,DAE HUNG RA SON 2,Refrigerated Cargo Ship,8850499
/vessels/details/7910383,PUK SONG 1,General Cargo Ship,7910383
/vessels/details/7916777,HWANG JIN,Fishing Vessel,7916777
/vessels/details/445411000,KANG SAN 1,Cargo ship,445411000
/vessels/details/445122162,33686,Fishing vessel,445122162
/vessels/details/8594124,NYONG BYON 2,General Cargo Ship,8594124
/vessels/details/1119353,TOK HUNG,General Cargo Ship,1119353
/vessels/details/8595623,MADUSAN 1,General Cargo Ship,8595623
/vessels/details/8987333,RYO MYONG,General Cargo Ship,8987333
/vessels/details/445411605,429-1684,Unknown,445411605
/vessels/details/8510130,MYONG SIN 1,General Cargo Ship,8510130
/vessels/details/8203933,JANG GYONG,General Cargo Ship,8203933
/vessels/details/8651300,KUM HO 1,General Cargo Ship,8651300
/vessels/details/445495000,PONGDAESAN,Cargo ship,445495000
/vessels/details/8658267,SO BAEK SAN,General Cargo Ship,8658267
/vessels/details/8629101,JUNG KANG 2,General Cargo Ship,8629101
/vessels/details/445200839,HAI SHENG 17682-9,Unknown,445200839
/vessels/details/8921860,PU UN,General Cargo Ship,8921860
/vessels/details/7913438,KUM GANG SAN 1,Fishing Vessel,7913438
/vessels/details/445701000,KUWOLSAN 1,Cargo ship,445701000
/vessels/details/8667414,PAEK SONG8,General Cargo Ship,8667414
/vessels/details/9066540,HAPJANGGANG6,General Cargo Ship,9066540
/vessels/details/445201619,04696-1-99,Unknown,445201619
/vessels/details/445482504,509-1462,Unknown,445482504
/vessels/details/445410802,429-867,Unknown,445410802
/vessels/details/9028158,CHON NYON 1,General Cargo Ship,9028158
/vessels/details/8748309,TONG MYONG 9,General Cargo Ship,8748309
/vessels/details/8358611,KUM GWANG 3,General Cargo Ship,8358611
/vessels/details/8989795,RYONG YON,General Cargo Ship,8989795
/vessels/details/8913186,UN BONG 2,General Cargo Ship,8913186
/vessels/details/8503228,KAL MA,General Cargo Ship,8503228
/vessels/details/8703933,CHONG UN,General Cargo Ship,8703933
/vessels/details/445481308,509-476,Unknown,445481308
/vessels/details/8664149,ZAI ZHOU 1,General Cargo Ship,8664149
/vessels/details/7354565,UNPHA1,Fishing Vessel,7354565
/vessels/details/1017787,MORANBONG 7,General Cargo Ship,1017787
/vessels/details/7303803,A S,Chemical Tanker,7303803
/vessels/details/445990000,HAE YANG 1,Cargo ship,445990000
/vessels/details/1092165,HAE YON 15,General Cargo Ship,1092165
/vessels/details/9024889,SU SONG,General Cargo Ship,9024889
/vessels/details/9153331,JANG AN,General Cargo Ship,9153331
/vessels/details/445606247,60518-15-68,Unknown,445606247
/vessels/details/8613360,S P 11,Oil Products Tanker,8613360
/vessels/details/445853000,SONG NIM 2,Cargo ship,445853000
/vessels/details/445566336,T 799 VD A1-56,Unknown,445566336
/vessels/details/445859000,SONG DO 3,Cargo ship,445859000
/vessels/details/8360913,HYON MU 7,General Cargo Ship,8360913
/vessels/details/8955495,JON SONG,General Cargo Ship,8955495
/vessels/details/8937675,TONG SAN 2,Aggregates Carrier,8937675
/vessels/details/8882052,TONG SAN,Fish Carrier,8882052
/vessels/details/9054767,SOBAEKSU,General Cargo Ship,9054767
/vessels/details/8832227,YANG GAK DO 7,Research Vessel,8832227
/vessels/details/445411308,429-1377,Unknown,445411308
/vessels/details/445090078,TAOTAO-8-78,Unknown,445090078
/vessels/details/8651415,NAM PHO 9,General Cargo Ship,8651415
/vessels/details/445485101,317-199,Unknown,445485101
/vessels/details/445873000,ALFA ONE,Other type,445873000
/vessels/details/8990550,NAMDAEBONG8,General Cargo Ship,8990550
/vessels/details/445586632,66061,Fishing vessel,445586632
/vessels/details/1110060,HAE CHIL BO,General Cargo Ship,1110060
/vessels/details/445612207,VASANA JAROENTRAP 51,Towing vessel (tow>200),445612207
/vessels/details/8985036,JIN MO BONG 2,Fishing Vessel,8985036
/vessels/details/8323537,TOK JI GANG,General Cargo Ship,8323537
/vessels/details/445774413,02877-22-77,Unknown,445774413
/vessels/details/445353435,11719-9 15,Other type,445353435
/vessels/details/445200891,11228-3-82,Unknown,445200891
/vessels/details/8604541,KS1,General Cargo Ship,8604541
/vessels/details/445188658,NIN,Cargo ship,445188658
/vessels/details/445771000,F N,Cargo ship,445771000
/vessels/details/8882040,TU RU BONG,General Cargo Ship,8882040
/vessels/details/8405311,SAM JONG 1,Oil Products Tanker,8405311
/vessels/details/445200232,QIONG DAN YU 11967-5,Unknown,445200232
/vessels/details/8598431,THAE JA BONG,General Cargo Ship,8598431
/vessels/details/445201929,HAI SHENG 17682-12,Unknown,445201929
/vessels/details/445819901,581990199,Unknown,445819901
/vessels/details/8122347,NAM SAN 8,Crude Oil Tanker,8122347
/vessels/details/445200194,QIONG DAN YU 11967-3,Unknown,445200194
/vessels/details/8910378,MO RAN BONG 8,Chemical/Oil Products Tanker,8910378
/vessels/details/9159787,PYOL O,General Cargo Ship,9159787
/vessels/details/9061227,CHANG SONG 8,General Cargo Ship,9061227
/vessels/details/8018912,RYONG RIM,Bulk Carrier,8018912
/vessels/details/8360406,TOK SONG,General Cargo Ship,8360406
/vessels/details/9338981,CHANG PHYONG,General Cargo Ship,9338981
/vessels/details/8661915,HONG DAE 1,General Cargo Ship,8661915
/vessels/details/445484610,070-299,Unknown,445484610
/vessels/details/8736382,PUYANG 5,General Cargo Ship,8736382
/vessels/details/445984000,ZHU AN 888,SAR,445984000
/vessels/details/8510518,PHYONG HWA,General Cargo Ship,8510518
/vessels/details/1100924,CHONG BONG 1,General Cargo Ship,1100924
/vessels/details/8004428,MYONG CHON,Refrigerated Cargo Ship,8004428
/vessels/details/7506118,MAE BONG SAN,Refrigerated Cargo Ship,7506118
/vessels/details/445560000,OJ2,Unknown,445560000
/vessels/details/8358609,HYONG SAN 1,General Cargo Ship,8358609
/vessels/details/445618000,TEA UN,Cargo ship,445618000
/vessels/details/1096056,SIN DOK SAN,General Cargo Ship,1096056
/vessels/details/445497000,UN SON 7,Cargo ship,445497000
/vessels/details/8660909,ON JONG 2,General Cargo Ship,8660909
/vessels/details/9115028,SIN HAE,General Cargo Ship,9115028
/vessels/details/445489005,509-1666,Unknown,445489005
/vessels/details/8417962,PHO PHYONG,Bulk Carrier,8417962
/vessels/details/1036408,UN HA,General Cargo Ship,1036408
