url,name,type,imo
/vessels/details/9344459,TK AKTAU,Oil Products Tanker,9344459
/vessels/details/9334600,ABAI,Oil Products Tanker,9334600
/vessels/details/9323118,KAZAKHSTAN,Oil Products Tanker,9323118
/vessels/details/9323106,ALMATY,Oil Products Tanker,9323106
/vessels/details/9650951,NASIPKALI MARABAYEV,General Cargo Ship,9650951
/vessels/details/9598880,ZHIBEK ZHOLY,General Cargo Ship,9598880
/vessels/details/9686390,ATAMEKEN,General Cargo Ship,9686390
/vessels/details/9645102,KARAGANDA,Oil Products Tanker,9645102
/vessels/details/9645097,KOSTANAY,Oil Products Tanker,9645097
/vessels/details/9645073,MT KURUSH,Oil Products Tanker,9645073
/vessels/details/9814521,BARYS,Deck Cargo Ship,9814521
/vessels/details/9814545,SUNKAR,Deck Cargo Ship,9814545
/vessels/details/9519236,BEKET ATA,General Cargo Ship,9519236
/vessels/details/9396646,TURKESTAN,General Cargo Ship,9396646
/vessels/details/9812250,TOPAZ CHU,Heavy Load Carrier,9812250
/vessels/details/9811567,TOPAZ AMUR,Heavy Load Carrier,9811567
/vessels/details/7349986,ERSAI 3,Work/Repair Vessel,7349986
/vessels/details/8639742,VESALIUS,Dredger,8639742
/vessels/details/9077537,MELIANA,Chemical/Oil Products Tanker,9077537
/vessels/details/7418725,DMITRIY,Fishing Vessel,7418725
/vessels/details/7029641,DOSMAGANBET,Waste Disposal Vessel,7029641
/vessels/details/8644682,MERWEDE,Dredger,8644682
/vessels/details/8138619,GRIF,Research Vessel,8138619
/vessels/details/8423193,BLAGOEVO,Fishing Vessel,8423193
/vessels/details/9841031,KABANBAY BATYR,Pusher Tug,9841031
/vessels/details/9841043,KARASAY BATYR,Pusher Tug,9841043
/vessels/details/9895343,CASPIAN FAUNA,Tug,9895343
/vessels/details/9757450,AKKY,Research Vessel,9757450
/vessels/details/9641479,CASPIAN SKUA,Utility Vessel,9641479
/vessels/details/9628477,TOPAZ ZEPHYR,Offshore Tug/Supply Ship,9628477
/vessels/details/9624990,TOPAZ ZENITH,Offshore Tug/Supply Ship,9624990
/vessels/details/9289996,GOKSU,Utility Vessel,9289996
/vessels/details/436000401,PATRIOT,Sailing vessel,436000401
/vessels/details/436000402,ALISA,Pleasure craft,436000402
/vessels/details/436633000,LUSHOUYU60275,Unknown,436633000
/vessels/details/436000359,DN54,Tug,436000359
/vessels/details/436100670,5772-BOUY-0670-47,Unknown,436100670
/vessels/details/436076642,60766-42-84,Unknown,436076642
/vessels/details/9277591,SHAPAGAT,Offshore Support Vessel,9277591
/vessels/details/9614555,PHOENIX,Tug,9614555
/vessels/details/436100675,5772-BOUY-0675-55,Unknown,436100675
/vessels/details/9001681,SA JET 2,Offshore Tug/Supply Ship,9001681
/vessels/details/436017545,LUCHENGYU60175-45,Unknown,436017545
/vessels/details/8764573,PARKER RIG 257,Drilling Ship,8764573
/vessels/details/9092410,CASPIAN KYRA,Work/Repair Vessel,9092410
/vessels/details/8770003,VERITAS PEARL,Offshore Support Vessel,8770003
/vessels/details/436000306,BUE CHU,Other type,436000306
/vessels/details/436200011,4362-11-96,Unknown,436200011
/vessels/details/436399965,ANTONELLA V,Fishing vessel,436399965
/vessels/details/8882985,SURVEYOR,Utility Vessel,8882985
/vessels/details/9670705,BULAK,Oil Products Tanker,9670705
/vessels/details/436986658,00011,Unknown,436986658
/vessels/details/436900676,04369-B4,Unknown,436900676
/vessels/details/9287039,MERIC,Tug,9287039
/vessels/details/9384631,ZHANAT,Tug,9384631
/vessels/details/436000353,OSR TUG-2,Other type,436000353
/vessels/details/8726820,SKAT,Fishing Vessel,8726820
/vessels/details/9618410,MANGYSTAU 5,Tug,9618410
/vessels/details/436061803,60618-0327,Unknown,436061803
/vessels/details/9668207,SATTI,Platform,9668207
/vessels/details/436061805,60618-0559,Unknown,436061805
/vessels/details/8862260,HELEN,Research Vessel,8862260
/vessels/details/436079653,60796-537.8V,Unknown,436079653
/vessels/details/436000410,NEMO,Pleasure craft,436000410
/vessels/details/9001679,SA JET 1,Offshore Tug/Supply Ship,9001679
/vessels/details/436925881,LUDONGYU60018,Unknown,436925881
/vessels/details/436523652,ZHELINGYU61082,Fishing vessel,436523652
/vessels/details/9825465,ZAISAN,Research Vessel,9825465
/vessels/details/7628930,SPETSSTROY-1,General Cargo Ship,7628930
/vessels/details/436100674,5772-BOUY-0674-54,Unknown,436100674
/vessels/details/436985313,SHUNFA313,Other type,436985313
/vessels/details/9718648,KANYSH SATPAYEV,Research Vessel,9718648
/vessels/details/436079658,60796-588.3V,Unknown,436079658
/vessels/details/9172088,KURMANGAZY,Offshore Support Vessel,9172088
/vessels/details/436470818,LUJIAOYU64708-187.1,Unknown,436470818
/vessels/details/9186091,ATLAS,Tug,9186091
/vessels/details/9581904,ARZUV,Offshore Tug/Supply Ship,9581904
/vessels/details/436017542,60175-427.7V,Unknown,436017542
/vessels/details/436470801,LUJIAOYU64708-017.5,Unknown,436470801
/vessels/details/9804162,CASPIAN BREEZE,Offshore Tug/Supply Ship,9804162
/vessels/details/436051933,60519-3348,Unknown,436051933
/vessels/details/436000388,VERITAS CATRO III,Other type,436000388
/vessels/details/436079625,60796-258.0V,Unknown,436079625
/vessels/details/9618393,MANGYSTAU-4,Tug,9618393
/vessels/details/436076630,60766-43-78,Unknown,436076630
/vessels/details/436476639,60766-39-78,Unknown,436476639
/vessels/details/436017544,LUCHENGYU60175-44,Unknown,436017544
/vessels/details/9590010,NEPTUNE,Tug,9590010
/vessels/details/9384277,BATYRKHAN,Pusher Tug,9384277
/vessels/details/9190145,ORDABASY,Pusher Tug,9190145
/vessels/details/8791588,ARLAN,Utility Vessel,8791588
/vessels/details/436000363,SPASAT,HSC,436000363
/vessels/details/436079654,60796-547.2V,Unknown,436079654
/vessels/details/436079611,60796-118.1V,Unknown,436079611
/vessels/details/9277589,NUR,Offshore Support Vessel,9277589
/vessels/details/436079661,60796-618.1V,Unknown,436079661
/vessels/details/6726711,SAKARYA,Offshore Support Vessel,6726711
/vessels/details/9384332,IBEEV01,Standby Safety Vessel,9384332
/vessels/details/436537270,DONGHAI27 60,Unknown,436537270
/vessels/details/436750086,ABC123456,Cargo ship,436750086
/vessels/details/436526368,TAILONG38,Unknown,436526368
/vessels/details/436470814,LUJIAOYU64708-147.4,Unknown,436470814
/vessels/details/8791590,ALINA,Research Vessel,8791590
/vessels/details/436685688,09,Cargo ship,436685688
/vessels/details/436079665,60796-658.1V,Unknown,436079665
/vessels/details/9569073,IBEEV 11,Standby Safety Vessel,9569073
/vessels/details/436017519,LUCHENGYU60175-19,Unknown,436017519
/vessels/details/9904314,CASPIAN PELICAN,Offshore Tug/Supply Ship,9904314
/vessels/details/436079664,60796-648.1V,Unknown,436079664
/vessels/details/9814533,BERKUT,Deck Cargo Ship,9814533
/vessels/details/9353060,ZHAIK,Research Vessel,9353060
/vessels/details/436061817,60618-1701,Unknown,436061817
/vessels/details/9323091,ASTANA,Oil Products Tanker,9323091
/vessels/details/436000391,CASPIAN FLORA,Tug,436000391
/vessels/details/436017515,LUCHENGYU60175-15,Unknown,436017515
/vessels/details/436000019,P1,Passenger ship,436000019
/vessels/details/9095058,CASPIAN FALCON,Passenger/Ro-Ro Cargo Ship,9095058
/vessels/details/1041128,BAITEREK,Yacht,1041128
/vessels/details/436017510,60175-108.0V,Unknown,436017510
/vessels/details/9451161,ZHENIS,Tug,9451161
/vessels/details/436079629,60796-298.1V,Unknown,436079629
/vessels/details/9384265,SARBAS,Pusher Tug,9384265
/vessels/details/9329502,BATYR,Tug,9329502
/vessels/details/436051932,60519-327.8V,Unknown,436051932
/vessels/details/436000313,ARLAN,Tug,436000313
/vessels/details/8869490,MERIDIAN,Fish Carrier,8869490
/vessels/details/9439553,IBEEV 05,Standby Safety Vessel,9439553
/vessels/details/436000340,CASPIAN SEAL,Other type,436000340
/vessels/details/8898544,COASTAL BIGFOOT,Utility Vessel,8898544
/vessels/details/9590204,SATURN,Tug,9590204
/vessels/details/9252084,KASYMBORG,Pusher Tug,9252084
/vessels/details/9099004,ATASH,Offshore Tug/Supply Ship,9099004
/vessels/details/9802774,TARAZ,Oil Products Tanker,9802774
/vessels/details/1020320,CASPIAN LOTUS,Tug,1020320
/vessels/details/436079656,60796-567.8V,Unknown,436079656
/vessels/details/436529865,SHUNFA15HAO,Cargo ship,436529865
/vessels/details/436611117,32001-28-34,Unknown,436611117
/vessels/details/436494677,LUCHENGYU60002-128V1,Unknown,436494677
/vessels/details/436079652,60796-527.8V,Unknown,436079652
/vessels/details/9347865,BUE TOBOL,Crew Boat,9347865
/vessels/details/436079619,60796-198.1V,Unknown,436079619
/vessels/details/436056812,60568-128.1V,Unknown,436056812
/vessels/details/9027702,PLOTOVOD 707,Supply Tender,9027702
/vessels/details/8973370,ASANGALI,Oil Products Tanker,8973370
/vessels/details/436079636,60796-368.1V,Unknown,436079636
/vessels/details/9557616,UMYD,Crew Boat,9557616
/vessels/details/436068735,60687-358.2V,Unknown,436068735
/vessels/details/436076635,04766-35-82,Unknown,436076635
/vessels/details/436200010,4362-10-77,Unknown,436200010
/vessels/details/9499591,IBEEV08,Standby Safety Vessel,9499591
/vessels/details/9882102,CASPIAN AMWAJ,Utility Vessel,9882102
/vessels/details/9569097,IBEEV 12,Standby Safety Vessel,9569097
/vessels/details/9400241,ISKANDER,Pusher Tug,9400241
/vessels/details/9358345,BUE ILI,Tug,9358345
/vessels/details/9499589,IBEEV 07,Standby Safety Vessel,9499589
/vessels/details/9116450,CASPIAN EVA,Offshore Tug/Supply Ship,9116450
/vessels/details/436470819,LUJIAOYU64708-197.9,Unknown,436470819
/vessels/details/436017509,LUCHENGYU60175-09,Unknown,436017509
/vessels/details/436397011,XCWD,Other type,436397011
/vessels/details/8611556,ERSAI 4,Passenger/Ro-Ro Cargo Ship,8611556
/vessels/details/436079607,60796-078.0V,Unknown,436079607
/vessels/details/8644694,NUO XI HAO,Dredger,8644694
/vessels/details/9358333,BUE CHU,Tug,9358333
/vessels/details/436100673,5772-BOUY-0673-57,Unknown,436100673
/vessels/details/436079663,60796-638.1V,Unknown,436079663
/vessels/details/436079614,60796-148.2V,Unknown,436079614
/vessels/details/436100669,5772-BOUY-0669-99,Unknown,436100669
/vessels/details/436789007,CB-FISHBOUY-09-44,Unknown,436789007
