url,name,type,imo
/vessels/details/9263162,2GO MASAGANA,Passenger/Ro-Ro Cargo Ship,9263162
/vessels/details/531978938,19789-38-76,Unknown,531978938
/vessels/details/531123781,LIN 12378-1-99,Unknown,531123781
/vessels/details/531882912,06789-12-03,Unknown,531882912
/vessels/details/531999561,SAN 99956-1-89,Unknown,531999561
/vessels/details/531000036,531-36-88,Unknown,531000036
/vessels/details/531000032,531-32-78,Unknown,531000032
/vessels/details/531219911,LIN21991-1-76,Unknown,531219911
/vessels/details/531215591,LIN 21559-1-76,Unknown,531215591
/vessels/details/531111111,Y 53 E26 P156,Unknown,531111111
/vessels/details/531297937,LIN 12979-37-50,Unknown,531297937
/vessels/details/531184808,SUDONGTAIYU1184808,Unknown,531184808
/vessels/details/531280017,ZHEYUYU53128-17-70,Unknown,531280017
/vessels/details/531821812,SUQIYU18218A127.7V,Unknown,531821812
/vessels/details/531258811,LIN 12588-11-64,Unknown,531258811
/vessels/details/531882917,06789-17-99,Unknown,531882917
/vessels/details/531234567,L M OPERATION DPLN,Port tender,531234567
/vessels/details/531821814,SUQIYU18218A148.3V,Unknown,531821814
/vessels/details/531228713,69333-11-72,Unknown,531228713
/vessels/details/531100000,12,Pleasure craft,531100000
/vessels/details/531184812,SUDONGTAIYU1184812,Unknown,531184812
/vessels/details/531630002,53163-2-99,Unknown,531630002
/vessels/details/531255509,BIAO 00555-9-86,Unknown,531255509
/vessels/details/531251861,LIN 12518-61-90,Unknown,531251861
/vessels/details/531290911,LIN12909-11-87,Unknown,531290911
/vessels/details/531247845,SUHUAIHUO16268,Cargo ship,531247845
/vessels/details/531000031,531-31-71,Unknown,531000031
/vessels/details/531821816,SUQIYU18218A167.9V,Unknown,531821816
/vessels/details/531907952,SUQIYU19079528.0V,Unknown,531907952
/vessels/details/531282016,LIN12820-16-95,Unknown,531282016
/vessels/details/531218602,04576-2-80,Unknown,531218602
/vessels/details/531218689,LIN21868-9-98,Unknown,531218689
/vessels/details/531255511,BIAO 00555-11-55,Unknown,531255511
/vessels/details/531000000,12,Tanker (HAZ-B),531000000
/vessels/details/531237713,LIN12377-13-55,Unknown,531237713
/vessels/details/531213801,LIN21381-1-75,Unknown,531213801
/vessels/details/531216581,LIN 21658-1-70,Unknown,531216581
/vessels/details/531879988,02396-16-16-55,Unknown,531879988
/vessels/details/531184810,SUDONGTAIYU1184810,Unknown,531184810
/vessels/details/531208210,LIN12082-10-88,Unknown,531208210
/vessels/details/531888813,21377-13-99,Unknown,531888813
/vessels/details/531283912,LIN12839-12-89,Unknown,531283912
/vessels/details/531290802,BIAO 02908-2-49,Unknown,531290802
/vessels/details/531295817,LIN12958-17-99,Unknown,531295817
/vessels/details/531032221,ADG,Cargo ship,531032221
/vessels/details/531902501,YM-11111-56,Unknown,531902501
/vessels/details/531213524,LIN12135-24-99,Unknown,531213524
/vessels/details/531000038,531-38-74,Unknown,531000038
/vessels/details/531231911,LIN 12319-11-84,Unknown,531231911
/vessels/details/531221822,LIN12218-22-33,Unknown,531221822
/vessels/details/531208416,LIN12084-16-99,Unknown,531208416
/vessels/details/531821818,SUQIYU18218A187.9V,Unknown,531821818
/vessels/details/531215012,LIN21501-B2-76,Unknown,531215012
/vessels/details/531968611,02383-11-89,Unknown,531968611
/vessels/details/531219291,LIN 21929-1-99,Unknown,531219291
/vessels/details/531233518,LIN12338-18-89,Unknown,531233518
/vessels/details/531212552,LIN21255-2-15,Unknown,531212552
/vessels/details/531440000,12,Pleasure craft,531440000
/vessels/details/531223765,MINPUYU49555-19-92,Unknown,531223765
/vessels/details/531129053,LIN 12905-3-44,Unknown,531129053
/vessels/details/531000035,531-35-99,Unknown,531000035
/vessels/details/531038223,ADA,Cargo ship,531038223
/vessels/details/531000033,531-33-93,Unknown,531000033
/vessels/details/531228113,LIN12281-13-22,Unknown,531228113
