url,name,type,imo
/vessels/details/343701386,A66777-5-99,Unknown,343701386
/vessels/details/343990001,YUEYANGXI34399-1-77,Fishing vessel,343990001
/vessels/details/343120013,LIN12001-3-68,Unknown,343120013
/vessels/details/343218899,LIN21889-9-88,Unknown,343218899
/vessels/details/343600200,JIANFU -11-99,Unknown,343600200
/vessels/details/343543625,MKII-25-FISHBUOY 96,Fishing vessel,343543625
/vessels/details/343600180,02266-12-92,Unknown,343600180
/vessels/details/343480010,YUEYANGXI34348-1095,Unknown,343480010
/vessels/details/343480036,34348-36-70,Unknown,343480036
/vessels/details/343600164,JI BA YU 05018-30,Unknown,343600164
/vessels/details/343213997,LIN 21399-7-63,Unknown,343213997
/vessels/details/343780008,YUEYANGXI34378-8-89,Unknown,343780008
/vessels/details/343360004,YANGXIYU34336-4-10,Unknown,343360004
/vessels/details/343543612,MKII-12-FISHBUOY 80,Fishing vessel,343543612
/vessels/details/343522141,F17-G17,Cargo ship,343522141
/vessels/details/343660002,CT34366-02-97,Unknown,343660002
/vessels/details/343655704,XIELONG36557-4-71,Unknown,343655704
/vessels/details/343216594,LIN21659-4-62,Unknown,343216594
/vessels/details/343600210,JIANFU -20-99,Unknown,343600210
/vessels/details/343502991,JIHUANGYU05276-6-86,Unknown,343502991
/vessels/details/343212321,01366-3,Unknown,343212321
/vessels/details/343543610,MKII-10-FISHBUOY 4,Fishing vessel,343543610
/vessels/details/343123773,LIM12377-3-99,Unknown,343123773
/vessels/details/343655701,XIELONG36557-1-99,Unknown,343655701
/vessels/details/343770002,343770002 8V,Unknown,343770002
/vessels/details/343219684,LIN21968-4-99,Unknown,343219684
/vessels/details/343543602,MKII-02-FISHBUOY 89,Fishing vessel,343543602
/vessels/details/343388977,33889-77-92,Unknown,343388977
/vessels/details/343212555,LIN 21255-5-95,Unknown,343212555
/vessels/details/343492581,XIANG 49258-1-99,Unknown,343492581
/vessels/details/343290837,BIAO 02908-37-90,Unknown,343290837
/vessels/details/343543604,MKII-04-FISHBUOY 45,Fishing vessel,343543604
/vessels/details/343543611,MKII-11-FISHBUOY 33,Fishing vessel,343543611
/vessels/details/343701827,A66777-1-98,Unknown,343701827
/vessels/details/343480008,YUEYANGXI34348-8-88,Unknown,343480008
/vessels/details/343663645,17238-6 22,Other type,343663645
/vessels/details/343521244,ZHELINYU21244-347.7,Unknown,343521244
/vessels/details/343543623,MKII-23-FISHBUOY 76,Fishing vessel,343543623
/vessels/details/343600202,JIANFU -13-99,Unknown,343600202
/vessels/details/343480009,YUEYANGXI34348-9-99,Unknown,343480009
/vessels/details/343600201,JIANFU -12-99,Unknown,343600201
/vessels/details/343600168,03456-1-39,Unknown,343600168
/vessels/details/343721292,LG21292-348.0V,Unknown,343721292
/vessels/details/343780007,YUEYANGXI34378-7-89,Unknown,343780007
/vessels/details/343621805,LG21805-348.0V,Unknown,343621805
/vessels/details/343701547,TIEKAI668-1-50,Unknown,343701547
/vessels/details/343263108,RAP 63 E 4 E 22,Fishing vessel,343263108
/vessels/details/343214779,ZHELIN21477-9-94,Unknown,343214779
/vessels/details/343480015,34348-15-99,Unknown,343480015
/vessels/details/343780003,YUEYANGXI34378-3-89,Unknown,343780003
/vessels/details/343219734,LIN21973-4-97,Unknown,343219734
/vessels/details/343543617,MKII-17-FISHBUOY 88,Fishing vessel,343543617
/vessels/details/343554290,NOEUL,Cargo ship,343554290
/vessels/details/343332333,HANFFGGHHHH,Pleasure craft,343332333
/vessels/details/343128831,LIN12883-1-73,Unknown,343128831
/vessels/details/343600192,2578-12-99,Unknown,343600192
/vessels/details/343521831,LKJ21831-347.8V,Unknown,343521831
/vessels/details/343543608,MKII-08-FISHBUOY 39,Fishing vessel,343543608
/vessels/details/343480033,34348-33-74,Unknown,343480033
/vessels/details/343218015,LIN21801-5-85,Unknown,343218015
/vessels/details/343480032,34348-32-94,Unknown,343480032
/vessels/details/343456798,LIUCIWANG55-28-91,Unknown,343456798
/vessels/details/343543601,MKII-01-FISHBUOY 41,Fishing vessel,343543601
/vessels/details/343000002,FLYING RAY,Pleasure craft,343000002
/vessels/details/343218814,LIN21881-4-99,Unknown,343218814
/vessels/details/343219524,32195-24-88,Unknown,343219524
