url,name,type,imo
/vessels/details/9388792,UNITY,Crude Oil Tanker,9388792
/vessels/details/9664483,SEA TANKER II,Oil Products Tanker,9664483
/vessels/details/644730236,WANGDI64473-36-99,Unknown,644730236
/vessels/details/644036174,SUQIYU03617-4-54,Unknown,644036174
/vessels/details/644218256,LIN 21825-6-57,Unknown,644218256
/vessels/details/644730104,WANGDI64473-4-86,Unknown,644730104
/vessels/details/644785002,644785-2-13,Unknown,644785002
/vessels/details/644670001,64467-1-99,Unknown,644670001
/vessels/details/644780004,LULONGYU64478-4-97,Unknown,644780004
/vessels/details/644730217,WANGDI64473-17-16,Unknown,644730217
/vessels/details/644112610,97059-DF-399,Unknown,644112610
/vessels/details/644780025,LULONGYU64478-25-99,Unknown,644780025
/vessels/details/644730127,WANGDI64473-27-01,Unknown,644730127
/vessels/details/644332001,YANGCHAO-9-70,Unknown,644332001
/vessels/details/644730235,WANGDI64473-35-99,Unknown,644730235
/vessels/details/644780023,LULONGYU64478-23-99,Unknown,644780023
/vessels/details/644833788,MKII-FISHBUOY-WES 83,Fishing vessel,644833788
/vessels/details/644511049,MARLOU 4 A 11.2V,Other type,644511049
/vessels/details/644667519,WANGLIN,Fishing vessel,644667519
/vessels/details/644069001,LULONGYU64469-01-01,Unknown,644069001
/vessels/details/644730230,WANGDI64473-30-97,Unknown,644730230
/vessels/details/644780027,LULONGYU64478-27-99,Unknown,644780027
/vessels/details/644310987,01620-17-17 50,Unknown,644310987
/vessels/details/644730234,WANGDI64473-34-67,Unknown,644730234
/vessels/details/644314139,MARLOU 5 B8 66,Unknown,644314139
/vessels/details/644730232,WANGDI64473-32-06,Unknown,644730232
/vessels/details/644730213,WANGDI64473-13-99,Unknown,644730213
/vessels/details/644780024,LULONGYU64478-24-99,Unknown,644780024
/vessels/details/644780021,LULONGYU64478-21-99,Unknown,644780021
/vessels/details/644730134,WANGDI64473-34-90,Unknown,644730134
/vessels/details/644444444,JINTANGYU03168,Fishing vessel,644444444
/vessels/details/644780022,LULONGYU64478-22-99,Unknown,644780022
/vessels/details/644730136,WANGDI64473-36-99,Unknown,644730136
/vessels/details/644511034,MARLOU1 B-03 11.9V,Other type,644511034
/vessels/details/644730109,WANGDI64473-9-12,Unknown,644730109
/vessels/details/644780026,LULONGYU64478-26-99,Unknown,644780026
/vessels/details/644730122,WANGDI64473-22-26,Unknown,644730122
/vessels/details/644730227,WANGDI64473-27-76,Unknown,644730227
/vessels/details/644730133,WANGDI64473-33-99,Unknown,644730133
/vessels/details/644539911,SOPOT BARZA,Unknown,644539911
/vessels/details/644730009,LULONGYU64473-09-54,Unknown,644730009
/vessels/details/644730132,WANGDI64473-32-99,Unknown,644730132
/vessels/details/644730220,WANGDI64473-20-86,Unknown,644730220
/vessels/details/644730231,WANGDI64473-31-84,Unknown,644730231
/vessels/details/644296801,00000000000000000000,Law enforcment,644296801
/vessels/details/644700119,PIAWAI,Passenger ship,644700119
/vessels/details/644024447,LIAOWQYU61047-15-44,Unknown,644024447
/vessels/details/644730214,WANGDI64473-14-80,Unknown,644730214
/vessels/details/644780020,LULONGYU64478-20-99,Unknown,644780020
/vessels/details/644730128,WANGDI64473-28-99,Unknown,644730128
/vessels/details/644730129,WANGDI64473-29-99,Unknown,644730129
/vessels/details/644730221,WANGDI64473-21-74,Unknown,644730221
/vessels/details/644000200,DUC AN 73 E38,Fishing vessel,644000200
/vessels/details/644730226,WANGDI64473-26-93,Unknown,644730226
/vessels/details/644730130,WANGDI64473-30-65,Unknown,644730130
/vessels/details/644780001,LULONGYU64478-1-86,Unknown,644780001
