url,name,type,imo
/vessels/details/9629536,INDEPENDENCE,Offshore Support Vessel,9629536
/vessels/details/9809112,ACACIA SEAWAYS,Ro-Ro Cargo Ship,9809112
/vessels/details/9809100,TULIPA SEAWAYS,Ro-Ro Cargo Ship,9809100
/vessels/details/9350680,ATHENA SEAWAYS,Passenger/Ro-Ro Cargo Ship,9350680
/vessels/details/9350721,VICTORIA SEAWAYS,Passenger/Ro-Ro Cargo Ship,9350721
/vessels/details/9458535,REGINA SEAWAYS,Passenger/Ro-Ro Cargo Ship,9458535
/vessels/details/9188427,OPTIMA SEAWAYS,Passenger/Ro-Ro Cargo Ship,9188427
/vessels/details/9212163,SIRENA SEAWAYS,Passenger/Ro-Ro Cargo Ship,9212163
/vessels/details/9188233,BELGIA SEAWAYS,Ro-Ro Cargo Ship,9188233
/vessels/details/9516753,LIMARKO BREEZE,Container Ship,9516753
/vessels/details/8917390,PATRIA SEAWAYS,Passenger/Ro-Ro Cargo Ship,8917390
/vessels/details/9327578,BALLATA,Container Ship,9327578
/vessels/details/9327580,KANTATA,Container Ship,9327580
/vessels/details/9316103,SONATA,Container Ship,9316103
/vessels/details/8301187,MARGIRIS,Fishing Vessel,8301187
/vessels/details/8607220,SIMONAS DAUKANTAS,Fish Factory Ship,8607220
/vessels/details/8607218,IEVA SIMONAITYTE,Fish Factory Ship,8607218
/vessels/details/9047269,CASSIOPEA,Refrigerated Cargo Ship,9047269
/vessels/details/9009683,LIBRA,Refrigerated Cargo Ship,9009683
/vessels/details/9165308,VICTORIA,Container Ship,9165308
/vessels/details/9143805,ETE PORTUGAL,General Cargo Ship,9143805
/vessels/details/8820092,AFALINA,General Cargo Ship,8820092
/vessels/details/8806163,ARINA,General Cargo Ship,8806163
/vessels/details/9125669,AMIKO,General Cargo Ship,9125669
/vessels/details/9125657,LYDIA,General Cargo Ship,9125657
/vessels/details/8505484,VILKAS,Fishing Vessel,8505484
/vessels/details/9226736,LOKYS,Fishing Vessel,9226736
/vessels/details/9106584,KLAIPEDA,General Cargo Ship,9106584
/vessels/details/8411023,TAURUS,Fishing Vessel,8411023
/vessels/details/9281592,ARAMIS,General Cargo Ship,9281592
/vessels/details/8966509,NERIS,Bunkering Tanker,8966509
/vessels/details/9269300,SL TENGIZ,Offshore Support Vessel,9269300
/vessels/details/8727721,LTU SAR SHIP SAKIAI,Salvage Ship,8727721
/vessels/details/8996798,NERINGA,Passenger/Ro-Ro Cargo Ship,8996798
/vessels/details/9570890,ZALGIRIS,Passenger/Ro-Ro Cargo Ship,9570890
/vessels/details/7003829,GILIJA,Fishing Vessel,7003829
/vessels/details/9713636,MINTIS,Research Vessel,9713636
/vessels/details/8917663,BALTIC EXPLORER,Utility Vessel,8917663
/vessels/details/9381782,NIDA,Passenger/Ro-Ro Cargo Ship,9381782
/vessels/details/8413394,INSE,Fishing Vessel,8413394
/vessels/details/6714809,MINGE,Fishing Vessel,6714809
/vessels/details/8419910,OMEGA,Chemical Tanker,8419910
/vessels/details/5362087,TOVE,Fishing Vessel,5362087
/vessels/details/9752008,TAK-11,Tug,9752008
/vessels/details/9751999,TAK-10,Tug,9751999
/vessels/details/9568847,KLASCO2,Tug,9568847
