url,name,type,imo
/vessels/details/9333694,GALAXY I,Passenger/Ro-Ro Cargo Ship,9333694
/vessels/details/9237589,ROMANTIKA,Passenger/Ro-Ro Cargo Ship,9237589
/vessels/details/9366225,ARTEMIS,Container Ship,9366225
/vessels/details/9349459,UNILIGHT,General Cargo Ship,9349459
/vessels/details/9328651,AQUARIUS,Container Ship,9328651
/vessels/details/9870472,OPTIMUS,Bunkering Tanker,9870472
/vessels/details/9129469,PERSEUS,Container Ship,9129469
/vessels/details/8832112,FISHING TIDE,Fish Factory Ship,8832112
/vessels/details/9121091,FISHING SUCCESS,Fishing Vessel,9121091
/vessels/details/9120308,KAPITAN MORGUN,Fish Factory Ship,9120308
/vessels/details/6814245,VARMA,Icebreaker,6814245
/vessels/details/9246906,FRIENDLAND,General Cargo Ship,9246906
/vessels/details/9281786,NORDLAND,General Cargo Ship,9281786
/vessels/details/9471991,TRAVETAL,General Cargo Ship,9471991
/vessels/details/9374741,EMS LYRA,General Cargo Ship,9374741
/vessels/details/9201865,SERENADA,General Cargo Ship,9201865
/vessels/details/9155975,LOTTALAND,General Cargo Ship,9155975
/vessels/details/9179311,LORALAND,General Cargo Ship,9179311
/vessels/details/9155872,DREAMLAND,General Cargo Ship,9155872
/vessels/details/9173161,DELFIN,General Cargo Ship,9173161
/vessels/details/9190171,CAPELLA,General Cargo Ship,9190171
/vessels/details/9170420,MERSEY,Oil Products Tanker,9170420
/vessels/details/9100188,RIX TERRA,General Cargo Ship,9100188
/vessels/details/9195717,ARMARA JULES VERNE,General Cargo Ship,9195717
/vessels/details/1029041,ULTRAMARINE,General Cargo Ship,1029041
/vessels/details/9962976,VIOLET,General Cargo Ship,9962976
/vessels/details/9953937,EMS MIRA,General Cargo Ship,9953937
/vessels/details/9963023,AZURE,General Cargo Ship,9963023
/vessels/details/9962964,INDIGO,General Cargo Ship,9962964
/vessels/details/9238387,ALDEBARAN,General Cargo Ship,9238387
/vessels/details/8817540,DORADO 2,Fishing Vessel,8817540
/vessels/details/9138185,BALTIC SKIPPER,General Cargo Ship,9138185
/vessels/details/9138214,BALTIC SAILOR,General Cargo Ship,9138214
/vessels/details/9138197,BALTIC CARRIER,General Cargo Ship,9138197
/vessels/details/9138202,BALTIC MERCHANT,General Cargo Ship,9138202
/vessels/details/9375783,LIBERO,General Cargo Ship,9375783
/vessels/details/9375795,RURIK,General Cargo Ship,9375795
/vessels/details/8012097,PLATON,Oil Products Tanker,8012097
/vessels/details/9057226,RIX EIRA,General Cargo Ship,9057226
/vessels/details/9080675,LYRIKA,General Cargo Ship,9080675
/vessels/details/9556818,FEHN COURAGE,General Cargo Ship,9556818
/vessels/details/8606745,LAIMA,Fishing Vessel,8606745
/vessels/details/9649196,AMPERE,General Cargo Ship,9649196
/vessels/details/9463865,TROUBADOUR,General Cargo Ship,9463865
/vessels/details/9234410,MOONRAY,General Cargo Ship,9234410
/vessels/details/9113599,CEG ORBIT,General Cargo Ship,9113599
/vessels/details/9052692,BON VIVANT,General Cargo Ship,9052692
/vessels/details/9240732,FIGARO,General Cargo Ship,9240732
/vessels/details/9232486,EURICA,General Cargo Ship,9232486
/vessels/details/8871273,DZELME,Hopper Dredger,8871273
/vessels/details/8315956,AUSEKLIS,Fishing Vessel,8315956
/vessels/details/8516263,CEG GALAXY,General Cargo Ship,8516263
/vessels/details/8303173,CEG COSMOS,General Cargo Ship,8303173
/vessels/details/8609931,BONITA,General Cargo Ship,8609931
/vessels/details/8709767,CEG UNIVERSE,General Cargo Ship,8709767
/vessels/details/7324376,ARNARBORG,Fishing Vessel,7324376
/vessels/details/8925543,ASTRAHANA,Crane Ship,8925543
/vessels/details/8743969,JOLINE,Ro-Ro Cargo Ship,8743969
/vessels/details/8821010,GLENROSE,Fishing Vessel,8821010
/vessels/details/4589731,VALPAS,Patrol Vessel,4589731
