url,name,type,imo
/vessels/details/9673135,GAZA MARINE TERMINAL,FSO,9673135
/vessels/details/9415399,BARBAROSA,Crude Oil Tanker,9415399
/vessels/details/9415404,AL AGAILA,Crude Oil Tanker,9415404
/vessels/details/8765333,FARWAH,Offshore Support Vessel,8765333
/vessels/details/9386861,MAETIGA,Chemical/Oil Products Tanker,9386861
/vessels/details/9389318,CARTAGENA,Chemical/Oil Products Tanker,9389318
/vessels/details/9275268,ANWAAR AFRIQYA,Oil Products Tanker,9275268
/vessels/details/9313450,ANWAAR ALNASER,Chemical/Oil Products Tanker,9313450
/vessels/details/9313424,ANWAAR AL KHALIJ,Chemical/Oil Products Tanker,9313424
/vessels/details/7205910,KEVALAY QUEEN,Passenger/Ro-Ro Cargo Ship,7205910
/vessels/details/9176125,DERNA,LPG Tanker,9176125
/vessels/details/9047116,ATTAHADDI,LPG Tanker,9047116
/vessels/details/8201545,SITRA,Hopper Dredger,8201545
/vessels/details/9277840,BENGHAZI,Hopper Dredger,9277840
/vessels/details/8911695,AL-SHAFQ,Fishing Vessel,8911695
/vessels/details/8911700,ALNAJMA ALBAIDHA,Fishing Vessel,8911700
/vessels/details/9121390,TARHUNAH,Hopper Dredger,9121390
/vessels/details/9532941,AL IRADHA 7,Tug,9532941
/vessels/details/9705196,EL BREGA,Tug,9705196
/vessels/details/8918899,TRIPOLITANIA,Fishing Vessel,8918899
/vessels/details/9418432,AL MERGB,Tug,9418432
/vessels/details/6413340,TAJONS,Fishing Vessel,6413340
/vessels/details/9276080,PARSIS,Fishing Vessel,9276080
/vessels/details/8000862,BENGHAZI,Tug,8000862
/vessels/details/8802284,SOUSAH,Tug,8802284
/vessels/details/8676465,AL-FATAYEH,Fishing Vessel,8676465
/vessels/details/8661264,MORINA,Fishing Vessel,8661264
/vessels/details/9293052,MP MAFAZA 1,Fishing Vessel,9293052
/vessels/details/8659895,LATHRON,Fishing Vessel,8659895
/vessels/details/8693140,FATIMA,Fishing Support Vessel,8693140
/vessels/details/8658229,NAWASI ALKIR 1,Fishing Vessel,8658229
/vessels/details/8689333,ALBAHR ALHADER,Fishing Vessel,8689333
/vessels/details/8659924,FV OEA,Fishing Vessel,8659924
/vessels/details/8657964,RASETTIN,Fishing Vessel,8657964
/vessels/details/8657976,AL HILAL,Fishing Vessel,8657976
/vessels/details/642383000,EL HADER 2,Fishing vessel,642383000
/vessels/details/642711000,CYRENE,Fishing vessel,642711000
/vessels/details/642122153,LUBDA,Fishing vessel,642122153
/vessels/details/642115005,SABRATHA PLATFORM,Unknown,642115005
/vessels/details/642167243,ARWA,Fishing vessel,642167243
/vessels/details/642711001,AEDONIA,Fishing vessel,642711001
