url,name,type,imo
/vessels/details/1122350,THE GREAT ESCAPE,Yacht,1122350
/vessels/details/9097082,PRINCIPESSA VAI VIA,Yacht,9097082
/vessels/details/9400019,GAZOU,Yacht,9400019
/vessels/details/9094107,ELLEN,Yacht,9094107
/vessels/details/1008839,CLEMENTINE III,Yacht,1008839
/vessels/details/9133886,THE BULL,Tug,9133886
/vessels/details/254760000,SAINT GEORGES,SAR,254760000
/vessels/details/254745000,SEABUS,Pleasure craft,254745000
/vessels/details/254228000,MATEON,Pleasure craft,254228000
/vessels/details/254716000,ROBY,Pleasure craft,254716000
/vessels/details/254792000,ENTREACTO,Pleasure craft,254792000
/vessels/details/254999000,APPALOOSA,Pleasure craft,254999000
/vessels/details/254797000,MY KEEP COOL,Pleasure craft,254797000
/vessels/details/254220000,DOLCE VITAE,Sailing vessel,254220000
/vessels/details/254464000,PHAEDRA,Pleasure craft,254464000
/vessels/details/254791000,GAHERAU VII,Pleasure craft,254791000
/vessels/details/254933000,THE LITTLE ESCAPE,Pleasure craft,254933000
/vessels/details/254831000,GAZOU,Pleasure craft,254831000
/vessels/details/254277000,LE JOY,Sailing vessel,254277000
/vessels/details/254643000,ALPHA PAPA,Pleasure craft,254643000
/vessels/details/254505000,PERCEVAL,Tug,254505000
/vessels/details/254313000,SLOW III,Unknown,254313000
/vessels/details/254799000,ANIROHA,Pleasure craft,254799000
/vessels/details/254232000,ROXY,Pleasure craft,254232000
/vessels/details/254375000,DISCOVERY BAY,Pleasure craft,254375000
/vessels/details/254016000,ANEMONE,Pleasure craft,254016000
/vessels/details/254289000,LA VOGLIA MATTA,Pleasure craft,254289000
/vessels/details/254320000,LEFILU,Pleasure craft,254320000
/vessels/details/254723000,BLUE NARWHAL,Pleasure craft,254723000
/vessels/details/254617000,UP TIME,Sailing vessel,254617000
/vessels/details/254329000,PRINCESSE GABRIELLA,Law enforcment,254329000
/vessels/details/254589000,JOMA,Pleasure craft,254589000
/vessels/details/254312000,LELANTINA,Sailing vessel,254312000
/vessels/details/254288000,SWEET SEA,Sailing vessel,254288000
/vessels/details/254836000,RUFF ONE II,Pleasure craft,254836000
/vessels/details/254070000,TRISKEL,Pleasure craft,254070000
/vessels/details/254542000,RITAKI,Pleasure craft,254542000
/vessels/details/254364000,ALOHA SPIRIT 4,Sailing vessel,254364000
/vessels/details/254953000,KAIROS,Sailing vessel,254953000
/vessels/details/254076000,MIKEL ANGELO,Pleasure craft,254076000
/vessels/details/254130000,LOVELI,Sailing vessel,254130000
/vessels/details/254026000,RYUJIN,Sailing vessel,254026000
/vessels/details/254176000,STRADIVARIUS,Pleasure craft,254176000
/vessels/details/254195000,JM,Pleasure craft,254195000
/vessels/details/254652000,VANILLE,Sailing vessel,254652000
/vessels/details/254151000,GT12,Pleasure craft,254151000
/vessels/details/254446000,SPARKLING,Pleasure craft,254446000
/vessels/details/254011000,LA VIGILANTE,Pleasure craft,254011000
/vessels/details/254856000,ESSECI,Pleasure craft,254856000
/vessels/details/254453000,LUCE,Pleasure craft,254453000
/vessels/details/254582000,FAT LADY,Unknown,254582000
/vessels/details/254801000,DILIZ,Sailing vessel,254801000
/vessels/details/254711000,SY TUIGA,Sailing vessel,254711000
/vessels/details/254950000,RUTIX,Sailing vessel,254950000
/vessels/details/254943000,KINNARA,Unknown,254943000
/vessels/details/254122000,BLACKROSE,Pleasure craft,254122000
/vessels/details/254419000,ZEPHYR,Pleasure craft,254419000
/vessels/details/254989000,VINTAG,Pleasure craft,254989000
/vessels/details/254753000,MAVI,Pleasure craft,254753000
/vessels/details/254781000,LARAFISH,Pleasure craft,254781000
/vessels/details/254322000,ALISON,Pleasure craft,254322000
/vessels/details/254842000,SIRAN II,Pleasure craft,254842000
/vessels/details/254309000,PALIKARI,Sailing vessel,254309000
/vessels/details/254465000,MANA,Fishing vessel,254465000
/vessels/details/254080000,GABJAC,Pleasure craft,254080000
/vessels/details/254952000,ATLAS,Pleasure craft,254952000
/vessels/details/254708000,CLARA,Sailing vessel,254708000
/vessels/details/254214000,SPLENDIDA,Pleasure craft,254214000
