url,name,type,imo
/vessels/details/9693501,BUDVA,Bulk Carrier,9693501
/vessels/details/9693496,BAR,Bulk Carrier,9693496
/vessels/details/9582427,DVADESETPRVI MAJ,Bulk Carrier,9582427
/vessels/details/8969070,RUKA PRAVDE,Passenger/Ro-Ro Cargo Ship,8969070
/vessels/details/9564205,GRBALJ,Passenger/Ro-Ro Cargo Ship,9564205
/vessels/details/7722097,TITO,Tug,7722097
/vessels/details/8671582,TEODO,Passenger/Ro-Ro Cargo Ship,8671582
/vessels/details/8971724,TRIDESETI AVGUST,Passenger/Ro-Ro Cargo Ship,8971724
/vessels/details/6815782,BOKA BAY,Tug,6815782
/vessels/details/9668805,KATICA,Passenger Ship,9668805
/vessels/details/8332899,IGALO,Passenger Ship,8332899
/vessels/details/6620321,BOKA SKY,Tug,6620321
/vessels/details/8334835,VESNA V,Passenger Ship,8334835
/vessels/details/8306682,SOZINA,Tug,8306682
/vessels/details/8306694,TOPOLICA,Tug,8306694
/vessels/details/8689503,TRIOMARE,Fishing Vessel,8689503
/vessels/details/8026622,TARA,Tug,8026622
/vessels/details/8133865,LEPETANE,Passenger/Ro-Ro Cargo Ship,8133865
/vessels/details/8133891,PERAST,Passenger/Ro-Ro Cargo Ship,8133891
/vessels/details/262053800,NINA BLUE,Pleasure craft,262053800
/vessels/details/262020700,SUNNY WIND,Sailing vessel,262020700
/vessels/details/262999000,JADRAN,Sailing vessel,262999000
/vessels/details/262065200,ALTAIR,Sailing vessel,262065200
/vessels/details/262500210,KSENIJA,Pilot,262500210
/vessels/details/262999995,GRBALJ,Passenger ship,262999995
/vessels/details/262086200,KENTAFURIK,Sailing vessel,262086200
/vessels/details/262076700,NEGOCIADOR,Pleasure craft,262076700
/vessels/details/262004340,CRISTOFORO,Sailing vessel,262004340
/vessels/details/262063300,NEOLA,Pleasure craft,262063300
/vessels/details/262007300,CHALLENGE,Sailing vessel,262007300
/vessels/details/262999600,PILOT BOAT KOTOR 2,Pleasure craft,262999600
/vessels/details/262999250,RUMIJA,Tug,262999250
/vessels/details/262052700,BRAVO,Pleasure craft,262052700
/vessels/details/262999820,CALE 2,Fishing vessel,262999820
/vessels/details/262500049,VESNA X,Fishing vessel,262500049
/vessels/details/262077900,NOLL,Sailing vessel,262077900
/vessels/details/262996340,AURORA 114-KT,Unknown,262996340
/vessels/details/262020900,BELLA,Sailing vessel,262020900
/vessels/details/262999400,SAR-3,SAR,262999400
/vessels/details/262062200,RIKKE,Pleasure craft,262062200
/vessels/details/262072200,BAAN SAAN,Unknown,262072200
/vessels/details/262063200,MOKSHA,Sailing vessel,262063200
/vessels/details/262985280,277-KT,Unknown,262985280
/vessels/details/262058400,Q8 QUEEN,Pleasure craft,262058400
/vessels/details/262075800,TOPLESS,Sailing vessel,262075800
/vessels/details/262999830,132-KT,Pleasure craft,262999830
/vessels/details/262995330,CHITA KT-1428,Sailing vessel,262995330
/vessels/details/262063900,A,Pleasure craft,262063900
/vessels/details/262998400,NADA,Law enforcment,262998400
/vessels/details/262008400,SY BLUE EYES,Pleasure craft,262008400
/vessels/details/262500240,JELENA,Pilot,262500240
/vessels/details/262999990,SEA PIONEER PILOT,Pilot,262999990
/vessels/details/262020300,ECUMENE,Sailing vessel,262020300
/vessels/details/262760622,LXK60622-267.2V,Unknown,262760622
/vessels/details/262066200,SOVA,Sailing vessel,262066200
/vessels/details/262985920,ECOBOAT 1,Passenger ship,262985920
/vessels/details/262155117,ZHELINYU21551-17-92,Unknown,262155117
/vessels/details/262116909,ZHELINYU21169-9-43,Unknown,262116909
/vessels/details/262121814,ZHELINYU21218-14-80,Unknown,262121814
/vessels/details/262075500,RUMBA,Sailing vessel,262075500
/vessels/details/262986840,PAPILON,Passenger ship,262986840
/vessels/details/262183716,LIN 21837-16-49,Unknown,262183716
/vessels/details/262155135,ZHELINYU21551-35-42,Unknown,262155135
/vessels/details/262316555,YU 555 -26-18,Unknown,262316555
/vessels/details/262148919,LIN 21489-19-37,Unknown,262148919
/vessels/details/262180310,LIN 21803-10-93,Unknown,262180310
/vessels/details/262007610,ALEXIA 2,Pleasure craft,262007610
/vessels/details/262162211,LIN21622-11-97,Unknown,262162211
/vessels/details/262997050,94-BD,Fishing vessel,262997050
/vessels/details/262126912,ZHELINYU21269-12-51,Unknown,262126912
/vessels/details/262116913,ZHELINYU21169-13-57,Unknown,262116913
/vessels/details/262075700,TABULA RASA,Sailing vessel,262075700
/vessels/details/262188311,ZHELINYU21883-11-99,Unknown,262188311
/vessels/details/262131236,ZHELINYU21312-36-81,Unknown,262131236
/vessels/details/262987320,ILIRIA,Passenger ship,262987320
/vessels/details/262082500,IVOLGA,Unknown,262082500
/vessels/details/262995910,BIJELI PAVLE,Fishing vessel,262995910
/vessels/details/262986320,DADO 6 84KT,Passenger ship,262986320
/vessels/details/262126813,ZHELINYU21268-13-34,Unknown,262126813
/vessels/details/262126827,ZHELINYU21268-27-86,Unknown,262126827
/vessels/details/262901218,568-30-99,Unknown,262901218
/vessels/details/262986430,TIANIS,Passenger ship,262986430
/vessels/details/262999030,DADO 4 39KT,Passenger ship,262999030
/vessels/details/262084800,ENDENDORE,Pleasure craft,262084800
