url,name,type,imo
/vessels/details/7396472,BALTIC TRADER,General Cargo Ship,7396472
/vessels/details/8608432,CHAMBON BORA II,Tug,8608432
/vessels/details/9160126,SAVANNA V,Passenger Ship,9160126
/vessels/details/7526742,CHAMBON BORA III,Tug,7526742
/vessels/details/9034418,RANTABE,Fishing Vessel,9034418
/vessels/details/647501900,SESAME,Pleasure craft,647501900
/vessels/details/647761210,ANTSIVA,Sailing vessel,647761210
/vessels/details/5420580,KEA NISSOS,General Cargo Ship,5420580
/vessels/details/647791237,AURECIA IV,Unknown,647791237
/vessels/details/647591306,CAP SAINTE MARI,Unknown,647591306
/vessels/details/9209738,VOLAZARA,Tug,9209738
/vessels/details/647721100,ATSANTSA IV,Law enforcment,647721100
/vessels/details/9156656,FANJAVA 1,Fishing Vessel,9156656
/vessels/details/9048184,EHOALA TOLY,Tug,9048184
/vessels/details/9156668,FANJAVA 2,Fishing Vessel,9156668
/vessels/details/8518704,MENABE 8,Fishing Vessel,8518704
/vessels/details/7210006,MENABE 1,Fishing Vessel,7210006
/vessels/details/647841301,MOJANGAYA 1,Cargo ship,647841301
/vessels/details/8029533,TIDJANY,General Cargo Ship,8029533
/vessels/details/647040000,MS MAEL 12.0V,Unknown,647040000
/vessels/details/8609149,VONJY,General Cargo Ship,8609149
/vessels/details/9168075,CAP SAINTE MARIE,Fishing Vessel,9168075
/vessels/details/8920828,ANTALY 7,Fishing Vessel,8920828
/vessels/details/647791254,RAYAN MICHEL,Unknown,647791254
/vessels/details/8400127,NOSY BE 5,Fishing Vessel,8400127
/vessels/details/9066021,BAIE DE BOINA,Fishing Vessel,9066021
/vessels/details/647841302,MOJANGAYA 3 10.8V,Cargo ship,647841302
/vessels/details/647000000,DYN,HSC,647000000
/vessels/details/7011216,PATSALENA 1,Fishing Vessel,7011216
/vessels/details/647361224,UNIMA 2,Fishing vessel,647361224
/vessels/details/647791261,LOIC,Unknown,647791261
/vessels/details/8342208,PANAYOTIS,Landing Craft,8342208
/vessels/details/647801100,ILE SAINTE MARIE,Fishing vessel,647801100
/vessels/details/7007564,PATSALENA 8,Fishing Vessel,7007564
/vessels/details/9010266,NOSY BE 9,Fishing Vessel,9010266
/vessels/details/8742484,ALOVO IV,Landing Craft,8742484
/vessels/details/647791263,FIADANANTSOA,Unknown,647791263
