url,name,type,imo
/vessels/details/274219233,LIN21923-3-51,Unknown,274219233
/vessels/details/274205451,CAU LOI 79 F23,Fishing vessel,274205451
/vessels/details/274202724,ZHEPUYU42027-24-42,Unknown,274202724
/vessels/details/274025820,UQ4TEQUU,Passenger ship,274025820
/vessels/details/274721579,LG 21579-277.3V,Unknown,274721579
/vessels/details/274251967,THANHHUUCAUKIEU E20,Fishing vessel,274251967
/vessels/details/274000010,2740-10-99,Unknown,274000010
/vessels/details/274216194,LIN21619-4-78,Unknown,274216194
/vessels/details/274800156,TAU.TAI.TRUCMAI E.1,WIG,274800156
/vessels/details/274366879,MINPUYU47888 -6 60,Unknown,274366879
/vessels/details/274479994,TLD5,Other type,274479994
/vessels/details/274948200,MEOMUOP,Fishing vessel,274948200
/vessels/details/274128855,LIN12885-5-32,Unknown,274128855
/vessels/details/274122774,ZHELINYU12277-4-61,Unknown,274122774
/vessels/details/274055594,SHENG05559-4-29,Unknown,274055594
/vessels/details/274255895,46688-49-53,Unknown,274255895
/vessels/details/274000006,2740-6-90,Unknown,274000006
/vessels/details/274021649,ZHEPINGYU80188,Fishing vessel,274021649
/vessels/details/274035780,OC779TRUCMAIE1SOL,Cargo ship,274035780
/vessels/details/274218974,LIN21897-4-60,Unknown,274218974
/vessels/details/274202710,ZHEPUYU42027-10-64,Unknown,274202710
/vessels/details/274403306,SZ 502,Unknown,274403306
/vessels/details/274013114,LIN 01311-4-88,Unknown,274013114
/vessels/details/274760622,LG 60622-278.1V,Unknown,274760622
/vessels/details/274202719,ZHEPUYU42027-19-73,Unknown,274202719
/vessels/details/274299018,05LINH C5,Fishing vessel,274299018
/vessels/details/274218881,LIN21888-1-89,Unknown,274218881
/vessels/details/274202722,ZHEPUYU42027-22-53,Unknown,274202722
/vessels/details/274202713,ZHEPUYU42027-13-51,Unknown,274202713
/vessels/details/274925816,XIANG49258-16-23,Unknown,274925816
/vessels/details/274403116,MELKART 3,Fishing vessel,274403116
/vessels/details/274156375,00000000000000000000,Law enforcment,274156375
/vessels/details/274955041,VULINH12BAN1,Unknown,274955041
/vessels/details/274196985,19698-5-54,Unknown,274196985
/vessels/details/274846635,TAU 53 S9B2,Fishing vessel,274846635
/vessels/details/274567534,P4 RAPDIA75C21-27,Unknown,274567534
/vessels/details/274123908,P10 L A8 G80.93,Unknown,274123908
/vessels/details/274218068,LIN21806-8-96,Unknown,274218068
/vessels/details/274000009,2740-9-99,Unknown,274000009
/vessels/details/274374976,MEDON,Cargo ship,274374976
/vessels/details/274221514,41GHE CAO A16,Fishing vessel,274221514
/vessels/details/274000001,2740-1-37,Unknown,274000001
/vessels/details/274202712,ZHEPUYU42027-12-57,Unknown,274202712
/vessels/details/274218874,LIN21887-4-98,Unknown,274218874
/vessels/details/274811619,HUI60057-A9-88,Unknown,274811619
/vessels/details/274215778,LIN 21577-8-99,Unknown,274215778
/vessels/details/274406118,DANHDOANR7D9C27,Fishing vessel,274406118
/vessels/details/274402568,LUOJ R PHAT TRJEN12C,Fishing vessel,274402568
/vessels/details/274679679,HAI PHAT 79,Fishing vessel,274679679
/vessels/details/274214898,LIN 21489-8-86,Unknown,274214898
/vessels/details/274523514,PERSEY,Unknown,274523514
/vessels/details/274027577,00000000000000000000,SAR,274027577
/vessels/details/274000005,2740-5-99,Unknown,274000005
/vessels/details/274000015,2740-15-99,Unknown,274000015
/vessels/details/274000016,2740-16-99,Unknown,274000016
/vessels/details/274202721,ZHEPUYU42027-21-92,Unknown,274202721
/vessels/details/274712880,LG12880-277.9V,Unknown,274712880
/vessels/details/274219054,LIN21905-4-45,Unknown,274219054
/vessels/details/274934650,MINPUYU03666-2-66,Unknown,274934650
