url,name,type,imo
/vessels/details/9174397,XI,Crude Oil Tanker,9174397
/vessels/details/9344033,TRIUM,Oil Products Tanker,9344033
/vessels/details/9309576,SILVER,Chemical/Oil Products Tanker,9309576
/vessels/details/9045807,CRAVE,LPG Tanker,9045807
/vessels/details/649990108,64999-8-81,Unknown,649990108
/vessels/details/649906821,ZHE LING YU 99068-21,Unknown,649906821
/vessels/details/649378508,RN-08-CRABGEAR-99,Unknown,649378508
/vessels/details/649378507,RN-07-CRABGEAR 9,Fishing vessel,649378507
/vessels/details/649845101,35618-229,Unknown,649845101
/vessels/details/649104196,MV HYNZ 31,Cargo ship,649104196
/vessels/details/649378510,RN-10-CRABGEAR-99,Unknown,649378510
/vessels/details/649190000,64919,Unknown,649190000
/vessels/details/649378509,RN-09-CRABGEAR 7,Fishing vessel,649378509
/vessels/details/649888921,SAN98889-21-75,Unknown,649888921
/vessels/details/649112000,HCW,Cargo ship,649112000
/vessels/details/649101000,NORTH STAR9,Cargo ship,649101000
/vessels/details/649378515,RN-15-CRABGEAR-29,Unknown,649378515
/vessels/details/649378514,RN-14-CRABGEAR-99,Unknown,649378514
/vessels/details/649100004,64910-4-07,Unknown,649100004
/vessels/details/649378513,RN-13-CRABGEAR-99,Unknown,649378513
/vessels/details/649100005,64910-5-96,Unknown,649100005
/vessels/details/649378502,RN-02-CRABGEAR-94,Unknown,649378502
/vessels/details/7367342,FORTUNE,Offshore Tug/Supply Ship,7367342
/vessels/details/649812356,CB-FISHBOUY-15-55,Unknown,649812356
/vessels/details/649378516,RN-16-CRABGEAR-99,Unknown,649378516
/vessels/details/649378517,RN-17-CRABGEAR-42,Unknown,649378517
/vessels/details/649378512,RN-12-CRABGEAR-99,Unknown,649378512
/vessels/details/649990106,64999-6-60,Unknown,649990106
/vessels/details/649378511,RN-11-CRABGEAR-62,Unknown,649378511
/vessels/details/649378503,RN-03-CRABGEAR-92,Unknown,649378503
/vessels/details/9934498,GLORY OCEAN,Heavy Load Carrier,9934498
/vessels/details/649780000,64978,Fishing vessel,649780000
/vessels/details/649378504,RN-04-CRABGEAR-30,Unknown,649378504
/vessels/details/649378506,RN-06-CRABGEAR-99,Unknown,649378506
/vessels/details/649100003,64910-3-06,Unknown,649100003
/vessels/details/649378501,RN-01-CRABGEAR 87,Fishing vessel,649378501
/vessels/details/649995624,SAN99956-24-72,Unknown,649995624
/vessels/details/649378505,RN-05-CRABGEAR 100,Fishing vessel,649378505
/vessels/details/649100002,64910-2-01,Unknown,649100002
/vessels/details/649100001,64910-1-21,Unknown,649100001
