url,name,type,imo
/vessels/details/9109524,SS 1,Bulk Carrier,9109524
/vessels/details/9158123,SS 2,General Cargo Ship,9158123
/vessels/details/9158135,SS 3,General Cargo Ship,9158135
/vessels/details/9544865,OCEAN BLOSSOM,General Cargo Ship,9544865
/vessels/details/9154775,CHINDWIN,Hospital Vessel,9154775
/vessels/details/9012367,FAIR ENERGY,Chemical Tanker,9012367
/vessels/details/1102893,MV .MCL - 15,General Cargo Ship,1102893
/vessels/details/8132500,PHO SHWE LA MIN,General Cargo Ship,8132500
/vessels/details/506006800,MV.SMART LINE,Cargo ship,506006800
/vessels/details/506000000,MV AUNG KHINE PHYO,Pleasure craft,506000000
/vessels/details/506007600,MV.SMART LINE-003,Cargo ship,506007600
/vessels/details/506999999,YANGONPILOTSTATION,Pilot,506999999
/vessels/details/506015560,FV AUNG SU MON 14,Unknown,506015560
/vessels/details/506012943,LIN THU LMT-9,Fishing vessel,506012943
/vessels/details/506913567,DIEN DEP TRAI 67,Cargo ship,506913567
/vessels/details/506108517,SIN SHWE YEE1 100,Other type,506108517
/vessels/details/506323239,KAUNG HTET-2 85,Other type,506323239
/vessels/details/506022050,MV117,Fishing vessel,506022050
/vessels/details/506011150,MFV CHERRY 755,Fishing vessel,506011150
/vessels/details/506108313,S H T-2 100,Other type,506108313
/vessels/details/506306009,TAR YAR PANN 86,Other type,506306009
/vessels/details/506322933,T K O 89,Other type,506322933
/vessels/details/506002600,MV CHARITY,Cargo ship,506002600
/vessels/details/506049000,DMA ND,Unknown,506049000
/vessels/details/5096676,TANINTHARYI,General Cargo Ship,5096676
/vessels/details/506101170,NAING WIN-2-88,Unknown,506101170
/vessels/details/506015670,MFV AUNG SU MON 49,Fishing vessel,506015670
/vessels/details/506145630,WIA YAN,Unknown,506145630
/vessels/details/506019080,PHYO PWINT AUNG,Fishing vessel,506019080
/vessels/details/9693721,SEAOP 3,Tug,9693721
/vessels/details/506317581,SANTHITKYAW 3 100,Other type,506317581
/vessels/details/506000772,SHWE THONE DA YE,Fishing vessel,506000772
/vessels/details/506325923,MI SHWE ZIN 91,Unknown,506325923
/vessels/details/506009770,FV KYAW ZAW LIN 5,Fishing vessel,506009770
/vessels/details/506793796,TIELONG67937-96-81,Unknown,506793796
/vessels/details/506516507,AUNG THAPYAY-4 100,Other type,506516507
/vessels/details/506023430,AUNG LWIN LWIN ZAW11,Fishing vessel,506023430
/vessels/details/506013260,MV SANDI 1,Cargo ship,506013260
/vessels/details/8594227,MV.MCL-8,General Cargo Ship,8594227
/vessels/details/506022230,TUN LIN HTET 2,Fishing vessel,506022230
/vessels/details/506015430,FV AUNG SU MON 49,Unknown,506015430
/vessels/details/506108321,A-K-T-1 100,Unknown,506108321
/vessels/details/506827098,SAI WAI YAN LIN,Fishing vessel,506827098
/vessels/details/506305079,AK KYAW-1 100,Other type,506305079
/vessels/details/506007460,SHWE ANNAWAR 52,Fishing vessel,506007460
/vessels/details/506060131,KYAW AUNG WIN,Fishing vessel,506060131
/vessels/details/9856012,1501,Unknown,9856012
/vessels/details/506006170,MYA WUTT HMONE,Fishing vessel,506006170
/vessels/details/506825970,KYAW HEIN,Unknown,506825970
/vessels/details/506128023,ZHESHENGYU06128-23,Unknown,506128023
/vessels/details/506022730,HTOO PWAR AUNG 6,Fishing vessel,506022730
/vessels/details/506060141,M.VYOON.YATINO5,Fishing vessel,506060141
/vessels/details/506005877,TOE PWAR AUNG 9,Fishing vessel,506005877
/vessels/details/506000001,KAUNG HTET KYAW 1,Unknown,506000001
/vessels/details/506107841,K M M-6 100,Other type,506107841
/vessels/details/506704858,SHAN KO 92,Other type,506704858
/vessels/details/506011510,MV YADANAR WIN,Cargo ship,506011510
/vessels/details/506060302,KHING MIN,Fishing vessel,506060302
/vessels/details/506108328,AUNG HTAY AUNG 1,Other type,506108328
/vessels/details/506106903,KAUNG THANT-2 100,Other type,506106903
/vessels/details/506305076,P LIN KYAW-2 100,Other type,506305076
/vessels/details/506344478,WIN WIN PAING,Fishing vessel,506344478
/vessels/details/506060306,HTET MYAT,Fishing vessel,506060306
/vessels/details/506010980,CHERRY 730,Fishing vessel,506010980
/vessels/details/506341866,SOE HTAY,Fishing vessel,506341866
/vessels/details/506103366,JET LI,Fishing vessel,506103366
/vessels/details/506010100,MV. YE WINT AUNG,Cargo ship,506010100
/vessels/details/506325905,THAR CHIT-1 100,Other type,506325905
/vessels/details/506897513,68975-13-46,Unknown,506897513
/vessels/details/506702634,HMWE HMWE AUNG 82,Other type,506702634
/vessels/details/506002900,MV-ZWE DEPER,Cargo ship,506002900
/vessels/details/506108472,YAR THET PAN,Fishing vessel,506108472
/vessels/details/506012840,MOE SANDAR AUNG 1,Fishing vessel,506012840
/vessels/details/506518312,T THAN AUNG-A1 100,Other type,506518312
/vessels/details/506015220,TOE TOE LWIN,Unknown,506015220
/vessels/details/506022810,FV CHEERY 739,Fishing vessel,506022810
/vessels/details/506008580,HT00HT00T0E10,Fishing vessel,506008580
/vessels/details/506111803,MINDONGYU61118-3-99,Unknown,506111803
/vessels/details/506108858,THU KA AUNG 1,Fishing vessel,506108858
/vessels/details/506357074,THEIN THAN AG-1,Unknown,506357074
/vessels/details/506010740,MV SHWE THU WAN,Cargo ship,506010740
/vessels/details/506004960,THAN TUN AUNG 21,Fishing vessel,506004960
/vessels/details/506011610,MV-TAW WIN LINN,Cargo ship,506011610
/vessels/details/506314126,MOE PYINT 68,Other type,506314126
/vessels/details/506304108,MYINTMYAT54 91,Other type,506304108
/vessels/details/506259809,62598-9-45,Unknown,506259809
/vessels/details/506108005,YAMIN 19,Fishing vessel,506108005
/vessels/details/506021110,MFV ARSHA THAR 10,Fishing vessel,506021110
/vessels/details/506825246,AUNG KYAW KYAW,Fishing vessel,506825246
/vessels/details/506100919,AUNG THAPYAY GYI-99,Unknown,506100919
/vessels/details/506307590,WIN MYAT THU1 68,Other type,506307590
/vessels/details/8785747,MV.ROYAL SEVEN,Landing Craft,8785747
/vessels/details/506826260,MYAN PYI AG-A,Fishing vessel,506826260
/vessels/details/506106913,THAN HTIKE-6 100,Other type,506106913
/vessels/details/506002220,LIN HTOO AUNG 1,Fishing vessel,506002220
/vessels/details/506108355,SWAM HTET NAING,Other type,506108355
/vessels/details/8577554,HTAR WA RA WI RI YA,Landing Craft,8577554
/vessels/details/506106918,SOE SANDAR WIN-6,Other type,506106918
/vessels/details/506322702,AK 2 68,Other type,506322702
/vessels/details/506107721,YI YWAL THU 100,Other type,506107721
/vessels/details/506826249,CHIT PI,Fishing vessel,506826249
/vessels/details/506106969,AUNG,Fishing vessel,506106969
/vessels/details/506307733,KHAING MIN-2 65,Other type,506307733
/vessels/details/506010120,PYI AUNG YADANAR 9,Fishing vessel,506010120
