url,name,type,imo
/vessels/details/536002629,MAERSK 25,Fishing vessel,536002629
/vessels/details/536000211,76988-8-96,Unknown,536000211
/vessels/details/536126264,LIN12626-4-33,Unknown,536126264
/vessels/details/536040758,SC 4390 J,Port tender,536040758
/vessels/details/536101855,J C MARINE 44,Fishing vessel,536101855
/vessels/details/536600011,5366-11,Unknown,536600011
/vessels/details/536990609,ACECOOK25 D 25,WIG,536990609
/vessels/details/536660001,LURONGYU53666-80,Unknown,536660001
/vessels/details/536541225,2356,Fishing vessel,536541225
/vessels/details/536900030,5369-30-56,Unknown,536900030
/vessels/details/536679443,CB-FISHBOUY-10-57,Unknown,536679443
/vessels/details/536001473,CG 20,Other type,536001473
/vessels/details/536900011,06086-11-90,Unknown,536900011
/vessels/details/536660003,53666-3-97,Unknown,536660003
/vessels/details/536898812,LIN68988-12-56,Unknown,536898812
/vessels/details/536665403,HRX7777-4-83,Unknown,536665403
/vessels/details/536900001,06086-01-85,Unknown,536900001
/vessels/details/536023133,FFFFFF,Tanker,536023133
/vessels/details/536219097,LIN21909-7-68,Unknown,536219097
/vessels/details/536900034,5369-34-62,Unknown,536900034
/vessels/details/536666000,3,Pleasure craft,536666000
/vessels/details/536215876,LIN21587-6-74,Unknown,536215876
/vessels/details/536660005,LURONGYU53666-5-97,Unknown,536660005
/vessels/details/536864146,F.I90F8,Unknown,536864146
/vessels/details/536885597,AYE MIN OO 9586,Tug,536885597
/vessels/details/536219586,LIN21958-6-59,Unknown,536219586
/vessels/details/536660002,53666-2-31,Unknown,536660002
/vessels/details/536870912,UUUUAC.Z9N0,Unknown,536870912
/vessels/details/536090055,MINH T55 D39,Fishing vessel,536090055
/vessels/details/536500006,5365-6-19,Unknown,536500006
/vessels/details/536215774,LIN21577-4-50,Unknown,536215774
/vessels/details/536551798,13208-28 86,Other type,536551798
/vessels/details/536200184,JIAO20018-4-97,Unknown,536200184
/vessels/details/536900031,5369-31-50,Unknown,536900031
/vessels/details/536196884,19688-4-90,Unknown,536196884
/vessels/details/536900037,5369-37-69,Unknown,536900037
/vessels/details/536123779,LIN12377-9-59,Unknown,536123779
/vessels/details/536900009,06086-09-95,Unknown,536900009
/vessels/details/536900061,06086-61-80,Unknown,536900061
/vessels/details/536900038,5369-38-70,Unknown,536900038
/vessels/details/536654158,KRI PTM-371,Other type,536654158
/vessels/details/536218536,LIN21853-2-96,Unknown,536218536
/vessels/details/536500001,WANGBIAO5365-1-94,Unknown,536500001
/vessels/details/536016718,LUJIAOYU60167-18-78,Unknown,536016718
/vessels/details/536900036,5369-36-94,Unknown,536900036
/vessels/details/536660006,LURONGYU53666-6-96,Unknown,536660006
/vessels/details/536900006,06086-06-46,Unknown,536900006
/vessels/details/536900012,5369-12-33,Unknown,536900012
/vessels/details/536215834,LIN21583-4-99,Unknown,536215834
/vessels/details/536002538,MAERSK 38,Fishing vessel,536002538
/vessels/details/536900008,5369-8-56,Unknown,536900008
/vessels/details/536900021,06086-21-99,Unknown,536900021
/vessels/details/536900017,06086-17-72,Unknown,536900017
/vessels/details/536900022,06086-22-83,Unknown,536900022
/vessels/details/536900019,5369-19-54,Unknown,536900019
/vessels/details/536123198,LIN 12319-8-85,Unknown,536123198
/vessels/details/536932608,QIH,Unknown,536932608
/vessels/details/536900032,5369-32-45,Unknown,536900032
/vessels/details/536017111,HIJKL456,Cargo ship,536017111
/vessels/details/536218581,ZHELIN21858-1-55,Unknown,536218581
/vessels/details/536900029,5369-29-52,Unknown,536900029
/vessels/details/536500005,WANGBIAO5365-5A-45,Unknown,536500005
/vessels/details/536974128,BUOY43281 1283,Unknown,536974128
/vessels/details/536500004,WANGBIAO5365-4-75,Unknown,536500004
/vessels/details/536900027,5369-27-55,Unknown,536900027
/vessels/details/536922222,5369-02,Unknown,536922222
/vessels/details/536213882,LIN21388-2-95,Unknown,536213882
/vessels/details/536500003,WANGBIAO5365-3-90,Unknown,536500003
/vessels/details/536900035,5369-35 40,Unknown,536900035
/vessels/details/536219187,LIN21918-1-98,Unknown,536219187
/vessels/details/536900026,5369-26-42,Unknown,536900026
/vessels/details/536017110,HIJKL456,Cargo ship,536017110
/vessels/details/536900033,5369-33-32,Unknown,536900033
/vessels/details/536870954,WINNIND,Towing vessel,536870954
/vessels/details/536900013,5369-13-49,Unknown,536900013
/vessels/details/536211672,LIN21167-2-73,Unknown,536211672
/vessels/details/536900024,06086-24-99,Unknown,536900024
/vessels/details/536500007,5365-7-88,Unknown,536500007
/vessels/details/536213357,LIN 21335-7-66,Unknown,536213357
/vessels/details/536900039,06086-39-99,Unknown,536900039
/vessels/details/536129798,LIN12979-8-54,Unknown,536129798
/vessels/details/536900025,5369-25-57,Unknown,536900025
/vessels/details/536900016,06086-16-59,Unknown,536900016
/vessels/details/536000000,3,Pleasure craft,536000000
/vessels/details/536127116,LIN 12711-6-98,Unknown,536127116
/vessels/details/536500002,WANGBIAO5365-2-83,Unknown,536500002
/vessels/details/536917004,NET69170-4-99,Unknown,536917004
