url,name,type,imo
/vessels/details/347017530,HIBUSCUS,Sailing vessel,347017530
/vessels/details/347020570,AKUMAL,Sailing vessel,347020570
/vessels/details/347018530,GEMINI,Pleasure craft,347018530
/vessels/details/347017720,LADVENTURE,Sailing vessel,347017720
/vessels/details/347022040,PILI PILI,Sailing vessel,347022040
/vessels/details/347021220,SEA PEARL,Sailing vessel,347021220
/vessels/details/347013980,DIWALL,Unknown,347013980
/vessels/details/347024090,DIALNA,Sailing vessel,347024090
/vessels/details/347018990,JAMMIN,Sailing vessel,347018990
/vessels/details/347015480,QUARTZ,Sailing vessel,347015480
/vessels/details/347009970,MAYELU,Sailing vessel,347009970
/vessels/details/347014880,KAIROS,Sailing vessel,347014880
/vessels/details/347014590,FUCHUR,Sailing vessel,347014590
/vessels/details/347026080,PAGANINI,Sailing vessel,347026080
/vessels/details/347014220,JINGLE,Sailing vessel,347014220
/vessels/details/347019890,OHANA II,Sailing vessel,347019890
/vessels/details/347014970,PETROUCHKA,Unknown,347014970
/vessels/details/347003300,FVINTREPIDE,Fishing vessel,347003300
/vessels/details/347025730,JAMROCK,Pleasure craft,347025730
/vessels/details/347024570,LE MILANO,Sailing vessel,347024570
/vessels/details/347026520,TI REV,Sailing vessel,347026520
/vessels/details/347015660,SEBASTE,Sailing vessel,347015660
/vessels/details/347018350,SOTAVENTO,Sailing vessel,347018350
/vessels/details/347004300,SOKAN,Law enforcment,347004300
/vessels/details/347027030,JAMLOVE,Pleasure craft,347027030
/vessels/details/347021210,OPALE 2,Sailing vessel,347021210
/vessels/details/347019430,ADMIRAL,Sailing vessel,347019430
/vessels/details/347024560,LEVIDENCE,Sailing vessel,347024560
/vessels/details/347013180,ZELPHIS,Sailing vessel,347013180
/vessels/details/347026410,OLA 2,Sailing vessel,347026410
/vessels/details/347013870,GINGER,Pleasure craft,347013870
/vessels/details/347020560,OCTOPUS FIVE,Sailing vessel,347020560
/vessels/details/347019280,VIC,Pleasure craft,347019280
/vessels/details/347016250,NAO NAO,Unknown,347016250
/vessels/details/347015420,BE HAPPY,Sailing vessel,347015420
/vessels/details/347027510,THEIA,Pleasure craft,347027510
/vessels/details/347016560,MORAMORA,Sailing vessel,347016560
/vessels/details/347012880,FURY,Sailing vessel,347012880
/vessels/details/347123777,LIM12377-7-59,Unknown,347123777
/vessels/details/347000060,347-60,Unknown,347000060
/vessels/details/347000069,347-69,Unknown,347000069
/vessels/details/347019990,BELLE CABRESSE,Sailing vessel,347019990
/vessels/details/347022390,ARNO,Sailing vessel,347022390
/vessels/details/347017490,ETOILE FILANTE,Sailing vessel,347017490
/vessels/details/347026980,SNS 663,SAR,347026980
/vessels/details/347015430,LA PASSAGERE,Sailing vessel,347015430
/vessels/details/347013820,HALLUCINE,Sailing vessel,347013820
/vessels/details/347000747,F.DE FR.PORT CONTROL,Unknown,347000747
/vessels/details/347023630,ALNEELAM,Pleasure craft,347023630
/vessels/details/347001430,TANTAMAR,Sailing vessel,347001430
/vessels/details/347025580,HOKI,Sailing vessel,347025580
/vessels/details/347000067,347-67,Unknown,347000067
/vessels/details/9906245,PLIS FOS,Tug,9906245
/vessels/details/347014530,ROQUES,Unknown,347014530
