url,name,type,imo
/vessels/details/9218806,ARGUIN,Fishing Support Vessel,9218806
/vessels/details/7922386,AIG,Fishing Vessel,7922386
/vessels/details/7712767,DEWAS 1,Fishing Vessel,7712767
/vessels/details/8510960,DEWAS-2,Fishing Vessel,8510960
/vessels/details/9362762,TAFRA 2,Fishing Vessel,9362762
/vessels/details/9096442,WAFA 5,Fishing Vessel,9096442
/vessels/details/9029243,WAFA 4,Fishing Vessel,9029243
/vessels/details/9327865,ALPHA PECHE 2,Fishing Vessel,9327865
/vessels/details/8903193,VULKAN,Tug,8903193
/vessels/details/8619742,RIMBAL6,Fishing Vessel,8619742
/vessels/details/6821028,SHEILA,Fishing Vessel,6821028
/vessels/details/8719164,WAFA 3,Fishing Vessel,8719164
/vessels/details/9238727,TAFRA 3,Fishing Vessel,9238727
/vessels/details/9249960,TAFRA 1,Fishing Vessel,9249960
/vessels/details/8515269,ALMAP 11,Fishing Vessel,8515269
/vessels/details/9218636,AFCO TRES,Fishing Vessel,9218636
/vessels/details/9107992,ANAGIM-3,Fishing Vessel,9107992
/vessels/details/9095242,ALPHA PECHE,Fishing Vessel,9095242
/vessels/details/8802399,AKCHAR,Fishing Vessel,8802399
/vessels/details/9907548,AL ASMAC 17,Fishing Vessel,9907548
/vessels/details/8733756,VASK 24,Fishing Vessel,8733756
/vessels/details/8880602,MERZOUGH,Fishing Vessel,8880602
/vessels/details/8700864,LIMBARIK I,Fishing Vessel,8700864
/vessels/details/8505408,AFCO 2,Fishing Vessel,8505408
/vessels/details/8600234,EL GHAUBA 2,Fishing Vessel,8600234
/vessels/details/7116547,DEWAS-3,Fishing Vessel,7116547
/vessels/details/8850437,AKCHAR 2,Fishing Vessel,8850437
/vessels/details/1020746,MOHAMED TAYEB,Fishing Vessel,1020746
/vessels/details/654042240,AWKAR,Other type,654042240
/vessels/details/654900000,LEMREYE 1,Unknown,654900000
/vessels/details/654076800,RIMBAL 5,Fishing vessel,654076800
/vessels/details/654220000,NIMLANE,Unknown,654220000
/vessels/details/654490003,LIAOYU65449-3-75,Unknown,654490003
/vessels/details/654250121,NET121-ZSY6542572,Unknown,654250121
/vessels/details/654250109,NET-ZSY65425-109-77,Unknown,654250109
/vessels/details/7911404,TEOMAR,Fishing Vessel,7911404
/vessels/details/654042100,FU YUAN YU 977,Fishing vessel,654042100
/vessels/details/654300802,8A2-47,Unknown,654300802
/vessels/details/654250009,NET9-ZSY65425-77,Unknown,654250009
/vessels/details/5280758,SINDIBAD,Fishing Vessel,5280758
/vessels/details/654218599,LIN 21859-9-84,Unknown,654218599
/vessels/details/7127560,MABROUK,General Cargo Ship,7127560
/vessels/details/654411778,327995666-1-92,Unknown,654411778
/vessels/details/8428703,LAGDAF,Fishing Vessel,8428703
/vessels/details/8900921,AMABAL 2,Fishing Vessel,8900921
/vessels/details/8585862,ISMAIL - 16,Fish Carrier,8585862
/vessels/details/7208259,ABOUBEKR BEN AMER,Tug,7208259
/vessels/details/7643605,ZHAR 1,Fishing Vessel,7643605
/vessels/details/654850002,XIANGGANG2-40,Unknown,654850002
/vessels/details/7118301,HOUNEINE,Fishing Vessel,7118301
/vessels/details/9263411,ANDALLA 5,Fishing Vessel,9263411
/vessels/details/654444410,71029-2099,Unknown,654444410
/vessels/details/7939810,MOUFTAKH EL KHEIR 2,Fishing Vessel,7939810
/vessels/details/6908228,SOMACOPP V,Fishing Vessel,6908228
/vessels/details/8708426,MANAMA I,Fishing Vessel,8708426
/vessels/details/654850007,XIANGGANG7-98,Unknown,654850007
/vessels/details/8905701,RABIH WESSALEM,Fishing Vessel,8905701
/vessels/details/654321005,DONGHAIDC-05-99,Unknown,654321005
/vessels/details/654077007,CARCAMAN,Fishing vessel,654077007
/vessels/details/7634692,SIAC I,Fishing Vessel,7634692
/vessels/details/654250122,NET122-ZSY6542592,Unknown,654250122
/vessels/details/8837356,CHAMI I,Fishing Vessel,8837356
/vessels/details/654216584,03776-23-45,Unknown,654216584
/vessels/details/654077006,ADRINA,Fishing vessel,654077006
/vessels/details/654005222,A-SADAGHA,Fishing vessel,654005222
/vessels/details/654121324,LH-CHOPTRANG-P3-99,Unknown,654121324
/vessels/details/8335176,MARIEM-1,Fishing Vessel,8335176
/vessels/details/9763485,TERWEN-1,Fishing Vessel,9763485
/vessels/details/5406728,SMEP 1,Fishing Vessel,5406728
/vessels/details/6726319,MAHAPU I,Fishing Vessel,6726319
/vessels/details/8515166,ALMAP 8,Fishing Vessel,8515166
/vessels/details/654005200,GLORIA PECHE,Fishing vessel,654005200
/vessels/details/654534252,01383-18-18 40,Unknown,654534252
/vessels/details/8505783,MACCOP 1,Fishing Vessel,8505783
/vessels/details/8807715,MFC 1,Fishing Vessel,8807715
/vessels/details/654674645,REEL FIN,Fishing vessel,654674645
/vessels/details/654210014,LIN 21001-4-99,Unknown,654210014
/vessels/details/654016600,MAYEL,Fishing vessel,654016600
/vessels/details/654250078,NET78-ZSY65425-61,Unknown,654250078
/vessels/details/7634094,RIGDALIN,Fishing Vessel,7634094
/vessels/details/7324314,MANAVAA II,Fishing Vessel,7324314
/vessels/details/7394137,ERREZEGH,Fishing Vessel,7394137
/vessels/details/654250112,NET-ZSY65425-112-83,Unknown,654250112
/vessels/details/654250058,NET58-ZSY65425-81,Unknown,654250058
/vessels/details/9263409,ANDALLA 4,Fishing Vessel,9263409
/vessels/details/654820000,VASK 24,Fishing vessel,654820000
/vessels/details/654077005,COSTA DE MALPICA,Fishing vessel,654077005
/vessels/details/654099700,SHEILA,Unknown,654099700
/vessels/details/7388449,ARPECO 8,Fishing Vessel,7388449
/vessels/details/8615423,MESSOUD 4,Fishing Vessel,8615423
/vessels/details/654321345,199-12-91,Unknown,654321345
/vessels/details/8515245,ALMAP 7,Fishing Vessel,8515245
/vessels/details/7210185,BADER,Fishing Vessel,7210185
/vessels/details/654250005,NET5-ZSY65425-74,Unknown,654250005
/vessels/details/654900100,EV2 YACOUB OUL RAJEL,Other type,654900100
/vessels/details/654321003,DONGHAIDC-03-16,Unknown,654321003
/vessels/details/654216581,03776-20-26,Unknown,654216581
/vessels/details/6825050,MAHANOVA IV,Fishing Vessel,6825050
/vessels/details/7511890,RIMBAL 2,Fishing Vessel,7511890
/vessels/details/654070400,FU YUAN YU 9508,Fishing vessel,654070400
/vessels/details/654452417,3023-16-38,Unknown,654452417
/vessels/details/8812136,TICHITT V,Fishing Vessel,8812136
/vessels/details/654061500,FU YUAN YU 813,Fishing vessel,654061500
/vessels/details/8894598,TWEIZEGTT 903,Fishing Vessel,8894598
/vessels/details/9692064,OUALATA 1,Tug,9692064
/vessels/details/8710792,TICHITT VI,Fishing Vessel,8710792
/vessels/details/7388097,RIMBAL4,Fishing Vessel,7388097
/vessels/details/9051947,ARPECO 6,Fishing Vessel,9051947
/vessels/details/8585850,ISMAIL - 15,Fish Carrier,8585850
/vessels/details/8894586,VETHELKHAIR 901,Fishing Vessel,8894586
/vessels/details/654041700,FU YUAN YU 974,Fishing vessel,654041700
/vessels/details/8220565,FRUTO DA UNIAO,Fishing Vessel,8220565
/vessels/details/9051959,ARPECO 7,Fishing Vessel,9051959
/vessels/details/654850003,XIANGGANG3-87,Unknown,654850003
/vessels/details/654041900,FU YUAN YU 976,Fishing vessel,654041900
/vessels/details/654079180,TAFRA 5,Fishing vessel,654079180
/vessels/details/8605923,CIPA II,Fishing Vessel,8605923
/vessels/details/654250030,NET30-ZSY65425-59,Unknown,654250030
/vessels/details/654041100,FU YUAN YU 968,Fishing vessel,654041100
/vessels/details/7634109,KAMBOT,Fishing Vessel,7634109
/vessels/details/8834847,NTID-2,Fishing Vessel,8834847
/vessels/details/654216585,03776-24-63,Unknown,654216585
/vessels/details/654321001,DONGHAIDC-01-89,Unknown,654321001
/vessels/details/8585800,ISMAIL - 12,Fish Carrier,8585800
/vessels/details/654041400,FU YUAN YU 971,Fishing vessel,654041400
/vessels/details/8948870,SAID 2,Fishing Vessel,8948870
/vessels/details/654250088,NET88-ZSY65425-17,Unknown,654250088
/vessels/details/9878412,AL ASMAC 12,Fishing Vessel,9878412
/vessels/details/654300806,8A6-95,Unknown,654300806
/vessels/details/7386764,CHEIKH SIDAHMED RGUEIBY,Fishing Vessel,7386764
/vessels/details/9051961,ANNAJAH II,Fishing Vessel,9051961
/vessels/details/8772958,FU YUAN YU 965,Fishing Vessel,8772958
/vessels/details/654049000,FU YUAN YU967,Fishing vessel,654049000
/vessels/details/654076975,DO XILO,Fishing vessel,654076975
/vessels/details/7634068,BIR TERFAS,Fishing Vessel,7634068
/vessels/details/654210574,LIN 21057-4-60,Unknown,654210574
/vessels/details/654250101,NET101-ZSY65425-60,Unknown,654250101
/vessels/details/654970015,65497-15-99,Unknown,654970015
/vessels/details/8537372,SAFIA - 15,Fishing Vessel,8537372
/vessels/details/654070300,FU YUAN YU 9507,Fishing vessel,654070300
/vessels/details/8896663,NOUH 3,Fishing Vessel,8896663
/vessels/details/8708440,MESSOUD I,Fishing Vessel,8708440
/vessels/details/654010240,HAIMOUDA,Fishing vessel,654010240
/vessels/details/8812148,SIPECHE II,Fishing Vessel,8812148
/vessels/details/8619601,ARPECO IV,Fishing Vessel,8619601
/vessels/details/8803551,ANAJIM 2,Fishing Vessel,8803551
/vessels/details/654250014,NET14-ZSY65425-63,Unknown,654250014
/vessels/details/654545608,26158-08-46,Unknown,654545608
/vessels/details/654061400,FU YUAN YU812,Fishing vessel,654061400
/vessels/details/654250103,NET103-ZSY65425-92,Unknown,654250103
/vessels/details/6909844,MAHAPU 3,Fishing Vessel,6909844
/vessels/details/654010222,ZAD EL KHEIR,Fishing vessel,654010222
/vessels/details/654850008,XIANGGANG8-90,Unknown,654850008
/vessels/details/654999999,GLONG 205 F16,Fishing vessel,654999999
/vessels/details/7645251,MANAVAA IV,Fishing Vessel,7645251
/vessels/details/654041500,FU YUAN YU 972,Fishing vessel,654041500
/vessels/details/8615435,LIMBAREK II,Fishing Vessel,8615435
/vessels/details/654080420,GORGOL,Other type,654080420
/vessels/details/9051973,ANNAJAH III,Fishing Vessel,9051973
/vessels/details/7302457,SOMAURIPECT 1,Fishing Vessel,7302457
/vessels/details/654970014,65497-14-99,Unknown,654970014
