url,name,type,imo
/vessels/details/348000019,SANTORINI,Unknown,348000019
/vessels/details/348000022,MY FELIZA GRANDE,Pleasure craft,348000022
/vessels/details/348600143,QIYU03486143-79,Unknown,348600143
/vessels/details/348800020,JILEYU3488-20-99,Unknown,348800020
/vessels/details/348600144,QIYU03486144-29,Unknown,348600144
/vessels/details/348518811,ZHELUYU85188-11-99,Unknown,348518811
/vessels/details/348018760,SV -MABOUYA,Sailing vessel,348018760
/vessels/details/348518808,ZHELUYU85188-8-91,Unknown,348518808
/vessels/details/348800010,JILEYU3488-10-99,Unknown,348800010
/vessels/details/348371006,8374-1-43,Unknown,348371006
/vessels/details/348998026,8998-A26-99,Unknown,348998026
/vessels/details/348371002,8374-2-45,Unknown,348371002
/vessels/details/348800009,JILEYU3488-09-99,Unknown,348800009
/vessels/details/348219398,LIN21939-8-89,Unknown,348219398
/vessels/details/348371009,8374-4-45,Unknown,348371009
/vessels/details/348987656,JINLEI-26-76,Unknown,348987656
/vessels/details/348218819,LIN21881-9-98,Unknown,348218819
/vessels/details/348964548,61W4M4 50,Unknown (HAZ-B),348964548
/vessels/details/348214774,ZHELIN21477-4-69,Unknown,348214774
/vessels/details/348998030,8998-A30-88,Unknown,348998030
/vessels/details/348518810,ZHELUYU85188-10-91,Unknown,348518810
/vessels/details/348998024,8998-A24-92,Unknown,348998024
/vessels/details/348998023,8998-A23-99,Unknown,348998023
/vessels/details/348600141,QIYU03486141-02,Unknown,348600141
/vessels/details/348800008,JILEYU3488-08-74,Unknown,348800008
/vessels/details/348987654,JINLEI-24-91,Unknown,348987654
/vessels/details/348371010,8374-5-47,Unknown,348371010
/vessels/details/348998016,8998-A16-99,Unknown,348998016
/vessels/details/348800001,JILEYU3488-01-99,Unknown,348800001
/vessels/details/348213589,LIN21358-9-83,Unknown,348213589
/vessels/details/348998020,8998-A20-02,Unknown,348998020
/vessels/details/348053568,SHENG05356-8-83,Unknown,348053568
/vessels/details/348039280,ZHEDAIYU03928-34 90,Unknown,348039280
/vessels/details/348800016,JILEYU3488-16-76,Unknown,348800016
/vessels/details/348215002,ZHEPINGYU82150-2-78,Unknown,348215002
/vessels/details/348371005,8374-5-34,Unknown,348371005
/vessels/details/348998022,8998-A22-99,Unknown,348998022
/vessels/details/348129058,LIN12905-8-93,Unknown,348129058
/vessels/details/348816885,18168-85-17,Unknown,348816885
/vessels/details/348878813,88788-13-99,Unknown,348878813
/vessels/details/348888824,SAN88888-24-62,Unknown,348888824
/vessels/details/348600142,QIYU03486142-44,Unknown,348600142
/vessels/details/348998025,8998-A25-84,Unknown,348998025
/vessels/details/348998029,8998-A29-51,Unknown,348998029
/vessels/details/348800005,JILEYU3488-05-99,Unknown,348800005
/vessels/details/348371007,8374-2-50,Unknown,348371007
/vessels/details/348998017,8998-A17-83,Unknown,348998017
/vessels/details/348121454,LIN12345-4-35,Unknown,348121454
/vessels/details/348564300,MV STAR HILONGOS,Cargo ship,348564300
/vessels/details/348288886,JIAO28888-6-97,Unknown,348288886
/vessels/details/348215003,ZHEPINGYU82150-3-51,Unknown,348215003
/vessels/details/348998019,8998-A19-95,Unknown,348998019
/vessels/details/348998018,8998-A18-91,Unknown,348998018
/vessels/details/348998028,8998-A28-99,Unknown,348998028
/vessels/details/348987655,JINLEI-25-86,Unknown,348987655
/vessels/details/348800013,JILEYU3488-13-99,Unknown,348800013
/vessels/details/348518806,ZHELUYU85188-6-98,Unknown,348518806
/vessels/details/348297578,LING29757-8-29,Unknown,348297578
/vessels/details/348852318,3488-2-36,Unknown,348852318
/vessels/details/348998027,8998-A27-92,Unknown,348998027
/vessels/details/348800099,3488-9-61,Unknown,348800099
/vessels/details/348128828,LIN12882-8-90,Unknown,348128828
/vessels/details/348057236,L NOI 963 C9KIEN,Pleasure craft,348057236
/vessels/details/348369092,8374-3-93,Unknown,348369092
/vessels/details/348000232,SOUFRIERE SPIRIT,SAR,348000232
/vessels/details/348800006,JILEYU3488-06-99,Unknown,348800006
/vessels/details/348371008,8374-3-38,Unknown,348371008
/vessels/details/348123778,LIM12377-8-58,Unknown,348123778
/vessels/details/348518805,ZHELUYU85188-5-89,Unknown,348518805
/vessels/details/348783000,AL KHAYR,Cargo ship,348783000
/vessels/details/348000291,9HB364,Pleasure craft,348000291
/vessels/details/348518809,ZHELUYU85188-9-93,Unknown,348518809
/vessels/details/348371003,8374-3-45,Unknown,348371003
/vessels/details/348518812,ZHELUYU85188-12-99,Unknown,348518812
/vessels/details/348000007,OK,Unknown,348000007
/vessels/details/348000016,LUNO,Sailing vessel,348000016
/vessels/details/348086628,LIN08662-8-39,Unknown,348086628
/vessels/details/348800004,JILEYU3488-04-99,Unknown,348800004
/vessels/details/348371001,8374-1-50,Unknown,348371001
/vessels/details/348998021,8998-A21-62,Unknown,348998021
/vessels/details/348599942,SAN 85999-42-76,Unknown,348599942
/vessels/details/348215001,ZHEPINGYU82150-1-60,Unknown,348215001
