url,name,type,imo
/vessels/details/9119335,GERARDUS MERCATOR,Hopper Dredger,9119335
/vessels/details/9166845,ALEXANDER V HUMBOLDT,Hopper Dredger,9166845
/vessels/details/8768309,SD ENTERPRISE,Platform,8768309
/vessels/details/9260677,J.F.J DE NUL,Dredger,9260677
/vessels/details/8108676,LEON THEVENIN,Cable Layer,8108676
/vessels/details/8411592,LEONARDO DA VINCI,Dredger,8411592
/vessels/details/9225287,MAURITIUS TROCHETIA,Passenger/General Cargo Ship,9225287
/vessels/details/9120217,AFFINIS,Refrigerated Cargo Ship,9120217
/vessels/details/7821051,MARCO POLO,Dredger,7821051
/vessels/details/9591387,ARENT,Motor Hopper,9591387
/vessels/details/9372248,LE SPHINX,Motor Hopper,9372248
/vessels/details/9083237,NINA,Hopper Dredger,9083237
/vessels/details/9861495,GALERNA LAU,Fishing Vessel,9861495
/vessels/details/8906468,ALBACAN,Fishing Vessel,8906468
/vessels/details/9699050,CAPE CORAL,Fishing Vessel,9699050
/vessels/details/7931002,MAGELLANO 1800,Motor Hopper,7931002
/vessels/details/8714322,KLONDYKE 139,Fish Factory Ship,8714322
/vessels/details/9555591,MT SARAH,Bunkering Tanker,9555591
/vessels/details/9699268,GIAN LORENZO BERNINI,Dredger,9699268
/vessels/details/9779044,SIR EDOUARD,Tug,9779044
/vessels/details/9612272,MT ELISE,Bunkering Tanker,9612272
/vessels/details/9717955,HAIZEA HIRU,Fishing Support Vessel,9717955
/vessels/details/9898890,BARAKAH 1,Tug,9898890
/vessels/details/9065340,SIR GAETAN,Tug,9065340
/vessels/details/9460710,DA PATTEN,Tug,9460710
/vessels/details/9385295,DN85,Tug,9385295
/vessels/details/8745450,DN38,Utility Vessel,8745450
/vessels/details/7356977,BETTY DES MASCAREIGNES,Tug,7356977
/vessels/details/9542269,DN 96,Patrol Vessel,9542269
/vessels/details/645281000,HENDRIK GEERAERT,Dredging or UW ops,645281000
/vessels/details/645452000,SAO FRANCISCO,Sailing vessel,645452000
/vessels/details/645232000,IL PRINCIPE,Dredging or UW ops,645232000
/vessels/details/645258000,DN82,Tug,645258000
/vessels/details/645403000,CGS BARRACUDA,Law enforcment,645403000
/vessels/details/645479000,CGS VALIANT,Law enforcment,645479000
/vessels/details/645246000,DN79,Tug,645246000
/vessels/details/645278000,DN87,Unknown,645278000
/vessels/details/645165000,DN56,Tug,645165000
