url,name,type,imo
/vessels/details/9330599,LUMIN,Crude Oil Tanker,9330599
/vessels/details/9125580,MSS CHROME,Bulk Carrier,9125580
/vessels/details/9217151,MSS GRAPHENE,General Cargo Ship,9217151
/vessels/details/9240471,MSS GALENA,General Cargo Ship,9240471
/vessels/details/9655389,MT.HEERAA,Bunkering Tanker,9655389
/vessels/details/9625267,MARINE BELLA,Oil Products Tanker,9625267
/vessels/details/7635878,JAZEERA REEFER,Refrigerated Cargo Ship,7635878
/vessels/details/9647899,MARINE ANGEL,Oil Products Tanker,9647899
/vessels/details/9703124,VILA UFULI 3,General Cargo Ship,9703124
/vessels/details/9988425,WHITE PEARL,Yacht,9988425
/vessels/details/8512205,KOAMAS,Chemical Tanker,8512205
/vessels/details/8132275,HIBARU,Oil Products Tanker,8132275
/vessels/details/455451000,BUREKI,Tanker,455451000
/vessels/details/9362035,ATOLL FAVOUR,Landing Craft,9362035
/vessels/details/455900002,YUENAN2 90,Unknown,455900002
/vessels/details/455041195,AKHTARI LAL M 786,Fishing vessel,455041195
/vessels/details/455394000,TANGO 7,Towing vessel (tow>200),455394000
/vessels/details/455565688,MINLONGYU63816,Fishing vessel,455565688
/vessels/details/455427000,SUN UFULI 1,Unknown,455427000
/vessels/details/455441509,05117-897,Unknown,455441509
/vessels/details/455174290,TTS FIYALA,Other type,455174290
/vessels/details/8220412,KALAMINJA 403,Refrigerated Cargo Ship,8220412
/vessels/details/455856756,MIN00001,Fishing vessel,455856756
/vessels/details/455000369,L 309,Unknown,455000369
/vessels/details/455302000,VILA0DHAURU,Unknown,455302000
/vessels/details/455554509,MUHAMMADI 2366,Unknown,455554509
/vessels/details/455184490,ALICE,Pleasure craft,455184490
/vessels/details/455558654,55586-54 89,Unknown,455558654
/vessels/details/5009350,OCEAN MASTER,General Cargo Ship,5009350
/vessels/details/455529226,JILEYU04555-26-84,Unknown,455529226
/vessels/details/455426000,MEGA STAR,Cargo ship,455426000
/vessels/details/455048001,LIAOYINGYU55048-189,Unknown,455048001
/vessels/details/7736543,CHAMPA MOON,Chemical Tanker,7736543
/vessels/details/9118903,ALIHURAS,Oil Products Tanker,9118903
/vessels/details/455465000,LEO ACTIVA,Tug,455465000
/vessels/details/455205422,97,Fishing vessel,455205422
/vessels/details/7713917,TRANSFUEL 9,Oil Products Tanker,7713917
/vessels/details/8623523,CROWN PRINCESS,Passenger/Ro-Ro Cargo Ship,8623523
/vessels/details/8220400,KALAMINJA 402,Refrigerated Cargo Ship,8220400
/vessels/details/455447475,1DWPPG,Unknown,455447475
/vessels/details/455558663,55586-63 90,Unknown,455558663
/vessels/details/9017317,UFULI,Landing Craft,9017317
/vessels/details/455454409,L.RE A8 G19 P14-46,Unknown,455454409
/vessels/details/8210936,BAROASAA 102,Refrigerated Cargo Ship,8210936
/vessels/details/455422000,SAAFU 8,Tug,455422000
/vessels/details/9065077,SEA BIRD,Chemical/Oil Products Tanker,9065077
/vessels/details/455460000,TANGO-10,Unknown,455460000
/vessels/details/455808298,ZHECANGYU08298-45,Unknown,455808298
/vessels/details/455645420,08612-197,Unknown,455645420
/vessels/details/455321112,3766-5 50,Unknown,455321112
/vessels/details/9079640,HAWKS HATHA,Chemical Tanker,9079640
/vessels/details/9849186,SUN UFULI 1,Landing Craft,9849186
/vessels/details/8535166,ENSAM 101,Fishing Vessel,8535166
/vessels/details/8220620,HAWKS HIVVARU,Tug,8220620
/vessels/details/9842114,OCEAN LADY,Landing Craft,9842114
/vessels/details/9795024,UJAALAA-2,Landing Craft,9795024
/vessels/details/1123263,VILA UFULI 5,General Cargo Ship,1123263
/vessels/details/455445456,69188,Fishing vessel,455445456
