url,name,type,imo
/vessels/details/7708302,YUUM KAK NAAB,Offshore Support Vessel,7708302
/vessels/details/9231389,PANAMAX NEREID,Bulk Carrier,9231389
/vessels/details/9457191,CABO STAR,Ro-Ro Cargo Ship,9457191
/vessels/details/9642904,JAGUAROUNDI,Chemical/Oil Products Tanker,9642904
/vessels/details/9642899,CENTLA,Chemical/Oil Products Tanker,9642899
/vessels/details/9642930,CALAKMUL,Chemical/Oil Products Tanker,9642930
/vessels/details/9642928,RARAMURI,Chemical/Oil Products Tanker,9642928
/vessels/details/9642942,KUKULCAN,Chemical/Oil Products Tanker,9642942
/vessels/details/9642916,TEXISTEPEC,Chemical/Oil Products Tanker,9642916
/vessels/details/9457177,CALIFORNIA STAR,Ro-Ro Cargo Ship,9457177
/vessels/details/9391294,BICENTENARIO,Chemical/Oil Products Tanker,9391294
/vessels/details/9391309,TAMPICO,Chemical/Oil Products Tanker,9391309
/vessels/details/9389332,MIGUEL HIDALGO II,Chemical/Oil Products Tanker,9389332
/vessels/details/9389320,VICENTE GUERRERO II,Chemical/Oil Products Tanker,9389320
/vessels/details/9396098,CENTENARIO,Chemical/Oil Products Tanker,9396098
/vessels/details/9396086,JOSE MA MORELOS II,Chemical/Oil Products Tanker,9396086
/vessels/details/9283734,TULA,Chemical/Oil Products Tanker,9283734
/vessels/details/9290634,CHICONTEPEC,Chemical/Oil Products Tanker,9290634
/vessels/details/9289154,BURGOS,Chemical/Oil Products Tanker,9289154
/vessels/details/9470935,IGNACIO ALLENDE,Chemical/Oil Products Tanker,9470935
/vessels/details/9470947,MARIANO ABASOLO,Chemical/Oil Products Tanker,9470947
/vessels/details/9298818,BLUE COMMANDER,Oil Products Tanker,9298818
/vessels/details/9506514,ALMA DEL MAR,General Cargo Ship,9506514
/vessels/details/9673886,REFORMA PEMEX,Offshore Support Vessel,9673886
/vessels/details/9673898,CERRO DE LA PEZ,Offshore Support Vessel,9673898
/vessels/details/9203095,BLUE GIANT,Crane Ship,9203095
/vessels/details/8757477,BG FENIX,Pipe Layer,8757477
/vessels/details/9400485,MEXICAN GIANT,Heavy Load Carrier,9400485
/vessels/details/9372676,SANTA RITA,Ro-Ro Cargo Ship,9372676
/vessels/details/8117823,MAZU,Utility Vessel,8117823
/vessels/details/9186637,SAN JORGE,Ro-Ro Cargo Ship,9186637
/vessels/details/9161168,CHIAPAS STAR,General Cargo Ship,9161168
/vessels/details/9526382,CAPTAIN AMERICA,Offshore Support Vessel,9526382
/vessels/details/9453341,MAYA,Offshore Support Vessel,9453341
/vessels/details/9314363,OAXACA STAR,General Cargo Ship,9314363
/vessels/details/9379870,MAR DE CALIFORNIA,Bulk Carrier,9379870
/vessels/details/8012566,GLORIA ELENA,Cement Carrier,8012566
/vessels/details/8203634,AMPARO PAOLA,Cement Carrier,8203634
/vessels/details/9457050,HOS IRON HORSE,Offshore Support Vessel,9457050
/vessels/details/9255335,AZTECA,Offshore Support Vessel,9255335
/vessels/details/9228887,CERRO DEL TEPEYAC,Oil Products Tanker,9228887
/vessels/details/9247522,PROTEUS,Offshore Support Vessel,9247522
/vessels/details/8641939,OCEAN INTREPID,Crane Ship,8641939
/vessels/details/9440370,BLUE STINGRAY,Offshore Support Vessel,9440370
/vessels/details/9549176,EBANO,Offshore Support Vessel,9549176
/vessels/details/8518302,SEMI 2,Platform,8518302
/vessels/details/8518314,SEMI 1,Offshore Tug/Supply Ship,8518314
/vessels/details/9186156,BLUE PHOENIX,Offshore Support Vessel,9186156
/vessels/details/9440368,NN LEONIS,Offshore Support Vessel,9440368
/vessels/details/8756825,DLB 801,Pipe Layer,8756825
/vessels/details/9264867,ARBOL GRANDE,Offshore Support Vessel,9264867
/vessels/details/8600894,BAHIA KINO,Hopper Dredger,8600894
/vessels/details/7636080,PILOTS TPB,Ro-Ro Cargo Ship,7636080
/vessels/details/9344849,BLUE PIONEER,Offshore Support Vessel,9344849
/vessels/details/9761736,LAGUNERO,Offshore Support Vessel,9761736
/vessels/details/9694086,TAHID KAVERI,Offshore Support Vessel,9694086
/vessels/details/9680762,LA BAMBA,Offshore Support Vessel,9680762
/vessels/details/9666118,BERJAYA,Offshore Support Vessel,9666118
/vessels/details/8821747,NEPTUNUS,Chemical/Oil Products Tanker,8821747
/vessels/details/8751710,HOLKAN,Platform,8751710
/vessels/details/9255115,TOPAZCAPTAIN,Offshore Support Vessel,9255115
/vessels/details/9743069,ENAV PEREGRINA,Offshore Tug/Supply Ship,9743069
/vessels/details/9647667,HOS RENAISSANCE,Offshore Tug/Supply Ship,9647667
/vessels/details/9648166,TMM GAMMA,Offshore Tug/Supply Ship,9648166
/vessels/details/9638123,TMM ALFA,Offshore Tug/Supply Ship,9638123
/vessels/details/9587398,HOS BROWNING,Offshore Tug/Supply Ship,9587398
/vessels/details/9490064,HOS WINCHESTER,Offshore Tug/Supply Ship,9490064
/vessels/details/9533701,SEACOR WARRIOR,Offshore Tug/Supply Ship,9533701
/vessels/details/9707285,SEACOR AZTECA,Offshore Tug/Supply Ship,9707285
/vessels/details/9654153,MONFORTE DE LEMOS,Offshore Tug/Supply Ship,9654153
/vessels/details/9701528,SEACOR MAYA,Offshore Tug/Supply Ship,9701528
/vessels/details/9533672,HANDIN TIDE,Offshore Tug/Supply Ship,9533672
/vessels/details/9667227,UP AGATE,Offshore Tug/Supply Ship,9667227
