url,name,type,imo
/vessels/details/9831684,CORAL-SUL FLNG,Offshore Support Vessel,9831684
/vessels/details/9208069,STELLAR BEVERLY,Crude Oil Tanker,9208069
/vessels/details/9285859,PACIFIC RUNNER,Crude Oil Tanker,9285859
/vessels/details/9321689,NAVIGATOR RIDGE,Crude Oil Tanker,9321689
/vessels/details/9251810,BLUEBELL,Crude Oil Tanker,9251810
/vessels/details/8801319,BAZARUTO,Buoy/Lighthouse Vessel,8801319
/vessels/details/9910703,PONTA TIMBUE,Fishing Vessel,9910703
/vessels/details/9883869,PONTA MATIRRE,Fishing Vessel,9883869
/vessels/details/9470026,MPFUMU,Passenger/Ro-Ro Cargo Ship,9470026
/vessels/details/8723634,QUINLAN FRASER,Fishing Vessel,8723634
/vessels/details/9234692,RIA MAR,Fishing Vessel,9234692
/vessels/details/9252010,POLO SUL,Fishing Vessel,9252010
/vessels/details/9806005,SAVANE,Tug,9806005
/vessels/details/9706009,SEREIA,Tug,9706009
/vessels/details/7431313,REEF PROTECTOR,Standby Safety Vessel,7431313
/vessels/details/8961171,ZODIACO,Fishing Vessel,8961171
/vessels/details/9392511,SOFIA 3,Tug,9392511
/vessels/details/8745735,KANYAKA,Passenger Ship,8745735
/vessels/details/650000119,TSEMBA,Port tender,650000119
/vessels/details/650115000,TROPICAL,Fishing vessel,650115000
/vessels/details/650003200,BAIA,Pilot,650003200
/vessels/details/650895005,05- 77,Unknown,650895005
/vessels/details/650300013,6503-13 90,Unknown,650300013
/vessels/details/7427910,ARPEM 4,Fishing Vessel,7427910
/vessels/details/650901005,3899-05-99,Unknown,650901005
/vessels/details/8911566,ANTARES IV,Fishing Vessel,8911566
/vessels/details/650300003,6503-3 90,Unknown,650300003
/vessels/details/6621076,GORONGOSA,Tug,6621076
/vessels/details/6509266,LUCIA PAULO,Fishing Vessel,6509266
/vessels/details/8911578,ANTARES V,Fishing Vessel,8911578
/vessels/details/9178496,CYGNUS 1,Fishing Vessel,9178496
/vessels/details/5011913,ALMADA,General Cargo Ship,5011913
/vessels/details/650450015,65045-15-97,Unknown,650450015
/vessels/details/7362770,PINDA,Tug,7362770
/vessels/details/650171017,AL SURAT BFD 15286,Fishing vessel,650171017
/vessels/details/7422594,JOAO CARLOS,Fishing Vessel,7422594
/vessels/details/650370001,LIAOZHUANGYU6503788,Unknown,650370001
/vessels/details/650013178,NET-65-ZSY1317864,Unknown,650013178
/vessels/details/9641144,MACUTI,Hopper Dredger,9641144
/vessels/details/650888916,08889-16-95,Unknown,650888916
/vessels/details/8011835,TSUTSUMANE,Tug,8011835
/vessels/details/650171717,650171717-83,Unknown,650171717
/vessels/details/7920883,VEGA 7,Fishing Vessel,7920883
/vessels/details/650100005,650100005 9V,Unknown,650100005
/vessels/details/650608888,YUENANAO21598,Fishing vessel,650608888
/vessels/details/8692940,SARDINHA DO INDICO-III,Fishing Vessel,8692940
/vessels/details/650100007,650100007 9V,Unknown,650100007
/vessels/details/650895006,06- 99,Unknown,650895006
/vessels/details/650888883,650-86,Unknown,650888883
/vessels/details/8612483,SAA,Fishing Vessel,8612483
/vessels/details/650000141,CABO 07,Military ops,650000141
/vessels/details/7422609,MARIA DE JESUS,Fishing Vessel,7422609
/vessels/details/9008902,PESCAMAR NOVE,Fishing Vessel,9008902
/vessels/details/9640293,INDICO II,Landing Craft,9640293
/vessels/details/650097408,YPXUSM6T8-44 AH,Unknown,650097408
/vessels/details/650450007,65045-7-94,Unknown,650450007
/vessels/details/650132918,01329-18-77,Unknown,650132918
/vessels/details/650219593,ZHELINYU21959-3,Unknown,650219593
/vessels/details/650281819,SAN 02818-19-63,Unknown,650281819
/vessels/details/650889845,08898-45-83,Unknown,650889845
/vessels/details/7407403,MULEVE,Fishing Vessel,7407403
/vessels/details/7428146,ARPEM XIV,Fishing Vessel,7428146
/vessels/details/7929475,VEGA 12,Fishing Vessel,7929475
/vessels/details/8816297,XEFINA,Tug,8816297
/vessels/details/7427922,ARPEM 5,Fishing Vessel,7427922
