url,name,type,imo
/vessels/details/9854911,BENGUELA GEM,Mining Vessel,9854911
/vessels/details/7419389,DEBMAR PACIFIC,Mining Vessel,7419389
/vessels/details/8607397,JUPITER-1,Fish Factory Ship,8607397
/vessels/details/8607347,TUTUNGENI,Fish Factory Ship,8607347
/vessels/details/8802997,FV KATANGA,Fishing Vessel,8802997
/vessels/details/8707537,KOMESHO,Fishing Vessel,8707537
/vessels/details/8721193,VENUS-I,Fish Factory Ship,8721193
/vessels/details/8519071,CAVEMA STAR,Fishing Vessel,8519071
/vessels/details/8202812,MEDIVA STAR,Fishing Vessel,8202812
/vessels/details/9185190,NORDERVON,Fishing Vessel,9185190
/vessels/details/9896232,OLUPALE,Fishing Vessel,9896232
/vessels/details/8704614,ESTAI,Fishing Vessel,8704614
/vessels/details/8709808,OUKAUME,Fishing Vessel,8709808
/vessels/details/8113035,OMUKUMO,Fishing Vessel,8113035
/vessels/details/9856438,NOVANAM TWO,Fishing Vessel,9856438
/vessels/details/9856414,LALANDII 1,Fishing Vessel,9856414
/vessels/details/8510817,HELENA NDUME,Fishing Vessel,8510817
/vessels/details/8404513,ISBJORN,Fishing Vessel,8404513
/vessels/details/8701179,KAVEKE KATAMILA,Fishing Vessel,8701179
/vessels/details/8721571,ROYAL CRAB,Fishing Vessel,8721571
/vessels/details/8614211,SEAMOUNT EXPLORER,Fishing Vessel,8614211
/vessels/details/9211808,FARNELLA,Fishing Vessel,9211808
/vessels/details/7325722,ZAMBEZI,Fishing Vessel,7325722
/vessels/details/8414609,HARVEST NICOLA,Fishing Vessel,8414609
/vessels/details/9406609,FARILLON,Fishing Vessel,9406609
/vessels/details/9312236,OHAMBA,Fishing Vessel,9312236
/vessels/details/9431410,MONTESANROQUE,Fishing Vessel,9431410
/vessels/details/9263447,GIUSEPPE,Fishing Vessel,9263447
/vessels/details/9147564,HELGOLAND,Fishing Vessel,9147564
/vessels/details/9329186,OMAKE ATIVALI,Fishing Vessel,9329186
/vessels/details/7909736,NORO,Fishing Vessel,7909736
/vessels/details/9808302,ATUSHENI,Fishing Vessel,9808302
/vessels/details/9840520,MERCEDES EMILIA,Fishing Vessel,9840520
/vessels/details/9557991,ONKOSHI,Tug,9557991
/vessels/details/7030614,LUNAN BAY,Fishing Vessel,7030614
/vessels/details/9666223,SEAGULL 1,Pilot Vessel,9666223
/vessels/details/659520000,SEARAKER,Sailing vessel,659520000
/vessels/details/659194000,CORMORANT,Tug,659194000
/vessels/details/659257000,TERRACE BAY,Fishing vessel,659257000
/vessels/details/659251000,NEPTUNE,Fishing vessel,659251000
/vessels/details/659408000,KROSSFJORD,Fishing vessel,659408000
/vessels/details/7359759,KARAS,Fishing Vessel,7359759
/vessels/details/659364000,ANDRA JANE,Fishing vessel,659364000
/vessels/details/659004000,BLUEFIN,Fishing vessel,659004000
/vessels/details/8012035,JOAO N. CASTRO,Fishing Vessel,8012035
/vessels/details/659076000,BIG BEN,Pleasure craft,659076000
/vessels/details/7396848,PESCALAMAR 1,Fishing Vessel,7396848
/vessels/details/659490000,CANAN,Fishing vessel,659490000
/vessels/details/659091000,ASTRONAUT,Passenger ship,659091000
/vessels/details/659990006,LUPENGYU65999-6-99,Unknown,659990006
/vessels/details/7704928,BALDUR ARNA,Fishing Vessel,7704928
/vessels/details/659874123,00638-1,Unknown,659874123
/vessels/details/8804347,HELGOLAND,Fishing Vessel,8804347
/vessels/details/659202000,BROTHERS,Port tender,659202000
/vessels/details/9147162,ZEPHYR,Fishing Vessel,9147162
/vessels/details/659248000,SENSATIONAL,Port tender,659248000
/vessels/details/659125000,BELLEVANTI,Port tender,659125000
/vessels/details/9335305,KATIVO,Fishing Vessel,9335305
/vessels/details/659200006,HUAHONG6592-6-99,Unknown,659200006
/vessels/details/9362853,LAXE DOS,Fishing Vessel,9362853
/vessels/details/659365213,38YIBEIYOUWANGBIRANG,Unknown,659365213
/vessels/details/2761749,OUPA JAN,Fishing Vessel,2761749
/vessels/details/659432000,LAXE DOS,Fishing vessel,659432000
/vessels/details/659136000,SV STENELLA,Sailing vessel,659136000
/vessels/details/659888922,SAN98889-22-52,Unknown,659888922
/vessels/details/659193000,ARTHUR M,Fishing vessel,659193000
/vessels/details/6508119,BOSTON WAYFARER,Fishing Vessel,6508119
/vessels/details/659990004,LUPENGYU65999-4-99,Unknown,659990004
/vessels/details/659365202,38YIBEIYOUWANGBIRANG,Unknown,659365202
/vessels/details/659200003,HUAHONG6592-3-73,Unknown,659200003
/vessels/details/659283000,JOAO N CASTRO,Other type,659283000
/vessels/details/659169000,BULLSEYE,Pleasure craft,659169000
/vessels/details/659200022,HUAHONG6592-22-78,Unknown,659200022
/vessels/details/659319000,INDEPENDENCE,Fishing vessel,659319000
/vessels/details/659217528,28098-11-79,Unknown,659217528
/vessels/details/659332000,MV EZLY,Pleasure craft,659332000
/vessels/details/9233105,TUNGA,Fishing Vessel,9233105
/vessels/details/9253507,STEINSUND,Fishing Vessel,9253507
/vessels/details/7397684,LOUANNA,Fishing Vessel,7397684
/vessels/details/659372000,ESTHER,Pleasure craft,659372000
/vessels/details/659200019,HUAHONG6592-19-63,Unknown,659200019
/vessels/details/9022881,EHANGA BAY,Fishing Vessel,9022881
/vessels/details/659200010,HUAHONG6592-10-99,Unknown,659200010
/vessels/details/8903375,KOL-7,Fishing Vessel,8903375
/vessels/details/659156000,SONIA D,Fishing vessel,659156000
/vessels/details/7222865,WEST COAST II,Fishing Vessel,7222865
/vessels/details/9285603,ANNA KAKURUKAZE MUNGUNDA,Patrol Vessel,9285603
/vessels/details/659047000,ELIZABETH V,Fishing vessel,659047000
/vessels/details/659458000,NS DAURES,Unknown,659458000
/vessels/details/659200009,HUAHONG6592-9-99,Unknown,659200009
/vessels/details/9269178,KUMWE,Fishing Vessel,9269178
/vessels/details/659433000,MUXIA,Other type,659433000
/vessels/details/7909748,ZEEAREND,Fishing Vessel,7909748
/vessels/details/8606551,IRON MAIDEN,Fishing Vessel,8606551
/vessels/details/659262000,KING KAULUMA,Fishing vessel,659262000
/vessels/details/659142000,MOIRA D,Fishing vessel,659142000
/vessels/details/8684682,ELENGA BAY,Fishing Vessel,8684682
/vessels/details/659388000,MAXIMUS CASTRO,Fishing vessel,659388000
/vessels/details/659200002,HUAHONG6592-2-69,Unknown,659200002
/vessels/details/7125304,SAO MIGUEL,Fishing Vessel,7125304
/vessels/details/659485000,SEA QUEST,Fishing vessel,659485000
/vessels/details/659017000,OCEAN GRACE,Passenger ship,659017000
/vessels/details/659417000,SEASWAS,Port tender,659417000
/vessels/details/659200025,HUAHONG6592-25-73,Unknown,659200025
/vessels/details/8604644,TORRA BAY,Fishing Vessel,8604644
/vessels/details/8600301,DAR-314,Fishing Vessel,8600301
/vessels/details/7359747,GOELETTE,Fishing Vessel,7359747
/vessels/details/659195000,OUPA FRANK,Fishing vessel,659195000
/vessels/details/7524976,ATLANTIC HARVESTER,Fishing Vessel,7524976
/vessels/details/659089000,RUBI,Fishing vessel,659089000
/vessels/details/7405857,ZOGI,Fishing Vessel,7405857
/vessels/details/659053891,01701-1-1 90,Unknown,659053891
/vessels/details/9147148,KROSSFJORD,Fishing Vessel,9147148
/vessels/details/659456000,OCEAN CREST,HSC,659456000
/vessels/details/659287000,CRABQUEEN 1,Fishing vessel,659287000
/vessels/details/659510000,C EPSILON,Fishing vessel,659510000
/vessels/details/659276000,TORRA BAY,Fishing vessel,659276000
/vessels/details/9248629,VILLA DE HIO,Fishing Vessel,9248629
/vessels/details/659094000,THERONA,Fishing vessel,659094000
