url,name,type,imo
/vessels/details/656080168,NET-ZSY65608-168-93,Unknown,656080168
/vessels/details/656910746,RON ROEUN 746,Fishing vessel,656910746
/vessels/details/656626566,21286-14-95,Unknown,656626566
/vessels/details/656084203,NET65608-203-74,Unknown,656084203
/vessels/details/656811382,56875-10-77,Unknown,656811382
/vessels/details/656666666,SUQIYU12057-547.4V,Fishing vessel,656666666
/vessels/details/656644566,11598,Other type,656644566
/vessels/details/656082253,65608-25399,Unknown,656082253
/vessels/details/656077034,BIAO 56077-34-58,Unknown,656077034
/vessels/details/656560022,NET22-ZSY6565678,Unknown,656560022
/vessels/details/656680215,66802-15-99,Unknown,656680215
/vessels/details/656003943,LUJIAOYU60039-43-23,Unknown,656003943
/vessels/details/656128204,LIN12820-4-70,Unknown,656128204
/vessels/details/656080147,NET-ZSY65608-147-86,Unknown,656080147
/vessels/details/656129956,LIN12995-6-91,Unknown,656129956
/vessels/details/656077001,BIAO 56077-1-95,Unknown,656077001
/vessels/details/656080151,NET-ZSY65608-151-99,Unknown,656080151
/vessels/details/656558842,61966,Unknown,656558842
/vessels/details/656000055,HAIYUNKEJI-55-99,Unknown,656000055
/vessels/details/656680218,66802-18-90,Unknown,656680218
/vessels/details/656082259,65608-25998,Unknown,656082259
/vessels/details/656080158,NET-ZSY65608-158-99,Unknown,656080158
/vessels/details/656084212,NET65608-212-48,Unknown,656084212
/vessels/details/656171367,R0 TRAN OFFLIFE,Fishing vessel,656171367
/vessels/details/656656572,L0B0,Fishing vessel,656656572
/vessels/details/656193368,R0 TRAN OFFLIFE,Fishing vessel,656193368
/vessels/details/656850003,MINLONGYU65685-3-64,Unknown,656850003
/vessels/details/656890025,TIELONG65689-25-84,Unknown,656890025
/vessels/details/656850002,MINLONGYU65685-2-89,Unknown,656850002
/vessels/details/656215612,LIN 21561-2-80,Unknown,656215612
/vessels/details/656077019,BIAO 56077-19-97,Unknown,656077019
/vessels/details/656080111,NET-ZSY65608-111-78,Unknown,656080111
/vessels/details/656077017,BIAO 56077-17-08,Unknown,656077017
/vessels/details/656000063,HAIYUNKEJI-63-99,Unknown,656000063
/vessels/details/656890006,65689-6-07,Unknown,656890006
/vessels/details/656560025,NET25-ZSY6565640,Unknown,656560025
/vessels/details/656077010,BIAO 56077-10-82,Unknown,656077010
/vessels/details/656077004,BIAO 56077-4-99,Unknown,656077004
/vessels/details/656680211,66802-11-52,Unknown,656680211
/vessels/details/656656556,CHANGXING,Unknown,656656556
/vessels/details/656077037,BIAO 56077-37-26,Unknown,656077037
/vessels/details/656000057,HAIYUNKEJI-57-64,Unknown,656000057
/vessels/details/656082250,65608-25094,Unknown,656082250
/vessels/details/656532217,LEILEI-01-76,Unknown,656532217
/vessels/details/656723414,01501-14-62,Unknown,656723414
/vessels/details/656082256,65608-25638,Unknown,656082256
/vessels/details/656680204,66802-4-98,Unknown,656680204
/vessels/details/656890007,65689-7-11,Unknown,656890007
/vessels/details/656255445,MMD25,Cargo ship,656255445
/vessels/details/656077022,BIAO 56077-22-80,Unknown,656077022
/vessels/details/656077042,BIAO 56077-42-91,Unknown,656077042
/vessels/details/656084207,NET65608-207-99,Unknown,656084207
/vessels/details/656080162,NET-ZSY65608-162-99,Unknown,656080162
/vessels/details/656084211,NET65608-211-51,Unknown,656084211
/vessels/details/656082267,65608-26794,Unknown,656082267
/vessels/details/656084215,NET65608-215-96,Unknown,656084215
/vessels/details/656082260,65608-26092,Unknown,656082260
/vessels/details/656532220,XIAOSONG-01-99,Unknown,656532220
/vessels/details/656082252,65608-25209,Unknown,656082252
/vessels/details/656890021,TIELONG65689-21-99,Unknown,656890021
/vessels/details/656890023,TIELONG65689-23-91,Unknown,656890023
/vessels/details/656212732,LIN21273-2-99,Unknown,656212732
/vessels/details/656077024,BIAO 56077-24-68,Unknown,656077024
/vessels/details/656890001,65689-1-45,Unknown,656890001
/vessels/details/656080117,NET-ZSY65608-117-95,Unknown,656080117
/vessels/details/656990002,65699-2-76,Unknown,656990002
/vessels/details/656483788,P7 LUOI F5 102-69,Unknown,656483788
/vessels/details/656300032,PSF 2.5.3.2,Fishing vessel,656300032
/vessels/details/656082268,65608-26892,Unknown,656082268
/vessels/details/656077055,BIAO 56077-55-76,Unknown,656077055
/vessels/details/656082258,65608-25844,Unknown,656082258
/vessels/details/656560012,NET12-ZSY6565699,Unknown,656560012
/vessels/details/656680206,66802-6-99,Unknown,656680206
/vessels/details/656990005,65699-5-99,Unknown,656990005
/vessels/details/656077041,BIAO 56077-41-47,Unknown,656077041
/vessels/details/656084219,NET65608-219-95,Unknown,656084219
/vessels/details/656560035,NET35-ZSY6565607,Unknown,656560035
/vessels/details/656080133,NET-ZSY65608-133-89,Unknown,656080133
/vessels/details/656082482,NET65608-182-94,Unknown,656082482
/vessels/details/656454445,IMULA 0924 CHW NET11,Other type,656454445
/vessels/details/656573413,01240-5-24,Unknown,656573413
/vessels/details/656890002,65689-2-06,Unknown,656890002
/vessels/details/656077050,BIAO 56077-50-84,Unknown,656077050
/vessels/details/656077025,BIAO 56077-25-90,Unknown,656077025
/vessels/details/656211107,ZHEDAIYU14206-3-70,Unknown,656211107
/vessels/details/656082490,NET65608-190-73,Unknown,656082490
/vessels/details/656077028,BIAO 56077-28-63,Unknown,656077028
/vessels/details/656890034,TIELONG65689-34-99,Unknown,656890034
/vessels/details/656080129,NET-ZSY65608-129-99,Unknown,656080129
/vessels/details/656077033,BIAO 56077-33-64,Unknown,656077033
/vessels/details/656082480,NET65608-180-99,Unknown,656082480
/vessels/details/656559898,P1-RAPGE-07-A30-89,Unknown,656559898
/vessels/details/656218761,LIN21876-1-92,Unknown,656218761
/vessels/details/656077044,BIAO 56077-44-99,Unknown,656077044
/vessels/details/656880000,IUHAIYU,Unknown,656880000
/vessels/details/656080131,NET-ZSY65608-131-99,Unknown,656080131
/vessels/details/656082254,65608-25490,Unknown,656082254
/vessels/details/656082266,65608-26689,Unknown,656082266
/vessels/details/656890031,TIELONG65689-31-72,Unknown,656890031
/vessels/details/656560026,NET26-ZSY6565699,Unknown,656560026
/vessels/details/656566201,35799-5-23,Unknown,656566201
/vessels/details/656850006,MINLONGYU65685-6-99,Unknown,656850006
/vessels/details/656077040,BIAO 56077-40-80,Unknown,656077040
/vessels/details/656082263,65608-26395,Unknown,656082263
/vessels/details/656077047,BIAO 56077-47-47,Unknown,656077047
/vessels/details/656082491,NET65608-191-99,Unknown,656082491
/vessels/details/656080114,NET-ZSY65608-114-36,Unknown,656080114
/vessels/details/656077005,BIAO 56077-5-38,Unknown,656077005
/vessels/details/656890008,65689-8-60,Unknown,656890008
/vessels/details/656305799,MINXIAYUYUN05799,Fishing vessel,656305799
/vessels/details/656743237,ZHEDAIYU02499-05-57,Unknown,656743237
/vessels/details/656077045,BIAO 56077-45-38,Unknown,656077045
/vessels/details/656084205,NET65608-205-34,Unknown,656084205
/vessels/details/656218374,LIN21837-4-55,Unknown,656218374
/vessels/details/656077002,BIAO 56077-2-96,Unknown,656077002
/vessels/details/656080165,NET-ZSY65608-165-99,Unknown,656080165
/vessels/details/656080136,NET-ZSY65608-136-17,Unknown,656080136
/vessels/details/656015992,FDVARDAN,Cargo ship,656015992
/vessels/details/656129954,LIN 12995-4-82,Unknown,656129954
/vessels/details/656077035,BIAO 56077-35-84,Unknown,656077035
/vessels/details/656077007,BIAO 56077-7-09,Unknown,656077007
/vessels/details/656077006,BIAO 56077-6-49,Unknown,656077006
/vessels/details/656082264,65608-26477,Unknown,656082264
/vessels/details/656080164,NET-ZSY65608-164-95,Unknown,656080164
/vessels/details/656082257,65608-25793,Unknown,656082257
/vessels/details/656000036,HAIYUNKEJI-36-73,Unknown,656000036
/vessels/details/656080113,NET-ZSY65608-113-99,Unknown,656080113
/vessels/details/656680207,66802-7-96,Unknown,656680207
/vessels/details/656532222,XIAOSONG-03-98,Unknown,656532222
/vessels/details/656466877,43266-2 92,Other type,656466877
