url,name,type,imo
/vessels/details/9348405,SOBERANIA II,Patrol Vessel,9348405
/vessels/details/350500019,35050-19-81,Unknown,350500019
/vessels/details/7603954,MISS SOFIA,Fishing Vessel,7603954
/vessels/details/350200018,35020-18-82,Unknown,350200018
/vessels/details/350890026,35089-26-62,Unknown,350890026
/vessels/details/350380101,35038-A-17,Unknown,350380101
/vessels/details/350945818,09458-1899,Fishing vessel,350945818
/vessels/details/350160035,35016-3599,Unknown,350160035
/vessels/details/350500054,35050-54,Unknown,350500054
/vessels/details/350130002,35013-2-12,Unknown,350130002
/vessels/details/350080010,35008-1099,Fishing vessel,350080010
/vessels/details/350010013,35001-13,Unknown,350010013
/vessels/details/350005991,SAN 00599-1-85,Unknown,350005991
/vessels/details/350010006,35001-6-36,Unknown,350010006
/vessels/details/350000009,LONGLINE BUOY 09-87,Unknown,350000009
/vessels/details/350050017,LIAODAYU35005-17-45,Unknown,350050017
/vessels/details/350858002,35085-2 30,Unknown,350858002
/vessels/details/350020015,LIAOYU35002-15-46,Unknown,350020015
/vessels/details/350858004,35085-4 40,Unknown,350858004
/vessels/details/8926614,TRANSCARIBE,Offshore Tug/Supply Ship,8926614
/vessels/details/350200005,35020-5-82,Unknown,350200005
/vessels/details/350890006,LIAOHEYU35089-6-51,Unknown,350890006
/vessels/details/350760023,35076-23-82,Unknown,350760023
/vessels/details/350500101,35050-101-99,Unknown,350500101
/vessels/details/350500009,35050-9-99,Unknown,350500009
/vessels/details/350620011,35062-11-59,Unknown,350620011
/vessels/details/350760014,35076-14 98,Unknown,350760014
/vessels/details/350860008,YUEYANGXI35086-8-13,Unknown,350860008
/vessels/details/350500125,35050-125-90,Unknown,350500125
/vessels/details/350000006,LONGLINE BUOY 06-99,Unknown,350000006
/vessels/details/350620007,35062-7-64,Unknown,350620007
/vessels/details/350858003,35085-3 40,Unknown,350858003
/vessels/details/8034497,TRAPPER,Fishing Vessel,8034497
/vessels/details/350010038,35001-38-68,Unknown,350010038
/vessels/details/350500068,35050-68-55,Unknown,350500068
/vessels/details/350160037,35016-3799,Fishing vessel,350160037
/vessels/details/350500039,35050-39-92,Unknown,350500039
/vessels/details/350198802,BIAO 01988-2-81,Unknown,350198802
/vessels/details/350350069,35035-69-76,Unknown,350350069
/vessels/details/350112008,01120-8-91,Unknown,350112008
/vessels/details/350780028,35078-28-91,Unknown,350780028
/vessels/details/350810041,35081-41-58,Unknown,350810041
/vessels/details/350112004,01120-4-06,Unknown,350112004
/vessels/details/350558612,SHENG05586-12-99,Unknown,350558612
/vessels/details/350038907,000389-7-46,Unknown,350038907
/vessels/details/350059910,SAN 00599-10-81,Unknown,350059910
/vessels/details/350380001,HAIDIAO35038-1-99,Unknown,350380001
/vessels/details/350010018,35001-18,Unknown,350010018
/vessels/details/8885274,MASTER J,Fishing Vessel,8885274
/vessels/details/350681878,60878-8 80,Unknown,350681878
/vessels/details/350350061,35035-61-60,Unknown,350350061
/vessels/details/350780000,35078-881,Unknown,350780000
/vessels/details/350500111,35050-111-91,Unknown,350500111
/vessels/details/350006911,SAN 00069-11-97,Unknown,350006911
/vessels/details/350420034,F78-34-77,Unknown,350420034
/vessels/details/350517068,LIANTAIXIU0068-99,Unknown,350517068
/vessels/details/350010003,LIAOSUIYU35001-3-99,Unknown,350010003
/vessels/details/350810010,35081-10-84,Unknown,350810010
/vessels/details/350780015,35078-1590,Unknown,350780015
/vessels/details/350500021,35050-21-92,Unknown,350500021
/vessels/details/350860016,YUEYANGXI35086-1693,Unknown,350860016
/vessels/details/350020008,LIAOYU35002-8-08,Unknown,350020008
/vessels/details/350050028,LIAOJINYU35005-2848,Unknown,350050028
/vessels/details/9064607,MISTER HENSON,Fishing Vessel,9064607
/vessels/details/350200021,35020-21-91,Unknown,350200021
/vessels/details/350780025,35078-2590,Unknown,350780025
/vessels/details/350350070,35035-70-56,Unknown,350350070
/vessels/details/350000002,35000-02-67,Unknown,350000002
/vessels/details/7942673,DON ALEIANDRO II,Fishing Vessel,7942673
/vessels/details/350539512,DINGWANG05395-12-99,Fishing vessel,350539512
/vessels/details/350112001,01120-1-44,Unknown,350112001
/vessels/details/350112003,01120-3-10,Unknown,350112003
/vessels/details/350038901,000389-1-99,Unknown,350038901
/vessels/details/350020002,LIAOYU35002-2-76,Unknown,350020002
/vessels/details/7100952,MISS NAOMI,Fishing Vessel,7100952
/vessels/details/350010019,35001-19,Unknown,350010019
/vessels/details/350781111,35078-1,Unknown,350781111
/vessels/details/8305420,PROCARIBE 7,Fishing Vessel,8305420
