url,name,type,imo
/vessels/details/9146120,MV MUMBAI,Cement Carrier,9146120
/vessels/details/9118288,KEREMCAN,General Cargo Ship,9118288
/vessels/details/8906494,COMMANDER,General Cargo Ship,8906494
/vessels/details/8837904,FLORICA,General Cargo Ship,8837904
/vessels/details/9161613,YUN RUN 3,Refrigerated Cargo Ship,9161613
/vessels/details/9044188,BERS,General Cargo Ship,9044188
/vessels/details/8996097,EASTERN STAR,Fishing Vessel,8996097
/vessels/details/8915627,FRI W,General Cargo Ship,8915627
/vessels/details/8996308,KAOHSIUNG MANZAI 707,Fishing Vessel,8996308
/vessels/details/9368106,TOYA,General Cargo Ship,9368106
/vessels/details/8131441,FORMOSA MANZAI 707,Fishing Vessel,8131441
/vessels/details/1067744,SKIPJACK MANZAI 707,Fishing Vessel,1067744
/vessels/details/1068607,TUNA MANZAI 707,Fishing Vessel,1068607
/vessels/details/9745469,SIMBUN88,Fishing Vessel,9745469
/vessels/details/9761396,MALVA888,Fishing Vessel,9761396
/vessels/details/9517264,OCEAN CHALLENGER,Fishing Vessel,9517264
/vessels/details/8996310,OCEAN GALAXY,Fishing Vessel,8996310
/vessels/details/9097317,OCEAN WARRIOR,Fishing Vessel,9097317
/vessels/details/9417397,CENTURY PRIDE,Fishing Vessel,9417397
/vessels/details/9097367,OCEAN EXPEDITION,Fishing Vessel,9097367
/vessels/details/9394789,CENTURY RANGER,Fishing Vessel,9394789
/vessels/details/9708241,FV KAILE888,Fishing Vessel,9708241
/vessels/details/8401559,STARLET,General Cargo Ship,8401559
/vessels/details/9217369,EASTERN MARINE,Fishing Vessel,9217369
/vessels/details/9217357,ORIENTAL MARINE,Fishing Vessel,9217357
/vessels/details/9229881,SS SUMMER,Research Vessel,9229881
/vessels/details/544100108,544100108 8V,Unknown,544100108
/vessels/details/544218124,LIN21812-4-56,Unknown,544218124
/vessels/details/544399997,01518-11 90,Unknown,544399997
/vessels/details/544123456,CANH SAT BIEN 367,Fishing vessel,544123456
/vessels/details/9927160,FAST CAT M21,Passenger/Ro-Ro Cargo Ship,9927160
/vessels/details/544140146,RMN WARSHIP 136,Military ops,544140146
/vessels/details/544137120,OCEAN ENCOUNTER,Fishing vessel,544137120
/vessels/details/544362815,12291-880,Unknown,544362815
/vessels/details/544202120,ROL ATLAS,Other type,544202120
/vessels/details/544133062,TAU 97 32B4,Tug,544133062
/vessels/details/544006386,3988-8-GEBP,Unknown,544006386
/vessels/details/544100109,5441-109,Unknown,544100109
/vessels/details/544139120,OCEAN GALAXY,Fishing vessel,544139120
/vessels/details/544362615,12291-699,Unknown,544362615
/vessels/details/544081102,04081-102-42,Unknown,544081102
/vessels/details/544362715,12291-799,Unknown,544362715
/vessels/details/544503129,04503-129-29,Unknown,544503129
/vessels/details/544210029,ARAMBOY138,HSC,544210029
/vessels/details/544362915,12291-982,Unknown,544362915
/vessels/details/544100003,544100003 7V,Unknown,544100003
/vessels/details/544555555,UPIN UPIN IPIN IPIN,Unknown (HAZ-A),544555555
/vessels/details/544367432,ZHIJUN-15-73,Unknown,544367432
/vessels/details/9277216,ARAGO 1,Pusher Tug,9277216
/vessels/details/8996281,OCEAN ENCOUNTER,Fishing Vessel,8996281
/vessels/details/8812203,NAOEROSUN,Fishing Vessel,8812203
/vessels/details/544399987,01518-1 90,Unknown,544399987
/vessels/details/544554444,ZHE YU YU 32875-1,Unknown,544554444
/vessels/details/544503130,04503-130-31,Unknown,544503130
/vessels/details/9883211,RIVER KING T3,Tug,9883211
/vessels/details/544399993,01518-7 70,Unknown,544399993
/vessels/details/544503123,04503-123-99,Unknown,544503123
/vessels/details/8815023,YUN RUN 1,Refrigerated Cargo Ship,8815023
/vessels/details/544400000,12,Pleasure craft,544400000
/vessels/details/544503124,04503-124-02,Unknown,544503124
/vessels/details/544081103,04081-103-82,Unknown,544081103
/vessels/details/544503127,04503-127-87,Unknown,544503127
/vessels/details/9771951,NEW SPLENDOR,Fishing Vessel,9771951
/vessels/details/544131146,136,Passenger ship,544131146
/vessels/details/544503122,04503-122-84,Unknown,544503122
/vessels/details/544100017,79CAULR 893P9-78,Unknown,544100017
/vessels/details/544274821,RMN 3502,Other type,544274821
/vessels/details/544399988,01518-2 60,Unknown,544399988
/vessels/details/544081100,04081-100-50,Unknown,544081100
/vessels/details/9868247,RIVER KING T2,Tug,9868247
/vessels/details/544503128,04503-128-89,Unknown,544503128
/vessels/details/544399991,01518-5 90,Unknown,544399991
/vessels/details/544321507,95358-198,Unknown,544321507
/vessels/details/8813477,NAOERO STAR,Fishing Vessel,8813477
/vessels/details/9043665,OMEGA 2,Chemical Tanker,9043665
/vessels/details/9883223,RIVER KING T1,Tug,9883223
/vessels/details/544081104,04081-104-80,Unknown,544081104
/vessels/details/1067770,YELLOWFIN MANZAI 707,Fishing Vessel,1067770
/vessels/details/544849803,YUESHUNYING089 JZS,Pilot,544849803
/vessels/details/9927172,FAST CAT M22,Passenger/Ro-Ro Cargo Ship,9927172
/vessels/details/544444555,588-16 48,Other type,544444555
/vessels/details/544399992,01518-6 80,Unknown,544399992
/vessels/details/544108120,RIVER KING T1,Tug,544108120
/vessels/details/544101110,E KAUUEDO,Tug,544101110
/vessels/details/544305102,LIAOYINGYU55040-2-,Unknown,544305102
/vessels/details/544081101,04081-101-53,Unknown,544081101
/vessels/details/544901165,L XU 919 A36-75,Unknown,544901165
/vessels/details/544503121,04503-121-43,Unknown,544503121
/vessels/details/1068669,NAURU MANZAI 707,Fishing Vessel,1068669
/vessels/details/9030618,RYUOH,Cement Carrier,9030618
