url,name,type,imo
/vessels/details/9107942,KAITAKI,Passenger/Ro-Ro Cargo Ship,9107942
/vessels/details/9147291,KAIARAHI,Passenger/Ro-Ro Cargo Ship,9147291
/vessels/details/9816220,NEW ZEALAND WARSHIP,Tankers,9816220
/vessels/details/9516741,MOANA CHIEF,Container Ship,9516741
/vessels/details/9174828,ARATERE,Passenger/Ro-Ro Cargo Ship,9174828
/vessels/details/9338644,HMNZS CANTERBURY,Naval/Naval Auxiliary,9338644
/vessels/details/9764960,AOTEAROA CHIEF,Cement Carrier,9764960
/vessels/details/9149201,BUFFALO,Cement Carrier,9149201
/vessels/details/9816153,TOKATU,Fish Factory Ship,9816153
/vessels/details/9273662,MANAWANUI,Research Vessel,9273662
/vessels/details/8845640,ALEKSEY SLOBODCHIKOV,Fish Factory Ship,8845640
/vessels/details/8834639,IRVINGA,Fish Factory Ship,8834639
/vessels/details/8838520,MERIDIAN-1,Fish Factory Ship,8838520
/vessels/details/8729676,MAINSTREAM,Fish Factory Ship,8729676
/vessels/details/8721258,TE RAUKURA,Fish Factory Ship,8721258
/vessels/details/8729688,INDEPENDENT,Fish Factory Ship,8729688
/vessels/details/9458042,AWANUIA,Oil Products Tanker,9458042
/vessels/details/8714607,SAN GRANIT,Fish Factory Ship,8714607
/vessels/details/9147784,FV REHUA,Fish Factory Ship,9147784
/vessels/details/9368479,HMNZS OTAGO,Patrol Vessel,9368479
/vessels/details/9368481,WELLINGTON,Patrol Vessel,9368481
/vessels/details/9011571,TANGAROA,Fishing Support Vessel,9011571
/vessels/details/8901468,SAN WAITAKI,Fish Factory Ship,8901468
/vessels/details/8901523,SAN DISCOVERY,Fish Factory Ship,8901523
/vessels/details/8901482,AMALTAL ATLANTIS,Fishing Vessel,8901482
/vessels/details/9340740,RANGITATA,General Cargo Ship,9340740
/vessels/details/1081441,KAIPARA KARRIER VII,Hopper Dredger,1081441
/vessels/details/9557161,KORIMAKO,Bunkering Tanker,9557161
/vessels/details/9226528,SAN ASPIRING,Fishing Vessel,9226528
/vessels/details/9057111,SAN AOTEA II,Fishing Vessel,9057111
/vessels/details/9057109,JANAS,Fishing Vessel,9057109
/vessels/details/8304763,NEW ERA,Hopper Dredger,8304763
/vessels/details/8611324,THOMAS HARRISON,Fishing Vessel,8611324
/vessels/details/8514930,FV FORTUNUI,Fishing Vessel,8514930
/vessels/details/7416480,DW519,Fishing Vessel,7416480
/vessels/details/8317239,DONG WON NO. 530,Fishing Vessel,8317239
/vessels/details/8319770,PACINUI,Fishing Vessel,8319770
/vessels/details/8975653,MILFORD MARINER,Passenger (Cruise) Ship,8975653
/vessels/details/9989778,SAN KOURA RANGI,Fishing Vessel,9989778
/vessels/details/9306031,PRIDE OF MILFORD,Passenger Ship,9306031
/vessels/details/9147368,SUPERFLYTE,Passenger Ship,9147368
/vessels/details/8864153,ANATOKI,General Cargo Ship,8864153
/vessels/details/9132466,AMALTAL MARINER,Fishing Vessel,9132466
/vessels/details/9368522,HMNZS TAUPO,Patrol Vessel,9368522
/vessels/details/9368508,HAWEA,Patrol Vessel,9368508
/vessels/details/8615851,AMALTAL APOLLO,Fishing Vessel,8615851
/vessels/details/8619508,KAWATEA,Fishing Vessel,8619508
/vessels/details/9902770,SEA QUEST,Passenger/Ro-Ro Cargo Ship,9902770
/vessels/details/9968372,KAHAROA II,Research Vessel,9968372
/vessels/details/6815691,YWAM KOHA,Leisure Vessels,6815691
/vessels/details/8521385,QUICKCAT,Passenger Ship,8521385
/vessels/details/8829323,ISLAND NAVIGATOR,Passenger/Ro-Ro Cargo Ship,8829323
/vessels/details/8824543,SEASURVEYOR,Research Vessel,8824543
/vessels/details/9909699,SPARKY,Tug,9909699
/vessels/details/8618944,HAUROKO,Tug,8618944
/vessels/details/9824241,HINEWAI,Tug,9824241
/vessels/details/9824239,TITAN,Tug,9824239
/vessels/details/8701478,KEA,Passenger Ship,8701478
/vessels/details/8351558,IKA KAKAHI,Passenger Ship,8351558
/vessels/details/9212096,SIR ROBERT,Tug,9212096
/vessels/details/9822798,KINAKI,Tug,9822798
/vessels/details/9787596,SEAWORKER,Offshore Tug/Supply Ship,9787596
/vessels/details/9563598,TE MATA,Tug,9563598
