url,name,type,imo
/vessels/details/9630004,VALERA,LNG Tanker,9630004
/vessels/details/9311622,DINASTY,Crude Oil Tanker,9311622
/vessels/details/9316127,DISCOVERY,Crude Oil Tanker,9316127
/vessels/details/9421972,SPARTAN,Crude Oil Tanker,9421972
/vessels/details/9412335,BOND,Crude Oil Tanker,9412335
/vessels/details/9412347,LYNX,Crude Oil Tanker,9412347
/vessels/details/9422457,BOBCAT,Crude Oil Tanker,9422457
/vessels/details/9422445,RESPECT,Crude Oil Tanker,9422445
/vessels/details/9321691,BARQ,Crude Oil Tanker,9321691
/vessels/details/9610781,NOMAD,Crude Oil Tanker,9610781
/vessels/details/9826902,GALAXY,Crude Oil Tanker,9826902
/vessels/details/9843560,VOYAGER,Crude Oil Tanker,9843560
/vessels/details/9402471,QASR,Crude Oil Tanker,9402471
/vessels/details/9368223,ACHILLES,Crude Oil Tanker,9368223
/vessels/details/9388766,DESTAN,Crude Oil Tanker,9388766
/vessels/details/9511521,MIRABEL,Crude Oil Tanker,9511521
/vessels/details/9511533,PRIMAVERA,Crude Oil Tanker,9511533
/vessels/details/9511387,OASIS,Crude Oil Tanker,9511387
/vessels/details/9413547,AMULET,Crude Oil Tanker,9413547
/vessels/details/9413573,ARCADIA,Crude Oil Tanker,9413573
/vessels/details/9413561,ARROW,Crude Oil Tanker,9413561
/vessels/details/9310525,QENDIL,Crude Oil Tanker,9310525
/vessels/details/9319703,SIRAJ,Crude Oil Tanker,9319703
/vessels/details/9339337,LAVENDER,Crude Oil Tanker,9339337
/vessels/details/9339325,LEVEL,Crude Oil Tanker,9339325
/vessels/details/9360130,ZALIV VOSTOK,Crude Oil Tanker,9360130
/vessels/details/9360128,ZALIV BAIKAL,Crude Oil Tanker,9360128
/vessels/details/9418494,ZALIV ANIVA,Crude Oil Tanker,9418494
/vessels/details/9354313,JASMINE,Crude Oil Tanker,9354313
/vessels/details/9306794,CAVALIER,Crude Oil Tanker,9306794
/vessels/details/9341081,CARMA,Crude Oil Tanker,9341081
/vessels/details/9299692,CELT,Crude Oil Tanker,9299692
/vessels/details/9341079,CAMEL,Crude Oil Tanker,9341079
/vessels/details/9292204,AMAZON,Crude Oil Tanker,9292204
/vessels/details/9577094,GARNET,Crude Oil Tanker,9577094
/vessels/details/9333436,SOLARIS,Oil Products Tanker,9333436
/vessels/details/9714460,FULK AL SALAMAH,Yacht,9714460
/vessels/details/9463774,AL SAID,Yacht,9463774
/vessels/details/8607141,AL RAHMA,Fish Factory Ship,8607141
/vessels/details/8301175,OCEAN FRESH,Fish Factory Ship,8301175
/vessels/details/9256664,JAWHART AL WUSTA,Fish Factory Ship,9256664
/vessels/details/7908433,LOALOAT AL BEHAR,Yacht,7908433
/vessels/details/8604058,ALNAEMA,Fish Factory Ship,8604058
/vessels/details/8509143,AL MASARA,Fish Factory Ship,8509143
/vessels/details/9463621,AL RASIKH,Patrol Vessel,9463621
/vessels/details/7705051,AL BARAKA,Fish Factory Ship,7705051
/vessels/details/8604010,AL NASR,Fish Factory Ship,8604010
/vessels/details/9957787,ACILA,Fishing Vessel,9957787
/vessels/details/9957799,ADAMAS,Fishing Vessel,9957799
/vessels/details/9006033,TXORI BERRI,Fishing Vessel,9006033
/vessels/details/9322669,FV LAYLA,Fishing Vessel,9322669
/vessels/details/9666651,YERSIN,Research Vessel,9666651
/vessels/details/9391232,ALHALLANIYAT,Passenger/Ro-Ro Cargo Ship,9391232
/vessels/details/9667215,SHABAB OMAN 2,Sailing Vessel,9667215
/vessels/details/7618820,AL KHAIR 1,Fishing Vessel,7618820
/vessels/details/9844320,SVITZER SOHAR,Tug,9844320
/vessels/details/9230581,ARWA,Fishing Vessel,9230581
/vessels/details/9554339,SVITZER MURJAN,Tug,9554339
/vessels/details/9319789,TXORI BI,Fishing Vessel,9319789
/vessels/details/9559391,MIRBAT,Tug,9559391
/vessels/details/9178989,RAKHYUT,Tug,9178989
/vessels/details/9861158,SVITZER LIWA,Tug,9861158
/vessels/details/9095266,AL MALAH,Fishing Vessel,9095266
/vessels/details/8514514,OCEANS 1,Fishing Vessel,8514514
/vessels/details/8026505,SUR,Tug,8026505
/vessels/details/9765249,SVITZER SUTOR,Tug,9765249
/vessels/details/9577989,SVITZER BOXER,Tug,9577989
/vessels/details/461000107,OMSM1,Sailing vessel,461000107
/vessels/details/461000555,NAJAM 93,Law enforcment,461000555
/vessels/details/461000153,MUZNA,Fishing vessel,461000153
/vessels/details/461001026,SVITZER MAJAN,Pilot,461001026
/vessels/details/461000202,MFG,Unknown,461000202
/vessels/details/9455090,SVITZER PILOT 1,Pilot Vessel,9455090
/vessels/details/461345950,FATHIMA 2 FISH BOAT,Fishing vessel,461345950
/vessels/details/461130011,46113-11-91,Unknown,461130011
/vessels/details/461373489,GUL-E-ASMAT-22593-B,Fishing vessel,461373489
/vessels/details/461580055,CHINA46158-B55-99,Unknown,461580055
/vessels/details/461130008,MAOBINYU46113-8-99,Unknown,461130008
/vessels/details/9873527,SVITZER SHINAS,Tug,9873527
/vessels/details/461700007,4617-7 60,Unknown,461700007
/vessels/details/461909472,AL THYSEER,Fishing vessel,461909472
/vessels/details/461190006,MAOBINYU46119-6-99,Unknown,461190006
/vessels/details/461000447,HARAS 11,Law enforcment,461000447
/vessels/details/461183525,HG,Fishing vessel,461183525
/vessels/details/4723090,AL MAKHIRAH,Research Vessel,4723090
/vessels/details/461000333,AL KHARARA,Other type,461000333
/vessels/details/461580052,CHINA46158-B52-84,Unknown,461580052
/vessels/details/461190020,MAOBINGYU46119-2079,Unknown,461190020
/vessels/details/461000574,RASID16,Other type,461000574
/vessels/details/461721866,ZHELINYU21866-68.5V,Unknown,461721866
/vessels/details/461823817,ABUBAKER BOAT 0256,Unknown (HAZ-B),461823817
/vessels/details/461000552,NAJAM 91,Law enforcment,461000552
/vessels/details/8687191,SEA PRIDE,Fishing Vessel,8687191
/vessels/details/461000532,NAJAM 88,Law enforcment,461000532
/vessels/details/461373442,AL-JIHAAD-13086BFD,Fishing vessel,461373442
/vessels/details/4603460,AL-SHINAS,Patrol Vessel,4603460
/vessels/details/461190009,46119-9-SOS,Unknown,461190009
/vessels/details/461900069,XYY0069-68.4V,Unknown,461900069
/vessels/details/461800014,12887-1401,Unknown,461800014
/vessels/details/461000376,GOOFI4,Fishing vessel,461000376
/vessels/details/461000572,RASID13,Other type,461000572
/vessels/details/461106747,AIS BUOY-6747 25,Unknown,461106747
/vessels/details/9818723,HARAS 10,Patrol Vessel,9818723
/vessels/details/461000196,MUZDAHIRA,Fishing vessel,461000196
/vessels/details/461001036,NOTUS TEMPTRESS,Pleasure craft,461001036
/vessels/details/461000006,HASIK,Tug,461000006
/vessels/details/9583718,AL FAISAL,Yacht,9583718
/vessels/details/461000449,NAJAM 2,Law enforcment,461000449
