url,name,type,imo
/vessels/details/9369875,MANTARO,Chemical/Oil Products Tanker,9369875
/vessels/details/9290610,MT UCAYALI,Chemical/Oil Products Tanker,9290610
/vessels/details/9171321,CAMISEA,Chemical/Oil Products Tanker,9171321
/vessels/details/9299410,TROMPETEROS1,Chemical/Oil Products Tanker,9299410
/vessels/details/9293985,URUBAMBA,Chemical/Oil Products Tanker,9293985
/vessels/details/9288916,MOCHE,Chemical/Oil Products Tanker,9288916
/vessels/details/9293210,CHIRA,Oil Products Tanker,9293210
/vessels/details/9247479,CARAL,Oil Products Tanker,9247479
/vessels/details/9247481,CHAVIN,Chemical/Oil Products Tanker,9247481
/vessels/details/9132789,COLCA,LPG Tanker,9132789
/vessels/details/9052903,WARSHIP TACNA,Vessel (function unknown),9052903
/vessels/details/9373230,THOMAS B,Chemical/Oil Products Tanker,9373230
/vessels/details/9043093,TABLONES,Chemical/Oil Products Tanker,9043093
/vessels/details/9276303,ADRIAN,Oil Products Tanker,9276303
/vessels/details/9262869,MOQUEGUA,Chemical/Oil Products Tanker,9262869
/vessels/details/9770464,B.A.P. CARRASCO,Research Vessel,9770464
/vessels/details/8813697,PACIFIC MOON,Oil Products Tanker,8813697
/vessels/details/9184158,SUNBEAM C16691,Fishing Vessel,9184158
/vessels/details/9168673,GRIMSHOLM,Fishing Vessel,9168673
/vessels/details/7611731,OFFSHORE SOVEREIGN,Tug,7611731
/vessels/details/9281994,BRUSOYSKJAER,Fishing Vessel,9281994
/vessels/details/9187552,PORTO,Pusher Tug,9187552
/vessels/details/7807627,DEEP SEA CHAMPION,Offshore Tug/Supply Ship,7807627
/vessels/details/9138068,TASA 71,Fishing Vessel,9138068
/vessels/details/9120487,COSTA DEL SOL,Fishing Vessel,9120487
/vessels/details/9122992,CARACOL,Fishing Vessel,9122992
/vessels/details/9753131,ARRIERO,Tug,9753131
/vessels/details/9734305,VOLPE,Tug,9734305
/vessels/details/9156307,RICARDO,Fishing Vessel,9156307
/vessels/details/9174543,JOSE OLAYA BALANDRA,Fishing Support Vessel,9174543
/vessels/details/9923164,FERRY AMAZONAS 2,Passenger Ship,9923164
/vessels/details/9571935,TAYCO AMPATO,Tug,9571935
/vessels/details/9673903,RM ZEUS,Tug,9673903
/vessels/details/9797668,CHINCHA,Tug,9797668
/vessels/details/9797670,TUPAQ,Tug,9797670
/vessels/details/9862578,LIMA,Tug,9862578
/vessels/details/9289245,RM NEPTUNO,Tug,9289245
/vessels/details/9908956,ALBATROS,Tug,9908956
/vessels/details/8113944,VIGO,Tug,8113944
/vessels/details/9769879,TAYCO RASAC,Tug,9769879
/vessels/details/7621621,VB FURIOSO,Tug,7621621
/vessels/details/9571478,PISAC,Tug,9571478
/vessels/details/9268356,RM CAO,Tug,9268356
/vessels/details/9559511,KENKO,Tug,9559511
/vessels/details/9643116,MAJES,Tug,9643116
/vessels/details/9643104,UROS,Tug,9643104
/vessels/details/9227077,RAM CASTOR,Tug,9227077
