url,name,type,imo
/vessels/details/9677492,ARANUI 5,Passenger/General Cargo Ship,9677492
/vessels/details/9883900,VAEARAI,Passenger/Ro-Ro Cargo Ship,9883900
/vessels/details/1015612,HAWAIKINUI 2,Ro-Ro Cargo Ship,1015612
/vessels/details/8322650,MARIS STELLA 4,Palletised Cargo Ship,8322650
/vessels/details/9375898,HAVAI,General Cargo Ship,9375898
/vessels/details/9240067,TAHITI NUI,Passenger Ship,9240067
/vessels/details/8115100,TAPORO 8,Ro-Ro Cargo Ship,8115100
/vessels/details/9226126,VAITERE 2,Palletised Cargo Ship,9226126
/vessels/details/9953200,APETAHI EXPRESS,Passenger Ship,9953200
/vessels/details/9847669,AREMITI 6,Passenger/Ro-Ro Cargo Ship,9847669
/vessels/details/7925651,NUKUHAU,General Cargo Ship,7925651
/vessels/details/7824429,HAWAIKI NUI,Ro-Ro Cargo Ship,7824429
/vessels/details/9336529,TEREVAU,Passenger/Ro-Ro Cargo Ship,9336529
/vessels/details/7424645,DORY,General Cargo Ship,7424645
/vessels/details/7521948,TAPORO 6,Palletised Cargo Ship,7521948
/vessels/details/9351701,COBIA3,Deck Cargo Ship,9351701
/vessels/details/9309760,SRTM PACIFICO,Tug,9309760
/vessels/details/546024930,MAEVA XVI,Sailing vessel,546024930
/vessels/details/546000280,PILOT BOAT JW AHNNE,Pilot,546000280
/vessels/details/546019590,UNAVOQ II,Sailing vessel,546019590
/vessels/details/546021820,SEACATS,Sailing vessel,546021820
/vessels/details/546001980,KAUANA,Sailing vessel,546001980
/vessels/details/546007150,SOUMABRE,Sailing vessel,546007150
/vessels/details/546017050,VA A MA,Pleasure craft,546017050
/vessels/details/546000200,AITO NUI,Tug,546000200
/vessels/details/546008800,ATI,Tug,546008800
/vessels/details/546015820,AQUA TIKI III,Sailing vessel,546015820
/vessels/details/546021020,POE HINA,Pleasure craft,546021020
/vessels/details/546010900,TAMATEA VI,Pleasure craft,546010900
/vessels/details/546015460,AMAZONE,Sailing vessel,546015460
/vessels/details/546024940,MANAVA XI,Sailing vessel,546024940
/vessels/details/546497865,P3 ANH THU B11- 5V3,Unknown,546497865
