url,name,type,imo
/vessels/details/9188934,MORESBY EXPRESS,General Cargo Ship,9188934
/vessels/details/9210282,LAE EXPRESS II,General Cargo Ship,9210282
/vessels/details/9371969,PAPUAN COAST,General Cargo Ship,9371969
/vessels/details/9362815,SALAMANDER,General Cargo Ship,9362815
/vessels/details/9904716,FLY ENTERPRISE,General Cargo Ship,9904716
/vessels/details/9196931,MV ELSIE,Container Ship,9196931
/vessels/details/9261994,JULIAN,General Cargo Ship,9261994
/vessels/details/9554872,DONGFANG GLORY,Oil Products Tanker,9554872
/vessels/details/9195119,KIUNGA CHIEF,General Cargo Ship,9195119
/vessels/details/9650676,FLY PROSPERITY,Ore/Oil Carrier,9650676
/vessels/details/9650652,FLY ALLIANCE,Container Ship,9650652
/vessels/details/9195420,RABAUL EXPRESS II,General Cargo Ship,9195420
/vessels/details/9116785,SEPIK EXPRESS,General Cargo Ship,9116785
/vessels/details/8974398,VIVA EAGLE 707,Fishing Vessel,8974398
/vessels/details/9294628,VIVA WANTWANT 707,Fishing Vessel,9294628
/vessels/details/9362580,KIMBE CHIEF,General Cargo Ship,9362580
/vessels/details/9352236,HIRI CHIEF,Landing Craft,9352236
/vessels/details/9400265,VIVA BEAR 707,Fishing Vessel,9400265
/vessels/details/9556674,VIVA LION 707,Fishing Vessel,9556674
/vessels/details/8010594,LIHIR EXPRESS,Landing Craft,8010594
/vessels/details/9202429,YWAM PNG,Hospital Vessel,9202429
/vessels/details/9698537,KIWAI CHIEF,Landing Craft,9698537
/vessels/details/8996293,WINBEST707,Fishing Vessel,8996293
/vessels/details/9718727,CHEBU,Passenger Ship,9718727
/vessels/details/9421568,KINGFISHER,Landing Craft,9421568
/vessels/details/9136448,GILUWE,Landing Craft,9136448
/vessels/details/9795749,MV IALIBU,Passenger/Ro-Ro Cargo Ship,9795749
/vessels/details/9722534,PIONEER,Landing Craft,9722534
/vessels/details/9760469,MERCY,Deck Cargo Ship,9760469
/vessels/details/8501373,TUG.KEERA,Tug,8501373
/vessels/details/9105255,SL COOK,Tug,9105255
/vessels/details/9049906,SWIFT NO. 5,Landing Craft,9049906
/vessels/details/8116453,TUSKER,Tug,8116453
/vessels/details/9369265,BUCKINGHAM,Utility Vessel,9369265
/vessels/details/4734104,TED DIRO,Patrol Vessel,4734104
/vessels/details/9517513,ARION,Tug,9517513
/vessels/details/9357250,SUNRISE 1,Offshore Tug/Supply Ship,9357250
/vessels/details/9279288,TAVURVUR,Pusher Tug,9279288
/vessels/details/9279276,TUG.KORANGA,Pusher Tug,9279276
/vessels/details/9648219,A.M.S.SHINE,Tug,9648219
/vessels/details/9695767,YELIA.,Tug,9695767
/vessels/details/9688685,AIRD HILLS,Tug,9688685
/vessels/details/8934702,DESTINY,Tug,8934702
/vessels/details/9632636,BEWANI 1,Tug,9632636
/vessels/details/553111286,CRYSTAL 106,Fishing vessel,553111286
/vessels/details/553111584,PNG EXPLORER,Pleasure craft,553111584
/vessels/details/553111149,MV SEPURA,Passenger ship,553111149
/vessels/details/553111767,TB.BEWANI 1,Tug,553111767
/vessels/details/553020027,LIAOYU55302-27-99,Unknown,553020027
/vessels/details/553111827,TAGO 1,Other type,553111827
/vessels/details/4734269,HMPNGS GILBERTTOROPO,Patrol Vessel,4734269
/vessels/details/553111986,HOCK LAI 99,Tug,553111986
/vessels/details/553456789,MINCHANGYU66666,Fishing vessel,553456789
/vessels/details/553123785,LIN 12378-5-99,Unknown,553123785
/vessels/details/553300007,5533-7-99,Unknown,553300007
/vessels/details/9258844,TAI AN 1,Tug,9258844
/vessels/details/9560338,SWIFT NO8,Landing Craft,9560338
/vessels/details/8737128,EMELIA SPIRIT,Landing Craft,8737128
/vessels/details/8742989,MUNTAI,Landing Craft,8742989
/vessels/details/8558845,FE TZEN 3,Tug,8558845
/vessels/details/8500331,SEA SWALLOW,Landing Craft,8500331
/vessels/details/553218332,LIN 21833-2-81,Unknown,553218332
/vessels/details/9299824,HAKO 6,Tug,9299824
/vessels/details/8699807,SEA ANGEL 1,Tug,8699807
/vessels/details/8696805,WARI-SURAT 1,Fishing Vessel,8696805
/vessels/details/553111849,JANA NO 6,Tug,553111849
/vessels/details/9670157,SL SIAGE,Tug,9670157
/vessels/details/553210027,LURONGYU55321-27-78,Unknown,553210027
/vessels/details/553717609,RAGE ON,Pleasure craft,553717609
/vessels/details/553218859,LIN21885-9-53,Unknown,553218859
/vessels/details/553213352,LIN 21335-2-88,Unknown,553213352
/vessels/details/9105267,MT WAIOWA,Tug,9105267
/vessels/details/553582592,666-041285,Unknown,553582592
/vessels/details/553210876,13009-2-2 90,Unknown,553210876
/vessels/details/553111927,PROMAX NO9,Tug,553111927
/vessels/details/553112119,TAMANOU,Tug,553112119
/vessels/details/8023929,IPALI,Fishing Vessel,8023929
/vessels/details/9538878,ATLAS,Offshore Tug/Supply Ship,9538878
/vessels/details/1096343,MADU JAYA 1,Tug,1096343
/vessels/details/553128384,LIN 12838-4-86,Unknown,553128384
/vessels/details/553112029,CHENG FENG 5,Tug,553112029
/vessels/details/8696788,WARI-SURAT 3,Fishing Vessel,8696788
/vessels/details/9634490,KWILA III,Tug,9634490
/vessels/details/9139529,VIKING 27,Tug,9139529
/vessels/details/553112099,ALAWIR II,Other type,553112099
/vessels/details/9463188,SEAFORCE,Landing Craft,9463188
/vessels/details/553210023,LURONGYU55321-23-98,Unknown,553210023
/vessels/details/7411117,0,Tug,7411117
/vessels/details/553216816,LIN 21681-6-62,Unknown,553216816
/vessels/details/553210006,LURONGYU55321-06-74,Unknown,553210006
/vessels/details/8533508,GLENMAJU,Tug,8533508
/vessels/details/553212608,LIN21260-8-62,Unknown,553212608
/vessels/details/8648030,MILFLORES 888,Fishing Vessel,8648030
/vessels/details/8692249,AGAROBE,Fishing Vessel,8692249
/vessels/details/553612809,LIAOYINGYU36128-9,Unknown,553612809
/vessels/details/553612810,LIAOYINGYU36128-10,Unknown,553612810
/vessels/details/8652562,ULAYUT,Landing Craft,8652562
/vessels/details/553111713,GURIA TRADER,Cargo ship,553111713
/vessels/details/553020029,LIAOYU55302-29-99,Unknown,553020029
/vessels/details/8978057,KOMODO,Passenger (Cruise) Ship,8978057
/vessels/details/9771987,MB SULU EXPRESS,Landing Craft,9771987
/vessels/details/8848496,CAPS NO. 2,Fishing Vessel,8848496
/vessels/details/7636016,TUG WOMBI,Tug,7636016
/vessels/details/5421118,MALIS,General Cargo Ship,5421118
/vessels/details/8865523,FUKUEI,Fishing Vessel,8865523
/vessels/details/1098901,MASTER NO 2,Deck Cargo Ship,1098901
/vessels/details/553210022,LURONGYU55321-22-01,Unknown,553210022
/vessels/details/8995548,GLOBAL I,Tug,8995548
/vessels/details/8558833,FE TZEN 1,Tug,8558833
/vessels/details/553111823,PV CORAL,Pilot,553111823
/vessels/details/8696776,DIAMOND 208,Fishing Vessel,8696776
/vessels/details/8830841,WEWAK,General Cargo Ship,8830841
/vessels/details/553218606,LIN 21860-6-56,Unknown,553218606
/vessels/details/553111641,KISMET 15,Tug,553111641
/vessels/details/9082130,SWIFT N0.3,General Cargo Ship,9082130
/vessels/details/9319650,HUB I,Tug,9319650
/vessels/details/553212103,32121-3-29,Unknown,553212103
/vessels/details/553381111,55338-1,Unknown,553381111
/vessels/details/553218588,ZHELIN21858-8-77,Unknown,553218588
/vessels/details/1096331,BURWOOD 1,Tug,1096331
/vessels/details/553111170,GULF GLORY,Cargo ship,553111170
/vessels/details/9426520,WONDERLAND,Landing Craft,9426520
/vessels/details/7925211,MALALO,Passenger/General Cargo Ship,7925211
/vessels/details/553091018,PPF 1018 LOT,Diving ops,553091018
/vessels/details/9609378,ATHAN SPIRIT,Passenger/Landing Craft,9609378
/vessels/details/6924416,TARRAGAL,Tug,6924416
/vessels/details/8209339,PACIFIC SALVOR,Tug,8209339
/vessels/details/7501170,GULF GLORY,Landing Craft,7501170
/vessels/details/553286267,LIAOYINGYU26286-7,Unknown,553286267
/vessels/details/553256776,01208-13 80,Unknown,553256776
/vessels/details/8558754,KISMET 15,Tug,8558754
/vessels/details/8872473,APOLLO,Tug,8872473
/vessels/details/553210025,LURONGYU55321-25-98,Unknown,553210025
/vessels/details/7114745,SYDNEY COVE,Tug,7114745
/vessels/details/553111603,ISLANDER,Cargo ship,553111603
/vessels/details/8118762,DIANE TRES,Fishing Vessel,8118762
/vessels/details/8737427,GEORGINA,Landing Craft,8737427
/vessels/details/553112105,VANIMO,Other type,553112105
/vessels/details/553000003,5300-3-57,Unknown,553000003
/vessels/details/553020017,LIAOYU55302-17-76,Unknown,553020017
/vessels/details/9670121,SL JAMBA,Tug,9670121
/vessels/details/553999565,SAN 99956-5-52,Unknown,553999565
/vessels/details/4734221,FRANCIS AGWI,Patrol Vessel,4734221
/vessels/details/9208241,CAPELLA,Passenger/Ro-Ro Cargo Ship,9208241
/vessels/details/8888719,PAONG III,Landing Craft,8888719
/vessels/details/553689810,36898-10-99,Unknown,553689810
/vessels/details/8520185,NIUPELALIP NO.8,Fishing Vessel,8520185
/vessels/details/553020007,LIAOYU55302-07-94,Unknown,553020007
/vessels/details/1096329,HAI ANN 3,Tug,1096329
/vessels/details/8328812,TOGO YANMAR,Tug,8328812
/vessels/details/9966922,AMOROILIO,Motor Hopper,9966922
/vessels/details/9289415,NIVANI CHALLENGER,Tug,9289415
/vessels/details/553286264,LIAOYINGYU26286-4,Unknown,553286264
/vessels/details/9636101,FLY WARRIOR,General Cargo Ship,9636101
/vessels/details/553789798,K,Unknown,553789798
/vessels/details/9233662,PAKORIS,Passenger/Ro-Ro Cargo Ship,9233662
/vessels/details/7923811,FRIEDA RIVER,Landing Craft,7923811
/vessels/details/9728746,SWIFT 9,Landing Craft,9728746
/vessels/details/1096111,POMIO 2,Passenger/Ro-Ro Cargo Ship,1096111
/vessels/details/553111845,FTV POKAJAM,Fishing vessel,553111845
/vessels/details/8303044,KULASI,Fishing Support Vessel,8303044
/vessels/details/553020014,LIAOYU55302-14-63,Unknown,553020014
/vessels/details/9766308,M V JMC TRADER,Landing Craft,9766308
/vessels/details/8558883,SHUN CHANG 5,Tug,8558883
/vessels/details/553215155,FUDINGYU06767-11-88,Unknown,553215155
/vessels/details/9631620,ARGO DELTA,Passenger Ship,9631620
/vessels/details/9586368,GFS MARINE 01,Deck Cargo Ship,9586368
/vessels/details/553111799,DESTINY,Tug,553111799
/vessels/details/6918584,PACIFIC MARINER,Offshore Tug/Supply Ship,6918584
/vessels/details/8622036,KOPRA I,General Cargo Ship,8622036
/vessels/details/9420576,ELIMBARI,Landing Craft,9420576
/vessels/details/9177210,POMIO,Passenger/Ro-Ro Cargo Ship,9177210
/vessels/details/6926335,PACIFIC INVESTIGATOR,Tug,6926335
/vessels/details/553215595,LIN 21559-5-63,Unknown,553215595
/vessels/details/1096989,MEU HUAT 7,Tug,1096989
/vessels/details/553111837,FULLERTON COVE,Tug,553111837
/vessels/details/553300000,8,Pleasure craft,553300000
/vessels/details/8648028,GARDENIA 888,Fishing Vessel,8648028
/vessels/details/553206020,SH,Fishing vessel,553206020
/vessels/details/553112039,SIR HENRY,Passenger ship,553112039
/vessels/details/9817676,SEABOURNE 5,Tug,9817676
/vessels/details/9802592,AROTROT,Motor Hopper,9802592
/vessels/details/8558895,AKILI 99,Landing Craft,8558895
/vessels/details/553217181,LIN21718-1-99,Unknown,553217181
/vessels/details/553020021,LIAOYU55302-21-44,Unknown,553020021
/vessels/details/9658616,LIHIR DESTINY,Offshore Support Vessel,9658616
/vessels/details/7102687,MADILOGO,Tug,7102687
/vessels/details/553689814,36898-14-85,Unknown,553689814
/vessels/details/7813808,JAKE 1,Offshore Support Vessel,7813808
/vessels/details/8994829,BINTANG UTAMA,Landing Craft,8994829
/vessels/details/553112026,MEU HUAT 7,Tug,553112026
/vessels/details/8849517,RITA,Passenger Ship,8849517
/vessels/details/553080003,55308-3-64,Unknown,553080003
/vessels/details/553220000,A6C0NLU0C,Fishing vessel,553220000
/vessels/details/8558704,SWIFT 7,Landing Craft,8558704
/vessels/details/553300001,5533-1-99,Unknown,553300001
/vessels/details/7222891,LA TROBE,Tug,7222891
/vessels/details/9206798,SWIFT 2,Landing Craft,9206798
/vessels/details/7820722,PURPLE LILAC 888,Fishing Vessel,7820722
/vessels/details/9020895,KUDER,General Cargo Ship,9020895
/vessels/details/553612803,LIAOYINGYU36128-3,Unknown,553612803
/vessels/details/7827299,PURARI,Passenger/General Cargo Ship,7827299
/vessels/details/7409267,RED TULIP 888,Fishing Vessel,7409267
/vessels/details/9192789,E-LINE 2,Tug,9192789
/vessels/details/553111359,PELANGI SUBUR 1,Unknown,553111359
/vessels/details/8673695,CAPRICORN 66,Tug,8673695
/vessels/details/8896015,SWIFT,Landing Craft,8896015
/vessels/details/9327700,KUTUBU,Utility Vessel,9327700
/vessels/details/1090882,GFS MARINE 06,Landing Craft,1090882
/vessels/details/8558869,RAKIAH 99,Tug,8558869
/vessels/details/7909293,PERPETUA,Fishing Vessel,7909293
/vessels/details/553111638,PURPLELILAC888,Fishing vessel,553111638
/vessels/details/8122775,CHERRY BLOSSOMS 88,Fishing Vessel,8122775
/vessels/details/553020010,LIAOYU55302-10-97,Unknown,553020010
/vessels/details/553112063,SEAFORCE,Pleasure craft,553112063
/vessels/details/553111915,PPV BAKI 2,Law enforcment,553111915
/vessels/details/8010611,LILY,Landing Craft,8010611
/vessels/details/553210029,AAM OVEN,Tug,553210029
/vessels/details/9357248,DANUM 25,Offshore Tug/Supply Ship,9357248
/vessels/details/553111894,DRUG RUNNER,Pleasure craft,553111894
/vessels/details/8501971,WESTERN VENTURER,Research Vessel,8501971
/vessels/details/553377720,33777-20-76,Unknown,553377720
/vessels/details/553013985,13292-5-26,Unknown,553013985
/vessels/details/553111797,HMPNGS LAKEKAMU,Military ops,553111797
/vessels/details/5330199,HERCULES,Tug,5330199
/vessels/details/553000004,5300-4-53,Unknown,553000004
/vessels/details/553212556,LIN21255-6-69,Unknown,553212556
/vessels/details/9792723,KWILA HILL NO. 2,Tug,9792723
/vessels/details/8104022,TUG WERRA,Tug,8104022
/vessels/details/8704119,LOUARO,Fishing Vessel,8704119
/vessels/details/9896218,GFS MARINE 05,Landing Craft,9896218
/vessels/details/553020008,LIAOYU55302-08-86,Unknown,553020008
/vessels/details/9891892,GOLDEN OCEAN 1,Tug,9891892
/vessels/details/8558871,RAKIAH 88,Tug,8558871
/vessels/details/9710270,IYAPA,Passenger/Landing Craft,9710270
/vessels/details/8108286,BOSAVI,Landing Craft,8108286
/vessels/details/7216842,YOMBA,Tug,7216842
/vessels/details/553111882,SHOOTING STAR,Passenger ship,553111882
