url,name,type,imo
/vessels/details/555860205,55586-205-86,Unknown,555860205
/vessels/details/555888889,66588,Towing vessel,555888889
/vessels/details/555680013,LUTONGYU55568-13-99,Unknown,555680013
/vessels/details/555551611,165-1184,Unknown,555551611
/vessels/details/555777999,ULAT BULU,Unknown,555777999
/vessels/details/555521118,YU 21118 -5 100,Other type,555521118
/vessels/details/555258567,567,Unknown,555258567
/vessels/details/555845636,LA NAUTIQUE 4,Sailing vessel,555845636
/vessels/details/555566533,665-33-94,Unknown,555566533
/vessels/details/555880003,55588-3-98,Unknown,555880003
/vessels/details/555555514,97,Unknown,555555514
/vessels/details/555997797,STING 000,Unknown (HAZ-B),555997797
/vessels/details/555800065,5558-65-50,Unknown,555800065
/vessels/details/555181811,5551811-89,Unknown,555181811
/vessels/details/555506081,06081-B5-23,Unknown,555506081
/vessels/details/555000001,8888-3278,Unknown,555000001
/vessels/details/555355503,88678-5399,Unknown,555355503
/vessels/details/555070999,00018-B5555 6.9V,Unknown,555070999
/vessels/details/555555552,94,Unknown,555555552
/vessels/details/555590025,G25 D20,Fishing vessel,555590025
/vessels/details/555600100,MINFUDINYU05556-100,Unknown,555600100
/vessels/details/555680022,LURONGYU55568-22-88,Unknown,555680022
/vessels/details/555505002,55550500278,Unknown,555505002
/vessels/details/555101802,21878-2-61,Unknown,555101802
/vessels/details/555240209,55555-9-84,Unknown,555240209
/vessels/details/555576575,16599-3-3 90,Unknown,555576575
/vessels/details/555621777,SHAHSEVAR 1,Fishing vessel,555621777
/vessels/details/555120029,55512-29 7V9,Pleasure craft,555120029
/vessels/details/555506147,06147-B5 46,Unknown,555506147
/vessels/details/555680042,55568-42-62,Unknown,555680042
/vessels/details/555535868,QUANKA 789 RG E26,Law enforcment,555535868
/vessels/details/555555187,178RGE E26 P5-81,Unknown,555555187
/vessels/details/555555019,555555-19-07,Unknown,555555019
/vessels/details/555055504,BIAO 00555-4-99,Unknown,555055504
/vessels/details/555521111,A,HSC,555521111
/vessels/details/555555554,99,Unknown,555555554
/vessels/details/555000023,555000023 6V,Unknown,555000023
/vessels/details/555120010,55512-10,Unknown,555120010
/vessels/details/555680032,55568-32-99,Unknown,555680032
/vessels/details/555660001,LIAOYING55566-1-72,Unknown,555660001
/vessels/details/555573813,738-13-93,Unknown,555573813
/vessels/details/555511334,11334-5,Unknown,555511334
/vessels/details/555680064,LURONGYU55568-64-92,Unknown,555680064
/vessels/details/555592482,24 D 20,Fishing vessel,555592482
/vessels/details/555240207,55555-7-61,Unknown,555240207
/vessels/details/555521020,21020-B5,Unknown,555521020
/vessels/details/555506129,QDY06129-B5-60,Unknown,555506129
/vessels/details/555550093,ZHESANYU55555-93-65,Unknown,555550093
/vessels/details/555680033,55568-33-47,Unknown,555680033
/vessels/details/555215778,LIN21577-8-75,Unknown,555215778
/vessels/details/555120022,55512-22 8V3,Unknown,555120022
/vessels/details/555555001,LUQINGTUO888,Towing vessel,555555001
/vessels/details/555666888,312,Unknown,555666888
/vessels/details/555000005,555-05-90,Unknown,555000005
/vessels/details/555680071,LURONGYU55568-71-98,Unknown,555680071
/vessels/details/555275704,555275704 5V,Unknown,555275704
/vessels/details/555550004,ZHESANYU55555-4-8V1,Unknown,555550004
/vessels/details/555343747,DINH CHAU,Other type,555343747
/vessels/details/555680040,55568-40-85,Unknown,555680040
/vessels/details/555515555,LUOI GHE 773 C1-66,Unknown,555515555
/vessels/details/555197523,THIEN CBO A3 P311,Unknown,555197523
/vessels/details/555555500,6MV,Towing vessel,555555500
/vessels/details/555550007,TLONG A11 G36 P6.90,Unknown,555550007
/vessels/details/555551766,QDY1766-B5-62,Unknown,555551766
/vessels/details/555555559,SUHAIANY00246-18-51,Unknown,555555559
/vessels/details/555680029,LURONGYU55568-29-15,Unknown,555680029
