url,name,type,imo
/vessels/details/358860057,35886-57 82,Unknown,358860057
/vessels/details/358580009,35858-9-83,Unknown,358580009
/vessels/details/358110008,GW35811-8 41,Unknown,358110008
/vessels/details/358860025,35886-25 94,Unknown,358860025
/vessels/details/358596303,03585-3-99,Unknown,358596303
/vessels/details/358770033,35877-33-99,Unknown,358770033
/vessels/details/358770039,35877-39-64,Unknown,358770039
/vessels/details/358770049,35877-49-97,Unknown,358770049
/vessels/details/358860005,35886-5 95,Unknown,358860005
/vessels/details/358580006,35858-6-63,Unknown,358580006
/vessels/details/358860017,35886-17 0,Unknown,358860017
/vessels/details/358580037,35858-37-77,Unknown,358580037
/vessels/details/358855620,3588-20-97,Unknown,358855620
/vessels/details/358780112,58780-112-99,Unknown,358780112
/vessels/details/358860042,35886-42,Unknown,358860042
/vessels/details/358689205,3586-5-60,Unknown,358689205
/vessels/details/358580004,35858-4-91,Unknown,358580004
/vessels/details/358596320,03585-20-54,Unknown,358596320
/vessels/details/358869330,3588-30-89,Unknown,358869330
/vessels/details/358700683,3587-9-93,Unknown,358700683
/vessels/details/358500007,XIAN3585-7-94,Unknown,358500007
/vessels/details/358860040,35886-40 95,Unknown,358860040
/vessels/details/358966001,3589-1-99,Unknown,358966001
/vessels/details/358886313,3588-13-48,Unknown,358886313
/vessels/details/358170051,35817-51 86,Unknown,358170051
/vessels/details/358580028,35858-28-52,Unknown,358580028
/vessels/details/358860033,35886-33 95,Unknown,358860033
/vessels/details/358980001,LIAOSUIYU35898-W199,Unknown,358980001
/vessels/details/358770043,35877-43-77,Unknown,358770043
/vessels/details/358780115,58780-115-99,Unknown,358780115
/vessels/details/358860027,35886-27 94,Unknown,358860027
/vessels/details/358770032,35877-32-99,Unknown,358770032
/vessels/details/358660005,LIAOSUIYU35866-5-86,Unknown,358660005
/vessels/details/358170007,35817-7 87,Unknown,358170007
/vessels/details/358976518,3589-18-52,Unknown,358976518
/vessels/details/358170052,35817-52 85,Unknown,358170052
/vessels/details/358770008,35877-8-85,Unknown,358770008
/vessels/details/358780118,58780-118-94,Unknown,358780118
/vessels/details/358860034,35886-34 94,Unknown,358860034
/vessels/details/358770006,35877-6-96,Unknown,358770006
