url,name,type,imo
/vessels/details/9235361,MARIA FRANCISCA,General Cargo Ship,9235361
/vessels/details/5124162,FUNCHAL,Passenger (Cruise) Ship,5124162
/vessels/details/7002409,BERRIO,Vessel (function unknown),7002409
/vessels/details/7234636,PRINCESA SANTA JOANA,Fishing Vessel,7234636
/vessels/details/9297694,FRANCA MORTE,Fishing Vessel,9297694
/vessels/details/9048902,SANTA PRINCESA,Fish Factory Ship,9048902
/vessels/details/8402010,MARIO RUIVO,Research Vessel,8402010
/vessels/details/4724422,SINES,Patrol Vessel,4724422
/vessels/details/7362823,AVEIRENSE,Fishing Vessel,7362823
/vessels/details/6805268,SANTA MAFALDA,Fishing Vessel,6805268
/vessels/details/7228091,COIMBRA,Fishing Vessel,7228091
/vessels/details/6608309,SANTA CRISTINA,Fishing Vessel,6608309
/vessels/details/6711390,LUTADOR,Fishing Vessel,6711390
/vessels/details/8803537,CIDADE DE AMARANTE,Fishing Vessel,8803537
/vessels/details/9630884,SACOR II,Oil Products Tanker,9630884
/vessels/details/9671620,OMVAC EUME,Hopper Dredger,9671620
/vessels/details/9021590,PASCOAL ATLANTICO,Fishing Vessel,9021590
/vessels/details/8830920,NRP D CARLOS I,Research Vessel,8830920
/vessels/details/8835499,ALMIRANTE GAGO COUTINHO,Research Vessel,8835499
/vessels/details/8505630,JOANINHA,Dredger,8505630
/vessels/details/7039464,PORTO NOVO,Hopper Dredger,7039464
/vessels/details/7437094,ARLINDO ROCHA,Motor Hopper,7437094
/vessels/details/7349390,MANUEL DE OLIVEIRA,Motor Hopper,7349390
/vessels/details/9060998,MONDEGO,Patrol Vessel,9060998
/vessels/details/9850288,JOSE DUARTE,Hopper Dredger,9850288
/vessels/details/7385198,CALVAO,Fishing Vessel,7385198
/vessels/details/5080720,MAIA,General Cargo Ship,5080720
/vessels/details/8619687,NOVO VIRGEM DA BARCA,Fishing Vessel,8619687
/vessels/details/5057644,GARRANO,Dredger,5057644
/vessels/details/9418212,ROLA DO MAR,Passenger/Ro-Ro Cargo Ship,9418212
/vessels/details/9418224,PATO REAL,Passenger/Ro-Ro Cargo Ship,9418224
/vessels/details/5037644,CAPRI,Passenger (Cruise) Ship,5037644
/vessels/details/9034286,SEA STAR,Passenger Ship,9034286
/vessels/details/9263461,BRAVEHEART,Tug,9263461
/vessels/details/9586215,MY ALAMSHAR,Yacht,9586215
/vessels/details/8813049,AL GHARB,Hopper Dredger,8813049
/vessels/details/9270098,DAMIAO DE GOES,Passenger Ship,9270098
/vessels/details/9283368,MIGUEL TORGA,Passenger Ship,9283368
/vessels/details/9283411,ALMEIDA GARRET,Passenger Ship,9283411
/vessels/details/9283409,JORGE DE SENA,Passenger Ship,9283409
/vessels/details/9283382,GIL VICENTE,Passenger Ship,9283382
/vessels/details/9975997,PERNA VERDE,Passenger Ship,9975997
/vessels/details/9955870,GARCA VERMELHA,Passenger Ship,9955870
/vessels/details/9956367,FLAMINGO ROSA,Passenger Ship,9956367
/vessels/details/9956381,TARAMBOLA-DOURADA,Passenger Ship,9956381
/vessels/details/9936501,CEGONHA BRANCA,Passenger Ship,9936501
/vessels/details/9975985,MILHAFRE PRETO,Passenger Ship,9975985
/vessels/details/7704992,NORUEGA,Fishing Support Vessel,7704992
/vessels/details/9956379,IBIS PRETO,Passenger Ship,9956379
/vessels/details/5081918,CREOULA,Sailing Vessel,5081918
/vessels/details/8747666,VAROSA,Motor Hopper,8747666
/vessels/details/6806640,PONTA DA BARCA,General Cargo Ship,6806640
/vessels/details/9042635,S.JORGE,Inland Passenger,9042635
/vessels/details/8734695,VALMITAO,Fishing Vessel,8734695
/vessels/details/8137873,PHILAE,Motor Hopper,8137873
/vessels/details/9280043,AVO MUSICO,Fishing Vessel,9280043
/vessels/details/9710153,MONTE DA LUZ,Tug,9710153
/vessels/details/8734671,NOVO RUIVO,Fishing Vessel,8734671
/vessels/details/9503512,CASTELO DE SINES,Tug,9503512
/vessels/details/9428231,ROAZ CORVINEIRO,Passenger Ship,9428231
/vessels/details/8655928,BRASINHO,Hopper Dredger,8655928
/vessels/details/9166596,SE,Passenger Ship,9166596
/vessels/details/9166601,CARNIDE,Passenger Ship,9166601
/vessels/details/9156010,AROEIRA,Passenger Ship,9156010
/vessels/details/9155779,S.JULIAO,Passenger Ship,9155779
/vessels/details/7234961,SAO MIGUEL,Tug,7234961
/vessels/details/9112612,CHIADO,Passenger Ship,9112612
/vessels/details/9112533,CASTELO,Passenger Ship,9112533
/vessels/details/9112521,ALGES,Passenger Ship,9112521
/vessels/details/5023564,POLYNESIA,Leisure Vessels,5023564
/vessels/details/8981717,LISBOA VISTA DO TEJO,Inland Passenger,8981717
/vessels/details/9371713,MAR DE JAVA,Fishing Vessel,9371713
/vessels/details/9296925,BALUEIRO,Fishing Vessel,9296925
/vessels/details/9319179,CASTELO DE SAO JORGE,Tug,9319179
/vessels/details/7902348,MONTEVIL,Tug,7902348
/vessels/details/6904870,CECILIA A,General Cargo Ship,6904870
/vessels/details/9113082,DESTERRO,Hopper Dredger,9113082
/vessels/details/8880482,AQUARIUS,Deck Cargo Ship,8880482
/vessels/details/9930600,TETIS,Tug,9930600
/vessels/details/8812069,HEMISFERIO NORTE,Fishing Vessel,8812069
/vessels/details/9269623,PEDRO NUNES,Passenger Ship,9269623
/vessels/details/9269635,CESARIO VERDE,Passenger Ship,9269635
/vessels/details/8791617,MARETA,Motor Hopper,8791617
/vessels/details/9010187,ARTUR E TERESA,Fishing Vessel,9010187
/vessels/details/9007180,MAR LARGO,Fishing Vessel,9007180
/vessels/details/8747070,ISABEL C,General Cargo Ship,8747070
/vessels/details/7808035,INDEPENDENCIA,Passenger Ship,7808035
/vessels/details/9438937,MONTEMURO,Tug,9438937
/vessels/details/9139189,ALTER EGO,Yacht,9139189
/vessels/details/7813236,PRINCIPE DA BEIRA,Passenger Ship,7813236
/vessels/details/5239931,PRINCIPE PERFEITO,Passenger Ship,5239931
/vessels/details/7808671,SINTRENSE,Passenger Ship,7808671
/vessels/details/7808669,SEIXALENSE,Passenger Ship,7808669
/vessels/details/6901488,GUARDIAO,Tug,6901488
/vessels/details/7014505,MONTE DE SAO BRAS,Tug,7014505
/vessels/details/9246243,CASTELO DE LEIRIA,Tug,9246243
/vessels/details/8205644,EXPRESSO DO TRIANGULO,Passenger Ship,8205644
/vessels/details/7813212,DAFUNDO,Passenger Ship,7813212
/vessels/details/9096882,SCORPIUS,Fishing Vessel,9096882
/vessels/details/5343598,ST. PAULUS,Passenger Ship,5343598
/vessels/details/9071246,MONFORTE,Tug,9071246
/vessels/details/7813195,LUCIMAR,Fishing Vessel,7813195
/vessels/details/7825942,FOZ DA NAZARE,Fishing Vessel,7825942
/vessels/details/7422946,PENINSULA,Fishing Vessel,7422946
/vessels/details/9289439,CASTELO DE VIANA,Tug,9289439
/vessels/details/9335393,ROAZ,Fishing Vessel,9335393
/vessels/details/7218280,CARAMUJO,Tug,7218280
/vessels/details/9551387,PROGRESSO FUTURO,Fishing Vessel,9551387
/vessels/details/9096856,CENTAURUS,Fishing Vessel,9096856
/vessels/details/8513754,PORTUGS SINES,Tug,8513754
/vessels/details/9096868,DELPHINUS,Fishing Vessel,9096868
/vessels/details/9096870,SAGITTARIUS,Fishing Vessel,9096870
/vessels/details/8000848,PORTUGS LEIXOES,Tug,8000848
/vessels/details/8113657,PORTUGS CASCAIS,Tug,8113657
/vessels/details/7911416,MONTEVIL,Tug,7911416
/vessels/details/8689448,MAR IBERICO,Fishing Vessel,8689448
/vessels/details/8117495,PORTUGS LISBOA,Tug,8117495
/vessels/details/9179804,SAO GONCALINHO,Fishing Vessel,9179804
/vessels/details/9313319,SIMON BALAYO SAMBADE,Fishing Vessel,9313319
/vessels/details/9175389,NOVOMAR,Fishing Vessel,9175389
/vessels/details/7626097,MERCURIO,Tug,7626097
/vessels/details/9641106,NEREU,Tug,9641106
/vessels/details/9201267,ALBAMAR,Fishing Vessel,9201267
/vessels/details/9641118,AQUILES,Tug,9641118
/vessels/details/9057343,ZODIACO,Fishing Vessel,9057343
/vessels/details/9057355,NEPTUNO,Fishing Vessel,9057355
/vessels/details/7922568,CRUZ DE MALTA,Fishing Vessel,7922568
/vessels/details/7507722,GONCALVES ZARCO,Fishing Vessel,7507722
/vessels/details/9280031,TONI PIRES,Fishing Vessel,9280031
/vessels/details/9276119,MONTENOVO,Tug,9276119
/vessels/details/8610784,CAROLINA TEIXEIRA,Fishing Vessel,8610784
/vessels/details/8117483,PORTUGS VIANA,Tug,8117483
/vessels/details/9223978,PRAIA SAO FRANCISCO,Fishing Vessel,9223978
/vessels/details/8602610,MAR PORTUGUES,Fishing Vessel,8602610
