url,name,type,imo
/vessels/details/9234654,VIEIRA,Crude Oil Tanker,9234654
/vessels/details/9251602,CESARIA,Crude Oil Tanker,9251602
/vessels/details/9273337,TIFANI,Crude Oil Tanker,9273337
/vessels/details/9312145,DECKASIS,Crude Oil Tanker,9312145
/vessels/details/9290397,KRITI VIGOR,Crude Oil Tanker,9290397
/vessels/details/9224439,CAROLINE BEZENGI,Crude Oil Tanker,9224439
/vessels/details/9253909,JAMES II,Crude Oil Tanker,9253909
/vessels/details/9430313,EVREN,Crude Oil Tanker,9430313
/vessels/details/9408530,EVITA,Crude Oil Tanker,9408530
/vessels/details/9409259,SPIRIT 2,Crude Oil Tanker,9409259
/vessels/details/9231468,NORTH LAKE,Oil Products Tanker,9231468
/vessels/details/9337901,RIMMA,Crude Oil Tanker,9337901
/vessels/details/9387255,AZURE,Crude Oil Tanker,9387255
/vessels/details/9346873,ELODIE I,Crude Oil Tanker,9346873
/vessels/details/9199713,ELIAK,Crude Oil Tanker,9199713
/vessels/details/9264570,NAYARA,Crude Oil Tanker,9264570
/vessels/details/9323974,MARBLE,Crude Oil Tanker,9323974
/vessels/details/8763309,SVETAH VENETIA,Offshore Support Vessel,8763309
/vessels/details/9193721,DANUTA I,LPG Tanker,9193721
/vessels/details/9307748,GAS MARTA,LPG Tanker,9307748
/vessels/details/9031519,SEA HERMES,LPG Tanker,9031519
/vessels/details/9277747,ELISE,Oil Products Tanker,9277747
/vessels/details/9277759,LARK,Oil Products Tanker,9277759
/vessels/details/9374844,AGILE,Crude Oil Tanker,9374844
/vessels/details/9550682,XING CHEN,Crude Oil Tanker,9550682
/vessels/details/9308089,DE XI,Crude Oil Tanker,9308089
/vessels/details/9232620,PIONEER SAM,Crude Oil Tanker,9232620
/vessels/details/9112789,ASTORIA GRANDE,Passenger (Cruise) Ship,9112789
/vessels/details/7504598,BADER III,Livestock Carrier,7504598
/vessels/details/9373773,ONEGA GULF,Chemical/Oil Products Tanker,9373773
/vessels/details/8310542,MAYSORA,Livestock Carrier,8310542
/vessels/details/9394832,HARVEST,Bulk Carrier,9394832
/vessels/details/9284257,SENORITA,Bulk Carrier,9284257
/vessels/details/9222340,NAVIGATOR,Bulk Carrier,9222340
/vessels/details/9222601,ZX GLORY,Bulk Carrier,9222601
