url,name,type,imo
/vessels/details/9411862,INNOVADOR,Ro-Ro Cargo Ship,9411862
/vessels/details/7922116,ASUNCION B,Container Ship,7922116
/vessels/details/8933746,JOSAMO,General Cargo Ship,8933746
/vessels/details/7801855,MADELEINE I,General Cargo Ship,7801855
/vessels/details/7801843,ISABELLE I,General Cargo Ship,7801843
/vessels/details/7922324,VICKY B,Oil Products Tanker,7922324
/vessels/details/9051997,TEHIA,General Cargo Ship,9051997
/vessels/details/8408442,INDEPENDIENTE,Ro-Ro Cargo Ship,8408442
/vessels/details/8408466,INTREPIDO,Ro-Ro Cargo Ship,8408466
/vessels/details/9314662,ANABISETIA S,General Cargo Ship,9314662
/vessels/details/9280407,INQUEBRANTABLE,Ro-Ro Cargo Ship,9280407
/vessels/details/9280380,CAP JACKSON,General Cargo Ship,9280380
/vessels/details/9419333,GF ITAIPU,Offshore Tug/Supply Ship,9419333
/vessels/details/9627813,PIRAVERA,Tug,9627813
/vessels/details/9327889,GF HUMAITA,Tug,9327889
/vessels/details/8505501,POLARGO 1,Tug,8505501
/vessels/details/755135000,YERUTI III,Tug,755135000
/vessels/details/1070064,VERONICA V,Unknown,1070064
/vessels/details/755057000,HERKULES III,Towing vessel,755057000
/vessels/details/755123457,CABALLERO BLANCO.,Towing vessel,755123457
/vessels/details/755004326,OLIMPO,Tug,755004326
/vessels/details/755002595,RUBEN H,Cargo ship,755002595
/vessels/details/755035000,VES LOSADA H,Towing vessel,755035000
/vessels/details/755040000,ALTO PARANA,Tanker,755040000
/vessels/details/755004318,NAUTIC TWIN,Unknown,755004318
/vessels/details/755003963,DONA MAGDA,Cargo ship,755003963
/vessels/details/755201114,AGUILUCHO,Cargo ship,755201114
/vessels/details/755004635,IMPALA LADARIO,Cargo ship,755004635
/vessels/details/9535503,CLARA B,Tug,9535503
/vessels/details/755002365,DON SEBASTIAN G,Unknown,755002365
/vessels/details/755194200,DON EDUARDO,Towing vessel,755194200
/vessels/details/755012841,ORGULLO LANCHA,Unknown,755012841
/vessels/details/755160000,DON CHICUETO.,Tanker,755160000
/vessels/details/755654606,TIEN-P2-99,Unknown,755654606
/vessels/details/755014071,LANCHA GUYRATI,Pleasure craft,755014071
/vessels/details/8633982,CAVALIER XI,Tug,8633982
/vessels/details/755821882,82188-2-26,Unknown,755821882
/vessels/details/755001922,HUMAITA,Towing vessel (tow>200),755001922
/vessels/details/755537000,CARMEN S,Tug,755537000
/vessels/details/755003687,TARUMA,Dredging or UW ops,755003687
/vessels/details/755003898,TIO KIKE,Tug,755003898
/vessels/details/755063000,HERKULE XVI,Unknown,755063000
/vessels/details/9545974,RAUL D,Tug,9545974
/vessels/details/755110001,LANCHA AUXILIAR,Pilot,755110001
/vessels/details/755045702,NORA E,Tanker,755045702
/vessels/details/755151000,MICHELANGELO,Towing vessel,755151000
/vessels/details/755004052,BLAS E,Tug,755004052
/vessels/details/755023000,TITAN,Towing vessel,755023000
/vessels/details/755860006,75586-6-42,Unknown,755860006
/vessels/details/755218913,LIN21891-3-41,Unknown,755218913
/vessels/details/9551090,AVA PAYAGUA,Tug,9551090
/vessels/details/755991013,PUMA,Towing vessel,755991013
/vessels/details/755096000,HUMAITA,Towing vessel,755096000
/vessels/details/755148000,RAMON H.,Other type,755148000
/vessels/details/755120000,YERUTI I,Tanker,755120000
/vessels/details/755029000,SAN MARTIN I,Towing vessel (tow>200),755029000
/vessels/details/755004408,YRYJUI I,Tug,755004408
/vessels/details/8879859,DON JUAN,Oil Products Tanker,8879859
/vessels/details/755049000,PO MBURUCUYA,Unknown,755049000
/vessels/details/755103015,PAPU MAR,Unknown,755103015
/vessels/details/755104318,LANCHA NAUTIC TWIN,Pilot,755104318
/vessels/details/9092343,ROSA,General Cargo Ship,9092343
/vessels/details/755126000,LATERE,Tug,755126000
/vessels/details/755009000,LADY M,Other type,755009000
/vessels/details/9034078,DON LUCHO,Inland Tanker,9034078
/vessels/details/755056000,RE KYRIOS,Cargo ship,755056000
/vessels/details/6801468,DONA ANNEKE,Landing Craft,6801468
/vessels/details/8897162,SAN MARTIN I,Tug,8897162
/vessels/details/755061000,TIO KIKE,Tug,755061000
/vessels/details/755093000,ARARY,WIG,755093000
/vessels/details/755128065,LIN 12806-5-26,Unknown,755128065
/vessels/details/755000303,EN PRUEBA JPETTERS,Tanker,755000303
/vessels/details/755004665,TIO JAN,Cargo ship (HAZ-D),755004665
/vessels/details/755046000,NORMA H.,Cargo ship,755046000
/vessels/details/755033000,ENRIQUE H,Tanker,755033000
/vessels/details/755003015,IB CONCEPCION,Local type,755003015
/vessels/details/755002724,SANTA MARIA,Tanker,755002724
/vessels/details/755134000,LADOCE H,Unknown,755134000
/vessels/details/755212585,LIN 21258-5-31,Unknown,755212585
/vessels/details/755215525,LIN 21552-5-91,Unknown,755215525
/vessels/details/755091000,MARIA AUXILIADORA,WIG (HAZ-B),755091000
/vessels/details/9796341,CARMEN S,Pusher Tug,9796341
/vessels/details/755272222,755272222-86,Unknown,755272222
/vessels/details/755661656,SRIRUNG..56,Tug,755661656
/vessels/details/755001234,DRAGA CSD500,Other type,755001234
/vessels/details/9907201,RE DONA KEIKO,Pusher Tug,9907201
/vessels/details/755013957,LANCHA CRC,Pleasure craft,755013957
/vessels/details/755032000,RUBEN H,Cargo ship,755032000
/vessels/details/755165000,GRAL EUGENIO A GARAY,Towing vessel,755165000
/vessels/details/755247070,75524-86,Unknown,755247070
/vessels/details/755022000,RE CAVALIER XI,Towing vessel (tow>200),755022000
/vessels/details/755000009,LATINCOMP TEST,Other type,755000009
/vessels/details/755707081,IB ENCARNACION,Cargo ship,755707081
/vessels/details/755004768,DON CHICUETO.,Cargo ship,755004768
/vessels/details/755090000,TENDOTA,Towing vessel,755090000
/vessels/details/755129000,TAGUATO,Cargo ship,755129000
/vessels/details/755013150,LANCHA ENRICO H,Unknown,755013150
/vessels/details/755017000,ESPIRITU DE MARIA H,Cargo ship,755017000
/vessels/details/755004362,MONTELINDO 2,Towing vessel,755004362
/vessels/details/755334665,JILEYU02998,Fishing vessel,755334665
/vessels/details/755001866,LA ESPERANZA II,Tug,755001866
/vessels/details/1016018,BELEN B,Pusher Tug,1016018
/vessels/details/755004208,DEIDAMIA C,Tanker,755004208
/vessels/details/7027758,REINA DEL PARANA,General Cargo Ship,7027758
/vessels/details/755003887,MARIA A,Tanker,755003887
/vessels/details/8927723,CAVALIER VII,Tug,8927723
/vessels/details/755003495,RE VENUS,Towing vessel,755003495
/vessels/details/755108000,HERKULES V,Towing vessel,755108000
/vessels/details/5171385,JEJUI,General Cargo Ship,5171385
/vessels/details/755004738,DON PACHECO,Cargo ship (HAZ-B),755004738
/vessels/details/755123456,P08 YHAGUY,Pilot,755123456
/vessels/details/755039000,RE CAVALIER I,Tanker,755039000
/vessels/details/755171717,TIFON,Tanker,755171717
/vessels/details/8851986,CABALLERO BLANCO,Tug,8851986
