url,name,type,imo
/vessels/details/9903281,SAINTE ROSE,Fishing Vessel,9903281
/vessels/details/9808003,POLE,Passenger/Ro-Ro Cargo Ship,9808003
/vessels/details/9981128,CHATOUILLEUSE,Passenger/Ro-Ro Cargo Ship,9981128
/vessels/details/9806823,VB VOLCAN,Tug,9806823
/vessels/details/9395848,VB CARTIER,Tug,9395848
/vessels/details/9395850,VB BOUGAINVILLE,Tug,9395850
/vessels/details/660008710,ELONA,Unknown,660008710
/vessels/details/660008730,ERLAU,Sailing vessel,660008730
/vessels/details/660005910,HEVA,Pilot,660005910
/vessels/details/660007070,YESS AMAZE,Sailing vessel,660007070
/vessels/details/660980017,66098-17- 91,Unknown,660980017
/vessels/details/660596142,05961-42-70,Unknown,660596142
/vessels/details/660107118,ZXY01071-18-97,Unknown,660107118
/vessels/details/660104019,ZXY01040-19-97,Unknown,660104019
/vessels/details/660138523,ZXY01385-23 90,Unknown,660138523
/vessels/details/660110312,SUSHEYU01103-128.0V,Unknown,660110312
/vessels/details/660018919,189-19 60,Unknown,660018919
/vessels/details/660110326,SUSHEYU01103-268.0V,Unknown,660110326
/vessels/details/660468502,04685-2-29,Unknown,660468502
/vessels/details/660132213,ZXY01322-13-92,Unknown,660132213
/vessels/details/660000060,LE SAGITTAIRE 6,Fishing vessel,660000060
/vessels/details/660012215,JIFENGYU00122-158.0,Unknown,660012215
/vessels/details/9725342,GEORGES NAHOUDA,Passenger/Ro-Ro Cargo Ship,9725342
/vessels/details/660438929,04389-29-63,Unknown,660438929
/vessels/details/660148102,ZXY01481-02-04,Unknown,660148102
/vessels/details/660571024,YU 66057 -24 -99,Unknown,660571024
/vessels/details/660100106,ZXY01001-06-35,Unknown,660100106
/vessels/details/660017828,00178-28-35,Unknown,660017828
/vessels/details/660150018,ZXY01500-18-99,Unknown,660150018
/vessels/details/660308500,03085,Fishing vessel,660308500
/vessels/details/660147525,ZXY01475-25 90,Unknown,660147525
/vessels/details/660005630,LE LYS,Dredging or UW ops,660005630
/vessels/details/660011106,YU 00111-6-89,Unknown,660011106
/vessels/details/660151302,ZXY01513-02-84,Unknown,660151302
/vessels/details/660135207,ZXY01352-07-49,Unknown,660135207
/vessels/details/660131728,ZXY01317-28-95,Unknown,660131728
/vessels/details/660477049,60047-RR498.0V,Unknown,660477049
/vessels/details/660144313,ZXYO1443-14 90,Unknown,660144313
/vessels/details/660005080,HELISA,Sailing vessel,660005080
/vessels/details/8589296,PARVATI,Fishing vessel,8589296
/vessels/details/660148124,ZXY01481-2490,Unknown,660148124
/vessels/details/660023710,YU 00237-10,Unknown,660023710
/vessels/details/660051613,YU 99555-13-71,Unknown,660051613
/vessels/details/660210903,SUGANYU02109-03-99,Unknown,660210903
/vessels/details/660104010,ZXY01040-10 90,Unknown,660104010
/vessels/details/660000000,660000000 9V,Unknown,660000000
/vessels/details/660018944,189-44 90,Unknown,660018944
/vessels/details/660000011,011,Fishing vessel,660000011
/vessels/details/660889846,08898-46-58,Unknown,660889846
/vessels/details/660132919,01329-19-86,Unknown,660132919
/vessels/details/660210601,NET ZPY80106-2-99,Unknown,660210601
/vessels/details/660002890,MOUCATA,Sailing vessel,660002890
/vessels/details/660230806,ZXY02308-06-96,Unknown,660230806
/vessels/details/660572005,YU 66057 -5 99,Unknown,660572005
/vessels/details/660107019,ZXY01070-19 90,Unknown,660107019
/vessels/details/660110332,SUSHEYU01103-328.0V,Unknown,660110332
/vessels/details/660012204,JIFENGYU00122-048.3,Unknown,660012204
/vessels/details/660151304,ZXY01513-04-85,Unknown,660151304
/vessels/details/660890907,YU 08909-7-67,Unknown,660890907
/vessels/details/660571927,05719-27 90,Pleasure craft,660571927
/vessels/details/660990003,66099-03-99,Unknown,660990003
/vessels/details/660572001,YU 66057 -1 99,Unknown,660572001
/vessels/details/660291901,SUGANYU02919-01-94,Unknown,660291901
/vessels/details/660144212,ZXY01442-12 60,Unknown,660144212
/vessels/details/660571937,05719-37-53,Unknown,660571937
/vessels/details/660284959,02849-59-99,Unknown,660284959
/vessels/details/660137225,ZXY01372-25-91,Unknown,660137225
/vessels/details/660867810,08678-10-70,Unknown,660867810
/vessels/details/660086601,YU 00866-1-99,Unknown,660086601
/vessels/details/660009430,LE PAUL,Diving ops,660009430
/vessels/details/660008650,MOANA,Sailing vessel,660008650
