url,name,type,imo
/vessels/details/6514376,RUBIKON 14,Oil Products Tanker,6514376
/vessels/details/8860925,PERSEUS,Tug,8860925
/vessels/details/8861266,HERCULES,Tug,8861266
/vessels/details/9217307,DUNAREA MARITIMA,Hopper Dredger,9217307
/vessels/details/7119408,MARE NIGRUM,Fish Factory Ship,7119408
/vessels/details/9572197,MAI 0201,Patrol Vessel,9572197
/vessels/details/8317447,UNICOM 3,Chemical Tanker,8317447
/vessels/details/7620005,GSP GRANIT,Crane Ship,7620005
/vessels/details/7906784,SILISTEA 2,Motor Hopper,7906784
/vessels/details/7614185,CANARA,General Cargo Ship,7614185
/vessels/details/7711050,CANAL SERVICES 15,Tug,7711050
/vessels/details/9890563,BRIZO,Offshore Tug/Supply Ship,9890563
/vessels/details/9993327,MAI 0102,Patrol Vessel,9993327
/vessels/details/8523369,ZIMBRUL 2,Tug,8523369
/vessels/details/8861230,ZIMBRU 4,Tug,8861230
/vessels/details/8861228,ZIMBRUL 3,Tug,8861228
/vessels/details/9479955,COREMAR BLU,Offshore Tug/Supply Ship,9479955
/vessels/details/8407723,BSV IRLANDA,Tug,8407723
/vessels/details/9896311,NEREUS,Pollution Control Vessel,9896311
/vessels/details/8714255,BSV PORTUGALIA,Tug,8714255
/vessels/details/8523228,ALEXANDRIA 5,Tug,8523228
/vessels/details/9898931,SULINA 2,Tug,9898931
/vessels/details/9898943,COVURLUI,Tug,9898943
/vessels/details/8919178,BSV FRANTA,Tug,8919178
/vessels/details/8420933,EUROPA 1,Tug,8420933
/vessels/details/8311998,BSV NORVEGIA,Tug,8311998
/vessels/details/8037853,ALEXANDRIA 1,Tug,8037853
/vessels/details/8037839,ALEXANDRIA 4,Tug,8037839
/vessels/details/8104292,BSV ANGLIA,Tug,8104292
/vessels/details/8938409,GALATI 7,Tug,8938409
/vessels/details/8861319,GALATI 5,Tug,8861319
/vessels/details/8861321,GALATI 6,Tug,8861321
/vessels/details/9235036,BSV RUSIA,Tug,9235036
/vessels/details/5100049,BSV SPANIA,Tug,5100049
/vessels/details/9057886,MERSEY,Tug,9057886
/vessels/details/9943451,MAI1106,Offshore Tug/Supply Ship,9943451
/vessels/details/8410421,CANAL SERVICES 16,Tug,8410421
/vessels/details/9817781,FARUL,Tug,9817781
/vessels/details/7051034,CANAL SERVICES 18,Tug,7051034
/vessels/details/7032193,CANAL SERVICES 17,Tug,7032193
/vessels/details/7800069,CANAL SERVICES 7,Tug,7800069
/vessels/details/9017331,ALEXANDRU2,Tug,9017331
/vessels/details/8116685,CANAL SERVICES 19,Tug,8116685
/vessels/details/9335329,BSV CIPRU,Tug,9335329
/vessels/details/7351513,BSV CROATIA,Tug,7351513
/vessels/details/9015826,CANAL SERVICES 20,Tug,9015826
/vessels/details/5405308,METEOR,Tug,5405308
/vessels/details/7623411,ACHILE,Tug,7623411
/vessels/details/9043184,CANAL SERVICES 9,Tug,9043184
/vessels/details/9412191,BUCURESTI,Tug,9412191
/vessels/details/8037932,GHEORGHIENI 2,Tug,8037932
/vessels/details/8037889,NISTORESTI 1,Tug,8037889
/vessels/details/8745541,ANGHEL SALIGNY,Research Vessel,8745541
/vessels/details/6907169,CANAL SERVICES 5,Tug,6907169
/vessels/details/5023796,ADORNATE,Sailing Vessel,5023796
/vessels/details/8008709,STEAUA DE MARE 1,Fishing Vessel,8008709
/vessels/details/9094432,NOORDKAAP,Yacht,9094432
/vessels/details/8942228,MAMAIA 2,General Cargo Ship,8942228
/vessels/details/8969214,COREMAR 16,Tug,8969214
/vessels/details/8648511,LIESTI 3,Tug,8648511
/vessels/details/8969226,AG1,Tug,8969226
/vessels/details/4908286,MAI 2111,Patrol Vessel,4908286
/vessels/details/9298155,BSV BELGIA,Tug,9298155
/vessels/details/264163161,METALTRADE 4,Cargo ship,264163161
/vessels/details/264163391,MARIANNE2,Cargo ship,264163391
/vessels/details/264162626,ST. ANTONIUS,Other type,264162626
/vessels/details/264900182,MAI3067,Other type,264900182
/vessels/details/264163264,GRANEX2.,Cargo ship,264163264
/vessels/details/264163590,KARAN,Cargo ship,264163590
/vessels/details/264162120,MERCUR 202,Cargo ship,264162120
/vessels/details/264163508,IRIS 5,Cargo ship,264163508
/vessels/details/264900190,FONDA,Tug,264900190
/vessels/details/264162266,DANUBEGRACE,Tug,264162266
/vessels/details/264163556,STABIEL,Cargo ship,264163556
/vessels/details/264162715,AQUARIUS,Unknown,264162715
/vessels/details/264163163,MERCUR 308,Cargo ship,264163163
/vessels/details/264162617,.PRONTOINTER,Cargo ship,264162617
/vessels/details/264900252,MARITIM 2 -,Port tender,264900252
/vessels/details/264163167,ECO DUNAREA 2,Other type,264163167
/vessels/details/264163389,MATRICO,Tanker,264163389
/vessels/details/9927902,PHOENIX,SAR,9927902
/vessels/details/264162616,PHOENIX VENUS,Cargo ship,264162616
/vessels/details/264900387,MIKA,Sailing vessel,264900387
/vessels/details/264162098,MERCUR 303,Cargo ship,264162098
/vessels/details/264163411,GILLA,Tanker,264163411
/vessels/details/264900186,SUCEVENI 3,Tug,264900186
/vessels/details/264163604,KARINA2,Cargo ship,264163604
/vessels/details/264163372,DUNAV 123,Cargo ship,264163372
/vessels/details/264800052,ROS MARASESTI,Military ops,264800052
/vessels/details/264900187,CANAL SERVICES 10,Tug,264900187
/vessels/details/264162001,CALARASI 3,Other type,264162001
/vessels/details/264163602,JASON,Other type,264163602
/vessels/details/264900172,MAI3064,Law enforcment,264900172
/vessels/details/264162281,DELTA EXPRES1,Passenger ship,264162281
/vessels/details/264163561,CASIANA,Passenger ship,264163561
/vessels/details/264162663,COMANDOR 1,Tug,264162663
/vessels/details/264800068,RO NATO WARSHIP 29,Military ops,264800068
/vessels/details/264800067,LUPU DINESCU DM25,Military ops,264800067
/vessels/details/264163261,SVAD1,WIG,264163261
/vessels/details/264900342,COREMAR PILOT 2,Pilot,264900342
/vessels/details/264163616,DESCHIETER 173BARGE,Other type,264163616
/vessels/details/264163515,SEVERNAV 1,WIG,264163515
/vessels/details/264163190,VEGA RIVER,Passenger ship,264163190
/vessels/details/264163443,TEMPTATION,Other type,264163443
/vessels/details/264163444,TRIADE,Tanker,264163444
/vessels/details/264162038,MERCUR 204,Cargo ship,264162038
/vessels/details/264163388,ARTEMIS I,Tanker (HAZ-C),264163388
/vessels/details/264162443,ROVINARI 27,Tanker,264162443
/vessels/details/264163348,URSA MONTANA 1,Cargo ship,264163348
/vessels/details/9928712,THEIA,SAR,9928712
/vessels/details/264163344,URSA MONTANA,Other type,264163344
/vessels/details/264900471,SHARK SPIRIT,HSC,264900471
/vessels/details/264163636,SPIRITUL APELQR,Passenger ship,264163636
/vessels/details/264162275,CENTAUR 1,Cargo ship,264162275
/vessels/details/264163598,EDLENA,Unknown,264163598
/vessels/details/264162621,DIANA MARIA,Cargo ship,264162621
/vessels/details/264163164,KARPATEN QUEEN,Passenger ship,264163164
/vessels/details/264900265,RAR,Other type,264900265
/vessels/details/264162940,STERLET,Cargo ship,264162940
/vessels/details/9923803,ARES,SAR,9923803
/vessels/details/264162624,ISACCEA 10,Cargo ship,264162624
/vessels/details/9830513,APOLLO,SAR,9830513
/vessels/details/264162057,DUNAREA MARITIMA,Other type,264162057
/vessels/details/264163528,LIBERO,WIG,264163528
/vessels/details/264162571,DANIMEX 3,WIG,264162571
/vessels/details/264162305,POIENARI 2,Passenger ship,264162305
/vessels/details/264800093,103 VARTOSUL,Tug,264800093
/vessels/details/264900287,BSV POLONIA,Tug,264900287
/vessels/details/264900165,MAI3063,Law enforcment,264900165
/vessels/details/264162250,SEMNAL 1,Dredging or UW ops,264162250
/vessels/details/264163268,DORU,Cargo ship,264163268
/vessels/details/264162721,MONDIAL,Unknown,264162721
/vessels/details/264162623,TANGER,Tanker,264162623
/vessels/details/264162484,VULTUR 1,Other type,264162484
/vessels/details/264163633,SHADOW,Cargo ship,264163633
/vessels/details/264900230,PILOTINA MMT,Pilot,264900230
/vessels/details/264163469,QUEEN M,Cargo ship,264163469
