url,name,type,imo
/vessels/details/279212172,NOMAD,Unknown,279212172
/vessels/details/279202422,PIONIR,Cargo ship,279202422
/vessels/details/279202706,LADJAR NADA,Tanker,279202706
/vessels/details/279202643,RUBIKON 9,Tanker,279202643
/vessels/details/279429720,BUNKER SIBIR INVEST,Tanker,279429720
/vessels/details/279202681,RUBIKON82BAZA,Tanker,279202681
/vessels/details/279202593,STEEL BEE,Cargo ship,279202593
/vessels/details/279202570,RUBIKON,Tanker,279202570
/vessels/details/279202632,HORIZONT,Passenger ship,279202632
/vessels/details/279202187,POTISJE,Cargo ship,279202187
/vessels/details/279202300,DAMJAN,Unknown,279202300
/vessels/details/279202318,KEJ2,Other type,279202318
/vessels/details/279202359,LJIG,Cargo ship,279202359
/vessels/details/279202467,KAPITAN VINAROV,Cargo ship,279202467
/vessels/details/279202665,KARIN IX,Tug,279202665
/vessels/details/279202237,SOMBOR I,Cargo ship,279202237
/vessels/details/279202721,BJANKA1BARGE,Tanker,279202721
/vessels/details/279202481,KLISA BARZA,Tanker,279202481
/vessels/details/279202562,AQUASTARMAXIM,Passenger ship,279202562
/vessels/details/279202463,SPEED,Tanker,279202463
/vessels/details/279202598,LADJAR I,Tanker,279202598
/vessels/details/279202573,MARCONI,Tanker,279202573
/vessels/details/279202366,POZAREVAC5,Unknown,279202366
/vessels/details/279202329,POCERINA,Cargo ship,279202329
/vessels/details/279202713,ZARA,Unknown,279202713
/vessels/details/279209706,LADJAR NADA,Cargo ship,279209706
/vessels/details/279202490,LADJAR III81769,Tanker,279202490
/vessels/details/279202612,LINDA,Tanker,279202612
/vessels/details/279202644,RUBIKON 55,Tanker,279202644
/vessels/details/279202441,KARIN 2,Cargo ship,279202441
/vessels/details/279202310,PODBARA,Other type,279202310
/vessels/details/279202353,CUPRIJA,Cargo ship,279202353
/vessels/details/279202576,LADJAR,Tanker,279202576
/vessels/details/279202723,EMMABARZA,Unknown,279202723
/vessels/details/279202158,KARADJORDJE,Cargo ship,279202158
/vessels/details/279202394,KOVIN,Other type,279202394
/vessels/details/279202162,RASKA,Other type,279202162
/vessels/details/279202183,PODRINJE I,Cargo ship,279202183
/vessels/details/279202591,TORO III,Cargo ship,279202591
/vessels/details/279202664,MARSHAL2BARZE,Tanker,279202664
/vessels/details/279202393,KALEMEGDAN,Cargo ship,279202393
/vessels/details/279202152,STIG,Unknown,279202152
/vessels/details/279202630,LADJAR RAJO,Tanker,279202630
/vessels/details/279202341,BATINA,Unknown,279202341
/vessels/details/279202540,JUDRA-VOLKER,Tanker,279202540
/vessels/details/279202434,BOR,Tug,279202434
/vessels/details/279202186,POSAVLJE,Cargo ship,279202186
/vessels/details/279202731,LADJARICA,Tanker,279202731
/vessels/details/279202484,MILAN,Cargo ship,279202484
/vessels/details/279202182,BEZDAN I,Cargo ship,279202182
/vessels/details/279202037,ISTRAJNI 2,Unknown,279202037
/vessels/details/279202330,MACVA,Dredging or UW ops,279202330
/vessels/details/279202159,KARLOVAC,Cargo ship,279202159
/vessels/details/279202639,DAVID,Tanker,279202639
/vessels/details/279202155,KAJMAKCALAN,Other type,279202155
/vessels/details/279202732,RUBIKON23,Tanker,279202732
/vessels/details/279202606,LADJAR MIJO,Other type,279202606
/vessels/details/279202320,DELIGRAD,Cargo ship,279202320
/vessels/details/279202375,KUMANOVO,Cargo ship,279202375
/vessels/details/8643494,LADJAR II,Inland Tanker,8643494
/vessels/details/279202559,EURO GAS77,Other type,279202559
/vessels/details/279202518,TITAN,Other type,279202518
/vessels/details/279202625,PRAHOVO,Unknown,279202625
/vessels/details/279202527,BEZDAN BTL,Cargo ship,279202527
/vessels/details/279202648,RUBIKON 4,Tanker,279202648
/vessels/details/279202613,SLOGA,Other type,279202613
/vessels/details/279202242,ORASAC,Cargo ship,279202242
/vessels/details/279202505,BEOBARZA,Unknown,279202505
/vessels/details/279202457,GROCKA,Other type,279202457
/vessels/details/279202154,VELEBIT,Cargo ship,279202154
/vessels/details/279202744,BOCON171832,WIG,279202744
/vessels/details/279202356,METALKO,Unknown,279202356
/vessels/details/279202436,BUKOVAC,Other type,279202436
/vessels/details/279202631,SIRENA,Unknown,279202631
/vessels/details/279202489,DJINA,Cargo ship,279202489
/vessels/details/279202724,COLORADO,Cargo ship,279202724
/vessels/details/279241211,ZHEPUYU33279-11-43,Unknown,279241211
/vessels/details/279202600,KLISA II,Other type,279202600
/vessels/details/279202743,LATORICA,Cargo ship,279202743
/vessels/details/279202367,POZAREVAC 6,Unknown,279202367
/vessels/details/279230141,ZHEPUYU33279-41-56,Unknown,279230141
/vessels/details/279202277,PRIMA,Dredging or UW ops,279202277
/vessels/details/279241209,ZHEPUYU33279-9-92,Unknown,279241209
/vessels/details/279202263,KANJON,Cargo ship,279202263
/vessels/details/279250301,33279-1-15,Unknown,279250301
/vessels/details/279202156,MT DIJANA,Unknown,279202156
/vessels/details/279630180,YUEHONGDA6628,Cargo ship,279630180
/vessels/details/279202683,RAPID II,Dredging or UW ops,279202683
/vessels/details/279202501,APATIN I,Cargo ship,279202501
/vessels/details/279202177,TOMI II,Cargo ship,279202177
/vessels/details/279202677,JELENA,Tug,279202677
/vessels/details/279230136,ZHEPUYU33279-36-45,Unknown,279230136
/vessels/details/279202626,ZIG 2,WIG,279202626
/vessels/details/279231008,ZHEPUYU33279-8-96,Unknown,279231008
/vessels/details/279005332,PB-36 SABAC,SAR,279005332
/vessels/details/279202657,FRUSKOGORAC,Cargo ship,279202657
/vessels/details/279685508,L,Tanker,279685508
/vessels/details/279202667,ANASTASIJA,Cargo ship,279202667
/vessels/details/279078169,LIN07816-9-50,Unknown,279078169
/vessels/details/279852255,MINPUYU01999-64-54,Unknown,279852255
/vessels/details/279202689,Q MAX,Unknown,279202689
/vessels/details/279202192,MT BANSTOL,Cargo ship,279202192
