url,name,type,imo
/vessels/details/9764415,SOUTHERN SEAS 301,Fishing Vessel,9764415
/vessels/details/9764427,SOUTHERN SEAS NO.302,Fishing Vessel,9764427
/vessels/details/9764439,SOUTHERN SEAS NO.303,Fishing Vessel,9764439
/vessels/details/1027524,SOLOMON DIAMOND,Fishing Vessel,1027524
/vessels/details/8748490,MARINE PIONEER,Fishing Vessel,8748490
/vessels/details/8748361,SOLOMON AMBER,Fishing Vessel,8748361
/vessels/details/9033323,FAIR LADY,Passenger/General Cargo Ship,9033323
/vessels/details/9211171,SOLOMON PEARL,Fishing Vessel,9211171
/vessels/details/9211183,SOLOMON JADE,Fishing Vessel,9211183
/vessels/details/9212292,SOLOMON EMERALD,Fishing Vessel,9212292
/vessels/details/9212319,SOLOMON OPAL,Fishing Vessel,9212319
/vessels/details/8518613,VANUATU FERRY,Passenger/Ro-Ro Cargo Ship,8518613
/vessels/details/4734207,RSIPV TARO,Patrol Vessel,4734207
/vessels/details/9135418,SOUTHERN CROSS,Training Ship,9135418
/vessels/details/4734142,RSIPV GIZO,Patrol Vessel,4734142
/vessels/details/7037143,APHROS,Tug,7037143
/vessels/details/1088516,FOREMOST 28,Tug,1088516
/vessels/details/1088891,GRAND OMEGA 2,Tug,1088891
/vessels/details/557880113,LURONGYU55788-A1399,Unknown,557880113
/vessels/details/557570039,LURONGYU55757-39-93,Unknown,557570039
/vessels/details/557570049,LURONGYU55757-49-83,Unknown,557570049
/vessels/details/557557557,NU VIET 31247 A20,Fishing vessel,557557557
/vessels/details/557110041,LURONGYU55711-41-09,Unknown,557110041
/vessels/details/557900011,557900011-81,Unknown,557900011
/vessels/details/557998003,JILEYU7998-3-99,Unknown,557998003
/vessels/details/557998019,JILEYU7998-19-84,Unknown,557998019
/vessels/details/557880104,LURONGYU55788-A4-94,Unknown,557880104
/vessels/details/557590036,LURONGYU55759-36-01,Unknown,557590036
/vessels/details/557580007,LURONGYU55758-7-94,Unknown,557580007
/vessels/details/557590021,LURONGYU55759-21-07,Unknown,557590021
/vessels/details/557006500,AVAIKIMAINE,Passenger ship,557006500
/vessels/details/557580016,LURONGYU55758-16-82,Unknown,557580016
/vessels/details/9212307,SOLOMON RUBY,Fishing Vessel,9212307
/vessels/details/9033256,SOLOMON PRESTIGE 1,Fishing Vessel,9033256
/vessels/details/7908940,SHORTLANDS,General Cargo Ship,7908940
/vessels/details/557590001,LURONGYU55759-1-01,Unknown,557590001
/vessels/details/557880141,LURONGYU55788-41-99,Unknown,557880141
/vessels/details/557570036,LURONGYU55757-36-08,Unknown,557570036
/vessels/details/557880000,8,Pleasure craft,557880000
/vessels/details/8915378,ARNAVON,General Cargo Ship,8915378
/vessels/details/9169457,ARMADA TEJA,Tug,9169457
/vessels/details/1087483,PELICAN 1,Passenger Ship,1087483
/vessels/details/557580018,LURONGYU55758-18-96,Unknown,557580018
/vessels/details/557590024,LURONGYU55759-24-26,Unknown,557590024
/vessels/details/557880116,LURONGYU55788-A1699,Unknown,557880116
/vessels/details/557880028,LURONGYU55788-28-52,Unknown,557880028
/vessels/details/8937754,MARINCOM NO5,General Cargo Ship,8937754
/vessels/details/1090416,BERING 1,Tug,1090416
/vessels/details/557110068,LURONGYU55711-68-99,Unknown,557110068
/vessels/details/1091721,NUSA TUPE,Landing Craft,1091721
/vessels/details/1088528,GOODWOOD NO. 6,Tug,1088528
/vessels/details/557110066,LURONGYU55711-66-99,Unknown,557110066
/vessels/details/557580036,LURONGYU55758-36-66,Unknown,557580036
/vessels/details/557217185,LIN21718-5-99,Unknown,557217185
/vessels/details/557013700,SOLOMON PEARL,Fishing vessel,557013700
/vessels/details/9208590,PRAWIRA TIGA,Tug,9208590
/vessels/details/9805908,EASYLINE,Landing Craft,9805908
/vessels/details/1091719,SPRING STAR 1,Tug,1091719
/vessels/details/1088841,PELICAN 2,Passenger Ship,1088841
/vessels/details/557880139,LURONGYU55788-39-86,Unknown,557880139
/vessels/details/557002306,BUOY-0699,Unknown,557002306
/vessels/details/557110050,LURONGYU55711-50-49,Unknown,557110050
/vessels/details/7719416,CHARISMA,Passenger/General Cargo Ship,7719416
/vessels/details/557570024,LURONGYU55757-24-97,Unknown,557570024
/vessels/details/1085576,EM 95,Tug,1085576
/vessels/details/557217922,LIN21792-2-99,Unknown,557217922
/vessels/details/557570075,LURONGYU55757-75-99,Unknown,557570075
/vessels/details/557590045,LURONGYU55759-45-86,Unknown,557590045
/vessels/details/557580065,LURONGYU55758-65-96,Unknown,557580065
/vessels/details/8023125,TORRES STAR,Landing Craft,8023125
/vessels/details/557580009,LURONGYU55758-9-57,Unknown,557580009
/vessels/details/557880051,LURONGYU55788-51-99,Unknown,557880051
/vessels/details/557778899,HUU BINH VT E40,Fishing vessel,557778899
/vessels/details/557580061,LURONGYU55758-61-99,Unknown,557580061
/vessels/details/557900008,55790008-64,Unknown,557900008
/vessels/details/557900005,55790005-52,Unknown,557900005
/vessels/details/557555505,51199-5699,Unknown,557555505
/vessels/details/557900006,55790006-66,Unknown,557900006
/vessels/details/9058969,CAROLINA,General Cargo Ship,9058969
/vessels/details/557110044,LURONGYU55711-44-99,Unknown,557110044
/vessels/details/557590009,LURONGYU55759-9-73,Unknown,557590009
/vessels/details/557590002,LURONGYU55759-2-58,Unknown,557590002
/vessels/details/557013900,SOLOMONOPAL,Fishing vessel,557013900
/vessels/details/557212443,LIN21244-3-63,Unknown,557212443
/vessels/details/557570027,LURONGYU55757-27-70,Unknown,557570027
/vessels/details/8027743,CAPE PERON,Fishing Vessel,8027743
/vessels/details/557570005,LURONGYU55757-5-01,Unknown,557570005
/vessels/details/557998017,JILEYU7998-17-01,Unknown,557998017
/vessels/details/557590038,LURONGYU55759-38-96,Unknown,557590038
/vessels/details/557580027,LURONGYU55758-27-99,Unknown,557580027
/vessels/details/557580075,LURONGYU55758-75-98,Unknown,557580075
/vessels/details/557756789,VUONG 50,Fishing vessel,557756789
/vessels/details/557590032,LURONGYU55759-32-98,Unknown,557590032
/vessels/details/557580069,LURONGYU55758-69-99,Unknown,557580069
