url,name,type,imo
/vessels/details/9365635,SEYCHELLES PATRIOT,Chemical/Oil Products Tanker,9365635
/vessels/details/9365623,SEYCHELLES PRELUDE,Chemical/Oil Products Tanker,9365623
/vessels/details/9298181,SEYCHELLES PROGRESS,Chemical/Oil Products Tanker,9298181
/vessels/details/9255517,SEYCHELLES PIONEER,Chemical/Oil Products Tanker,9255517
/vessels/details/9202704,INTERTUNA TRES,Fishing Vessel,9202704
/vessels/details/9196682,TXORI TOKI,Fishing Vessel,9196682
/vessels/details/9202144,ARTZA,Fishing Vessel,9202144
/vessels/details/9663166,GALERNA III,Fishing Vessel,9663166
/vessels/details/9663154,GALERNA II,Fishing Vessel,9663154
/vessels/details/9710995,EGALABUR,Fishing Vessel,9710995
/vessels/details/9733480,EUSKADI ALAI,Fishing Vessel,9733480
/vessels/details/9733478,JAI ALAI,Fishing Vessel,9733478
/vessels/details/9476111,PLAYA DE AZKORRI,Fishing Vessel,9476111
/vessels/details/9228162,BETI AURRERA,Fishing Vessel,9228162
/vessels/details/9719812,PLAYA DE LAIDA,Fishing Vessel,9719812
/vessels/details/8947163,CHUN YING NO. 212,Fishing Vessel,8947163
/vessels/details/8717099,FORTUNE NO58,Refrigerated Cargo Ship,8717099
/vessels/details/8712441,NEWFOUNDLAND ALERT,Fishing Vessel,8712441
/vessels/details/8947345,HSIANG FA NO.26,Fishing Vessel,8947345
/vessels/details/9808091,HAIZEA SEI,Fishing Support Vessel,9808091
/vessels/details/9426697,LADY I,Yacht,9426697
/vessels/details/9324007,TXORI HIRU,Fishing Vessel,9324007
/vessels/details/8656996,WORLD IS NOT ENOUGH,Yacht,8656996
/vessels/details/6614425,MAYAS DUGONG,Passenger Ship,6614425
/vessels/details/9855264,NF HERCULES,Fishing Vessel,9855264
/vessels/details/9909120,FV GOLDEN RICH NO. 178,Fishing Vessel,9909120
/vessels/details/9924558,FV GOLDEN AMON NO668,Fishing Vessel,9924558
/vessels/details/9897652,FV GOLDEN FULL NO. 168,Fishing Vessel,9897652
/vessels/details/9856098,NF ALPHAGOLD NO666,Fishing Vessel,9856098
/vessels/details/8741765,TETHYS SUPPORTER,Pollution Control Vessel,8741765
/vessels/details/9693226,ARISTOTLE NO. 69,Fishing Vessel,9693226
/vessels/details/5336600,AVONTUUR,General Cargo Ship,5336600
/vessels/details/8532279,CAT COCOS ISLE OF MAHE,Passenger Ship,8532279
/vessels/details/664581000,NF INDIAN TUNA NO 1,Fishing vessel,664581000
/vessels/details/664959000,FV TUNA PEAK NO.16,Fishing vessel,664959000
/vessels/details/664139000,EVERGOLD NO.1,Fishing vessel,664139000
/vessels/details/664104000,MERCURY,Fishing vessel,664104000
/vessels/details/664542000,CHUN YING NO.212,Fishing vessel,664542000
/vessels/details/664000182,ANDROMEDA,Pleasure craft,664000182
/vessels/details/664092000,LONG YIELD NO.6,Fishing vessel,664092000
/vessels/details/664000023,FORTUNE NO78,Fishing vessel,664000023
/vessels/details/664774000,VICTORY KING NO1,Unknown,664774000
/vessels/details/664324000,NF ALPHA GOLD NO66,Fishing vessel,664324000
/vessels/details/664512000,TRIGGER,Sailing vessel,664512000
/vessels/details/664070000,NF YUYO NO.1,Fishing vessel,664070000
/vessels/details/664095000,NF INDIAN TUNA NO9,Fishing vessel,664095000
/vessels/details/664710000,DAIMA,Sailing vessel,664710000
/vessels/details/664557000,BONITA,Sailing vessel,664557000
/vessels/details/664084000,LE KIR ROYAL,Pleasure craft,664084000
/vessels/details/664683000,FVNODDYBIRD,Fishing vessel,664683000
/vessels/details/664666000,FV GOLDEN FULL NO168,Fishing vessel,664666000
/vessels/details/664063000,NF YUYO NO.6,Fishing vessel,664063000
/vessels/details/664050000,NF POLOWAY 101,Fishing vessel,664050000
/vessels/details/664540000,LONG YIELD NO.01,Fishing vessel,664540000
/vessels/details/664000147,ALOKA,Fishing vessel,664000147
/vessels/details/664315124,M 12 N4 05 60,Other type,664315124
/vessels/details/664307665,LUCAS 1 2 73,Other type,664307665
/vessels/details/664218337,LIN 21833-7-97,Unknown,664218337
/vessels/details/664304748,L5. 9 72,Other type,664304748
/vessels/details/664093027,64093-27-76,Unknown,664093027
/vessels/details/664000154,RED SEA 3 B4-99,Unknown,664000154
/vessels/details/664710811,ANGEL 5 BUOY 5 100,Unknown,664710811
/vessels/details/664925819,XIANG49258-19-70,Unknown,664925819
/vessels/details/664304693,M25 11 - 1 76,Other type,664304693
/vessels/details/664710833,ANGEL 3 BUOY 2 100,Other type,664710833
/vessels/details/664340378,WICKED TUNAASITHA,Fishing vessel,664340378
/vessels/details/664000153,RED SEA 3 B3-83,Unknown,664000153
/vessels/details/664294001,664294-01-34,Unknown,664294001
/vessels/details/8563395,FV J-HARVEST,Fishing Vessel,8563395
/vessels/details/664711877,SEA BIRD 2 NET 4,Unknown,664711877
/vessels/details/664000008,BALAYA2-08-61,Unknown,664000008
/vessels/details/664162027,BOUY24605-07-81,Unknown,664162027
/vessels/details/664089944,HERUIYU12255,Fishing vessel,664089944
/vessels/details/664304738,M25 1 - 6 65,Other type,664304738
/vessels/details/664710797,SEA STAR 2 NET 9,Unknown,664710797
/vessels/details/664307618,MARLU 3 E 5 100,Unknown,664307618
/vessels/details/9928700,INDO PRINCE,Fishing Vessel,9928700
/vessels/details/664307622,MARLU 5 4 100,Other type,664307622
/vessels/details/664409678,CHARAN 2 NET 1 84,Other type,664409678
/vessels/details/664315143,M5-1 67,Other type,664315143
/vessels/details/664234567,TRUONG SA 5 35D,Fishing vessel,664234567
/vessels/details/664000141,ALOKA B1-99,Unknown,664000141
/vessels/details/664315127,YUAN 2 100,Other type,664315127
/vessels/details/664055000,THUNDERER,Pleasure craft,664055000
/vessels/details/664000124,RED SEA B4,Unknown,664000124
/vessels/details/664212017,LIN 21201-7-93,Unknown,664212017
/vessels/details/664710835,ANGEL 3 BUOY 4 100,Unknown,664710835
/vessels/details/664000120,RED SEA 1,Pleasure craft,664000120
/vessels/details/66414309,QQQ-09 90,Unknown,66414309
/vessels/details/664000143,ALOKA B3-88,Unknown,664000143
/vessels/details/664712066,ANGEL 6 NET 4 100,Unknown,664712066
/vessels/details/664067000,WOENFULL NO.668,Fishing vessel,664067000
/vessels/details/664304734,M25 1 - 3 80,Other type,664304734
/vessels/details/664330028,66433-28-99,Unknown,664330028
/vessels/details/664001111,KES TECH.,Unknown,664001111
/vessels/details/664057000,ISLE OF LADIGUE,Passenger ship,664057000
/vessels/details/66414308,QQQ-08 90,Unknown,66414308
/vessels/details/4907957,HERMES,Patrol Vessel,4907957
/vessels/details/664304698,M25 10 - 5 20,Other type,664304698
/vessels/details/664940723,ZXY49407-23-70,Unknown,664940723
/vessels/details/664942820,ZXY49428-20-96,Unknown,664942820
/vessels/details/664000187,TUNA X,Fishing vessel,664000187
/vessels/details/664510031,MARLOU1 B-07 82,Other type,664510031
/vessels/details/664940724,ZXY49407-24-74,Unknown,664940724
/vessels/details/664307673,ALBACORE 1-3 100,Other type,664307673
/vessels/details/664258001,SAMPATH 15 NET 2,Unknown,664258001
/vessels/details/664912000,MARLU 05.DUSANTHA,Fishing vessel,664912000
/vessels/details/664100000,TIMELESS,Sailing vessel,664100000
/vessels/details/664315158,W TUNA 4 79,Other type,664315158
